data,totale_casi,denominazione_provincia
2022-01-01 17:00:00,68958,Perugia
2022-01-02 17:00:00,69427,Perugia
2022-01-03 17:00:00,70373,Perugia
2022-01-04 17:00:00,72976,Perugia
2022-01-05 17:00:00,75644,Perugia
2022-01-06 17:00:00,77862,Perugia
2022-01-07 17:00:00,78526,Perugia
2022-01-08 17:00:00,81103,Perugia
2022-01-09 17:00:00,82899,Perugia
2022-01-10 17:00:00,83660,Perugia
2022-01-11 17:00:00,85730,Perugia
2022-01-12 17:00:00,87591,Perugia
2022-01-13 17:00:00,89012,Perugia
2022-01-14 17:00:00,90481,Perugia
2022-01-15 17:00:00,91871,Perugia
2022-01-16 17:00:00,93256,Perugia
2022-01-17 17:00:00,93806,Perugia
2022-01-18 17:00:00,95533,Perugia
2022-01-19 17:00:00,97223,Perugia
2022-01-20 17:00:00,98835,Perugia
2022-01-21 17:00:00,100520,Perugia
2022-01-22 17:00:00,102166,Perugia
2022-01-23 17:00:00,103582,Perugia
2022-01-24 17:00:00,104158,Perugia
2022-01-25 17:00:00,105835,Perugia
2022-01-26 17:00:00,107457,Perugia
2022-01-27 17:00:00,108827,Perugia
2022-01-28 17:00:00,110288,Perugia
2022-01-29 17:00:00,111559,Perugia
2022-01-30 17:00:00,112796,Perugia
2022-01-31 17:00:00,113255,Perugia
2022-02-01 17:00:00,114737,Perugia
2022-02-02 17:00:00,116151,Perugia
2022-02-03 17:00:00,117315,Perugia
2022-02-04 17:00:00,118346,Perugia
2022-02-05 17:00:00,119318,Perugia
2022-02-06 17:00:00,120301,Perugia
2022-02-07 17:00:00,120705,Perugia
2022-02-08 17:00:00,121547,Perugia
2022-02-09 17:00:00,122752,Perugia
2022-02-10 17:00:00,123650,Perugia
2022-02-11 17:00:00,124406,Perugia
2022-02-12 17:00:00,125035,Perugia
2022-02-13 17:00:00,125634,Perugia
2022-02-14 17:00:00,125918,Perugia
2022-02-15 17:00:00,126649,Perugia
2022-02-16 17:00:00,127369,Perugia
2022-02-17 17:00:00,128101,Perugia
2022-02-18 17:00:00,128708,Perugia
2022-02-19 17:00:00,129331,Perugia
