data,totale_casi,denominazione_provincia
2022-01-01 17:00:00,30657,Piacenza
2022-01-02 17:00:00,30921,Piacenza
2022-01-03 17:00:00,31517,Piacenza
2022-01-04 17:00:00,31972,Piacenza
2022-01-05 17:00:00,32284,Piacenza
2022-01-06 17:00:00,32611,Piacenza
2022-01-07 17:00:00,33102,Piacenza
2022-01-08 17:00:00,33576,Piacenza
2022-01-09 17:00:00,33918,Piacenza
2022-01-10 17:00:00,34139,Piacenza
2022-01-11 17:00:00,38196,Piacenza
2022-01-12 17:00:00,38235,Piacenza
2022-01-13 17:00:00,40852,Piacenza
2022-01-14 17:00:00,42596,Piacenza
2022-01-15 17:00:00,43617,Piacenza
2022-01-16 17:00:00,43632,Piacenza
2022-01-17 17:00:00,44289,Piacenza
2022-01-18 17:00:00,46702,Piacenza
2022-01-19 17:00:00,47937,Piacenza
2022-01-20 17:00:00,48967,Piacenza
2022-01-21 17:00:00,50017,Piacenza
2022-01-22 17:00:00,51024,Piacenza
2022-01-23 17:00:00,51826,Piacenza
2022-01-24 17:00:00,52429,Piacenza
2022-01-25 17:00:00,53048,Piacenza
2022-01-26 17:00:00,53989,Piacenza
2022-01-27 17:00:00,54737,Piacenza
2022-01-28 17:00:00,55542,Piacenza
2022-01-29 17:00:00,56374,Piacenza
2022-01-30 17:00:00,56973,Piacenza
2022-01-31 17:00:00,57323,Piacenza
2022-02-01 17:00:00,57854,Piacenza
2022-02-02 17:00:00,58319,Piacenza
2022-02-03 17:00:00,58746,Piacenza
2022-02-04 17:00:00,59119,Piacenza
2022-02-05 17:00:00,59468,Piacenza
2022-02-06 17:00:00,59740,Piacenza
2022-02-07 17:00:00,59932,Piacenza
2022-02-08 17:00:00,60163,Piacenza
2022-02-09 17:00:00,60428,Piacenza
2022-02-10 17:00:00,60659,Piacenza
2022-02-11 17:00:00,60876,Piacenza
2022-02-12 17:00:00,61054,Piacenza
2022-02-13 17:00:00,61228,Piacenza
2022-02-14 17:00:00,61324,Piacenza
2022-02-15 17:00:00,61455,Piacenza
2022-02-16 17:00:00,61589,Piacenza
2022-02-17 17:00:00,61700,Piacenza
2022-02-18 17:00:00,61821,Piacenza
2022-02-19 17:00:00,61946,Piacenza
2022-02-20 17:00:00,62054,Piacenza
2022-02-21 17:00:00,62119,Piacenza
2022-02-22 17:00:00,62211,Piacenza
2022-02-23 17:00:00,62334,Piacenza
2022-02-24 17:00:00,62427,Piacenza
2022-02-25 17:00:00,62518,Piacenza
2022-02-26 17:00:00,62606,Piacenza
2022-02-27 17:00:00,62690,Piacenza
2022-02-28 17:00:00,62751,Piacenza
2022-03-01 17:00:00,62819,Piacenza
2022-03-02 17:00:00,62906,Piacenza
2022-03-03 17:00:00,62978,Piacenza
2022-03-04 17:00:00,63064,Piacenza
2022-03-05 17:00:00,63149,Piacenza
2022-03-06 17:00:00,63258,Piacenza
2022-03-07 17:00:00,63317,Piacenza
2022-03-08 17:00:00,63436,Piacenza
2022-03-09 17:00:00,63553,Piacenza
2022-03-10 17:00:00,63652,Piacenza
2022-03-11 17:00:00,63772,Piacenza
2022-03-12 17:00:00,63889,Piacenza
2022-03-13 17:00:00,63999,Piacenza
2022-03-14 17:00:00,64080,Piacenza
