data,totale_casi,denominazione_provincia
2022-01-01 17:00:00,35794,Pistoia
2022-01-02 17:00:00,36155,Pistoia
2022-01-03 17:00:00,36477,Pistoia
2022-01-04 17:00:00,38017,Pistoia
2022-01-05 17:00:00,39402,Pistoia
2022-01-06 17:00:00,40768,Pistoia
2022-01-07 17:00:00,41261,Pistoia
2022-01-08 17:00:00,42659,Pistoia
2022-01-09 17:00:00,43666,Pistoia
2022-01-10 17:00:00,44106,Pistoia
2022-01-11 17:00:00,45393,Pistoia
2022-01-12 17:00:00,46474,Pistoia
2022-01-13 17:00:00,47508,Pistoia
2022-01-14 17:00:00,48471,Pistoia
2022-01-15 17:00:00,49380,Pistoia
2022-01-16 17:00:00,50223,Pistoia
2022-01-17 17:00:00,50641,Pistoia
2022-01-18 17:00:00,51865,Pistoia
2022-01-19 17:00:00,52895,Pistoia
2022-01-20 17:00:00,53975,Pistoia
2022-01-21 17:00:00,55067,Pistoia
2022-01-22 17:00:00,56134,Pistoia
2022-01-23 17:00:00,57053,Pistoia
2022-01-24 17:00:00,57509,Pistoia
2022-01-25 17:00:00,58742,Pistoia
2022-01-26 17:00:00,59620,Pistoia
2022-01-27 17:00:00,60555,Pistoia
2022-01-28 17:00:00,61475,Pistoia
2022-01-29 17:00:00,62228,Pistoia
2022-01-30 17:00:00,62933,Pistoia
2022-01-31 17:00:00,63250,Pistoia
2022-02-01 17:00:00,64039,Pistoia
2022-02-02 17:00:00,64603,Pistoia
2022-02-03 17:00:00,65193,Pistoia
2022-02-04 17:00:00,65734,Pistoia
2022-02-05 17:00:00,66208,Pistoia
2022-02-06 17:00:00,66672,Pistoia
2022-02-07 17:00:00,66893,Pistoia
2022-02-08 17:00:00,67429,Pistoia
2022-02-09 17:00:00,67799,Pistoia
2022-02-10 17:00:00,68201,Pistoia
2022-02-11 17:00:00,68599,Pistoia
2022-02-12 17:00:00,68873,Pistoia
2022-02-13 17:00:00,69164,Pistoia
2022-02-14 17:00:00,69282,Pistoia
2022-02-15 17:00:00,69571,Pistoia
2022-02-16 17:00:00,69775,Pistoia
2022-02-17 17:00:00,70004,Pistoia
2022-02-18 17:00:00,70228,Pistoia
2022-02-19 17:00:00,70398,Pistoia
2022-02-20 17:00:00,70616,Pistoia
2022-02-21 17:00:00,70719,Pistoia
2022-02-22 17:00:00,70952,Pistoia
2022-02-23 17:00:00,71164,Pistoia
2022-02-24 17:00:00,71362,Pistoia
2022-02-25 17:00:00,71545,Pistoia
2022-02-26 17:00:00,71695,Pistoia
2022-02-27 17:00:00,71864,Pistoia
2022-02-28 17:00:00,71938,Pistoia
2022-03-01 17:00:00,72141,Pistoia
2022-03-02 17:00:00,72272,Pistoia
2022-03-03 17:00:00,72443,Pistoia
2022-03-04 17:00:00,72604,Pistoia
2022-03-05 17:00:00,72747,Pistoia
2022-03-06 17:00:00,72897,Pistoia
2022-03-07 17:00:00,72953,Pistoia
2022-03-08 17:00:00,73208,Pistoia
2022-03-09 17:00:00,73358,Pistoia
2022-03-10 17:00:00,73561,Pistoia
2022-03-11 17:00:00,73795,Pistoia
2022-03-12 17:00:00,74001,Pistoia
2022-03-13 17:00:00,74213,Pistoia
2022-03-14 17:00:00,74318,Pistoia
2022-03-15 17:00:00,74641,Pistoia
2022-03-16 17:00:00,74923,Pistoia
2022-03-17 17:00:00,75240,Pistoia
2022-03-18 17:00:00,75627,Pistoia
2022-03-19 17:00:00,75947,Pistoia
2022-03-20 17:00:00,76295,Pistoia
2022-03-21 17:00:00,76409,Pistoia
2022-03-22 17:00:00,76812,Pistoia
