data,totale_casi,denominazione_provincia
2022-01-01 17:00:00,32819,Pordenone
2022-01-02 17:00:00,33045,Pordenone
2022-01-03 17:00:00,33204,Pordenone
2022-01-04 17:00:00,34407,Pordenone
2022-01-05 17:00:00,35475,Pordenone
2022-01-06 17:00:00,36650,Pordenone
2022-01-07 17:00:00,37179,Pordenone
2022-01-08 17:00:00,38499,Pordenone
2022-01-09 17:00:00,39341,Pordenone
2022-01-10 17:00:00,39815,Pordenone
2022-01-11 17:00:00,40944,Pordenone
2022-01-12 17:00:00,42293,Pordenone
2022-01-13 17:00:00,43380,Pordenone
2022-01-14 17:00:00,44572,Pordenone
2022-01-15 17:00:00,45796,Pordenone
2022-01-16 17:00:00,46695,Pordenone
2022-01-17 17:00:00,47103,Pordenone
2022-01-18 17:00:00,48449,Pordenone
2022-01-19 17:00:00,50057,Pordenone
2022-01-20 17:00:00,51722,Pordenone
2022-01-21 17:00:00,53036,Pordenone
2022-01-22 17:00:00,54654,Pordenone
2022-01-23 17:00:00,55518,Pordenone
2022-01-24 17:00:00,56097,Pordenone
2022-01-25 17:00:00,57511,Pordenone
2022-01-26 17:00:00,58676,Pordenone
2022-01-27 17:00:00,60391,Pordenone
2022-01-28 17:00:00,61805,Pordenone
2022-01-29 17:00:00,62898,Pordenone
2022-01-30 17:00:00,63621,Pordenone
2022-01-31 17:00:00,63880,Pordenone
2022-02-01 17:00:00,64969,Pordenone
2022-02-02 17:00:00,65954,Pordenone
2022-02-03 17:00:00,66806,Pordenone
2022-02-04 17:00:00,67561,Pordenone
2022-02-05 17:00:00,68320,Pordenone
2022-02-06 17:00:00,68727,Pordenone
2022-02-07 17:00:00,68935,Pordenone
2022-02-08 17:00:00,69634,Pordenone
2022-02-09 17:00:00,70136,Pordenone
2022-02-10 17:00:00,70611,Pordenone
2022-02-11 17:00:00,71012,Pordenone
2022-02-12 17:00:00,71398,Pordenone
2022-02-13 17:00:00,71639,Pordenone
2022-02-14 17:00:00,71774,Pordenone
2022-02-15 17:00:00,72146,Pordenone
2022-02-16 17:00:00,72418,Pordenone
2022-02-17 17:00:00,72730,Pordenone
2022-02-18 17:00:00,72936,Pordenone
2022-02-19 17:00:00,73167,Pordenone
2022-02-20 17:00:00,73311,Pordenone
2022-02-21 17:00:00,73384,Pordenone
2022-02-22 17:00:00,73677,Pordenone
2022-02-23 17:00:00,73915,Pordenone
2022-02-24 17:00:00,74108,Pordenone
2022-02-25 17:00:00,74261,Pordenone
2022-02-26 17:00:00,74437,Pordenone
2022-02-27 17:00:00,74515,Pordenone
2022-02-28 17:00:00,74552,Pordenone
2022-03-01 17:00:00,74725,Pordenone
2022-03-02 17:00:00,74836,Pordenone
2022-03-03 17:00:00,74954,Pordenone
2022-03-04 17:00:00,75060,Pordenone
2022-03-05 17:00:00,75234,Pordenone
2022-03-06 17:00:00,75342,Pordenone
2022-03-07 17:00:00,75391,Pordenone
2022-03-08 17:00:00,75579,Pordenone
2022-03-09 17:00:00,75749,Pordenone
2022-03-10 17:00:00,75937,Pordenone
2022-03-11 17:00:00,76099,Pordenone
2022-03-12 17:00:00,76284,Pordenone
2022-03-13 17:00:00,76430,Pordenone
2022-03-14 17:00:00,76493,Pordenone
2022-03-15 17:00:00,76789,Pordenone
2022-03-16 17:00:00,77062,Pordenone
2022-03-17 17:00:00,77371,Pordenone
2022-03-18 17:00:00,77603,Pordenone
2022-03-19 17:00:00,77886,Pordenone
2022-03-20 17:00:00,78082,Pordenone
2022-03-21 17:00:00,78144,Pordenone
2022-03-22 17:00:00,78459,Pordenone
2022-03-23 17:00:00,78727,Pordenone
2022-03-24 17:00:00,79012,Pordenone
2022-03-25 17:00:00,79236,Pordenone
2022-03-26 17:00:00,79504,Pordenone
2022-03-27 17:00:00,79684,Pordenone
2022-03-28 17:00:00,79744,Pordenone
2022-03-29 17:00:00,80080,Pordenone
2022-03-30 17:00:00,80357,Pordenone
2022-03-31 17:00:00,80532,Pordenone
2022-04-01 17:00:00,80791,Pordenone
2022-04-02 17:00:00,81030,Pordenone
2022-04-03 17:00:00,81185,Pordenone
2022-04-04 17:00:00,81252,Pordenone
2022-04-05 17:00:00,81566,Pordenone
2022-04-06 17:00:00,81815,Pordenone
2022-04-07 17:00:00,82055,Pordenone
2022-04-08 17:00:00,82278,Pordenone
2022-04-09 17:00:00,82486,Pordenone
2022-04-10 17:00:00,82664,Pordenone
2022-04-11 17:00:00,82716,Pordenone
2022-04-12 17:00:00,83037,Pordenone
2022-04-13 17:00:00,83307,Pordenone
2022-04-14 17:00:00,83604,Pordenone
2022-04-15 17:00:00,83847,Pordenone
2022-04-16 17:00:00,84099,Pordenone
2022-04-17 17:00:00,84263,Pordenone
2022-04-18 17:00:00,84294,Pordenone
2022-04-19 17:00:00,84337,Pordenone
2022-04-20 17:00:00,84668,Pordenone
2022-04-21 17:00:00,84988,Pordenone
2022-04-22 17:00:00,85244,Pordenone
2022-04-23 17:00:00,85497,Pordenone
2022-04-24 17:00:00,85637,Pordenone
2022-04-25 17:00:00,85728,Pordenone
2022-04-26 17:00:00,85768,Pordenone
2022-04-27 17:00:00,86140,Pordenone
2022-04-28 17:00:00,86411,Pordenone
2022-04-29 17:00:00,86604,Pordenone
2022-04-30 17:00:00,86792,Pordenone
2022-05-01 17:00:00,86914,Pordenone
2022-05-02 17:00:00,86965,Pordenone
2022-05-03 17:00:00,87253,Pordenone
2022-05-04 17:00:00,87417,Pordenone
2022-05-05 17:00:00,87584,Pordenone
2022-05-06 17:00:00,87737,Pordenone
2022-05-07 17:00:00,87890,Pordenone
2022-05-08 17:00:00,87993,Pordenone
2022-05-09 17:00:00,88014,Pordenone
2022-05-10 17:00:00,88292,Pordenone
2022-05-11 17:00:00,88457,Pordenone
2022-05-12 17:00:00,88591,Pordenone
2022-05-13 17:00:00,88747,Pordenone
2022-05-14 17:00:00,88896,Pordenone
2022-05-15 17:00:00,88994,Pordenone
2022-05-16 17:00:00,89012,Pordenone
2022-05-17 17:00:00,89160,Pordenone
2022-05-18 17:00:00,89303,Pordenone
2022-05-19 17:00:00,89406,Pordenone
2022-05-20 17:00:00,89513,Pordenone
2022-05-21 17:00:00,89594,Pordenone
2022-05-22 17:00:00,89651,Pordenone
2022-05-23 17:00:00,89666,Pordenone
2022-05-24 17:00:00,89766,Pordenone
2022-05-25 17:00:00,89849,Pordenone
2022-05-26 17:00:00,89916,Pordenone
