data,totale_casi,denominazione_provincia
2022-01-01 17:00:00,23799,Potenza
2022-01-02 17:00:00,24069,Potenza
2022-01-03 17:00:00,24218,Potenza
2022-01-04 17:00:00,24901,Potenza
2022-01-05 17:00:00,25531,Potenza
2022-01-06 17:00:00,26272,Potenza
2022-01-07 17:00:00,26962,Potenza
2022-01-08 17:00:00,27463,Potenza
2022-01-09 17:00:00,28177,Potenza
2022-01-10 17:00:00,28324,Potenza
2022-01-11 17:00:00,28953,Potenza
2022-01-12 17:00:00,29575,Potenza
2022-01-13 17:00:00,30234,Potenza
2022-01-14 17:00:00,30848,Potenza
2022-01-15 17:00:00,31265,Potenza
2022-01-16 17:00:00,31678,Potenza
2022-01-17 17:00:00,31709,Potenza
2022-01-18 17:00:00,32620,Potenza
2022-01-19 17:00:00,33303,Potenza
2022-01-20 17:00:00,34168,Potenza
2022-01-21 17:00:00,34969,Potenza
2022-01-22 17:00:00,35661,Potenza
2022-01-23 17:00:00,36208,Potenza
2022-01-24 17:00:00,36487,Potenza
2022-01-25 17:00:00,37291,Potenza
2022-01-26 17:00:00,37917,Potenza
2022-01-27 17:00:00,38515,Potenza
2022-01-28 17:00:00,39122,Potenza
2022-01-29 17:00:00,39751,Potenza
2022-01-30 17:00:00,40271,Potenza
2022-01-31 17:00:00,40563,Potenza
2022-02-01 17:00:00,41363,Potenza
2022-02-02 17:00:00,41973,Potenza
2022-02-03 17:00:00,42601,Potenza
2022-02-04 17:00:00,43102,Potenza
2022-02-05 17:00:00,43780,Potenza
2022-02-06 17:00:00,44275,Potenza
2022-02-07 17:00:00,44551,Potenza
2022-02-08 17:00:00,45224,Potenza
2022-02-09 17:00:00,45830,Potenza
2022-02-10 17:00:00,46265,Potenza
2022-02-11 17:00:00,46675,Potenza
2022-02-12 17:00:00,47076,Potenza
2022-02-13 17:00:00,47365,Potenza
2022-02-14 17:00:00,47588,Potenza
2022-02-15 17:00:00,48095,Potenza
2022-02-16 17:00:00,48504,Potenza
2022-02-17 17:00:00,48868,Potenza
2022-02-18 17:00:00,49233,Potenza
2022-02-19 17:00:00,49608,Potenza
2022-02-20 17:00:00,49875,Potenza
2022-02-21 17:00:00,50091,Potenza
2022-02-22 17:00:00,50570,Potenza
2022-02-23 17:00:00,50888,Potenza
2022-02-24 17:00:00,51216,Potenza
2022-02-25 17:00:00,51526,Potenza
2022-02-26 17:00:00,51847,Potenza
2022-02-27 17:00:00,52089,Potenza
2022-02-28 17:00:00,52245,Potenza
2022-03-01 17:00:00,52706,Potenza
2022-03-02 17:00:00,52948,Potenza
2022-03-03 17:00:00,53307,Potenza
2022-03-04 17:00:00,53553,Potenza
2022-03-05 17:00:00,53853,Potenza
2022-03-06 17:00:00,54071,Potenza
2022-03-07 17:00:00,54233,Potenza
2022-03-08 17:00:00,54669,Potenza
2022-03-09 17:00:00,55019,Potenza
2022-03-10 17:00:00,55404,Potenza
2022-03-11 17:00:00,55830,Potenza
2022-03-12 17:00:00,56178,Potenza
2022-03-13 17:00:00,56477,Potenza
2022-03-14 17:00:00,56677,Potenza
2022-03-15 17:00:00,57307,Potenza
2022-03-16 17:00:00,57803,Potenza
2022-03-17 17:00:00,58431,Potenza
2022-03-18 17:00:00,58990,Potenza
2022-03-19 17:00:00,59625,Potenza
2022-03-20 17:00:00,60168,Potenza
2022-03-21 17:00:00,60462,Potenza
2022-03-22 17:00:00,61288,Potenza
2022-03-23 17:00:00,62054,Potenza
2022-03-24 17:00:00,62708,Potenza
2022-03-25 17:00:00,63337,Potenza
2022-03-26 17:00:00,64021,Potenza
2022-03-27 17:00:00,64551,Potenza
2022-03-28 17:00:00,64909,Potenza
2022-03-29 17:00:00,65735,Potenza
2022-03-30 17:00:00,66450,Potenza
2022-03-31 17:00:00,66928,Potenza
2022-04-01 17:00:00,67659,Potenza
2022-04-02 17:00:00,68345,Potenza
2022-04-03 17:00:00,68791,Potenza
2022-04-04 17:00:00,69137,Potenza
2022-04-05 17:00:00,69914,Potenza
2022-04-06 17:00:00,70419,Potenza
2022-04-07 17:00:00,71009,Potenza
2022-04-08 17:00:00,71567,Potenza
2022-04-09 17:00:00,72068,Potenza
2022-04-10 17:00:00,72449,Potenza
2022-04-11 17:00:00,72700,Potenza
2022-04-12 17:00:00,73322,Potenza
2022-04-13 17:00:00,73760,Potenza
2022-04-14 17:00:00,74230,Potenza
2022-04-15 17:00:00,74655,Potenza
2022-04-16 17:00:00,75137,Potenza
2022-04-17 17:00:00,75477,Potenza
2022-04-18 17:00:00,75567,Potenza
2022-04-19 17:00:00,75908,Potenza
2022-04-20 17:00:00,76684,Potenza
2022-04-21 17:00:00,77304,Potenza
2022-04-22 17:00:00,77838,Potenza
2022-04-23 17:00:00,78435,Potenza
2022-04-24 17:00:00,78815,Potenza
2022-04-25 17:00:00,78969,Potenza
2022-04-26 17:00:00,79314,Potenza
2022-04-27 17:00:00,80087,Potenza
2022-04-28 17:00:00,80606,Potenza
2022-04-29 17:00:00,81021,Potenza
2022-04-30 17:00:00,81449,Potenza
2022-05-01 17:00:00,81754,Potenza
2022-05-02 17:00:00,81897,Potenza
2022-05-03 17:00:00,82403,Potenza
2022-05-04 17:00:00,82741,Potenza
2022-05-05 17:00:00,83060,Potenza
2022-05-06 17:00:00,83385,Potenza
2022-05-07 17:00:00,83729,Potenza
2022-05-08 17:00:00,83974,Potenza
2022-05-09 17:00:00,84124,Potenza
2022-05-10 17:00:00,84529,Potenza
2022-05-11 17:00:00,84811,Potenza
2022-05-12 17:00:00,85075,Potenza
2022-05-13 17:00:00,85349,Potenza
2022-05-14 17:00:00,85598,Potenza
2022-05-15 17:00:00,85769,Potenza
2022-05-16 17:00:00,85896,Potenza
2022-05-17 17:00:00,86213,Potenza
2022-05-18 17:00:00,86427,Potenza
2022-05-19 17:00:00,86641,Potenza
2022-05-20 17:00:00,86811,Potenza
2022-05-21 17:00:00,86953,Potenza
2022-05-22 17:00:00,87057,Potenza
2022-05-23 17:00:00,87144,Potenza
2022-05-24 17:00:00,87346,Potenza
2022-05-25 17:00:00,87534,Potenza
2022-05-26 17:00:00,87639,Potenza
2022-05-27 17:00:00,87794,Potenza
2022-05-28 17:00:00,87908,Potenza
2022-05-29 17:00:00,87987,Potenza
2022-05-30 17:00:00,88041,Potenza
2022-05-31 17:00:00,88187,Potenza
2022-06-01 17:00:00,88294,Potenza
2022-06-02 17:00:00,88380,Potenza
2022-06-03 17:00:00,88457,Potenza
2022-06-04 17:00:00,88579,Potenza
2022-06-05 17:00:00,88662,Potenza
2022-06-06 17:00:00,88716,Potenza
2022-06-07 17:00:00,88883,Potenza
2022-06-08 17:00:00,88986,Potenza
2022-06-09 17:00:00,89124,Potenza
2022-06-10 17:00:00,89222,Potenza
2022-06-11 17:00:00,89311,Potenza
2022-06-12 17:00:00,89376,Potenza
2022-06-13 17:00:00,89438,Potenza
2022-06-14 17:00:00,89657,Potenza
2022-06-15 17:00:00,89820,Potenza
2022-06-16 17:00:00,90028,Potenza
2022-06-17 17:00:00,90202,Potenza
2022-06-18 17:00:00,90371,Potenza
2022-06-19 17:00:00,90524,Potenza
2022-06-20 17:00:00,90678,Potenza
2022-06-21 17:00:00,91021,Potenza
2022-06-22 17:00:00,91275,Potenza
2022-06-23 17:00:00,91559,Potenza
2022-06-24 17:00:00,91836,Potenza
2022-06-25 17:00:00,92107,Potenza
2022-06-26 17:00:00,92323,Potenza
2022-06-27 17:00:00,92502,Potenza
2022-06-28 17:00:00,92913,Potenza
2022-06-29 17:00:00,93225,Potenza
2022-06-30 17:00:00,93652,Potenza
2022-07-01 17:00:00,94063,Potenza
2022-07-02 17:00:00,94482,Potenza
2022-07-03 17:00:00,94858,Potenza
2022-07-04 17:00:00,95139,Potenza
2022-07-05 17:00:00,95946,Potenza
2022-07-06 17:00:00,96590,Potenza
2022-07-07 17:00:00,97231,Potenza
2022-07-08 17:00:00,97786,Potenza
2022-07-09 17:00:00,98369,Potenza
2022-07-10 17:00:00,98768,Potenza
2022-07-11 17:00:00,99056,Potenza
2022-07-12 17:00:00,99989,Potenza
2022-07-13 17:00:00,100605,Potenza
2022-07-14 17:00:00,101307,Potenza
2022-07-15 17:00:00,101923,Potenza
2022-07-16 17:00:00,102468,Potenza
2022-07-17 17:00:00,102850,Potenza
2022-07-18 17:00:00,103175,Potenza
2022-07-19 17:00:00,104020,Potenza
2022-07-20 17:00:00,104535,Potenza
2022-07-21 17:00:00,105057,Potenza
2022-07-22 17:00:00,105478,Potenza
2022-07-23 17:00:00,105940,Potenza
2022-07-24 17:00:00,106247,Potenza
2022-07-25 17:00:00,106418,Potenza
2022-07-26 17:00:00,107010,Potenza
2022-07-27 17:00:00,107397,Potenza
2022-07-28 17:00:00,107749,Potenza
