data,totale_casi,denominazione_provincia
2022-01-01 17:00:00,33900,Prato
2022-01-02 17:00:00,34271,Prato
2022-01-03 17:00:00,34621,Prato
2022-01-04 17:00:00,36059,Prato
2022-01-05 17:00:00,37339,Prato
2022-01-06 17:00:00,38632,Prato
2022-01-07 17:00:00,39106,Prato
2022-01-08 17:00:00,40346,Prato
2022-01-09 17:00:00,41230,Prato
2022-01-10 17:00:00,41603,Prato
2022-01-11 17:00:00,42806,Prato
2022-01-12 17:00:00,43662,Prato
2022-01-13 17:00:00,44510,Prato
2022-01-14 17:00:00,45348,Prato
2022-01-15 17:00:00,46112,Prato
2022-01-16 17:00:00,46726,Prato
2022-01-17 17:00:00,47225,Prato
2022-01-18 17:00:00,48181,Prato
2022-01-19 17:00:00,49046,Prato
2022-01-20 17:00:00,49995,Prato
2022-01-21 17:00:00,50788,Prato
2022-01-22 17:00:00,51615,Prato
2022-01-23 17:00:00,52307,Prato
2022-01-24 17:00:00,52719,Prato
2022-01-25 17:00:00,53655,Prato
2022-01-26 17:00:00,54468,Prato
2022-01-27 17:00:00,55314,Prato
2022-01-28 17:00:00,55980,Prato
2022-01-29 17:00:00,56755,Prato
2022-01-30 17:00:00,57389,Prato
2022-01-31 17:00:00,57697,Prato
2022-02-01 17:00:00,58364,Prato
2022-02-02 17:00:00,58909,Prato
2022-02-03 17:00:00,59477,Prato
2022-02-04 17:00:00,59940,Prato
2022-02-05 17:00:00,60419,Prato
2022-02-06 17:00:00,60788,Prato
2022-02-07 17:00:00,60931,Prato
2022-02-08 17:00:00,61370,Prato
2022-02-09 17:00:00,61714,Prato
2022-02-10 17:00:00,62071,Prato
2022-02-11 17:00:00,62386,Prato
2022-02-12 17:00:00,62652,Prato
2022-02-13 17:00:00,62867,Prato
2022-02-14 17:00:00,62962,Prato
2022-02-15 17:00:00,63190,Prato
2022-02-16 17:00:00,63402,Prato
2022-02-17 17:00:00,63601,Prato
2022-02-18 17:00:00,63793,Prato
2022-02-19 17:00:00,63954,Prato
2022-02-20 17:00:00,64085,Prato
2022-02-21 17:00:00,64149,Prato
2022-02-22 17:00:00,64324,Prato
2022-02-23 17:00:00,64442,Prato
2022-02-24 17:00:00,64576,Prato
2022-02-25 17:00:00,64691,Prato
2022-02-26 17:00:00,64782,Prato
2022-02-27 17:00:00,64869,Prato
2022-02-28 17:00:00,64910,Prato
2022-03-01 17:00:00,65010,Prato
2022-03-02 17:00:00,65091,Prato
2022-03-03 17:00:00,65193,Prato
2022-03-04 17:00:00,65279,Prato
2022-03-05 17:00:00,65379,Prato
2022-03-06 17:00:00,65468,Prato
2022-03-07 17:00:00,65515,Prato
2022-03-08 17:00:00,65642,Prato
2022-03-09 17:00:00,65724,Prato
2022-03-10 17:00:00,65873,Prato
2022-03-11 17:00:00,65988,Prato
2022-03-12 17:00:00,66115,Prato
