data,totale_casi,denominazione_provincia
2022-01-01 17:00:00,22862,Ragusa
2022-01-02 17:00:00,23266,Ragusa
2022-01-03 17:00:00,23578,Ragusa
2022-01-04 17:00:00,24220,Ragusa
2022-01-05 17:00:00,24778,Ragusa
2022-01-06 17:00:00,25973,Ragusa
2022-01-07 17:00:00,26378,Ragusa
2022-01-08 17:00:00,27752,Ragusa
2022-01-09 17:00:00,28858,Ragusa
2022-01-10 17:00:00,29470,Ragusa
2022-01-11 17:00:00,30440,Ragusa
2022-01-12 17:00:00,31334,Ragusa
2022-01-13 17:00:00,32174,Ragusa
2022-01-14 17:00:00,32898,Ragusa
2022-01-15 17:00:00,33730,Ragusa
2022-01-16 17:00:00,34433,Ragusa
2022-01-17 17:00:00,34714,Ragusa
2022-01-18 17:00:00,35566,Ragusa
2022-01-19 17:00:00,36462,Ragusa
2022-01-20 17:00:00,37241,Ragusa
2022-01-21 17:00:00,37966,Ragusa
2022-01-22 17:00:00,38720,Ragusa
2022-01-23 17:00:00,39431,Ragusa
2022-01-24 17:00:00,39762,Ragusa
2022-01-25 17:00:00,40678,Ragusa
2022-01-26 17:00:00,41482,Ragusa
2022-01-27 17:00:00,42455,Ragusa
2022-01-28 17:00:00,43290,Ragusa
2022-01-29 17:00:00,44081,Ragusa
2022-01-30 17:00:00,44767,Ragusa
2022-01-31 17:00:00,45112,Ragusa
2022-02-01 17:00:00,45888,Ragusa
2022-02-02 17:00:00,46791,Ragusa
2022-02-03 17:00:00,47462,Ragusa
2022-02-04 17:00:00,48163,Ragusa
2022-02-05 17:00:00,48839,Ragusa
2022-02-06 17:00:00,49391,Ragusa
2022-02-07 17:00:00,49656,Ragusa
2022-02-08 17:00:00,50339,Ragusa
2022-02-09 17:00:00,51030,Ragusa
2022-02-10 17:00:00,51605,Ragusa
2022-02-11 17:00:00,52068,Ragusa
2022-02-12 17:00:00,52484,Ragusa
2022-02-13 17:00:00,52843,Ragusa
2022-02-14 17:00:00,53010,Ragusa
2022-02-15 17:00:00,53497,Ragusa
2022-02-16 17:00:00,53902,Ragusa
2022-02-17 17:00:00,54291,Ragusa
2022-02-18 17:00:00,54677,Ragusa
2022-02-19 17:00:00,55096,Ragusa
2022-02-20 17:00:00,55383,Ragusa
2022-02-21 17:00:00,55550,Ragusa
2022-02-22 17:00:00,56067,Ragusa
2022-02-23 17:00:00,56375,Ragusa
2022-02-24 17:00:00,56804,Ragusa
2022-02-25 17:00:00,57114,Ragusa
2022-02-26 17:00:00,57431,Ragusa
2022-02-27 17:00:00,57716,Ragusa
2022-02-28 17:00:00,57833,Ragusa
2022-03-01 17:00:00,58293,Ragusa
2022-03-02 17:00:00,58672,Ragusa
2022-03-03 17:00:00,59075,Ragusa
2022-03-04 17:00:00,59311,Ragusa
2022-03-05 17:00:00,59753,Ragusa
2022-03-06 17:00:00,60139,Ragusa
2022-03-07 17:00:00,60362,Ragusa
2022-03-08 17:00:00,61005,Ragusa
2022-03-09 17:00:00,61426,Ragusa
2022-03-10 17:00:00,61981,Ragusa
2022-03-11 17:00:00,62502,Ragusa
2022-03-12 17:00:00,63078,Ragusa
2022-03-13 17:00:00,63620,Ragusa
2022-03-14 17:00:00,63886,Ragusa
2022-03-15 17:00:00,64548,Ragusa
2022-03-16 17:00:00,65252,Ragusa
2022-03-17 17:00:00,65885,Ragusa
2022-03-18 17:00:00,66487,Ragusa
2022-03-19 17:00:00,67113,Ragusa
2022-03-20 17:00:00,67558,Ragusa
2022-03-21 17:00:00,67836,Ragusa
2022-03-22 17:00:00,68487,Ragusa
2022-03-23 17:00:00,69066,Ragusa
2022-03-24 17:00:00,69560,Ragusa
2022-03-25 17:00:00,70055,Ragusa
2022-03-26 17:00:00,70455,Ragusa
2022-03-27 17:00:00,70860,Ragusa
2022-03-28 17:00:00,70912,Ragusa
2022-03-29 17:00:00,71555,Ragusa
2022-03-30 17:00:00,71993,Ragusa
2022-03-31 17:00:00,72304,Ragusa
2022-04-01 17:00:00,72759,Ragusa
2022-04-02 17:00:00,73166,Ragusa
2022-04-03 17:00:00,73435,Ragusa
2022-04-04 17:00:00,73594,Ragusa
2022-04-05 17:00:00,74042,Ragusa
2022-04-06 17:00:00,74365,Ragusa
2022-04-07 17:00:00,74669,Ragusa
2022-04-08 17:00:00,74954,Ragusa
2022-04-09 17:00:00,75261,Ragusa
2022-04-10 17:00:00,75534,Ragusa
2022-04-11 17:00:00,75676,Ragusa
