data,totale_casi,denominazione_provincia
2022-01-01 17:00:00,47257,Ravenna
2022-01-02 17:00:00,48436,Ravenna
2022-01-03 17:00:00,49311,Ravenna
2022-01-04 17:00:00,50126,Ravenna
2022-01-05 17:00:00,51806,Ravenna
2022-01-06 17:00:00,54945,Ravenna
2022-01-07 17:00:00,56835,Ravenna
2022-01-08 17:00:00,58086,Ravenna
2022-01-09 17:00:00,60637,Ravenna
2022-01-10 17:00:00,61830,Ravenna
2022-01-11 17:00:00,63249,Ravenna
2022-01-12 17:00:00,64683,Ravenna
2022-01-13 17:00:00,67287,Ravenna
2022-01-14 17:00:00,69103,Ravenna
2022-01-15 17:00:00,70966,Ravenna
2022-01-16 17:00:00,72567,Ravenna
2022-01-17 17:00:00,73528,Ravenna
2022-01-18 17:00:00,74991,Ravenna
2022-01-19 17:00:00,77028,Ravenna
2022-01-20 17:00:00,79198,Ravenna
2022-01-21 17:00:00,81081,Ravenna
2022-01-22 17:00:00,83002,Ravenna
2022-01-23 17:00:00,84642,Ravenna
2022-01-24 17:00:00,86522,Ravenna
2022-01-25 17:00:00,87744,Ravenna
2022-01-26 17:00:00,89125,Ravenna
2022-01-27 17:00:00,91338,Ravenna
2022-01-28 17:00:00,92836,Ravenna
2022-01-29 17:00:00,94312,Ravenna
2022-01-30 17:00:00,95461,Ravenna
2022-01-31 17:00:00,96465,Ravenna
2022-02-01 17:00:00,96841,Ravenna
2022-02-02 17:00:00,97951,Ravenna
2022-02-03 17:00:00,99020,Ravenna
2022-02-04 17:00:00,99921,Ravenna
2022-02-05 17:00:00,100687,Ravenna
2022-02-06 17:00:00,101396,Ravenna
2022-02-07 17:00:00,101868,Ravenna
2022-02-08 17:00:00,102285,Ravenna
2022-02-09 17:00:00,103021,Ravenna
2022-02-10 17:00:00,103619,Ravenna
2022-02-11 17:00:00,104120,Ravenna
2022-02-12 17:00:00,104573,Ravenna
2022-02-13 17:00:00,104956,Ravenna
2022-02-14 17:00:00,105233,Ravenna
2022-02-15 17:00:00,105464,Ravenna
2022-02-16 17:00:00,105896,Ravenna
2022-02-17 17:00:00,106215,Ravenna
2022-02-18 17:00:00,106566,Ravenna
2022-02-19 17:00:00,106890,Ravenna
2022-02-20 17:00:00,107214,Ravenna
2022-02-21 17:00:00,107427,Ravenna
2022-02-22 17:00:00,107644,Ravenna
2022-02-23 17:00:00,107969,Ravenna
2022-02-24 17:00:00,108233,Ravenna
2022-02-25 17:00:00,108497,Ravenna
