data,totale_casi,denominazione_provincia
2022-01-01 17:00:00,64384,Reggio nell'Emilia
2022-01-02 17:00:00,65222,Reggio nell'Emilia
2022-01-03 17:00:00,65722,Reggio nell'Emilia
2022-01-04 17:00:00,66340,Reggio nell'Emilia
2022-01-05 17:00:00,67187,Reggio nell'Emilia
2022-01-06 17:00:00,73238,Reggio nell'Emilia
2022-01-07 17:00:00,74952,Reggio nell'Emilia
2022-01-08 17:00:00,75949,Reggio nell'Emilia
2022-01-09 17:00:00,77927,Reggio nell'Emilia
2022-01-10 17:00:00,79823,Reggio nell'Emilia
2022-01-11 17:00:00,80754,Reggio nell'Emilia
2022-01-12 17:00:00,83072,Reggio nell'Emilia
2022-01-13 17:00:00,85046,Reggio nell'Emilia
2022-01-14 17:00:00,86606,Reggio nell'Emilia
2022-01-15 17:00:00,88448,Reggio nell'Emilia
2022-01-16 17:00:00,90113,Reggio nell'Emilia
2022-01-17 17:00:00,90170,Reggio nell'Emilia
2022-01-18 17:00:00,92620,Reggio nell'Emilia
2022-01-19 17:00:00,95156,Reggio nell'Emilia
2022-01-20 17:00:00,97382,Reggio nell'Emilia
2022-01-21 17:00:00,99995,Reggio nell'Emilia
2022-01-22 17:00:00,102221,Reggio nell'Emilia
2022-01-23 17:00:00,104429,Reggio nell'Emilia
2022-01-24 17:00:00,106052,Reggio nell'Emilia
2022-01-25 17:00:00,106932,Reggio nell'Emilia
2022-01-26 17:00:00,109307,Reggio nell'Emilia
2022-01-27 17:00:00,111174,Reggio nell'Emilia
2022-01-28 17:00:00,113144,Reggio nell'Emilia
2022-01-29 17:00:00,114831,Reggio nell'Emilia
2022-01-30 17:00:00,116419,Reggio nell'Emilia
2022-01-31 17:00:00,117651,Reggio nell'Emilia
2022-02-01 17:00:00,118175,Reggio nell'Emilia
2022-02-02 17:00:00,119621,Reggio nell'Emilia
2022-02-03 17:00:00,120605,Reggio nell'Emilia
2022-02-04 17:00:00,121772,Reggio nell'Emilia
2022-02-05 17:00:00,122669,Reggio nell'Emilia
2022-02-06 17:00:00,123748,Reggio nell'Emilia
2022-02-07 17:00:00,124453,Reggio nell'Emilia
2022-02-08 17:00:00,124741,Reggio nell'Emilia
2022-02-09 17:00:00,125732,Reggio nell'Emilia
2022-02-10 17:00:00,126533,Reggio nell'Emilia
2022-02-11 17:00:00,127105,Reggio nell'Emilia
2022-02-12 17:00:00,127664,Reggio nell'Emilia
2022-02-13 17:00:00,128121,Reggio nell'Emilia
2022-02-14 17:00:00,128524,Reggio nell'Emilia
2022-02-15 17:00:00,128658,Reggio nell'Emilia
2022-02-16 17:00:00,129049,Reggio nell'Emilia
2022-02-17 17:00:00,129518,Reggio nell'Emilia
2022-02-18 17:00:00,129882,Reggio nell'Emilia
2022-02-19 17:00:00,130240,Reggio nell'Emilia
2022-02-20 17:00:00,130576,Reggio nell'Emilia
2022-02-21 17:00:00,130832,Reggio nell'Emilia
2022-02-22 17:00:00,130980,Reggio nell'Emilia
2022-02-23 17:00:00,131355,Reggio nell'Emilia
2022-02-24 17:00:00,131682,Reggio nell'Emilia
2022-02-25 17:00:00,132035,Reggio nell'Emilia
2022-02-26 17:00:00,132312,Reggio nell'Emilia
2022-02-27 17:00:00,132561,Reggio nell'Emilia
2022-02-28 17:00:00,132742,Reggio nell'Emilia
2022-03-01 17:00:00,132835,Reggio nell'Emilia
2022-03-02 17:00:00,133122,Reggio nell'Emilia
2022-03-03 17:00:00,133434,Reggio nell'Emilia
2022-03-04 17:00:00,133656,Reggio nell'Emilia
2022-03-05 17:00:00,133896,Reggio nell'Emilia
2022-03-06 17:00:00,134154,Reggio nell'Emilia
2022-03-07 17:00:00,134379,Reggio nell'Emilia
2022-03-08 17:00:00,134489,Reggio nell'Emilia
2022-03-09 17:00:00,134782,Reggio nell'Emilia
2022-03-10 17:00:00,135064,Reggio nell'Emilia
2022-03-11 17:00:00,135344,Reggio nell'Emilia
2022-03-12 17:00:00,135663,Reggio nell'Emilia
2022-03-13 17:00:00,135941,Reggio nell'Emilia
2022-03-14 17:00:00,136191,Reggio nell'Emilia
2022-03-15 17:00:00,136337,Reggio nell'Emilia
2022-03-16 17:00:00,136765,Reggio nell'Emilia
2022-03-17 17:00:00,137186,Reggio nell'Emilia
2022-03-18 17:00:00,137713,Reggio nell'Emilia
2022-03-19 17:00:00,138168,Reggio nell'Emilia
2022-03-20 17:00:00,138621,Reggio nell'Emilia
2022-03-21 17:00:00,138900,Reggio nell'Emilia
2022-03-22 17:00:00,139226,Reggio nell'Emilia
2022-03-23 17:00:00,139706,Reggio nell'Emilia
2022-03-24 17:00:00,140227,Reggio nell'Emilia
2022-03-25 17:00:00,140735,Reggio nell'Emilia
2022-03-26 17:00:00,141238,Reggio nell'Emilia
2022-03-27 17:00:00,141793,Reggio nell'Emilia
2022-03-28 17:00:00,142148,Reggio nell'Emilia
2022-03-29 17:00:00,142438,Reggio nell'Emilia
2022-03-30 17:00:00,143079,Reggio nell'Emilia
2022-03-31 17:00:00,143578,Reggio nell'Emilia
2022-04-01 17:00:00,144286,Reggio nell'Emilia
2022-04-02 17:00:00,144931,Reggio nell'Emilia
2022-04-03 17:00:00,145605,Reggio nell'Emilia
2022-04-04 17:00:00,146100,Reggio nell'Emilia
2022-04-05 17:00:00,146487,Reggio nell'Emilia
2022-04-06 17:00:00,147326,Reggio nell'Emilia
2022-04-07 17:00:00,148012,Reggio nell'Emilia
2022-04-08 17:00:00,148689,Reggio nell'Emilia
2022-04-09 17:00:00,149423,Reggio nell'Emilia
2022-04-10 17:00:00,150114,Reggio nell'Emilia
2022-04-11 17:00:00,150434,Reggio nell'Emilia
2022-04-12 17:00:00,150826,Reggio nell'Emilia
2022-04-13 17:00:00,151542,Reggio nell'Emilia
2022-04-14 17:00:00,152214,Reggio nell'Emilia
2022-04-15 17:00:00,152874,Reggio nell'Emilia
2022-04-16 17:00:00,153573,Reggio nell'Emilia
2022-04-17 17:00:00,154124,Reggio nell'Emilia
2022-04-18 17:00:00,154662,Reggio nell'Emilia
2022-04-19 17:00:00,154829,Reggio nell'Emilia
2022-04-20 17:00:00,155111,Reggio nell'Emilia
2022-04-21 17:00:00,156121,Reggio nell'Emilia
2022-04-22 17:00:00,156841,Reggio nell'Emilia
2022-04-23 17:00:00,157595,Reggio nell'Emilia
2022-04-24 17:00:00,158338,Reggio nell'Emilia
2022-04-25 17:00:00,158920,Reggio nell'Emilia
2022-04-26 17:00:00,159267,Reggio nell'Emilia
2022-04-27 17:00:00,159483,Reggio nell'Emilia
2022-04-28 17:00:00,160289,Reggio nell'Emilia
2022-04-29 17:00:00,161017,Reggio nell'Emilia
