data,totale_casi,denominazione_provincia
2022-01-01 17:00:00,14851,Rieti
2022-01-02 17:00:00,15004,Rieti
2022-01-03 17:00:00,15234,Rieti
2022-01-04 17:00:00,15653,Rieti
2022-01-05 17:00:00,16154,Rieti
2022-01-06 17:00:00,16648,Rieti
2022-01-07 17:00:00,16909,Rieti
2022-01-08 17:00:00,17322,Rieti
2022-01-09 17:00:00,17876,Rieti
2022-01-10 17:00:00,18131,Rieti
2022-01-11 17:00:00,18615,Rieti
2022-01-12 17:00:00,19106,Rieti
2022-01-13 17:00:00,19433,Rieti
2022-01-14 17:00:00,20077,Rieti
2022-01-15 17:00:00,20440,Rieti
2022-01-16 17:00:00,20905,Rieti
2022-01-17 17:00:00,21058,Rieti
2022-01-18 17:00:00,21426,Rieti
2022-01-19 17:00:00,21929,Rieti
2022-01-20 17:00:00,22150,Rieti
2022-01-21 17:00:00,22604,Rieti
2022-01-22 17:00:00,23089,Rieti
2022-01-23 17:00:00,23342,Rieti
2022-01-24 17:00:00,23508,Rieti
2022-01-25 17:00:00,23861,Rieti
2022-01-26 17:00:00,24155,Rieti
2022-01-27 17:00:00,24605,Rieti
2022-01-28 17:00:00,24883,Rieti
2022-01-29 17:00:00,25158,Rieti
2022-01-30 17:00:00,25453,Rieti
2022-01-31 17:00:00,25498,Rieti
2022-02-01 17:00:00,25799,Rieti
2022-02-02 17:00:00,26087,Rieti
2022-02-03 17:00:00,26357,Rieti
2022-02-04 17:00:00,26847,Rieti
2022-02-05 17:00:00,27145,Rieti
2022-02-06 17:00:00,27316,Rieti
2022-02-07 17:00:00,27528,Rieti
2022-02-08 17:00:00,27844,Rieti
2022-02-09 17:00:00,28251,Rieti
2022-02-10 17:00:00,28416,Rieti
2022-02-11 17:00:00,28674,Rieti
2022-02-12 17:00:00,28911,Rieti
2022-02-13 17:00:00,29135,Rieti
2022-02-14 17:00:00,29227,Rieti
2022-02-15 17:00:00,29436,Rieti
2022-02-16 17:00:00,29647,Rieti
2022-02-17 17:00:00,29868,Rieti
2022-02-18 17:00:00,30038,Rieti
2022-02-19 17:00:00,30181,Rieti
2022-02-20 17:00:00,30386,Rieti
2022-02-21 17:00:00,30464,Rieti
2022-02-22 17:00:00,30735,Rieti
2022-02-23 17:00:00,30986,Rieti
2022-02-24 17:00:00,31146,Rieti
2022-02-25 17:00:00,31303,Rieti
2022-02-26 17:00:00,31438,Rieti
2022-02-27 17:00:00,31576,Rieti
2022-02-28 17:00:00,31594,Rieti
2022-03-01 17:00:00,31755,Rieti
2022-03-02 17:00:00,31848,Rieti
2022-03-03 17:00:00,32028,Rieti
2022-03-04 17:00:00,32117,Rieti
2022-03-05 17:00:00,32231,Rieti
2022-03-06 17:00:00,32368,Rieti
2022-03-07 17:00:00,32431,Rieti
2022-03-08 17:00:00,32609,Rieti
2022-03-09 17:00:00,32817,Rieti
2022-03-10 17:00:00,33002,Rieti
2022-03-11 17:00:00,33201,Rieti
2022-03-12 17:00:00,33312,Rieti
2022-03-13 17:00:00,33595,Rieti
2022-03-14 17:00:00,33683,Rieti
2022-03-15 17:00:00,34040,Rieti
2022-03-16 17:00:00,34307,Rieti
2022-03-17 17:00:00,34624,Rieti
2022-03-18 17:00:00,34947,Rieti
2022-03-19 17:00:00,35210,Rieti
2022-03-20 17:00:00,35562,Rieti
2022-03-21 17:00:00,35688,Rieti
2022-03-22 17:00:00,36077,Rieti
2022-03-23 17:00:00,36402,Rieti
2022-03-24 17:00:00,36711,Rieti
2022-03-25 17:00:00,37080,Rieti
2022-03-26 17:00:00,37310,Rieti
2022-03-27 17:00:00,37479,Rieti
2022-03-28 17:00:00,37688,Rieti
2022-03-29 17:00:00,38064,Rieti
2022-03-30 17:00:00,38326,Rieti
2022-03-31 17:00:00,38531,Rieti
2022-04-01 17:00:00,38873,Rieti
2022-04-02 17:00:00,39084,Rieti
2022-04-03 17:00:00,39279,Rieti
2022-04-04 17:00:00,39358,Rieti
2022-04-05 17:00:00,39636,Rieti
2022-04-06 17:00:00,39889,Rieti
2022-04-07 17:00:00,40085,Rieti
2022-04-08 17:00:00,40276,Rieti
2022-04-09 17:00:00,40409,Rieti
2022-04-10 17:00:00,40673,Rieti
2022-04-11 17:00:00,40807,Rieti
2022-04-12 17:00:00,41076,Rieti
2022-04-13 17:00:00,41300,Rieti
2022-04-14 17:00:00,41489,Rieti
2022-04-15 17:00:00,41673,Rieti
2022-04-16 17:00:00,41863,Rieti
2022-04-17 17:00:00,42032,Rieti
2022-04-18 17:00:00,42091,Rieti
2022-04-19 17:00:00,42179,Rieti
2022-04-20 17:00:00,42521,Rieti
2022-04-21 17:00:00,42808,Rieti
2022-04-22 17:00:00,43033,Rieti
2022-04-23 17:00:00,43314,Rieti
2022-04-24 17:00:00,43515,Rieti
2022-04-25 17:00:00,43560,Rieti
2022-04-26 17:00:00,43646,Rieti
2022-04-27 17:00:00,44017,Rieti
2022-04-28 17:00:00,44216,Rieti
2022-04-29 17:00:00,44440,Rieti
2022-04-30 17:00:00,44523,Rieti
2022-05-01 17:00:00,44697,Rieti
2022-05-02 17:00:00,44794,Rieti
2022-05-03 17:00:00,44979,Rieti
2022-05-04 17:00:00,45134,Rieti
2022-05-05 17:00:00,45242,Rieti
2022-05-06 17:00:00,45383,Rieti
2022-05-07 17:00:00,45452,Rieti
2022-05-08 17:00:00,45556,Rieti
2022-05-09 17:00:00,45623,Rieti
2022-05-10 17:00:00,45785,Rieti
2022-05-11 17:00:00,45916,Rieti
2022-05-12 17:00:00,46050,Rieti
2022-05-13 17:00:00,46133,Rieti
2022-05-14 17:00:00,46251,Rieti
2022-05-15 17:00:00,46360,Rieti
2022-05-16 17:00:00,46404,Rieti
2022-05-17 17:00:00,46521,Rieti
2022-05-18 17:00:00,46614,Rieti
2022-05-19 17:00:00,46719,Rieti
2022-05-20 17:00:00,46786,Rieti
2022-05-21 17:00:00,46831,Rieti
2022-05-22 17:00:00,46876,Rieti
2022-05-23 17:00:00,46919,Rieti
2022-05-24 17:00:00,47008,Rieti
2022-05-25 17:00:00,47103,Rieti
2022-05-26 17:00:00,47173,Rieti
2022-05-27 17:00:00,47247,Rieti
2022-05-28 17:00:00,47290,Rieti
2022-05-29 17:00:00,47305,Rieti
2022-05-30 17:00:00,47355,Rieti
2022-05-31 17:00:00,47416,Rieti
2022-06-01 17:00:00,47496,Rieti
2022-06-02 17:00:00,47573,Rieti
2022-06-03 17:00:00,47593,Rieti
2022-06-04 17:00:00,47670,Rieti
2022-06-05 17:00:00,47737,Rieti
2022-06-06 17:00:00,47767,Rieti
2022-06-07 17:00:00,47855,Rieti
2022-06-08 17:00:00,47923,Rieti
2022-06-09 17:00:00,47972,Rieti
2022-06-10 17:00:00,48015,Rieti
2022-06-11 17:00:00,48058,Rieti
2022-06-12 17:00:00,48098,Rieti
2022-06-13 17:00:00,48127,Rieti
2022-06-14 17:00:00,48224,Rieti
2022-06-15 17:00:00,48309,Rieti
2022-06-16 17:00:00,48370,Rieti
2022-06-17 17:00:00,48463,Rieti
2022-06-18 17:00:00,48530,Rieti
2022-06-19 17:00:00,48650,Rieti
2022-06-20 17:00:00,48681,Rieti
2022-06-21 17:00:00,48815,Rieti
2022-06-22 17:00:00,48946,Rieti
2022-06-23 17:00:00,49067,Rieti
2022-06-24 17:00:00,49211,Rieti
2022-06-25 17:00:00,49341,Rieti
2022-06-26 17:00:00,49476,Rieti
2022-06-27 17:00:00,49522,Rieti
2022-06-28 17:00:00,49776,Rieti
2022-06-29 17:00:00,49964,Rieti
2022-06-30 17:00:00,50185,Rieti
2022-07-01 17:00:00,50404,Rieti
2022-07-02 17:00:00,50534,Rieti
2022-07-03 17:00:00,50744,Rieti
2022-07-04 17:00:00,50872,Rieti
2022-07-05 17:00:00,51172,Rieti
2022-07-06 17:00:00,51451,Rieti
2022-07-07 17:00:00,51688,Rieti
2022-07-08 17:00:00,51889,Rieti
2022-07-09 17:00:00,52088,Rieti
2022-07-10 17:00:00,52242,Rieti
2022-07-11 17:00:00,52353,Rieti
2022-07-12 17:00:00,52664,Rieti
2022-07-13 17:00:00,52879,Rieti
2022-07-14 17:00:00,53231,Rieti
2022-07-15 17:00:00,53453,Rieti
2022-07-16 17:00:00,53669,Rieti
2022-07-17 17:00:00,53905,Rieti
2022-07-18 17:00:00,53988,Rieti
2022-07-19 17:00:00,54261,Rieti
2022-07-20 17:00:00,54442,Rieti
2022-07-21 17:00:00,54632,Rieti
2022-07-22 17:00:00,54845,Rieti
2022-07-23 17:00:00,55057,Rieti
2022-07-24 17:00:00,55228,Rieti
2022-07-25 17:00:00,55293,Rieti
2022-07-26 17:00:00,55528,Rieti
2022-07-27 17:00:00,55707,Rieti
2022-07-28 17:00:00,55863,Rieti
2022-07-29 17:00:00,56010,Rieti
2022-07-30 17:00:00,56122,Rieti
2022-07-31 17:00:00,56251,Rieti
2022-08-01 17:00:00,56316,Rieti
2022-08-02 17:00:00,56429,Rieti
2022-08-03 17:00:00,56596,Rieti
2022-08-04 17:00:00,56758,Rieti
