data,totale_casi,denominazione_provincia
2022-01-01 17:00:00,378572,Roma
2022-01-02 17:00:00,385350,Roma
2022-01-03 17:00:00,390095,Roma
2022-01-04 17:00:00,396265,Roma
2022-01-05 17:00:00,409213,Roma
2022-01-06 17:00:00,419733,Roma
2022-01-07 17:00:00,430015,Roma
2022-01-08 17:00:00,441593,Roma
2022-01-09 17:00:00,449759,Roma
2022-01-10 17:00:00,457472,Roma
2022-01-11 17:00:00,466386,Roma
2022-01-12 17:00:00,475149,Roma
2022-01-13 17:00:00,483011,Roma
2022-01-14 17:00:00,494488,Roma
2022-01-15 17:00:00,503654,Roma
2022-01-16 17:00:00,513565,Roma
2022-01-17 17:00:00,518823,Roma
2022-01-18 17:00:00,528170,Roma
2022-01-19 17:00:00,539119,Roma
2022-01-20 17:00:00,549275,Roma
2022-01-21 17:00:00,561254,Roma
2022-01-22 17:00:00,572415,Roma
2022-01-23 17:00:00,582069,Roma
2022-01-24 17:00:00,588453,Roma
2022-01-25 17:00:00,601306,Roma
2022-01-26 17:00:00,612913,Roma
2022-01-27 17:00:00,623019,Roma
2022-01-28 17:00:00,632781,Roma
2022-01-29 17:00:00,641955,Roma
2022-01-30 17:00:00,650637,Roma
2022-01-31 17:00:00,656135,Roma
2022-02-01 17:00:00,664499,Roma
2022-02-02 17:00:00,672367,Roma
2022-02-03 17:00:00,681016,Roma
2022-02-04 17:00:00,688855,Roma
2022-02-05 17:00:00,695497,Roma
2022-02-06 17:00:00,701751,Roma
2022-02-07 17:00:00,706075,Roma
2022-02-08 17:00:00,713453,Roma
2022-02-09 17:00:00,719099,Roma
2022-02-10 17:00:00,725283,Roma
2022-02-11 17:00:00,730172,Roma
2022-02-12 17:00:00,735280,Roma
2022-02-13 17:00:00,739340,Roma
2022-02-14 17:00:00,742289,Roma
2022-02-15 17:00:00,747445,Roma
2022-02-16 17:00:00,752076,Roma
2022-02-17 17:00:00,756735,Roma
2022-02-18 17:00:00,761583,Roma
2022-02-19 17:00:00,765677,Roma
2022-02-20 17:00:00,769245,Roma
2022-02-21 17:00:00,771847,Roma
2022-02-22 17:00:00,776360,Roma
2022-02-23 17:00:00,780523,Roma
2022-02-24 17:00:00,784439,Roma
2022-02-25 17:00:00,788071,Roma
2022-02-26 17:00:00,791416,Roma
2022-02-27 17:00:00,794246,Roma
2022-02-28 17:00:00,796143,Roma
2022-03-01 17:00:00,799279,Roma
2022-03-02 17:00:00,800926,Roma
2022-03-03 17:00:00,804407,Roma
2022-03-04 17:00:00,807077,Roma
2022-03-05 17:00:00,809906,Roma
2022-03-06 17:00:00,812644,Roma
2022-03-07 17:00:00,814536,Roma
2022-03-08 17:00:00,818732,Roma
2022-03-09 17:00:00,822788,Roma
2022-03-10 17:00:00,827049,Roma
2022-03-11 17:00:00,831419,Roma
2022-03-12 17:00:00,835879,Roma
2022-03-13 17:00:00,840533,Roma
2022-03-14 17:00:00,843485,Roma
2022-03-15 17:00:00,850607,Roma
2022-03-16 17:00:00,856990,Roma
2022-03-17 17:00:00,863578,Roma
2022-03-18 17:00:00,869939,Roma
2022-03-19 17:00:00,876322,Roma
2022-03-20 17:00:00,881598,Roma
2022-03-21 17:00:00,884990,Roma
2022-03-22 17:00:00,892485,Roma
2022-03-23 17:00:00,898591,Roma
2022-03-24 17:00:00,905198,Roma
2022-03-25 17:00:00,911425,Roma
2022-03-26 17:00:00,917440,Roma
2022-03-27 17:00:00,922813,Roma
2022-03-28 17:00:00,926323,Roma
2022-03-29 17:00:00,934202,Roma
2022-03-30 17:00:00,940718,Roma
2022-03-31 17:00:00,947677,Roma
2022-04-01 17:00:00,953797,Roma
2022-04-02 17:00:00,960421,Roma
2022-04-03 17:00:00,965261,Roma
2022-04-04 17:00:00,968467,Roma
2022-04-05 17:00:00,975576,Roma
2022-04-06 17:00:00,981296,Roma
2022-04-07 17:00:00,986776,Roma
2022-04-08 17:00:00,991799,Roma
2022-04-09 17:00:00,997293,Roma
2022-04-10 17:00:00,1001800,Roma
2022-04-11 17:00:00,1004842,Roma
2022-04-12 17:00:00,1011282,Roma
2022-04-13 17:00:00,1016070,Roma
2022-04-14 17:00:00,1021274,Roma
2022-04-15 17:00:00,1026525,Roma
2022-04-16 17:00:00,1031728,Roma
2022-04-17 17:00:00,1036352,Roma
2022-04-18 17:00:00,1038012,Roma
2022-04-19 17:00:00,1040207,Roma
2022-04-20 17:00:00,1047672,Roma
2022-04-21 17:00:00,1053866,Roma
2022-04-22 17:00:00,1059243,Roma
2022-04-23 17:00:00,1064182,Roma
2022-04-24 17:00:00,1068437,Roma
2022-04-25 17:00:00,1070732,Roma
2022-04-26 17:00:00,1073417,Roma
2022-04-27 17:00:00,1079354,Roma
2022-04-28 17:00:00,1083983,Roma
2022-04-29 17:00:00,1087742,Roma
2022-04-30 17:00:00,1091805,Roma
2022-05-01 17:00:00,1094868,Roma
2022-05-02 17:00:00,1096397,Roma
2022-05-03 17:00:00,1100175,Roma
2022-05-04 17:00:00,1103313,Roma
2022-05-05 17:00:00,1106183,Roma
2022-05-06 17:00:00,1108912,Roma
2022-05-07 17:00:00,1111524,Roma
2022-05-08 17:00:00,1113978,Roma
2022-05-09 17:00:00,1115387,Roma
2022-05-10 17:00:00,1118717,Roma
2022-05-11 17:00:00,1121490,Roma
2022-05-12 17:00:00,1124191,Roma
2022-05-13 17:00:00,1126691,Roma
2022-05-14 17:00:00,1129195,Roma
2022-05-15 17:00:00,1131449,Roma
2022-05-16 17:00:00,1132923,Roma
2022-05-17 17:00:00,1135933,Roma
2022-05-18 17:00:00,1138051,Roma
2022-05-19 17:00:00,1140302,Roma
2022-05-20 17:00:00,1142335,Roma
2022-05-21 17:00:00,1144235,Roma
2022-05-22 17:00:00,1145580,Roma
2022-05-23 17:00:00,1146715,Roma
2022-05-24 17:00:00,1149195,Roma
2022-05-25 17:00:00,1151067,Roma
2022-05-26 17:00:00,1153116,Roma
2022-05-27 17:00:00,1155062,Roma
2022-05-28 17:00:00,1156886,Roma
2022-05-29 17:00:00,1158507,Roma
2022-05-30 17:00:00,1159585,Roma
2022-05-31 17:00:00,1162131,Roma
2022-06-01 17:00:00,1164158,Roma
2022-06-02 17:00:00,1166268,Roma
2022-06-03 17:00:00,1167215,Roma
2022-06-04 17:00:00,1169384,Roma
2022-06-05 17:00:00,1170996,Roma
2022-06-06 17:00:00,1172230,Roma
2022-06-07 17:00:00,1175123,Roma
2022-06-08 17:00:00,1177416,Roma
2022-06-09 17:00:00,1179784,Roma
2022-06-10 17:00:00,1181996,Roma
2022-06-11 17:00:00,1184412,Roma
2022-06-12 17:00:00,1186608,Roma
2022-06-13 17:00:00,1188137,Roma
2022-06-14 17:00:00,1192129,Roma
2022-06-15 17:00:00,1194963,Roma
2022-06-16 17:00:00,1198697,Roma
2022-06-17 17:00:00,1202567,Roma
2022-06-18 17:00:00,1206798,Roma
2022-06-19 17:00:00,1210736,Roma
2022-06-20 17:00:00,1213102,Roma
2022-06-21 17:00:00,1218994,Roma
2022-06-22 17:00:00,1224271,Roma
2022-06-23 17:00:00,1229812,Roma
2022-06-24 17:00:00,1235393,Roma
2022-06-25 17:00:00,1240927,Roma
2022-06-26 17:00:00,1246280,Roma
2022-06-27 17:00:00,1249487,Roma
2022-06-28 17:00:00,1257935,Roma
2022-06-29 17:00:00,1265880,Roma
