data,totale_casi,denominazione_provincia
2022-01-01 17:00:00,24709,Sassari
2022-01-02 17:00:00,25039,Sassari
2022-01-03 17:00:00,25232,Sassari
2022-01-04 17:00:00,25492,Sassari
2022-01-05 17:00:00,25859,Sassari
2022-01-06 17:00:00,26378,Sassari
2022-01-07 17:00:00,26731,Sassari
2022-01-08 17:00:00,27221,Sassari
2022-01-09 17:00:00,27580,Sassari
2022-01-10 17:00:00,27868,Sassari
2022-01-11 17:00:00,28089,Sassari
2022-01-12 17:00:00,28498,Sassari
2022-01-13 17:00:00,28862,Sassari
2022-01-14 17:00:00,29231,Sassari
2022-01-15 17:00:00,29468,Sassari
2022-01-16 17:00:00,29705,Sassari
2022-01-17 17:00:00,29830,Sassari
2022-01-18 17:00:00,29993,Sassari
2022-01-19 17:00:00,30295,Sassari
2022-01-20 17:00:00,30552,Sassari
2022-01-21 17:00:00,30794,Sassari
2022-01-22 17:00:00,30963,Sassari
2022-01-23 17:00:00,31166,Sassari
2022-01-24 17:00:00,31524,Sassari
2022-01-25 17:00:00,31640,Sassari
2022-01-26 17:00:00,31915,Sassari
2022-01-27 17:00:00,32218,Sassari
2022-01-28 17:00:00,32556,Sassari
2022-01-29 17:00:00,32782,Sassari
2022-01-30 17:00:00,33074,Sassari
2022-01-31 17:00:00,33174,Sassari
2022-02-01 17:00:00,33291,Sassari
2022-02-02 17:00:00,33570,Sassari
2022-02-03 17:00:00,33819,Sassari
2022-02-04 17:00:00,34187,Sassari
2022-02-05 17:00:00,35277,Sassari
2022-02-06 17:00:00,36162,Sassari
2022-02-07 17:00:00,36398,Sassari
2022-02-08 17:00:00,36970,Sassari
2022-02-09 17:00:00,37750,Sassari
2022-02-10 17:00:00,38205,Sassari
2022-02-11 17:00:00,38792,Sassari
2022-02-12 17:00:00,39312,Sassari
2022-02-13 17:00:00,39792,Sassari
2022-02-14 17:00:00,39941,Sassari
2022-02-15 17:00:00,40624,Sassari
2022-02-16 17:00:00,41108,Sassari
2022-02-17 17:00:00,41579,Sassari
2022-02-18 17:00:00,41991,Sassari
2022-02-19 17:00:00,42436,Sassari
2022-02-20 17:00:00,42779,Sassari
2022-02-21 17:00:00,42925,Sassari
