data,totale_casi,denominazione_provincia
2022-01-01 17:00:00,24431,Savona
2022-01-02 17:00:00,24501,Savona
2022-01-03 17:00:00,24670,Savona
2022-01-04 17:00:00,24864,Savona
2022-01-05 17:00:00,25209,Savona
2022-01-06 17:00:00,25986,Savona
2022-01-07 17:00:00,26557,Savona
2022-01-08 17:00:00,26824,Savona
2022-01-09 17:00:00,27140,Savona
2022-01-10 17:00:00,29895,Savona
2022-01-11 17:00:00,31250,Savona
2022-01-12 17:00:00,32105,Savona
2022-01-13 17:00:00,32914,Savona
2022-01-14 17:00:00,33794,Savona
2022-01-15 17:00:00,34712,Savona
2022-01-16 17:00:00,35545,Savona
2022-01-17 17:00:00,36128,Savona
2022-01-18 17:00:00,37417,Savona
2022-01-19 17:00:00,38383,Savona
2022-01-20 17:00:00,39429,Savona
2022-01-21 17:00:00,40300,Savona
2022-01-22 17:00:00,41198,Savona
2022-01-23 17:00:00,42015,Savona
2022-01-24 17:00:00,42494,Savona
2022-01-25 17:00:00,43596,Savona
2022-01-26 17:00:00,44555,Savona
2022-01-27 17:00:00,45490,Savona
2022-01-28 17:00:00,46273,Savona
2022-01-29 17:00:00,47056,Savona
2022-01-30 17:00:00,47717,Savona
2022-01-31 17:00:00,48080,Savona
2022-02-01 17:00:00,48834,Savona
2022-02-02 17:00:00,49535,Savona
2022-02-03 17:00:00,50147,Savona
2022-02-04 17:00:00,50672,Savona
2022-02-05 17:00:00,51181,Savona
2022-02-06 17:00:00,51522,Savona
2022-02-07 17:00:00,51744,Savona
2022-02-08 17:00:00,52276,Savona
2022-02-09 17:00:00,52631,Savona
2022-02-10 17:00:00,53047,Savona
2022-02-11 17:00:00,53372,Savona
2022-02-12 17:00:00,53673,Savona
2022-02-13 17:00:00,53866,Savona
2022-02-14 17:00:00,53996,Savona
2022-02-15 17:00:00,54245,Savona
2022-02-16 17:00:00,54482,Savona
2022-02-17 17:00:00,54700,Savona
2022-02-18 17:00:00,54939,Savona
2022-02-19 17:00:00,55124,Savona
2022-02-20 17:00:00,55285,Savona
2022-02-21 17:00:00,55418,Savona
2022-02-22 17:00:00,55630,Savona
2022-02-23 17:00:00,55807,Savona
2022-02-24 17:00:00,56013,Savona
2022-02-25 17:00:00,56202,Savona
2022-02-26 17:00:00,56369,Savona
2022-02-27 17:00:00,56471,Savona
2022-02-28 17:00:00,56559,Savona
2022-03-01 17:00:00,56753,Savona
2022-03-02 17:00:00,56909,Savona
2022-03-03 17:00:00,57104,Savona
2022-03-04 17:00:00,57250,Savona
2022-03-05 17:00:00,57399,Savona
2022-03-06 17:00:00,57546,Savona
2022-03-07 17:00:00,57633,Savona
2022-03-08 17:00:00,57874,Savona
2022-03-09 17:00:00,58028,Savona
2022-03-10 17:00:00,58233,Savona
2022-03-11 17:00:00,58432,Savona
2022-03-12 17:00:00,58637,Savona
2022-03-13 17:00:00,58782,Savona
2022-03-14 17:00:00,58888,Savona
2022-03-15 17:00:00,59190,Savona
2022-03-16 17:00:00,59436,Savona
2022-03-17 17:00:00,59755,Savona
2022-03-18 17:00:00,59973,Savona
2022-03-19 17:00:00,60244,Savona
2022-03-20 17:00:00,60416,Savona
2022-03-21 17:00:00,60556,Savona
2022-03-22 17:00:00,60921,Savona
2022-03-23 17:00:00,61122,Savona
2022-03-24 17:00:00,61358,Savona
2022-03-25 17:00:00,61593,Savona
2022-03-26 17:00:00,61837,Savona
2022-03-27 17:00:00,62025,Savona
2022-03-28 17:00:00,62140,Savona
2022-03-29 17:00:00,62458,Savona
2022-03-30 17:00:00,62692,Savona
2022-03-31 17:00:00,62908,Savona
2022-04-01 17:00:00,63127,Savona
2022-04-02 17:00:00,63388,Savona
2022-04-03 17:00:00,63524,Savona
2022-04-04 17:00:00,63622,Savona
2022-04-05 17:00:00,63891,Savona
2022-04-06 17:00:00,64085,Savona
2022-04-07 17:00:00,64307,Savona
2022-04-08 17:00:00,64499,Savona
2022-04-09 17:00:00,64713,Savona
2022-04-10 17:00:00,64847,Savona
2022-04-11 17:00:00,64936,Savona
2022-04-12 17:00:00,65227,Savona
2022-04-13 17:00:00,65427,Savona
2022-04-14 17:00:00,65644,Savona
2022-04-15 17:00:00,65858,Savona
2022-04-16 17:00:00,66041,Savona
2022-04-17 17:00:00,66212,Savona
2022-04-18 17:00:00,66271,Savona
2022-04-19 17:00:00,66390,Savona
2022-04-20 17:00:00,66729,Savona
2022-04-21 17:00:00,66921,Savona
2022-04-22 17:00:00,67159,Savona
2022-04-23 17:00:00,67379,Savona
2022-04-24 17:00:00,67517,Savona
2022-04-25 17:00:00,67607,Savona
2022-04-26 17:00:00,67737,Savona
2022-04-27 17:00:00,68044,Savona
2022-04-28 17:00:00,68273,Savona
2022-04-29 17:00:00,68472,Savona
2022-04-30 17:00:00,68664,Savona
2022-05-01 17:00:00,68791,Savona
2022-05-02 17:00:00,68843,Savona
2022-05-03 17:00:00,69065,Savona
2022-05-04 17:00:00,69206,Savona
2022-05-05 17:00:00,69367,Savona
2022-05-06 17:00:00,69533,Savona
2022-05-07 17:00:00,69649,Savona
2022-05-08 17:00:00,69770,Savona
2022-05-09 17:00:00,69825,Savona
2022-05-10 17:00:00,69989,Savona
2022-05-11 17:00:00,70100,Savona
2022-05-12 17:00:00,70240,Savona
2022-05-13 17:00:00,70338,Savona
2022-05-14 17:00:00,70431,Savona
2022-05-15 17:00:00,70491,Savona
2022-05-16 17:00:00,70529,Savona
2022-05-17 17:00:00,70649,Savona
2022-05-18 17:00:00,70759,Savona
2022-05-19 17:00:00,70849,Savona
2022-05-20 17:00:00,70924,Savona
2022-05-21 17:00:00,71003,Savona
2022-05-22 17:00:00,71089,Savona
2022-05-23 17:00:00,71114,Savona
2022-05-24 17:00:00,71249,Savona
2022-05-25 17:00:00,71341,Savona
2022-05-26 17:00:00,71425,Savona
2022-05-27 17:00:00,71498,Savona
2022-05-28 17:00:00,71557,Savona
2022-05-29 17:00:00,71598,Savona
2022-05-30 17:00:00,71621,Savona
2022-05-31 17:00:00,71700,Savona
2022-06-01 17:00:00,71764,Savona
2022-06-02 17:00:00,71830,Savona
2022-06-03 17:00:00,71852,Savona
2022-06-04 17:00:00,71929,Savona
2022-06-05 17:00:00,71985,Savona
2022-06-06 17:00:00,72017,Savona
2022-06-07 17:00:00,72103,Savona
