data,totale_casi,denominazione_provincia
2022-01-01 17:00:00,25786,Siena
2022-01-02 17:00:00,26413,Siena
2022-01-03 17:00:00,26998,Siena
2022-01-04 17:00:00,28463,Siena
2022-01-05 17:00:00,29549,Siena
2022-01-06 17:00:00,30521,Siena
2022-01-07 17:00:00,30958,Siena
2022-01-08 17:00:00,32005,Siena
2022-01-09 17:00:00,32751,Siena
2022-01-10 17:00:00,33091,Siena
2022-01-11 17:00:00,34113,Siena
2022-01-12 17:00:00,34851,Siena
2022-01-13 17:00:00,35621,Siena
2022-01-14 17:00:00,36255,Siena
2022-01-15 17:00:00,36953,Siena
2022-01-16 17:00:00,37520,Siena
2022-01-17 17:00:00,37819,Siena
2022-01-18 17:00:00,38603,Siena
2022-01-19 17:00:00,39362,Siena
2022-01-20 17:00:00,40038,Siena
2022-01-21 17:00:00,40793,Siena
2022-01-22 17:00:00,41438,Siena
2022-01-23 17:00:00,42007,Siena
2022-01-24 17:00:00,42423,Siena
2022-01-25 17:00:00,43112,Siena
2022-01-26 17:00:00,43594,Siena
2022-01-27 17:00:00,44483,Siena
2022-01-28 17:00:00,45004,Siena
2022-01-29 17:00:00,45531,Siena
2022-01-30 17:00:00,46017,Siena
2022-01-31 17:00:00,46261,Siena
2022-02-01 17:00:00,46848,Siena
2022-02-02 17:00:00,47373,Siena
2022-02-03 17:00:00,47857,Siena
2022-02-04 17:00:00,48240,Siena
2022-02-05 17:00:00,48674,Siena
2022-02-06 17:00:00,49120,Siena
2022-02-07 17:00:00,49303,Siena
2022-02-08 17:00:00,49741,Siena
2022-02-09 17:00:00,50068,Siena
2022-02-10 17:00:00,50358,Siena
2022-02-11 17:00:00,50624,Siena
2022-02-12 17:00:00,50902,Siena
2022-02-13 17:00:00,51116,Siena
2022-02-14 17:00:00,51234,Siena
2022-02-15 17:00:00,51514,Siena
2022-02-16 17:00:00,51816,Siena
2022-02-17 17:00:00,52107,Siena
2022-02-18 17:00:00,52335,Siena
2022-02-19 17:00:00,52563,Siena
2022-02-20 17:00:00,52797,Siena
2022-02-21 17:00:00,52900,Siena
2022-02-22 17:00:00,53253,Siena
2022-02-23 17:00:00,53551,Siena
2022-02-24 17:00:00,53802,Siena
2022-02-25 17:00:00,54056,Siena
2022-02-26 17:00:00,54300,Siena
2022-02-27 17:00:00,54518,Siena
2022-02-28 17:00:00,54636,Siena
2022-03-01 17:00:00,54979,Siena
2022-03-02 17:00:00,55283,Siena
2022-03-03 17:00:00,55557,Siena
2022-03-04 17:00:00,55863,Siena
2022-03-05 17:00:00,56124,Siena
2022-03-06 17:00:00,56307,Siena
2022-03-07 17:00:00,56484,Siena
2022-03-08 17:00:00,56880,Siena
2022-03-09 17:00:00,57223,Siena
2022-03-10 17:00:00,57665,Siena
2022-03-11 17:00:00,58094,Siena
2022-03-12 17:00:00,58599,Siena
2022-03-13 17:00:00,59000,Siena
2022-03-14 17:00:00,59169,Siena
2022-03-15 17:00:00,59891,Siena
2022-03-16 17:00:00,60460,Siena
2022-03-17 17:00:00,60965,Siena
2022-03-18 17:00:00,61590,Siena
2022-03-19 17:00:00,62192,Siena
2022-03-20 17:00:00,62617,Siena
2022-03-21 17:00:00,62823,Siena
2022-03-22 17:00:00,63532,Siena
2022-03-23 17:00:00,64057,Siena
2022-03-24 17:00:00,64532,Siena
2022-03-25 17:00:00,65030,Siena
2022-03-26 17:00:00,65438,Siena
2022-03-27 17:00:00,65731,Siena
2022-03-28 17:00:00,65914,Siena
2022-03-29 17:00:00,66423,Siena
2022-03-30 17:00:00,66809,Siena
2022-03-31 17:00:00,67266,Siena
2022-04-01 17:00:00,67659,Siena
2022-04-02 17:00:00,68018,Siena
2022-04-03 17:00:00,68321,Siena
2022-04-04 17:00:00,68460,Siena
2022-04-05 17:00:00,68932,Siena
2022-04-06 17:00:00,69275,Siena
2022-04-07 17:00:00,69622,Siena
2022-04-08 17:00:00,70016,Siena
2022-04-09 17:00:00,70379,Siena
2022-04-10 17:00:00,70712,Siena
2022-04-11 17:00:00,70861,Siena
2022-04-12 17:00:00,71325,Siena
2022-04-13 17:00:00,71686,Siena
2022-04-14 17:00:00,71996,Siena
2022-04-15 17:00:00,72326,Siena
2022-04-16 17:00:00,72651,Siena
2022-04-17 17:00:00,72954,Siena
2022-04-18 17:00:00,73028,Siena
2022-04-19 17:00:00,73128,Siena
2022-04-20 17:00:00,73674,Siena
2022-04-21 17:00:00,74032,Siena
2022-04-22 17:00:00,74387,Siena
2022-04-23 17:00:00,74692,Siena
2022-04-24 17:00:00,75000,Siena
2022-04-25 17:00:00,75093,Siena
2022-04-26 17:00:00,75184,Siena
2022-04-27 17:00:00,75653,Siena
2022-04-28 17:00:00,75962,Siena
2022-04-29 17:00:00,76269,Siena
2022-04-30 17:00:00,76489,Siena
2022-05-01 17:00:00,76683,Siena
2022-05-02 17:00:00,76754,Siena
2022-05-03 17:00:00,77071,Siena
2022-05-04 17:00:00,77302,Siena
2022-05-05 17:00:00,77534,Siena
2022-05-06 17:00:00,77726,Siena
2022-05-07 17:00:00,77916,Siena
2022-05-08 17:00:00,78066,Siena
2022-05-09 17:00:00,78142,Siena
2022-05-10 17:00:00,78444,Siena
2022-05-11 17:00:00,78649,Siena
2022-05-12 17:00:00,78868,Siena
2022-05-13 17:00:00,79017,Siena
2022-05-14 17:00:00,79225,Siena
2022-05-15 17:00:00,79395,Siena
2022-05-16 17:00:00,79442,Siena
2022-05-17 17:00:00,79667,Siena
2022-05-18 17:00:00,79813,Siena
2022-05-19 17:00:00,79967,Siena
2022-05-20 17:00:00,80132,Siena
2022-05-21 17:00:00,80269,Siena
2022-05-22 17:00:00,80362,Siena
2022-05-23 17:00:00,80412,Siena
2022-05-24 17:00:00,80592,Siena
2022-05-25 17:00:00,80714,Siena
2022-05-26 17:00:00,80833,Siena
2022-05-27 17:00:00,80938,Siena
2022-05-28 17:00:00,81023,Siena
2022-05-29 17:00:00,81083,Siena
2022-05-30 17:00:00,81100,Siena
2022-05-31 17:00:00,81239,Siena
2022-06-01 17:00:00,81321,Siena
2022-06-02 17:00:00,81406,Siena
2022-06-03 17:00:00,81436,Siena
2022-06-04 17:00:00,81564,Siena
2022-06-05 17:00:00,81627,Siena
2022-06-06 17:00:00,81643,Siena
2022-06-07 17:00:00,81755,Siena
2022-06-08 17:00:00,81874,Siena
2022-06-09 17:00:00,81972,Siena
2022-06-10 17:00:00,82042,Siena
2022-06-11 17:00:00,82128,Siena
2022-06-12 17:00:00,82192,Siena
2022-06-13 17:00:00,82207,Siena
2022-06-14 17:00:00,82363,Siena
2022-06-15 17:00:00,82487,Siena
2022-06-16 17:00:00,82594,Siena
2022-06-17 17:00:00,82727,Siena
2022-06-18 17:00:00,82857,Siena
2022-06-19 17:00:00,82972,Siena
2022-06-20 17:00:00,83001,Siena
2022-06-21 17:00:00,83240,Siena
2022-06-22 17:00:00,83436,Siena
2022-06-23 17:00:00,83666,Siena
2022-06-24 17:00:00,83914,Siena
2022-06-25 17:00:00,84134,Siena
2022-06-26 17:00:00,84324,Siena
2022-06-27 17:00:00,84412,Siena
2022-06-28 17:00:00,84897,Siena
2022-06-29 17:00:00,85221,Siena
2022-06-30 17:00:00,85588,Siena
2022-07-01 17:00:00,85917,Siena
2022-07-02 17:00:00,86234,Siena
2022-07-03 17:00:00,86499,Siena
2022-07-04 17:00:00,86613,Siena
2022-07-05 17:00:00,87335,Siena
2022-07-06 17:00:00,87921,Siena
2022-07-07 17:00:00,88507,Siena
2022-07-08 17:00:00,89045,Siena
2022-07-09 17:00:00,89553,Siena
2022-07-10 17:00:00,89968,Siena
2022-07-11 17:00:00,90093,Siena
2022-07-12 17:00:00,90806,Siena
2022-07-13 17:00:00,91339,Siena
2022-07-14 17:00:00,91781,Siena
2022-07-15 17:00:00,92190,Siena
2022-07-16 17:00:00,92583,Siena
2022-07-17 17:00:00,92886,Siena
2022-07-18 17:00:00,93003,Siena
2022-07-19 17:00:00,93528,Siena
2022-07-20 17:00:00,93825,Siena
2022-07-21 17:00:00,94130,Siena
2022-07-22 17:00:00,94387,Siena
2022-07-23 17:00:00,94604,Siena
2022-07-24 17:00:00,94759,Siena
2022-07-25 17:00:00,94817,Siena
2022-07-26 17:00:00,95181,Siena
2022-07-27 17:00:00,95414,Siena
2022-07-28 17:00:00,95648,Siena
2022-07-29 17:00:00,95836,Siena
2022-07-30 17:00:00,96007,Siena
2022-07-31 17:00:00,96148,Siena
2022-08-01 17:00:00,96179,Siena
2022-08-02 17:00:00,96415,Siena
2022-08-03 17:00:00,96556,Siena
2022-08-04 17:00:00,96682,Siena
2022-08-05 17:00:00,96812,Siena
2022-08-06 17:00:00,96917,Siena
2022-08-07 17:00:00,96994,Siena
2022-08-08 17:00:00,97026,Siena
2022-08-09 17:00:00,97168,Siena
2022-08-10 17:00:00,97255,Siena
2022-08-11 17:00:00,97352,Siena
2022-08-12 17:00:00,97424,Siena
2022-08-13 17:00:00,97516,Siena
2022-08-14 17:00:00,97560,Siena
2022-08-15 17:00:00,97593,Siena
2022-08-16 17:00:00,97612,Siena
2022-08-17 17:00:00,97704,Siena
2022-08-18 17:00:00,97799,Siena
2022-08-19 17:00:00,97862,Siena
2022-08-20 17:00:00,97938,Siena
2022-08-21 17:00:00,97989,Siena
2022-08-22 17:00:00,98014,Siena
2022-08-23 17:00:00,98124,Siena
2022-08-24 17:00:00,98208,Siena
2022-08-25 17:00:00,98274,Siena
2022-08-26 17:00:00,98341,Siena
2022-08-27 17:00:00,98414,Siena
2022-08-28 17:00:00,98476,Siena
2022-08-29 17:00:00,98494,Siena
2022-08-30 17:00:00,98601,Siena
2022-08-31 17:00:00,98669,Siena
2022-09-01 17:00:00,98744,Siena
2022-09-02 17:00:00,98807,Siena
2022-09-03 17:00:00,98868,Siena
2022-09-04 17:00:00,98907,Siena
2022-09-05 17:00:00,98922,Siena
2022-09-06 17:00:00,99026,Siena
2022-09-07 17:00:00,99097,Siena
2022-09-08 17:00:00,99173,Siena
