data,totale_casi,denominazione_provincia
2022-01-01 17:00:00,30645,Siracusa
2022-01-02 17:00:00,30958,Siracusa
2022-01-03 17:00:00,31544,Siracusa
2022-01-04 17:00:00,31771,Siracusa
2022-01-05 17:00:00,32196,Siracusa
2022-01-06 17:00:00,33742,Siracusa
2022-01-07 17:00:00,34434,Siracusa
2022-01-08 17:00:00,35906,Siracusa
2022-01-09 17:00:00,37303,Siracusa
2022-01-10 17:00:00,37970,Siracusa
2022-01-11 17:00:00,39472,Siracusa
2022-01-12 17:00:00,40913,Siracusa
2022-01-13 17:00:00,42139,Siracusa
2022-01-14 17:00:00,43157,Siracusa
2022-01-15 17:00:00,44188,Siracusa
2022-01-16 17:00:00,44979,Siracusa
2022-01-17 17:00:00,45568,Siracusa
2022-01-18 17:00:00,46564,Siracusa
2022-01-19 17:00:00,47499,Siracusa
2022-01-20 17:00:00,48303,Siracusa
2022-01-21 17:00:00,49189,Siracusa
2022-01-22 17:00:00,49997,Siracusa
2022-01-23 17:00:00,50576,Siracusa
2022-01-24 17:00:00,51114,Siracusa
2022-01-25 17:00:00,51946,Siracusa
2022-01-26 17:00:00,52732,Siracusa
2022-01-27 17:00:00,53534,Siracusa
2022-01-28 17:00:00,54532,Siracusa
2022-01-29 17:00:00,55352,Siracusa
2022-01-30 17:00:00,55963,Siracusa
2022-01-31 17:00:00,56187,Siracusa
2022-02-01 17:00:00,57032,Siracusa
2022-02-02 17:00:00,58152,Siracusa
2022-02-03 17:00:00,58986,Siracusa
2022-02-04 17:00:00,59932,Siracusa
2022-02-05 17:00:00,60684,Siracusa
2022-02-06 17:00:00,61400,Siracusa
2022-02-07 17:00:00,61706,Siracusa
2022-02-08 17:00:00,62817,Siracusa
2022-02-09 17:00:00,63707,Siracusa
2022-02-10 17:00:00,64492,Siracusa
2022-02-11 17:00:00,65188,Siracusa
2022-02-12 17:00:00,65938,Siracusa
2022-02-13 17:00:00,66518,Siracusa
2022-02-14 17:00:00,66750,Siracusa
2022-02-15 17:00:00,67623,Siracusa
2022-02-16 17:00:00,68492,Siracusa
2022-02-17 17:00:00,69253,Siracusa
2022-02-18 17:00:00,70016,Siracusa
2022-02-19 17:00:00,70639,Siracusa
2022-02-20 17:00:00,71182,Siracusa
2022-02-21 17:00:00,71425,Siracusa
2022-02-22 17:00:00,72352,Siracusa
2022-02-23 17:00:00,72884,Siracusa
2022-02-24 17:00:00,73480,Siracusa
2022-02-25 17:00:00,73924,Siracusa
2022-02-26 17:00:00,74330,Siracusa
2022-02-27 17:00:00,74693,Siracusa
2022-02-28 17:00:00,74837,Siracusa
2022-03-01 17:00:00,75523,Siracusa
2022-03-02 17:00:00,75934,Siracusa
2022-03-03 17:00:00,76398,Siracusa
2022-03-04 17:00:00,76685,Siracusa
2022-03-05 17:00:00,77030,Siracusa
2022-03-06 17:00:00,77388,Siracusa
2022-03-07 17:00:00,77545,Siracusa
2022-03-08 17:00:00,78263,Siracusa
2022-03-09 17:00:00,78760,Siracusa
2022-03-10 17:00:00,79199,Siracusa
2022-03-11 17:00:00,79720,Siracusa
2022-03-12 17:00:00,80204,Siracusa
2022-03-13 17:00:00,80578,Siracusa
2022-03-14 17:00:00,80778,Siracusa
2022-03-15 17:00:00,81480,Siracusa
2022-03-16 17:00:00,82087,Siracusa
2022-03-17 17:00:00,82703,Siracusa
2022-03-18 17:00:00,83323,Siracusa
2022-03-19 17:00:00,83847,Siracusa
2022-03-20 17:00:00,84269,Siracusa
2022-03-21 17:00:00,84469,Siracusa
2022-03-22 17:00:00,85144,Siracusa
2022-03-23 17:00:00,85629,Siracusa
2022-03-24 17:00:00,86170,Siracusa
2022-03-25 17:00:00,86649,Siracusa
2022-03-26 17:00:00,87141,Siracusa
2022-03-27 17:00:00,87516,Siracusa
2022-03-28 17:00:00,87569,Siracusa
2022-03-29 17:00:00,88192,Siracusa
2022-03-30 17:00:00,88653,Siracusa
2022-03-31 17:00:00,89078,Siracusa
2022-04-01 17:00:00,89641,Siracusa
2022-04-02 17:00:00,90108,Siracusa
2022-04-03 17:00:00,90402,Siracusa
2022-04-04 17:00:00,90539,Siracusa
2022-04-05 17:00:00,91071,Siracusa
2022-04-06 17:00:00,91522,Siracusa
2022-04-07 17:00:00,91978,Siracusa
2022-04-08 17:00:00,92421,Siracusa
2022-04-09 17:00:00,92811,Siracusa
2022-04-10 17:00:00,93131,Siracusa
2022-04-11 17:00:00,93253,Siracusa
2022-04-12 17:00:00,93836,Siracusa
2022-04-13 17:00:00,94270,Siracusa
2022-04-14 17:00:00,94613,Siracusa
2022-04-15 17:00:00,95084,Siracusa
2022-04-16 17:00:00,95512,Siracusa
2022-04-17 17:00:00,95896,Siracusa
2022-04-18 17:00:00,96010,Siracusa
2022-04-19 17:00:00,96129,Siracusa
2022-04-20 17:00:00,96965,Siracusa
2022-04-21 17:00:00,97499,Siracusa
2022-04-22 17:00:00,98004,Siracusa
2022-04-23 17:00:00,98558,Siracusa
2022-04-24 17:00:00,98948,Siracusa
2022-04-25 17:00:00,99060,Siracusa
2022-04-26 17:00:00,99222,Siracusa
2022-04-27 17:00:00,100005,Siracusa
2022-04-28 17:00:00,100428,Siracusa
2022-04-29 17:00:00,100785,Siracusa
2022-04-30 17:00:00,101121,Siracusa
2022-05-01 17:00:00,101416,Siracusa
2022-05-02 17:00:00,101478,Siracusa
2022-05-03 17:00:00,102022,Siracusa
2022-05-04 17:00:00,102375,Siracusa
2022-05-05 17:00:00,102748,Siracusa
2022-05-06 17:00:00,103079,Siracusa
2022-05-07 17:00:00,103382,Siracusa
2022-05-08 17:00:00,103622,Siracusa
2022-05-09 17:00:00,103689,Siracusa
2022-05-10 17:00:00,104157,Siracusa
2022-05-11 17:00:00,104446,Siracusa
2022-05-12 17:00:00,104553,Siracusa
2022-05-13 17:00:00,104852,Siracusa
2022-05-14 17:00:00,105146,Siracusa
2022-05-15 17:00:00,105372,Siracusa
2022-05-16 17:00:00,105461,Siracusa
2022-05-17 17:00:00,105907,Siracusa
2022-05-18 17:00:00,106227,Siracusa
2022-05-19 17:00:00,106577,Siracusa
2022-05-20 17:00:00,106904,Siracusa
2022-05-21 17:00:00,107179,Siracusa
2022-05-22 17:00:00,107409,Siracusa
2022-05-23 17:00:00,107502,Siracusa
2022-05-24 17:00:00,107914,Siracusa
2022-05-25 17:00:00,108173,Siracusa
2022-05-26 17:00:00,108464,Siracusa
2022-05-27 17:00:00,108678,Siracusa
2022-05-28 17:00:00,108893,Siracusa
2022-05-29 17:00:00,109098,Siracusa
2022-05-30 17:00:00,109143,Siracusa
2022-05-31 17:00:00,109438,Siracusa
2022-06-01 17:00:00,109707,Siracusa
2022-06-02 17:00:00,109936,Siracusa
