data,totale_casi,denominazione_provincia
2022-01-01 17:00:00,20671,Sondrio
2022-01-02 17:00:00,20969,Sondrio
2022-01-03 17:00:00,21083,Sondrio
2022-01-04 17:00:00,21804,Sondrio
2022-01-05 17:00:00,22518,Sondrio
2022-01-06 17:00:00,23370,Sondrio
2022-01-07 17:00:00,24079,Sondrio
2022-01-08 17:00:00,24758,Sondrio
2022-01-09 17:00:00,25487,Sondrio
2022-01-10 17:00:00,26022,Sondrio
2022-01-11 17:00:00,26804,Sondrio
2022-01-12 17:00:00,27539,Sondrio
2022-01-13 17:00:00,28235,Sondrio
2022-01-14 17:00:00,29196,Sondrio
2022-01-15 17:00:00,30242,Sondrio
2022-01-16 17:00:00,30794,Sondrio
2022-01-17 17:00:00,30955,Sondrio
2022-01-18 17:00:00,31542,Sondrio
2022-01-19 17:00:00,32205,Sondrio
2022-01-20 17:00:00,32818,Sondrio
2022-01-21 17:00:00,33358,Sondrio
2022-01-22 17:00:00,34029,Sondrio
2022-01-23 17:00:00,34456,Sondrio
2022-01-24 17:00:00,34547,Sondrio
2022-01-25 17:00:00,34973,Sondrio
2022-01-26 17:00:00,35311,Sondrio
2022-01-27 17:00:00,35825,Sondrio
2022-01-28 17:00:00,36120,Sondrio
2022-01-29 17:00:00,36445,Sondrio
2022-01-30 17:00:00,36722,Sondrio
2022-01-31 17:00:00,36765,Sondrio
2022-02-01 17:00:00,37007,Sondrio
2022-02-02 17:00:00,37202,Sondrio
2022-02-03 17:00:00,37432,Sondrio
2022-02-04 17:00:00,37587,Sondrio
2022-02-05 17:00:00,37738,Sondrio
2022-02-06 17:00:00,37893,Sondrio
2022-02-07 17:00:00,37928,Sondrio
2022-02-08 17:00:00,38082,Sondrio
2022-02-09 17:00:00,38249,Sondrio
2022-02-10 17:00:00,38378,Sondrio
2022-02-11 17:00:00,38495,Sondrio
2022-02-12 17:00:00,38589,Sondrio
2022-02-13 17:00:00,38704,Sondrio
2022-02-14 17:00:00,38720,Sondrio
2022-02-15 17:00:00,38831,Sondrio
2022-02-16 17:00:00,38897,Sondrio
2022-02-17 17:00:00,38987,Sondrio
2022-02-18 17:00:00,39079,Sondrio
2022-02-19 17:00:00,39175,Sondrio
2022-02-20 17:00:00,39229,Sondrio
2022-02-21 17:00:00,39263,Sondrio
2022-02-22 17:00:00,39371,Sondrio
2022-02-23 17:00:00,39474,Sondrio
2022-02-24 17:00:00,39539,Sondrio
2022-02-25 17:00:00,39626,Sondrio
2022-02-26 17:00:00,39707,Sondrio
2022-02-27 17:00:00,39756,Sondrio
2022-02-28 17:00:00,39785,Sondrio
2022-03-01 17:00:00,39857,Sondrio
2022-03-02 17:00:00,39937,Sondrio
2022-03-03 17:00:00,40009,Sondrio
2022-03-04 17:00:00,40108,Sondrio
2022-03-05 17:00:00,40176,Sondrio
2022-03-06 17:00:00,40232,Sondrio
2022-03-07 17:00:00,40243,Sondrio
2022-03-08 17:00:00,40318,Sondrio
2022-03-09 17:00:00,40363,Sondrio
2022-03-10 17:00:00,40458,Sondrio
2022-03-11 17:00:00,40551,Sondrio
2022-03-12 17:00:00,40624,Sondrio
2022-03-13 17:00:00,40732,Sondrio
2022-03-14 17:00:00,40748,Sondrio
2022-03-15 17:00:00,40866,Sondrio
2022-03-16 17:00:00,40967,Sondrio
2022-03-17 17:00:00,41064,Sondrio
2022-03-18 17:00:00,41187,Sondrio
2022-03-19 17:00:00,41302,Sondrio
2022-03-20 17:00:00,41456,Sondrio
2022-03-21 17:00:00,41481,Sondrio
2022-03-22 17:00:00,41631,Sondrio
2022-03-23 17:00:00,41769,Sondrio
2022-03-24 17:00:00,41902,Sondrio
2022-03-25 17:00:00,42023,Sondrio
2022-03-26 17:00:00,42148,Sondrio
2022-03-27 17:00:00,42249,Sondrio
2022-03-28 17:00:00,42264,Sondrio
2022-03-29 17:00:00,42430,Sondrio
2022-03-30 17:00:00,42519,Sondrio
2022-03-31 17:00:00,42662,Sondrio
2022-04-01 17:00:00,42783,Sondrio
2022-04-02 17:00:00,42875,Sondrio
2022-04-03 17:00:00,42963,Sondrio
2022-04-04 17:00:00,42979,Sondrio
2022-04-05 17:00:00,43102,Sondrio
2022-04-06 17:00:00,43213,Sondrio
2022-04-07 17:00:00,43348,Sondrio
2022-04-08 17:00:00,43471,Sondrio
2022-04-09 17:00:00,43615,Sondrio
2022-04-10 17:00:00,43732,Sondrio
2022-04-11 17:00:00,43750,Sondrio
2022-04-12 17:00:00,43905,Sondrio
2022-04-13 17:00:00,44012,Sondrio
2022-04-14 17:00:00,44164,Sondrio
2022-04-15 17:00:00,44296,Sondrio
2022-04-16 17:00:00,44446,Sondrio
2022-04-17 17:00:00,44554,Sondrio
2022-04-18 17:00:00,44578,Sondrio
2022-04-19 17:00:00,44621,Sondrio
2022-04-20 17:00:00,44807,Sondrio
2022-04-21 17:00:00,44961,Sondrio
2022-04-22 17:00:00,45136,Sondrio
2022-04-23 17:00:00,45280,Sondrio
2022-04-24 17:00:00,45390,Sondrio
2022-04-25 17:00:00,45429,Sondrio
2022-04-26 17:00:00,45459,Sondrio
2022-04-27 17:00:00,45644,Sondrio
2022-04-28 17:00:00,45822,Sondrio
2022-04-29 17:00:00,46038,Sondrio
2022-04-30 17:00:00,46192,Sondrio
2022-05-01 17:00:00,46317,Sondrio
2022-05-02 17:00:00,46335,Sondrio
2022-05-03 17:00:00,46524,Sondrio
2022-05-04 17:00:00,46623,Sondrio
2022-05-05 17:00:00,46804,Sondrio
2022-05-06 17:00:00,46915,Sondrio
2022-05-07 17:00:00,47041,Sondrio
2022-05-08 17:00:00,47124,Sondrio
2022-05-09 17:00:00,47159,Sondrio
2022-05-10 17:00:00,47331,Sondrio
2022-05-11 17:00:00,47453,Sondrio
2022-05-12 17:00:00,47546,Sondrio
2022-05-13 17:00:00,47629,Sondrio
2022-05-14 17:00:00,47730,Sondrio
2022-05-15 17:00:00,47767,Sondrio
2022-05-16 17:00:00,47800,Sondrio
2022-05-17 17:00:00,47895,Sondrio
2022-05-18 17:00:00,47946,Sondrio
2022-05-19 17:00:00,48005,Sondrio
2022-05-20 17:00:00,48073,Sondrio
2022-05-21 17:00:00,48129,Sondrio
2022-05-22 17:00:00,48172,Sondrio
2022-05-23 17:00:00,48177,Sondrio
2022-05-24 17:00:00,48249,Sondrio
