data,totale_casi,denominazione_provincia
2022-01-01 17:00:00,15147,Sud Sardegna
2022-01-02 17:00:00,15266,Sud Sardegna
2022-01-03 17:00:00,15407,Sud Sardegna
2022-01-04 17:00:00,15483,Sud Sardegna
2022-01-05 17:00:00,15651,Sud Sardegna
2022-01-06 17:00:00,15862,Sud Sardegna
2022-01-07 17:00:00,16042,Sud Sardegna
2022-01-08 17:00:00,16215,Sud Sardegna
2022-01-09 17:00:00,16275,Sud Sardegna
2022-01-10 17:00:00,16555,Sud Sardegna
2022-01-11 17:00:00,16641,Sud Sardegna
2022-01-12 17:00:00,16852,Sud Sardegna
2022-01-13 17:00:00,17082,Sud Sardegna
2022-01-14 17:00:00,17534,Sud Sardegna
2022-01-15 17:00:00,17864,Sud Sardegna
2022-01-16 17:00:00,18071,Sud Sardegna
2022-01-17 17:00:00,18470,Sud Sardegna
2022-01-18 17:00:00,18600,Sud Sardegna
2022-01-19 17:00:00,18853,Sud Sardegna
2022-01-20 17:00:00,19108,Sud Sardegna
2022-01-21 17:00:00,19308,Sud Sardegna
2022-01-22 17:00:00,19484,Sud Sardegna
2022-01-23 17:00:00,19560,Sud Sardegna
2022-01-24 17:00:00,19727,Sud Sardegna
2022-01-25 17:00:00,19783,Sud Sardegna
2022-01-26 17:00:00,20011,Sud Sardegna
2022-01-27 17:00:00,20183,Sud Sardegna
2022-01-28 17:00:00,20462,Sud Sardegna
2022-01-29 17:00:00,20696,Sud Sardegna
2022-01-30 17:00:00,20740,Sud Sardegna
2022-01-31 17:00:00,20818,Sud Sardegna
2022-02-01 17:00:00,20911,Sud Sardegna
2022-02-02 17:00:00,21225,Sud Sardegna
2022-02-03 17:00:00,21649,Sud Sardegna
2022-02-04 17:00:00,21936,Sud Sardegna
2022-02-05 17:00:00,22808,Sud Sardegna
2022-02-06 17:00:00,23418,Sud Sardegna
2022-02-07 17:00:00,23891,Sud Sardegna
2022-02-08 17:00:00,24707,Sud Sardegna
2022-02-09 17:00:00,25581,Sud Sardegna
2022-02-10 17:00:00,26207,Sud Sardegna
2022-02-11 17:00:00,26803,Sud Sardegna
2022-02-12 17:00:00,27377,Sud Sardegna
2022-02-13 17:00:00,27606,Sud Sardegna
2022-02-14 17:00:00,27916,Sud Sardegna
2022-02-15 17:00:00,28485,Sud Sardegna
2022-02-16 17:00:00,28915,Sud Sardegna
2022-02-17 17:00:00,29361,Sud Sardegna
2022-02-18 17:00:00,29790,Sud Sardegna
2022-02-19 17:00:00,30173,Sud Sardegna
2022-02-20 17:00:00,30373,Sud Sardegna
2022-02-21 17:00:00,30570,Sud Sardegna
2022-02-22 17:00:00,30993,Sud Sardegna
2022-02-23 17:00:00,31364,Sud Sardegna
2022-02-24 17:00:00,31713,Sud Sardegna
2022-02-25 17:00:00,31967,Sud Sardegna
2022-02-26 17:00:00,32242,Sud Sardegna
2022-02-27 17:00:00,32395,Sud Sardegna
2022-02-28 17:00:00,32450,Sud Sardegna
2022-03-01 17:00:00,32787,Sud Sardegna
2022-03-02 17:00:00,33043,Sud Sardegna
2022-03-03 17:00:00,33333,Sud Sardegna
2022-03-04 17:00:00,33556,Sud Sardegna
2022-03-05 17:00:00,33844,Sud Sardegna
2022-03-06 17:00:00,33970,Sud Sardegna
2022-03-07 17:00:00,34092,Sud Sardegna
2022-03-08 17:00:00,34383,Sud Sardegna
2022-03-09 17:00:00,34638,Sud Sardegna
2022-03-10 17:00:00,34961,Sud Sardegna
2022-03-11 17:00:00,35200,Sud Sardegna
2022-03-12 17:00:00,35551,Sud Sardegna
2022-03-13 17:00:00,35753,Sud Sardegna
2022-03-14 17:00:00,35903,Sud Sardegna
2022-03-15 17:00:00,36367,Sud Sardegna
2022-03-16 17:00:00,36829,Sud Sardegna
2022-03-17 17:00:00,37215,Sud Sardegna
2022-03-18 17:00:00,37573,Sud Sardegna
2022-03-19 17:00:00,37922,Sud Sardegna
2022-03-20 17:00:00,38106,Sud Sardegna
2022-03-21 17:00:00,38233,Sud Sardegna
2022-03-22 17:00:00,38722,Sud Sardegna
2022-03-23 17:00:00,39064,Sud Sardegna
2022-03-24 17:00:00,39345,Sud Sardegna
2022-03-25 17:00:00,39562,Sud Sardegna
2022-03-26 17:00:00,39889,Sud Sardegna
2022-03-27 17:00:00,40074,Sud Sardegna
2022-03-28 17:00:00,40355,Sud Sardegna
2022-03-29 17:00:00,40793,Sud Sardegna
2022-03-30 17:00:00,41137,Sud Sardegna
2022-03-31 17:00:00,41370,Sud Sardegna
2022-04-01 17:00:00,41766,Sud Sardegna
2022-04-02 17:00:00,42051,Sud Sardegna
2022-04-03 17:00:00,42202,Sud Sardegna
2022-04-04 17:00:00,42451,Sud Sardegna
2022-04-05 17:00:00,42934,Sud Sardegna
2022-04-06 17:00:00,43300,Sud Sardegna
2022-04-07 17:00:00,43543,Sud Sardegna
2022-04-08 17:00:00,43920,Sud Sardegna
2022-04-09 17:00:00,44147,Sud Sardegna
2022-04-10 17:00:00,44363,Sud Sardegna
2022-04-11 17:00:00,44703,Sud Sardegna
2022-04-12 17:00:00,45302,Sud Sardegna
2022-04-13 17:00:00,45680,Sud Sardegna
2022-04-14 17:00:00,46078,Sud Sardegna
2022-04-15 17:00:00,46458,Sud Sardegna
2022-04-16 17:00:00,46867,Sud Sardegna
2022-04-17 17:00:00,47094,Sud Sardegna
2022-04-18 17:00:00,47142,Sud Sardegna
2022-04-19 17:00:00,47395,Sud Sardegna
2022-04-20 17:00:00,48216,Sud Sardegna
2022-04-21 17:00:00,48806,Sud Sardegna
2022-04-22 17:00:00,49366,Sud Sardegna
2022-04-23 17:00:00,49888,Sud Sardegna
2022-04-24 17:00:00,50107,Sud Sardegna
2022-04-25 17:00:00,50164,Sud Sardegna
2022-04-26 17:00:00,50485,Sud Sardegna
2022-04-27 17:00:00,51234,Sud Sardegna
2022-04-28 17:00:00,51715,Sud Sardegna
2022-04-29 17:00:00,52162,Sud Sardegna
2022-04-30 17:00:00,52577,Sud Sardegna
2022-05-01 17:00:00,52757,Sud Sardegna
2022-05-02 17:00:00,52967,Sud Sardegna
2022-05-03 17:00:00,53527,Sud Sardegna
2022-05-04 17:00:00,53922,Sud Sardegna
2022-05-05 17:00:00,54251,Sud Sardegna
2022-05-06 17:00:00,54594,Sud Sardegna
2022-05-07 17:00:00,54883,Sud Sardegna
2022-05-08 17:00:00,55058,Sud Sardegna
2022-05-09 17:00:00,55216,Sud Sardegna
2022-05-10 17:00:00,55761,Sud Sardegna
2022-05-11 17:00:00,56098,Sud Sardegna
2022-05-12 17:00:00,56340,Sud Sardegna
2022-05-13 17:00:00,56776,Sud Sardegna
2022-05-14 17:00:00,57075,Sud Sardegna
2022-05-15 17:00:00,57256,Sud Sardegna
2022-05-16 17:00:00,57395,Sud Sardegna
2022-05-17 17:00:00,57857,Sud Sardegna
2022-05-18 17:00:00,58136,Sud Sardegna
2022-05-19 17:00:00,58447,Sud Sardegna
2022-05-20 17:00:00,58729,Sud Sardegna
2022-05-21 17:00:00,58875,Sud Sardegna
2022-05-22 17:00:00,59027,Sud Sardegna
2022-05-23 17:00:00,59226,Sud Sardegna
2022-05-24 17:00:00,59684,Sud Sardegna
2022-05-25 17:00:00,59912,Sud Sardegna
2022-05-26 17:00:00,60204,Sud Sardegna
2022-05-27 17:00:00,60411,Sud Sardegna
2022-05-28 17:00:00,60579,Sud Sardegna
2022-05-29 17:00:00,60658,Sud Sardegna
2022-05-30 17:00:00,60734,Sud Sardegna
2022-05-31 17:00:00,61038,Sud Sardegna
2022-06-01 17:00:00,61201,Sud Sardegna
2022-06-02 17:00:00,61329,Sud Sardegna
2022-06-03 17:00:00,61535,Sud Sardegna
2022-06-04 17:00:00,61803,Sud Sardegna
2022-06-05 17:00:00,61891,Sud Sardegna
2022-06-06 17:00:00,61953,Sud Sardegna
2022-06-07 17:00:00,62300,Sud Sardegna
2022-06-08 17:00:00,62531,Sud Sardegna
2022-06-09 17:00:00,62723,Sud Sardegna
2022-06-10 17:00:00,62935,Sud Sardegna
2022-06-11 17:00:00,63193,Sud Sardegna
2022-06-12 17:00:00,63296,Sud Sardegna
2022-06-13 17:00:00,63460,Sud Sardegna
2022-06-14 17:00:00,63973,Sud Sardegna
2022-06-15 17:00:00,64293,Sud Sardegna
2022-06-16 17:00:00,64657,Sud Sardegna
2022-06-17 17:00:00,64986,Sud Sardegna
2022-06-18 17:00:00,65182,Sud Sardegna
2022-06-19 17:00:00,65346,Sud Sardegna
2022-06-20 17:00:00,65626,Sud Sardegna
2022-06-21 17:00:00,66359,Sud Sardegna
2022-06-22 17:00:00,66782,Sud Sardegna
2022-06-23 17:00:00,67276,Sud Sardegna
2022-06-24 17:00:00,67740,Sud Sardegna
2022-06-25 17:00:00,68261,Sud Sardegna
2022-06-26 17:00:00,68442,Sud Sardegna
2022-06-27 17:00:00,68687,Sud Sardegna
2022-06-28 17:00:00,69734,Sud Sardegna
2022-06-29 17:00:00,70365,Sud Sardegna
2022-06-30 17:00:00,71035,Sud Sardegna
2022-07-01 17:00:00,71665,Sud Sardegna
2022-07-02 17:00:00,72081,Sud Sardegna
2022-07-03 17:00:00,72190,Sud Sardegna
2022-07-04 17:00:00,72387,Sud Sardegna
2022-07-05 17:00:00,73599,Sud Sardegna
2022-07-06 17:00:00,74462,Sud Sardegna
2022-07-07 17:00:00,75189,Sud Sardegna
2022-07-08 17:00:00,75781,Sud Sardegna
2022-07-09 17:00:00,75974,Sud Sardegna
2022-07-10 17:00:00,76086,Sud Sardegna
2022-07-11 17:00:00,76640,Sud Sardegna
2022-07-12 17:00:00,77688,Sud Sardegna
2022-07-13 17:00:00,78358,Sud Sardegna
2022-07-14 17:00:00,78945,Sud Sardegna
2022-07-15 17:00:00,79500,Sud Sardegna
2022-07-16 17:00:00,79826,Sud Sardegna
2022-07-17 17:00:00,79930,Sud Sardegna
2022-07-18 17:00:00,80129,Sud Sardegna
2022-07-19 17:00:00,80944,Sud Sardegna
2022-07-20 17:00:00,81354,Sud Sardegna
2022-07-21 17:00:00,81803,Sud Sardegna
2022-07-22 17:00:00,82137,Sud Sardegna
2022-07-23 17:00:00,82234,Sud Sardegna
2022-07-24 17:00:00,82322,Sud Sardegna
2022-07-25 17:00:00,82459,Sud Sardegna
2022-07-26 17:00:00,82994,Sud Sardegna
2022-07-27 17:00:00,83378,Sud Sardegna
2022-07-28 17:00:00,83620,Sud Sardegna
2022-07-29 17:00:00,84000,Sud Sardegna
2022-07-30 17:00:00,84075,Sud Sardegna
2022-07-31 17:00:00,84127,Sud Sardegna
2022-08-01 17:00:00,84296,Sud Sardegna
2022-08-02 17:00:00,84750,Sud Sardegna
2022-08-03 17:00:00,84970,Sud Sardegna
2022-08-04 17:00:00,85225,Sud Sardegna
2022-08-05 17:00:00,85447,Sud Sardegna
2022-08-06 17:00:00,85570,Sud Sardegna
2022-08-07 17:00:00,85660,Sud Sardegna
2022-08-08 17:00:00,85746,Sud Sardegna
2022-08-09 17:00:00,86046,Sud Sardegna
2022-08-10 17:00:00,86223,Sud Sardegna
2022-08-11 17:00:00,86368,Sud Sardegna
2022-08-12 17:00:00,86549,Sud Sardegna
2022-08-13 17:00:00,86704,Sud Sardegna
2022-08-14 17:00:00,86774,Sud Sardegna
2022-08-15 17:00:00,86779,Sud Sardegna
2022-08-16 17:00:00,86816,Sud Sardegna
2022-08-17 17:00:00,87086,Sud Sardegna
2022-08-18 17:00:00,87235,Sud Sardegna
2022-08-19 17:00:00,87394,Sud Sardegna
2022-08-20 17:00:00,87447,Sud Sardegna
2022-08-21 17:00:00,87480,Sud Sardegna
2022-08-22 17:00:00,87502,Sud Sardegna
2022-08-23 17:00:00,87792,Sud Sardegna
2022-08-24 17:00:00,87898,Sud Sardegna
2022-08-25 17:00:00,88055,Sud Sardegna
2022-08-26 17:00:00,88196,Sud Sardegna
2022-08-27 17:00:00,88259,Sud Sardegna
2022-08-28 17:00:00,88277,Sud Sardegna
2022-08-29 17:00:00,88322,Sud Sardegna
2022-08-30 17:00:00,88509,Sud Sardegna
2022-08-31 17:00:00,88614,Sud Sardegna
2022-09-01 17:00:00,88698,Sud Sardegna
2022-09-02 17:00:00,88807,Sud Sardegna
2022-09-03 17:00:00,88836,Sud Sardegna
2022-09-04 17:00:00,88861,Sud Sardegna
2022-09-05 17:00:00,88933,Sud Sardegna
2022-09-06 17:00:00,89113,Sud Sardegna
2022-09-07 17:00:00,89186,Sud Sardegna
2022-09-08 17:00:00,89258,Sud Sardegna
2022-09-09 17:00:00,89312,Sud Sardegna
2022-09-10 17:00:00,89355,Sud Sardegna
2022-09-11 17:00:00,89389,Sud Sardegna
2022-09-12 17:00:00,89447,Sud Sardegna
2022-09-13 17:00:00,89555,Sud Sardegna
2022-09-14 17:00:00,89654,Sud Sardegna
2022-09-15 17:00:00,89734,Sud Sardegna
2022-09-16 17:00:00,89808,Sud Sardegna
2022-09-17 17:00:00,89831,Sud Sardegna
2022-09-18 17:00:00,89835,Sud Sardegna
2022-09-19 17:00:00,89896,Sud Sardegna
2022-09-20 17:00:00,89987,Sud Sardegna
2022-09-21 17:00:00,90067,Sud Sardegna
2022-09-22 17:00:00,90130,Sud Sardegna
2022-09-23 17:00:00,90185,Sud Sardegna
2022-09-24 17:00:00,90218,Sud Sardegna
2022-09-25 17:00:00,90235,Sud Sardegna
2022-09-26 17:00:00,90288,Sud Sardegna
2022-09-27 17:00:00,90464,Sud Sardegna
2022-09-28 17:00:00,90571,Sud Sardegna
2022-09-29 17:00:00,90655,Sud Sardegna
2022-09-30 17:00:00,90727,Sud Sardegna
2022-10-01 17:00:00,90797,Sud Sardegna
2022-10-02 17:00:00,90839,Sud Sardegna
2022-10-03 17:00:00,90889,Sud Sardegna
2022-10-04 17:00:00,91057,Sud Sardegna
2022-10-05 17:00:00,91158,Sud Sardegna
2022-10-06 17:00:00,91261,Sud Sardegna
2022-10-07 17:00:00,91374,Sud Sardegna
2022-10-08 17:00:00,91418,Sud Sardegna
2022-10-09 17:00:00,91436,Sud Sardegna
2022-10-10 17:00:00,91533,Sud Sardegna
2022-10-11 17:00:00,91772,Sud Sardegna
2022-10-12 17:00:00,91892,Sud Sardegna
2022-10-13 17:00:00,92011,Sud Sardegna
2022-10-14 17:00:00,92139,Sud Sardegna
2022-10-15 17:00:00,92172,Sud Sardegna
2022-10-16 17:00:00,92208,Sud Sardegna
2022-10-17 17:00:00,92282,Sud Sardegna
2022-10-18 17:00:00,92509,Sud Sardegna
2022-10-19 17:00:00,92631,Sud Sardegna
2022-10-20 17:00:00,92802,Sud Sardegna
2022-10-21 17:00:00,92907,Sud Sardegna
2022-10-22 17:00:00,92961,Sud Sardegna
2022-10-23 17:00:00,92981,Sud Sardegna
2022-10-24 17:00:00,92997,Sud Sardegna
2022-10-25 17:00:00,93199,Sud Sardegna
2022-10-26 17:00:00,93329,Sud Sardegna
2022-10-27 17:00:00,93392,Sud Sardegna
2022-10-28 17:00:00,93466,Sud Sardegna
2022-10-29 17:00:00,93538,Sud Sardegna
2022-10-30 17:00:00,93598,Sud Sardegna
2022-10-31 17:00:00,93685,Sud Sardegna
2022-11-01 17:00:00,93731,Sud Sardegna
2022-11-02 17:00:00,93819,Sud Sardegna
2022-11-03 17:00:00,94055,Sud Sardegna
2022-11-04 17:00:00,94178,Sud Sardegna
2022-11-05 17:00:00,94247,Sud Sardegna
2022-11-06 17:00:00,94311,Sud Sardegna
