data,totale_casi,denominazione_provincia
2022-01-01 17:00:00,45758,Taranto
2022-01-02 17:00:00,46134,Taranto
2022-01-03 17:00:00,46441,Taranto
2022-01-04 17:00:00,46784,Taranto
2022-01-05 17:00:00,47733,Taranto
2022-01-06 17:00:00,47959,Taranto
2022-01-07 17:00:00,48720,Taranto
2022-01-08 17:00:00,49716,Taranto
2022-01-09 17:00:00,50147,Taranto
2022-01-10 17:00:00,50270,Taranto
2022-01-11 17:00:00,51105,Taranto
2022-01-12 17:00:00,51605,Taranto
2022-01-13 17:00:00,51831,Taranto
2022-01-14 17:00:00,54934,Taranto
2022-01-15 17:00:00,58016,Taranto
2022-01-16 17:00:00,60402,Taranto
2022-01-17 17:00:00,60965,Taranto
2022-01-18 17:00:00,65287,Taranto
2022-01-19 17:00:00,67795,Taranto
2022-01-20 17:00:00,70422,Taranto
2022-01-21 17:00:00,72539,Taranto
2022-01-22 17:00:00,74510,Taranto
2022-01-23 17:00:00,76123,Taranto
2022-01-24 17:00:00,76438,Taranto
2022-01-25 17:00:00,78164,Taranto
2022-01-26 17:00:00,79312,Taranto
2022-01-27 17:00:00,80317,Taranto
2022-01-28 17:00:00,81308,Taranto
2022-01-29 17:00:00,82781,Taranto
2022-01-30 17:00:00,83081,Taranto
2022-01-31 17:00:00,83346,Taranto
2022-02-01 17:00:00,84492,Taranto
2022-02-02 17:00:00,85295,Taranto
2022-02-03 17:00:00,86232,Taranto
2022-02-04 17:00:00,86940,Taranto
2022-02-05 17:00:00,87728,Taranto
2022-02-06 17:00:00,88380,Taranto
2022-02-07 17:00:00,88589,Taranto
2022-02-08 17:00:00,89788,Taranto
2022-02-09 17:00:00,90375,Taranto
2022-02-10 17:00:00,91092,Taranto
2022-02-11 17:00:00,91670,Taranto
2022-02-12 17:00:00,92339,Taranto
2022-02-13 17:00:00,92853,Taranto
2022-02-14 17:00:00,93025,Taranto
2022-02-15 17:00:00,93883,Taranto
2022-02-16 17:00:00,94449,Taranto
2022-02-17 17:00:00,94987,Taranto
2022-02-18 17:00:00,95540,Taranto
2022-02-19 17:00:00,96065,Taranto
2022-02-20 17:00:00,96521,Taranto
2022-02-21 17:00:00,96647,Taranto
2022-02-22 17:00:00,97346,Taranto
2022-02-23 17:00:00,97821,Taranto
2022-02-24 17:00:00,98264,Taranto
2022-02-25 17:00:00,98711,Taranto
2022-02-26 17:00:00,99122,Taranto
2022-02-27 17:00:00,99449,Taranto
2022-02-28 17:00:00,99590,Taranto
2022-03-01 17:00:00,100213,Taranto
2022-03-02 17:00:00,100620,Taranto
2022-03-03 17:00:00,101039,Taranto
2022-03-04 17:00:00,101502,Taranto
2022-03-05 17:00:00,101926,Taranto
2022-03-06 17:00:00,102281,Taranto
2022-03-07 17:00:00,102403,Taranto
2022-03-08 17:00:00,103136,Taranto
2022-03-09 17:00:00,103580,Taranto
2022-03-10 17:00:00,104080,Taranto
2022-03-11 17:00:00,104625,Taranto
2022-03-12 17:00:00,105253,Taranto
2022-03-13 17:00:00,105723,Taranto
2022-03-14 17:00:00,106031,Taranto
2022-03-15 17:00:00,107061,Taranto
2022-03-16 17:00:00,107827,Taranto
2022-03-17 17:00:00,108658,Taranto
2022-03-18 17:00:00,109584,Taranto
2022-03-19 17:00:00,110363,Taranto
2022-03-20 17:00:00,111041,Taranto
2022-03-21 17:00:00,111293,Taranto
2022-03-22 17:00:00,112696,Taranto
2022-03-23 17:00:00,113567,Taranto
