data,totale_casi,denominazione_provincia
2022-01-01 17:00:00,27409,Teramo
2022-01-02 17:00:00,27965,Teramo
2022-01-03 17:00:00,28340,Teramo
2022-01-04 17:00:00,29341,Teramo
2022-01-05 17:00:00,30479,Teramo
2022-01-06 17:00:00,31663,Teramo
2022-01-07 17:00:00,31914,Teramo
2022-01-08 17:00:00,33420,Teramo
2022-01-09 17:00:00,33420,Teramo
2022-01-10 17:00:00,35309,Teramo
2022-01-11 17:00:00,36589,Teramo
2022-01-12 17:00:00,37474,Teramo
2022-01-13 17:00:00,38287,Teramo
2022-01-14 17:00:00,39143,Teramo
2022-01-15 17:00:00,40311,Teramo
2022-01-16 17:00:00,41417,Teramo
2022-01-17 17:00:00,41759,Teramo
2022-01-18 17:00:00,43066,Teramo
2022-01-19 17:00:00,44139,Teramo
2022-01-20 17:00:00,45187,Teramo
2022-01-21 17:00:00,46105,Teramo
2022-01-22 17:00:00,47087,Teramo
2022-01-23 17:00:00,47891,Teramo
2022-01-24 17:00:00,48262,Teramo
2022-01-25 17:00:00,49335,Teramo
2022-01-26 17:00:00,50138,Teramo
2022-01-27 17:00:00,51141,Teramo
2022-01-28 17:00:00,51879,Teramo
2022-01-29 17:00:00,52563,Teramo
2022-01-30 17:00:00,53229,Teramo
2022-01-31 17:00:00,53561,Teramo
2022-02-01 17:00:00,54319,Teramo
2022-02-02 17:00:00,54844,Teramo
2022-02-03 17:00:00,55511,Teramo
2022-02-04 17:00:00,56098,Teramo
2022-02-05 17:00:00,56591,Teramo
2022-02-06 17:00:00,57034,Teramo
2022-02-07 17:00:00,57203,Teramo
2022-02-08 17:00:00,57882,Teramo
2022-02-09 17:00:00,58372,Teramo
2022-02-10 17:00:00,58801,Teramo
2022-02-11 17:00:00,59243,Teramo
2022-02-12 17:00:00,59550,Teramo
2022-02-13 17:00:00,59903,Teramo
2022-02-14 17:00:00,60063,Teramo
2022-02-15 17:00:00,60546,Teramo
2022-02-16 17:00:00,60957,Teramo
2022-02-17 17:00:00,61435,Teramo
2022-02-18 17:00:00,61806,Teramo
2022-02-19 17:00:00,62236,Teramo
2022-02-20 17:00:00,62611,Teramo
2022-02-21 17:00:00,62820,Teramo
2022-02-22 17:00:00,63364,Teramo
2022-02-23 17:00:00,63845,Teramo
2022-02-24 17:00:00,64176,Teramo
2022-02-25 17:00:00,64585,Teramo
2022-02-26 17:00:00,64882,Teramo
2022-02-27 17:00:00,65063,Teramo
2022-02-28 17:00:00,65147,Teramo
2022-03-01 17:00:00,65491,Teramo
2022-03-02 17:00:00,65709,Teramo
2022-03-03 17:00:00,65927,Teramo
2022-03-04 17:00:00,66165,Teramo
2022-03-05 17:00:00,66396,Teramo
2022-03-06 17:00:00,66647,Teramo
2022-03-07 17:00:00,66717,Teramo
2022-03-08 17:00:00,67161,Teramo
2022-03-09 17:00:00,67444,Teramo
2022-03-10 17:00:00,67755,Teramo
2022-03-11 17:00:00,68061,Teramo
2022-03-12 17:00:00,68431,Teramo
2022-03-13 17:00:00,68798,Teramo
2022-03-14 17:00:00,68946,Teramo
2022-03-15 17:00:00,69590,Teramo
2022-03-16 17:00:00,70132,Teramo
2022-03-17 17:00:00,70743,Teramo
2022-03-18 17:00:00,71475,Teramo
2022-03-19 17:00:00,72039,Teramo
2022-03-20 17:00:00,72547,Teramo
2022-03-21 17:00:00,72769,Teramo
2022-03-22 17:00:00,73579,Teramo
2022-03-23 17:00:00,74191,Teramo
2022-03-24 17:00:00,74863,Teramo
2022-03-25 17:00:00,75529,Teramo
2022-03-26 17:00:00,76117,Teramo
2022-03-27 17:00:00,76631,Teramo
2022-03-28 17:00:00,76807,Teramo
2022-03-29 17:00:00,77592,Teramo
2022-03-30 17:00:00,78151,Teramo
2022-03-31 17:00:00,78751,Teramo
2022-04-01 17:00:00,79359,Teramo
2022-04-02 17:00:00,79922,Teramo
2022-04-03 17:00:00,80433,Teramo
2022-04-04 17:00:00,80572,Teramo
2022-04-05 17:00:00,81391,Teramo
2022-04-06 17:00:00,81902,Teramo
2022-04-07 17:00:00,82417,Teramo
2022-04-08 17:00:00,82940,Teramo
2022-04-09 17:00:00,83442,Teramo
2022-04-10 17:00:00,83842,Teramo
2022-04-11 17:00:00,84037,Teramo
2022-04-12 17:00:00,84758,Teramo
2022-04-13 17:00:00,85142,Teramo
2022-04-14 17:00:00,85591,Teramo
2022-04-15 17:00:00,86087,Teramo
2022-04-16 17:00:00,86550,Teramo
2022-04-17 17:00:00,86995,Teramo
2022-04-18 17:00:00,87109,Teramo
2022-04-19 17:00:00,87347,Teramo
2022-04-20 17:00:00,88252,Teramo
2022-04-21 17:00:00,88793,Teramo
2022-04-22 17:00:00,89391,Teramo
2022-04-23 17:00:00,89939,Teramo
2022-04-24 17:00:00,90454,Teramo
2022-04-25 17:00:00,90656,Teramo
2022-04-26 17:00:00,90921,Teramo
2022-04-27 17:00:00,90921,Teramo
2022-04-28 17:00:00,92185,Teramo
2022-04-29 17:00:00,92695,Teramo
2022-04-30 17:00:00,93101,Teramo
2022-05-01 17:00:00,93483,Teramo
2022-05-02 17:00:00,93572,Teramo
2022-05-03 17:00:00,94145,Teramo
2022-05-04 17:00:00,94479,Teramo
2022-05-05 17:00:00,94887,Teramo
2022-05-06 17:00:00,95300,Teramo
2022-05-07 17:00:00,95606,Teramo
2022-05-08 17:00:00,95881,Teramo
2022-05-09 17:00:00,96002,Teramo
2022-05-10 17:00:00,96456,Teramo
2022-05-11 17:00:00,96725,Teramo
2022-05-12 17:00:00,97066,Teramo
2022-05-13 17:00:00,97374,Teramo
2022-05-14 17:00:00,97631,Teramo
2022-05-15 17:00:00,97813,Teramo
2022-05-16 17:00:00,97892,Teramo
2022-05-17 17:00:00,98245,Teramo
2022-05-18 17:00:00,98429,Teramo
2022-05-19 17:00:00,98646,Teramo
2022-05-20 17:00:00,98838,Teramo
2022-05-21 17:00:00,98999,Teramo
2022-05-22 17:00:00,99128,Teramo
2022-05-23 17:00:00,99185,Teramo
2022-05-24 17:00:00,99431,Teramo
2022-05-25 17:00:00,99568,Teramo
2022-05-26 17:00:00,99706,Teramo
2022-05-27 17:00:00,99825,Teramo
2022-05-28 17:00:00,99925,Teramo
2022-05-29 17:00:00,100028,Teramo
2022-05-30 17:00:00,100062,Teramo
2022-05-31 17:00:00,100226,Teramo
2022-06-01 17:00:00,100319,Teramo
2022-06-02 17:00:00,100406,Teramo
2022-06-03 17:00:00,100447,Teramo
2022-06-04 17:00:00,100551,Teramo
2022-06-05 17:00:00,100617,Teramo
2022-06-06 17:00:00,100652,Teramo
2022-06-07 17:00:00,100791,Teramo
2022-06-08 17:00:00,100891,Teramo
2022-06-09 17:00:00,101024,Teramo
2022-06-10 17:00:00,101128,Teramo
2022-06-11 17:00:00,101227,Teramo
2022-06-12 17:00:00,101316,Teramo
2022-06-13 17:00:00,101358,Teramo
2022-06-14 17:00:00,101557,Teramo
2022-06-15 17:00:00,101702,Teramo
2022-06-16 17:00:00,101877,Teramo
2022-06-17 17:00:00,102062,Teramo
2022-06-18 17:00:00,102254,Teramo
2022-06-19 17:00:00,102383,Teramo
2022-06-20 17:00:00,102447,Teramo
2022-06-21 17:00:00,102786,Teramo
2022-06-22 17:00:00,103037,Teramo
2022-06-23 17:00:00,103315,Teramo
2022-06-24 17:00:00,103619,Teramo
2022-06-25 17:00:00,103930,Teramo
2022-06-26 17:00:00,104192,Teramo
2022-06-27 17:00:00,104296,Teramo
2022-06-28 17:00:00,104837,Teramo
2022-06-29 17:00:00,105293,Teramo
2022-06-30 17:00:00,105804,Teramo
2022-07-01 17:00:00,106298,Teramo
2022-07-02 17:00:00,106774,Teramo
2022-07-03 17:00:00,107178,Teramo
2022-07-04 17:00:00,107420,Teramo
2022-07-05 17:00:00,108238,Teramo
2022-07-06 17:00:00,108794,Teramo
2022-07-07 17:00:00,0,Teramo
2022-07-08 17:00:00,110038,Teramo
2022-07-09 17:00:00,110714,Teramo
2022-07-10 17:00:00,111172,Teramo
2022-07-11 17:00:00,111453,Teramo
2022-07-12 17:00:00,112384,Teramo
2022-07-13 17:00:00,113026,Teramo
2022-07-14 17:00:00,113710,Teramo
2022-07-15 17:00:00,114359,Teramo
2022-07-16 17:00:00,114913,Teramo
2022-07-17 17:00:00,115402,Teramo
2022-07-18 17:00:00,115701,Teramo
2022-07-19 17:00:00,116535,Teramo
2022-07-20 17:00:00,117213,Teramo
2022-07-21 17:00:00,117821,Teramo
2022-07-22 17:00:00,118434,Teramo
2022-07-23 17:00:00,118979,Teramo
2022-07-24 17:00:00,119372,Teramo
2022-07-25 17:00:00,119600,Teramo
2022-07-26 17:00:00,120375,Teramo
2022-07-27 17:00:00,120897,Teramo
2022-07-28 17:00:00,121446,Teramo
2022-07-29 17:00:00,121897,Teramo
2022-07-30 17:00:00,122289,Teramo
2022-07-31 17:00:00,122612,Teramo
2022-08-01 17:00:00,122819,Teramo
2022-08-02 17:00:00,123456,Teramo
2022-08-03 17:00:00,123894,Teramo
2022-08-04 17:00:00,124264,Teramo
2022-08-05 17:00:00,124627,Teramo
2022-08-06 17:00:00,124963,Teramo
2022-08-07 17:00:00,125225,Teramo
2022-08-08 17:00:00,125360,Teramo
2022-08-09 17:00:00,125794,Teramo
2022-08-10 17:00:00,126074,Teramo
2022-08-11 17:00:00,126359,Teramo
2022-08-12 17:00:00,126620,Teramo
2022-08-13 17:00:00,126829,Teramo
2022-08-14 17:00:00,127005,Teramo
2022-08-15 17:00:00,127085,Teramo
2022-08-16 17:00:00,127190,Teramo
2022-08-17 17:00:00,127530,Teramo
2022-08-18 17:00:00,127749,Teramo
2022-08-19 17:00:00,127994,Teramo
2022-08-20 17:00:00,128207,Teramo
2022-08-21 17:00:00,128378,Teramo
2022-08-22 17:00:00,128473,Teramo
2022-08-23 17:00:00,128763,Teramo
2022-08-24 17:00:00,128985,Teramo
2022-08-25 17:00:00,129176,Teramo
2022-08-26 17:00:00,129354,Teramo
2022-08-27 17:00:00,129556,Teramo
2022-08-28 17:00:00,129682,Teramo
2022-08-29 17:00:00,129774,Teramo
2022-08-30 17:00:00,130026,Teramo
2022-08-31 17:00:00,130183,Teramo
2022-09-01 17:00:00,130320,Teramo
2022-09-02 17:00:00,130483,Teramo
2022-09-03 17:00:00,130618,Teramo
2022-09-04 17:00:00,130702,Teramo
2022-09-05 17:00:00,130756,Teramo
2022-09-06 17:00:00,130929,Teramo
2022-09-07 17:00:00,131047,Teramo
2022-09-08 17:00:00,131185,Teramo
2022-09-09 17:00:00,131290,Teramo
2022-09-10 17:00:00,131431,Teramo
2022-09-11 17:00:00,131495,Teramo
2022-09-12 17:00:00,131539,Teramo
2022-09-13 17:00:00,131704,Teramo
2022-09-14 17:00:00,131827,Teramo
2022-09-15 17:00:00,131944,Teramo
2022-09-16 17:00:00,132055,Teramo
2022-09-17 17:00:00,132190,Teramo
2022-09-18 17:00:00,132275,Teramo
2022-09-19 17:00:00,132326,Teramo
2022-09-20 17:00:00,132489,Teramo
2022-09-21 17:00:00,132595,Teramo
2022-09-22 17:00:00,132745,Teramo
2022-09-23 17:00:00,132879,Teramo
2022-09-24 17:00:00,133017,Teramo
2022-09-25 17:00:00,133117,Teramo
2022-09-26 17:00:00,133188,Teramo
2022-09-27 17:00:00,133503,Teramo
2022-09-28 17:00:00,133729,Teramo
2022-09-29 17:00:00,133980,Teramo
2022-09-30 17:00:00,134207,Teramo
2022-10-01 17:00:00,134441,Teramo
2022-10-02 17:00:00,134623,Teramo
2022-10-03 17:00:00,134737,Teramo
2022-10-04 17:00:00,135091,Teramo
2022-10-05 17:00:00,135323,Teramo
2022-10-06 17:00:00,135541,Teramo
2022-10-07 17:00:00,135762,Teramo
2022-10-08 17:00:00,136020,Teramo
2022-10-09 17:00:00,136203,Teramo
2022-10-10 17:00:00,136303,Teramo
2022-10-11 17:00:00,136684,Teramo
2022-10-12 17:00:00,136910,Teramo
2022-10-13 17:00:00,137138,Teramo
2022-10-14 17:00:00,137328,Teramo
2022-10-15 17:00:00,137534,Teramo
2022-10-16 17:00:00,137675,Teramo
2022-10-17 17:00:00,137736,Teramo
2022-10-18 17:00:00,138036,Teramo
2022-10-19 17:00:00,138262,Teramo
2022-10-20 17:00:00,138440,Teramo
2022-10-21 17:00:00,138605,Teramo
2022-10-22 17:00:00,138768,Teramo
2022-10-23 17:00:00,138885,Teramo
2022-10-24 17:00:00,138970,Teramo
2022-10-25 17:00:00,139205,Teramo
2022-10-26 17:00:00,139396,Teramo
2022-10-27 17:00:00,139596,Teramo
