data,totale_casi,denominazione_provincia
2022-01-01 17:00:00,19688,Terni
2022-01-02 17:00:00,19977,Terni
2022-01-03 17:00:00,20133,Terni
2022-01-04 17:00:00,21168,Terni
2022-01-05 17:00:00,22249,Terni
2022-01-06 17:00:00,23077,Terni
2022-01-07 17:00:00,23484,Terni
2022-01-08 17:00:00,24496,Terni
2022-01-09 17:00:00,25180,Terni
2022-01-10 17:00:00,25445,Terni
2022-01-11 17:00:00,26331,Terni
2022-01-12 17:00:00,27039,Terni
2022-01-13 17:00:00,27584,Terni
2022-01-14 17:00:00,28140,Terni
2022-01-15 17:00:00,28632,Terni
2022-01-16 17:00:00,29057,Terni
2022-01-17 17:00:00,29246,Terni
2022-01-18 17:00:00,29841,Terni
2022-01-19 17:00:00,30450,Terni
2022-01-20 17:00:00,30895,Terni
2022-01-21 17:00:00,31338,Terni
2022-01-22 17:00:00,31870,Terni
2022-01-23 17:00:00,32227,Terni
2022-01-24 17:00:00,32415,Terni
2022-01-25 17:00:00,33025,Terni
2022-01-26 17:00:00,33474,Terni
2022-01-27 17:00:00,33895,Terni
2022-01-28 17:00:00,34302,Terni
2022-01-29 17:00:00,34758,Terni
2022-01-30 17:00:00,35068,Terni
2022-01-31 17:00:00,35183,Terni
2022-02-01 17:00:00,35651,Terni
2022-02-02 17:00:00,35989,Terni
2022-02-03 17:00:00,36436,Terni
2022-02-04 17:00:00,36775,Terni
2022-02-05 17:00:00,37189,Terni
2022-02-06 17:00:00,37505,Terni
2022-02-07 17:00:00,37672,Terni
2022-02-08 17:00:00,38039,Terni
2022-02-09 17:00:00,38386,Terni
2022-02-10 17:00:00,38769,Terni
2022-02-11 17:00:00,39059,Terni
2022-02-12 17:00:00,39282,Terni
2022-02-13 17:00:00,39538,Terni
2022-02-14 17:00:00,39599,Terni
2022-02-15 17:00:00,39833,Terni
2022-02-16 17:00:00,40107,Terni
2022-02-17 17:00:00,40358,Terni
2022-02-18 17:00:00,40630,Terni
2022-02-19 17:00:00,40815,Terni
2022-02-20 17:00:00,41033,Terni
2022-02-21 17:00:00,41104,Terni
2022-02-22 17:00:00,41353,Terni
2022-02-23 17:00:00,41564,Terni
2022-02-24 17:00:00,41770,Terni
2022-02-25 17:00:00,41982,Terni
2022-02-26 17:00:00,42174,Terni
2022-02-27 17:00:00,42346,Terni
2022-02-28 17:00:00,42386,Terni
2022-03-01 17:00:00,42663,Terni
2022-03-02 17:00:00,42873,Terni
2022-03-03 17:00:00,43110,Terni
2022-03-04 17:00:00,43345,Terni
2022-03-05 17:00:00,43549,Terni
2022-03-06 17:00:00,43786,Terni
2022-03-07 17:00:00,43869,Terni
2022-03-08 17:00:00,44262,Terni
2022-03-09 17:00:00,44515,Terni
2022-03-10 17:00:00,45019,Terni
2022-03-11 17:00:00,45448,Terni
2022-03-12 17:00:00,45857,Terni
2022-03-13 17:00:00,46281,Terni
2022-03-14 17:00:00,46390,Terni
2022-03-15 17:00:00,47082,Terni
2022-03-16 17:00:00,47598,Terni
2022-03-17 17:00:00,48212,Terni
2022-03-18 17:00:00,48777,Terni
2022-03-19 17:00:00,49299,Terni
2022-03-20 17:00:00,49694,Terni
2022-03-21 17:00:00,49818,Terni
2022-03-22 17:00:00,50449,Terni
2022-03-23 17:00:00,50944,Terni
2022-03-24 17:00:00,51342,Terni
2022-03-25 17:00:00,51800,Terni
2022-03-26 17:00:00,52157,Terni
2022-03-27 17:00:00,52492,Terni
2022-03-28 17:00:00,52562,Terni
2022-03-29 17:00:00,53045,Terni
2022-03-30 17:00:00,53427,Terni
2022-03-31 17:00:00,53724,Terni
2022-04-01 17:00:00,54062,Terni
2022-04-02 17:00:00,54329,Terni
2022-04-03 17:00:00,54590,Terni
2022-04-04 17:00:00,54640,Terni
2022-04-05 17:00:00,55064,Terni
2022-04-06 17:00:00,55380,Terni
2022-04-07 17:00:00,55643,Terni
2022-04-08 17:00:00,55910,Terni
2022-04-09 17:00:00,56181,Terni
2022-04-10 17:00:00,56443,Terni
2022-04-11 17:00:00,56528,Terni
2022-04-12 17:00:00,56796,Terni
2022-04-13 17:00:00,57088,Terni
2022-04-14 17:00:00,57304,Terni
2022-04-15 17:00:00,57553,Terni
2022-04-16 17:00:00,57785,Terni
2022-04-17 17:00:00,58005,Terni
2022-04-18 17:00:00,58093,Terni
2022-04-19 17:00:00,58143,Terni
2022-04-20 17:00:00,58562,Terni
2022-04-21 17:00:00,58917,Terni
2022-04-22 17:00:00,59168,Terni
2022-04-23 17:00:00,59547,Terni
2022-04-24 17:00:00,59797,Terni
2022-04-25 17:00:00,59884,Terni
2022-04-26 17:00:00,59918,Terni
