data,totale_casi,denominazione_provincia
2022-01-01 17:00:00,263272,Torino
2022-01-02 17:00:00,264517,Torino
2022-01-03 17:00:00,266640,Torino
2022-01-04 17:00:00,276037,Torino
2022-01-05 17:00:00,283898,Torino
2022-01-06 17:00:00,290404,Torino
2022-01-07 17:00:00,293959,Torino
2022-01-08 17:00:00,302855,Torino
2022-01-09 17:00:00,308094,Torino
2022-01-10 17:00:00,312140,Torino
2022-01-11 17:00:00,321452,Torino
2022-01-12 17:00:00,330271,Torino
2022-01-13 17:00:00,337989,Torino
2022-01-14 17:00:00,345681,Torino
2022-01-15 17:00:00,353125,Torino
2022-01-16 17:00:00,361543,Torino
2022-01-17 17:00:00,366436,Torino
2022-01-18 17:00:00,376180,Torino
2022-01-19 17:00:00,384881,Torino
2022-01-20 17:00:00,393265,Torino
2022-01-21 17:00:00,401452,Torino
2022-01-22 17:00:00,409032,Torino
2022-01-23 17:00:00,413802,Torino
2022-01-24 17:00:00,417951,Torino
2022-01-25 17:00:00,427978,Torino
2022-01-26 17:00:00,435820,Torino
2022-01-27 17:00:00,442258,Torino
2022-01-28 17:00:00,448704,Torino
2022-01-29 17:00:00,454029,Torino
2022-01-30 17:00:00,457676,Torino
2022-01-31 17:00:00,460944,Torino
2022-02-01 17:00:00,466331,Torino
2022-02-02 17:00:00,471502,Torino
2022-02-03 17:00:00,475352,Torino
2022-02-04 17:00:00,479263,Torino
2022-02-05 17:00:00,482652,Torino
2022-02-06 17:00:00,484743,Torino
2022-02-07 17:00:00,486787,Torino
2022-02-08 17:00:00,490338,Torino
2022-02-09 17:00:00,493178,Torino
2022-02-10 17:00:00,495487,Torino
2022-02-11 17:00:00,497833,Torino
2022-02-12 17:00:00,499759,Torino
2022-02-13 17:00:00,500984,Torino
2022-02-14 17:00:00,502392,Torino
2022-02-15 17:00:00,504482,Torino
2022-02-16 17:00:00,506243,Torino
2022-02-17 17:00:00,507995,Torino
2022-02-18 17:00:00,509452,Torino
2022-02-19 17:00:00,510732,Torino
2022-02-20 17:00:00,511633,Torino
2022-02-21 17:00:00,512730,Torino
2022-02-22 17:00:00,514327,Torino
2022-02-23 17:00:00,515640,Torino
2022-02-24 17:00:00,516920,Torino
2022-02-25 17:00:00,518030,Torino
