data,totale_casi,denominazione_provincia
2022-01-01 17:00:00,126835,Treviso
2022-01-02 17:00:00,127674,Treviso
2022-01-03 17:00:00,128906,Treviso
2022-01-04 17:00:00,132102,Treviso
2022-01-05 17:00:00,135019,Treviso
2022-01-06 17:00:00,137892,Treviso
2022-01-07 17:00:00,138908,Treviso
2022-01-08 17:00:00,143066,Treviso
2022-01-09 17:00:00,145293,Treviso
2022-01-10 17:00:00,146475,Treviso
2022-01-11 17:00:00,150493,Treviso
2022-01-12 17:00:00,153521,Treviso
2022-01-13 17:00:00,156013,Treviso
2022-01-14 17:00:00,159432,Treviso
2022-01-15 17:00:00,162612,Treviso
2022-01-16 17:00:00,165165,Treviso
2022-01-17 17:00:00,166323,Treviso
2022-01-18 17:00:00,170608,Treviso
2022-01-19 17:00:00,174594,Treviso
2022-01-20 17:00:00,179001,Treviso
2022-01-21 17:00:00,182338,Treviso
2022-01-22 17:00:00,185843,Treviso
2022-01-23 17:00:00,188526,Treviso
2022-01-24 17:00:00,189744,Treviso
2022-01-25 17:00:00,198189,Treviso
2022-01-26 17:00:00,201995,Treviso
2022-01-27 17:00:00,205873,Treviso
2022-01-28 17:00:00,208323,Treviso
2022-01-29 17:00:00,211219,Treviso
2022-01-30 17:00:00,213114,Treviso
2022-01-31 17:00:00,214148,Treviso
2022-02-01 17:00:00,216233,Treviso
2022-02-02 17:00:00,219373,Treviso
2022-02-03 17:00:00,221195,Treviso
2022-02-04 17:00:00,223032,Treviso
2022-02-05 17:00:00,224931,Treviso
2022-02-06 17:00:00,226386,Treviso
2022-02-07 17:00:00,226841,Treviso
2022-02-08 17:00:00,228737,Treviso
2022-02-09 17:00:00,233353,Treviso
2022-02-10 17:00:00,231926,Treviso
2022-02-11 17:00:00,233120,Treviso
2022-02-12 17:00:00,234181,Treviso
2022-02-13 17:00:00,234995,Treviso
2022-02-14 17:00:00,235370,Treviso
2022-02-15 17:00:00,236555,Treviso
2022-02-16 17:00:00,237561,Treviso
2022-02-17 17:00:00,238633,Treviso
2022-02-18 17:00:00,239517,Treviso
2022-02-19 17:00:00,240305,Treviso
2022-02-20 17:00:00,240897,Treviso
2022-02-21 17:00:00,241170,Treviso
2022-02-22 17:00:00,242127,Treviso
2022-02-23 17:00:00,242853,Treviso
2022-02-24 17:00:00,243310,Treviso
2022-02-25 17:00:00,243680,Treviso
2022-02-26 17:00:00,244654,Treviso
2022-02-27 17:00:00,245115,Treviso
2022-02-28 17:00:00,245328,Treviso
2022-03-01 17:00:00,246011,Treviso
2022-03-02 17:00:00,246446,Treviso
2022-03-03 17:00:00,247033,Treviso
2022-03-04 17:00:00,247632,Treviso
2022-03-05 17:00:00,248354,Treviso
2022-03-06 17:00:00,248873,Treviso
2022-03-07 17:00:00,249138,Treviso
2022-03-08 17:00:00,249998,Treviso
2022-03-09 17:00:00,250684,Treviso
2022-03-10 17:00:00,251403,Treviso
2022-03-11 17:00:00,252109,Treviso
2022-03-12 17:00:00,252811,Treviso
2022-03-13 17:00:00,253395,Treviso
2022-03-14 17:00:00,253713,Treviso
2022-03-15 17:00:00,254660,Treviso
2022-03-16 17:00:00,255459,Treviso
2022-03-17 17:00:00,256701,Treviso
2022-03-18 17:00:00,257926,Treviso
2022-03-19 17:00:00,258961,Treviso
2022-03-20 17:00:00,259828,Treviso
2022-03-21 17:00:00,260156,Treviso
2022-03-22 17:00:00,261188,Treviso
2022-03-23 17:00:00,261760,Treviso
2022-03-24 17:00:00,263820,Treviso
2022-03-25 17:00:00,264877,Treviso
2022-03-26 17:00:00,266233,Treviso
2022-03-27 17:00:00,267053,Treviso
2022-03-28 17:00:00,267434,Treviso
2022-03-29 17:00:00,268774,Treviso
2022-03-30 17:00:00,270382,Treviso
2022-03-31 17:00:00,271596,Treviso
2022-04-01 17:00:00,272894,Treviso
2022-04-02 17:00:00,274029,Treviso
2022-04-03 17:00:00,274938,Treviso
2022-04-04 17:00:00,275380,Treviso
2022-04-05 17:00:00,276760,Treviso
2022-04-06 17:00:00,278052,Treviso
2022-04-07 17:00:00,279376,Treviso
2022-04-08 17:00:00,280600,Treviso
2022-04-09 17:00:00,281809,Treviso
2022-04-10 17:00:00,282852,Treviso
2022-04-11 17:00:00,283230,Treviso
2022-04-12 17:00:00,284565,Treviso
2022-04-13 17:00:00,285944,Treviso
2022-04-14 17:00:00,287208,Treviso
2022-04-15 17:00:00,288319,Treviso
2022-04-16 17:00:00,289395,Treviso
2022-04-17 17:00:00,290255,Treviso
2022-04-18 17:00:00,290615,Treviso
2022-04-19 17:00:00,291101,Treviso
2022-04-20 17:00:00,292731,Treviso
2022-04-21 17:00:00,294085,Treviso
