data,totale_casi,denominazione_provincia
2022-01-01 17:00:00,109848,Venezia
2022-01-02 17:00:00,110820,Venezia
2022-01-03 17:00:00,111692,Venezia
2022-01-04 17:00:00,114089,Venezia
2022-01-05 17:00:00,116722,Venezia
2022-01-06 17:00:00,119403,Venezia
2022-01-07 17:00:00,120528,Venezia
2022-01-08 17:00:00,123731,Venezia
2022-01-09 17:00:00,125607,Venezia
2022-01-10 17:00:00,126856,Venezia
2022-01-11 17:00:00,130020,Venezia
2022-01-12 17:00:00,133028,Venezia
2022-01-13 17:00:00,135696,Venezia
2022-01-14 17:00:00,138247,Venezia
2022-01-15 17:00:00,141025,Venezia
2022-01-16 17:00:00,142640,Venezia
2022-01-17 17:00:00,143703,Venezia
2022-01-18 17:00:00,147174,Venezia
2022-01-19 17:00:00,149861,Venezia
2022-01-20 17:00:00,152958,Venezia
2022-01-21 17:00:00,155765,Venezia
2022-01-22 17:00:00,158552,Venezia
2022-01-23 17:00:00,160603,Venezia
2022-01-24 17:00:00,161561,Venezia
2022-01-25 17:00:00,169049,Venezia
2022-01-26 17:00:00,171767,Venezia
2022-01-27 17:00:00,174650,Venezia
2022-01-28 17:00:00,177258,Venezia
2022-01-29 17:00:00,179562,Venezia
2022-01-30 17:00:00,181459,Venezia
2022-01-31 17:00:00,182164,Venezia
2022-02-01 17:00:00,184446,Venezia
2022-02-02 17:00:00,186693,Venezia
2022-02-03 17:00:00,189054,Venezia
2022-02-04 17:00:00,191067,Venezia
2022-02-05 17:00:00,192673,Venezia
2022-02-06 17:00:00,193766,Venezia
2022-02-07 17:00:00,194254,Venezia
2022-02-08 17:00:00,196106,Venezia
2022-02-09 17:00:00,197489,Venezia
2022-02-10 17:00:00,198711,Venezia
2022-02-11 17:00:00,199812,Venezia
2022-02-12 17:00:00,200867,Venezia
2022-02-13 17:00:00,201572,Venezia
2022-02-14 17:00:00,201951,Venezia
2022-02-15 17:00:00,203348,Venezia
2022-02-16 17:00:00,204348,Venezia
2022-02-17 17:00:00,205407,Venezia
2022-02-18 17:00:00,206349,Venezia
2022-02-19 17:00:00,207315,Venezia
2022-02-20 17:00:00,208025,Venezia
2022-02-21 17:00:00,208400,Venezia
2022-02-22 17:00:00,209459,Venezia
2022-02-23 17:00:00,210434,Venezia
2022-02-24 17:00:00,211237,Venezia
2022-02-25 17:00:00,212025,Venezia
2022-02-26 17:00:00,212797,Venezia
2022-02-27 17:00:00,213282,Venezia
2022-02-28 17:00:00,213549,Venezia
2022-03-01 17:00:00,214427,Venezia
2022-03-02 17:00:00,215212,Venezia
2022-03-03 17:00:00,216049,Venezia
2022-03-04 17:00:00,216847,Venezia
2022-03-05 17:00:00,217670,Venezia
2022-03-06 17:00:00,218294,Venezia
2022-03-07 17:00:00,218675,Venezia
2022-03-08 17:00:00,219789,Venezia
2022-03-09 17:00:00,220630,Venezia
2022-03-10 17:00:00,221617,Venezia
2022-03-11 17:00:00,222603,Venezia
2022-03-12 17:00:00,223593,Venezia
2022-03-13 17:00:00,224429,Venezia
2022-03-14 17:00:00,224829,Venezia
2022-03-15 17:00:00,226330,Venezia
2022-03-16 17:00:00,227639,Venezia
2022-03-17 17:00:00,229110,Venezia
2022-03-18 17:00:00,230253,Venezia
2022-03-19 17:00:00,231648,Venezia
2022-03-20 17:00:00,232486,Venezia
2022-03-21 17:00:00,232909,Venezia
2022-03-22 17:00:00,234585,Venezia
2022-03-23 17:00:00,235975,Venezia
2022-03-24 17:00:00,237405,Venezia
2022-03-25 17:00:00,238783,Venezia
2022-03-26 17:00:00,240128,Venezia
2022-03-27 17:00:00,240947,Venezia
2022-03-28 17:00:00,241312,Venezia
2022-03-29 17:00:00,243051,Venezia
2022-03-30 17:00:00,244553,Venezia
2022-03-31 17:00:00,245973,Venezia
2022-04-01 17:00:00,247294,Venezia
2022-04-02 17:00:00,248566,Venezia
2022-04-03 17:00:00,249370,Venezia
2022-04-04 17:00:00,249721,Venezia
2022-04-05 17:00:00,251238,Venezia
2022-04-06 17:00:00,252542,Venezia
2022-04-07 17:00:00,253836,Venezia
2022-04-08 17:00:00,255136,Venezia
2022-04-09 17:00:00,256364,Venezia
2022-04-10 17:00:00,257255,Venezia
2022-04-11 17:00:00,257570,Venezia
2022-04-12 17:00:00,259152,Venezia
2022-04-13 17:00:00,260435,Venezia
2022-04-14 17:00:00,261619,Venezia
2022-04-15 17:00:00,262735,Venezia
2022-04-16 17:00:00,263862,Venezia
2022-04-17 17:00:00,264601,Venezia
2022-04-18 17:00:00,264962,Venezia
2022-04-19 17:00:00,265301,Venezia
2022-04-20 17:00:00,266993,Venezia
2022-04-21 17:00:00,268308,Venezia
2022-04-22 17:00:00,269504,Venezia
2022-04-23 17:00:00,270732,Venezia
2022-04-24 17:00:00,271543,Venezia
2022-04-25 17:00:00,271954,Venezia
2022-04-26 17:00:00,272363,Venezia
2022-04-27 17:00:00,273896,Venezia
2022-04-28 17:00:00,275146,Venezia
2022-04-29 17:00:00,276171,Venezia
2022-04-30 17:00:00,277109,Venezia
2022-05-01 17:00:00,277760,Venezia
2022-05-02 17:00:00,277880,Venezia
2022-05-03 17:00:00,279039,Venezia
2022-05-04 17:00:00,279899,Venezia
2022-05-05 17:00:00,280675,Venezia
2022-05-06 17:00:00,281386,Venezia
2022-05-07 17:00:00,282072,Venezia
2022-05-08 17:00:00,282517,Venezia
2022-05-09 17:00:00,282801,Venezia
2022-05-10 17:00:00,283664,Venezia
2022-05-11 17:00:00,284316,Venezia
2022-05-12 17:00:00,284989,Venezia
2022-05-13 17:00:00,285594,Venezia
2022-05-14 17:00:00,286168,Venezia
2022-05-15 17:00:00,286529,Venezia
2022-05-16 17:00:00,286668,Venezia
2022-05-17 17:00:00,287294,Venezia
2022-05-18 17:00:00,287691,Venezia
2022-05-19 17:00:00,288090,Venezia
2022-05-20 17:00:00,288447,Venezia
2022-05-21 17:00:00,288802,Venezia
