data,totale_casi,denominazione_provincia
2022-01-01 17:00:00,121458,Verona
2022-01-02 17:00:00,122413,Verona
2022-01-03 17:00:00,123515,Verona
2022-01-04 17:00:00,126970,Verona
2022-01-05 17:00:00,130285,Verona
2022-01-06 17:00:00,134166,Verona
2022-01-07 17:00:00,135590,Verona
2022-01-08 17:00:00,139790,Verona
2022-01-09 17:00:00,142824,Verona
2022-01-10 17:00:00,144483,Verona
2022-01-11 17:00:00,149068,Verona
2022-01-12 17:00:00,153345,Verona
2022-01-13 17:00:00,157255,Verona
2022-01-14 17:00:00,161152,Verona
2022-01-15 17:00:00,165186,Verona
2022-01-16 17:00:00,167938,Verona
2022-01-17 17:00:00,169074,Verona
2022-01-18 17:00:00,174376,Verona
2022-01-19 17:00:00,178911,Verona
2022-01-20 17:00:00,183443,Verona
2022-01-21 17:00:00,187245,Verona
2022-01-22 17:00:00,190913,Verona
2022-01-23 17:00:00,193856,Verona
2022-01-24 17:00:00,195129,Verona
2022-01-25 17:00:00,204575,Verona
2022-01-26 17:00:00,208202,Verona
2022-01-27 17:00:00,211696,Verona
2022-01-28 17:00:00,214816,Verona
2022-01-29 17:00:00,217821,Verona
2022-01-30 17:00:00,219907,Verona
2022-01-31 17:00:00,220832,Verona
2022-02-01 17:00:00,224081,Verona
2022-02-02 17:00:00,226584,Verona
2022-02-03 17:00:00,228813,Verona
2022-02-04 17:00:00,230762,Verona
2022-02-05 17:00:00,232513,Verona
2022-02-06 17:00:00,233999,Verona
2022-02-07 17:00:00,234654,Verona
2022-02-08 17:00:00,236668,Verona
2022-02-09 17:00:00,238200,Verona
2022-02-10 17:00:00,239464,Verona
2022-02-11 17:00:00,240578,Verona
2022-02-12 17:00:00,241712,Verona
2022-02-13 17:00:00,242554,Verona
2022-02-14 17:00:00,242950,Verona
2022-02-15 17:00:00,244215,Verona
2022-02-16 17:00:00,245079,Verona
2022-02-17 17:00:00,246054,Verona
2022-02-18 17:00:00,246883,Verona
2022-02-19 17:00:00,247739,Verona
2022-02-20 17:00:00,248377,Verona
2022-02-21 17:00:00,248735,Verona
2022-02-22 17:00:00,249847,Verona
2022-02-23 17:00:00,250611,Verona
2022-02-24 17:00:00,251389,Verona
2022-02-25 17:00:00,252050,Verona
2022-02-26 17:00:00,252688,Verona
2022-02-27 17:00:00,253044,Verona
2022-02-28 17:00:00,253268,Verona
2022-03-01 17:00:00,253998,Verona
2022-03-02 17:00:00,254483,Verona
2022-03-03 17:00:00,255066,Verona
2022-03-04 17:00:00,255660,Verona
2022-03-05 17:00:00,256200,Verona
2022-03-06 17:00:00,256533,Verona
2022-03-07 17:00:00,256800,Verona
2022-03-08 17:00:00,257595,Verona
2022-03-09 17:00:00,258196,Verona
2022-03-10 17:00:00,258852,Verona
2022-03-11 17:00:00,259526,Verona
2022-03-12 17:00:00,260216,Verona
2022-03-13 17:00:00,260750,Verona
2022-03-14 17:00:00,261002,Verona
2022-03-15 17:00:00,262187,Verona
2022-03-16 17:00:00,263075,Verona
2022-03-17 17:00:00,264057,Verona
2022-03-18 17:00:00,264811,Verona
2022-03-19 17:00:00,265831,Verona
2022-03-20 17:00:00,266497,Verona
2022-03-21 17:00:00,266833,Verona
2022-03-22 17:00:00,268136,Verona
2022-03-23 17:00:00,269147,Verona
2022-03-24 17:00:00,270273,Verona
2022-03-25 17:00:00,271325,Verona
2022-03-26 17:00:00,272403,Verona
2022-03-27 17:00:00,273186,Verona
2022-03-28 17:00:00,273548,Verona
2022-03-29 17:00:00,275154,Verona
2022-03-30 17:00:00,276350,Verona
2022-03-31 17:00:00,277463,Verona
2022-04-01 17:00:00,278614,Verona
2022-04-02 17:00:00,279651,Verona
2022-04-03 17:00:00,280406,Verona
2022-04-04 17:00:00,280817,Verona
2022-04-05 17:00:00,282200,Verona
2022-04-06 17:00:00,283282,Verona
2022-04-07 17:00:00,284566,Verona
2022-04-08 17:00:00,285650,Verona
2022-04-09 17:00:00,286679,Verona
2022-04-10 17:00:00,287501,Verona
2022-04-11 17:00:00,287886,Verona
2022-04-12 17:00:00,289276,Verona
2022-04-13 17:00:00,290335,Verona
2022-04-14 17:00:00,291408,Verona
2022-04-15 17:00:00,292437,Verona
2022-04-16 17:00:00,293517,Verona
2022-04-17 17:00:00,294373,Verona
2022-04-18 17:00:00,294628,Verona
2022-04-19 17:00:00,294928,Verona
2022-04-20 17:00:00,296709,Verona
2022-04-21 17:00:00,297938,Verona
2022-04-22 17:00:00,299028,Verona
2022-04-23 17:00:00,300231,Verona
2022-04-24 17:00:00,301061,Verona
2022-04-25 17:00:00,301410,Verona
2022-04-26 17:00:00,301761,Verona
2022-04-27 17:00:00,303380,Verona
2022-04-28 17:00:00,304597,Verona
2022-04-29 17:00:00,305604,Verona
2022-04-30 17:00:00,306535,Verona
2022-05-01 17:00:00,307203,Verona
2022-05-02 17:00:00,307382,Verona
2022-05-03 17:00:00,308458,Verona
2022-05-04 17:00:00,309283,Verona
2022-05-05 17:00:00,310042,Verona
2022-05-06 17:00:00,310785,Verona
2022-05-07 17:00:00,311520,Verona
2022-05-08 17:00:00,312049,Verona
2022-05-09 17:00:00,312198,Verona
2022-05-10 17:00:00,313329,Verona
2022-05-11 17:00:00,314072,Verona
2022-05-12 17:00:00,314736,Verona
2022-05-13 17:00:00,315365,Verona
2022-05-14 17:00:00,315954,Verona
2022-05-15 17:00:00,316431,Verona
2022-05-16 17:00:00,316574,Verona
2022-05-17 17:00:00,317358,Verona
2022-05-18 17:00:00,317838,Verona
2022-05-19 17:00:00,318274,Verona
2022-05-20 17:00:00,318680,Verona
2022-05-21 17:00:00,319043,Verona
2022-05-22 17:00:00,319309,Verona
2022-05-23 17:00:00,319402,Verona
2022-05-24 17:00:00,319880,Verona
2022-05-25 17:00:00,320162,Verona
2022-05-26 17:00:00,320479,Verona
2022-05-27 17:00:00,320698,Verona
2022-05-28 17:00:00,320982,Verona
2022-05-29 17:00:00,321184,Verona
2022-05-30 17:00:00,321230,Verona
2022-05-31 17:00:00,321556,Verona
2022-06-01 17:00:00,321768,Verona
2022-06-02 17:00:00,321967,Verona
2022-06-03 17:00:00,322030,Verona
2022-06-04 17:00:00,322314,Verona
2022-06-05 17:00:00,322515,Verona
2022-06-06 17:00:00,322578,Verona
2022-06-07 17:00:00,322983,Verona
2022-06-08 17:00:00,323311,Verona
2022-06-09 17:00:00,323647,Verona
2022-06-10 17:00:00,323990,Verona
2022-06-11 17:00:00,324317,Verona
2022-06-12 17:00:00,324585,Verona
2022-06-13 17:00:00,324665,Verona
2022-06-14 17:00:00,325256,Verona
2022-06-15 17:00:00,325785,Verona
2022-06-16 17:00:00,326374,Verona
2022-06-17 17:00:00,327019,Verona
2022-06-18 17:00:00,327647,Verona
2022-06-19 17:00:00,328143,Verona
2022-06-20 17:00:00,328286,Verona
2022-06-21 17:00:00,329407,Verona
2022-06-22 17:00:00,330240,Verona
2022-06-23 17:00:00,331131,Verona
