data,totale_casi,denominazione_provincia
2022-01-01 17:00:00,10890,Vibo Valentia
2022-01-02 17:00:00,11005,Vibo Valentia
2022-01-03 17:00:00,11202,Vibo Valentia
2022-01-04 17:00:00,11615,Vibo Valentia
2022-01-05 17:00:00,12182,Vibo Valentia
2022-01-06 17:00:00,12761,Vibo Valentia
2022-01-07 17:00:00,13005,Vibo Valentia
2022-01-08 17:00:00,13574,Vibo Valentia
2022-01-09 17:00:00,14022,Vibo Valentia
2022-01-10 17:00:00,14126,Vibo Valentia
2022-01-11 17:00:00,14529,Vibo Valentia
2022-01-12 17:00:00,15081,Vibo Valentia
2022-01-13 17:00:00,15417,Vibo Valentia
2022-01-14 17:00:00,15690,Vibo Valentia
2022-01-15 17:00:00,16055,Vibo Valentia
2022-01-16 17:00:00,16526,Vibo Valentia
2022-01-17 17:00:00,16633,Vibo Valentia
2022-01-18 17:00:00,17014,Vibo Valentia
2022-01-19 17:00:00,17328,Vibo Valentia
2022-01-20 17:00:00,17650,Vibo Valentia
2022-01-21 17:00:00,17921,Vibo Valentia
2022-01-22 17:00:00,18132,Vibo Valentia
2022-01-23 17:00:00,18393,Vibo Valentia
2022-01-24 17:00:00,18443,Vibo Valentia
2022-01-25 17:00:00,18777,Vibo Valentia
2022-01-26 17:00:00,19037,Vibo Valentia
2022-01-27 17:00:00,19282,Vibo Valentia
2022-01-28 17:00:00,19559,Vibo Valentia
2022-01-29 17:00:00,19803,Vibo Valentia
2022-01-30 17:00:00,19925,Vibo Valentia
2022-01-31 17:00:00,20189,Vibo Valentia
2022-02-01 17:00:00,20489,Vibo Valentia
2022-02-02 17:00:00,20835,Vibo Valentia
2022-02-03 17:00:00,21190,Vibo Valentia
2022-02-04 17:00:00,21424,Vibo Valentia
2022-02-05 17:00:00,21468,Vibo Valentia
2022-02-06 17:00:00,21507,Vibo Valentia
2022-02-07 17:00:00,21661,Vibo Valentia
2022-02-08 17:00:00,22007,Vibo Valentia
2022-02-09 17:00:00,22239,Vibo Valentia
2022-02-10 17:00:00,22499,Vibo Valentia
2022-02-11 17:00:00,22799,Vibo Valentia
2022-02-12 17:00:00,22830,Vibo Valentia
2022-02-13 17:00:00,22868,Vibo Valentia
2022-02-14 17:00:00,23004,Vibo Valentia
2022-02-15 17:00:00,23443,Vibo Valentia
2022-02-16 17:00:00,23950,Vibo Valentia
2022-02-17 17:00:00,24119,Vibo Valentia
2022-02-18 17:00:00,24306,Vibo Valentia
2022-02-19 17:00:00,24339,Vibo Valentia
2022-02-20 17:00:00,24368,Vibo Valentia
2022-02-21 17:00:00,24708,Vibo Valentia
2022-02-22 17:00:00,25000,Vibo Valentia
2022-02-23 17:00:00,25260,Vibo Valentia
2022-02-24 17:00:00,25478,Vibo Valentia
2022-02-25 17:00:00,25614,Vibo Valentia
2022-02-26 17:00:00,25621,Vibo Valentia
2022-02-27 17:00:00,25650,Vibo Valentia
2022-02-28 17:00:00,26057,Vibo Valentia
2022-03-01 17:00:00,26331,Vibo Valentia
2022-03-02 17:00:00,26367,Vibo Valentia
2022-03-03 17:00:00,26586,Vibo Valentia
2022-03-04 17:00:00,26794,Vibo Valentia
2022-03-05 17:00:00,26821,Vibo Valentia
2022-03-06 17:00:00,26824,Vibo Valentia
2022-03-07 17:00:00,27108,Vibo Valentia
2022-03-08 17:00:00,27645,Vibo Valentia
2022-03-09 17:00:00,27918,Vibo Valentia
2022-03-10 17:00:00,28247,Vibo Valentia
2022-03-11 17:00:00,28539,Vibo Valentia
2022-03-12 17:00:00,28719,Vibo Valentia
2022-03-13 17:00:00,28755,Vibo Valentia
2022-03-14 17:00:00,28779,Vibo Valentia
2022-03-15 17:00:00,29284,Vibo Valentia
2022-03-16 17:00:00,29688,Vibo Valentia
2022-03-17 17:00:00,30032,Vibo Valentia
2022-03-18 17:00:00,30290,Vibo Valentia
2022-03-19 17:00:00,30472,Vibo Valentia
2022-03-20 17:00:00,30540,Vibo Valentia
2022-03-21 17:00:00,30953,Vibo Valentia
2022-03-22 17:00:00,31412,Vibo Valentia
2022-03-23 17:00:00,31686,Vibo Valentia
2022-03-24 17:00:00,31962,Vibo Valentia
2022-03-25 17:00:00,32227,Vibo Valentia
2022-03-26 17:00:00,32402,Vibo Valentia
2022-03-27 17:00:00,32438,Vibo Valentia
2022-03-28 17:00:00,32665,Vibo Valentia
2022-03-29 17:00:00,33058,Vibo Valentia
2022-03-30 17:00:00,33360,Vibo Valentia
2022-03-31 17:00:00,33568,Vibo Valentia
2022-04-01 17:00:00,33771,Vibo Valentia
2022-04-02 17:00:00,33947,Vibo Valentia
2022-04-03 17:00:00,34002,Vibo Valentia
2022-04-04 17:00:00,34373,Vibo Valentia
2022-04-05 17:00:00,34733,Vibo Valentia
2022-04-06 17:00:00,34890,Vibo Valentia
2022-04-07 17:00:00,35092,Vibo Valentia
2022-04-08 17:00:00,35281,Vibo Valentia
2022-04-09 17:00:00,35350,Vibo Valentia
2022-04-10 17:00:00,35502,Vibo Valentia
2022-04-11 17:00:00,35715,Vibo Valentia
2022-04-12 17:00:00,35997,Vibo Valentia
2022-04-13 17:00:00,36206,Vibo Valentia
2022-04-14 17:00:00,36391,Vibo Valentia
2022-04-15 17:00:00,36505,Vibo Valentia
2022-04-16 17:00:00,36601,Vibo Valentia
2022-04-17 17:00:00,36729,Vibo Valentia
2022-04-18 17:00:00,36849,Vibo Valentia
2022-04-19 17:00:00,36876,Vibo Valentia
2022-04-20 17:00:00,37068,Vibo Valentia
2022-04-21 17:00:00,37222,Vibo Valentia
2022-04-22 17:00:00,37404,Vibo Valentia
2022-04-23 17:00:00,37583,Vibo Valentia
2022-04-24 17:00:00,37715,Vibo Valentia
2022-04-25 17:00:00,37747,Vibo Valentia
2022-04-26 17:00:00,37796,Vibo Valentia
2022-04-27 17:00:00,38010,Vibo Valentia
2022-04-28 17:00:00,38166,Vibo Valentia
2022-04-29 17:00:00,38277,Vibo Valentia
2022-04-30 17:00:00,38375,Vibo Valentia
2022-05-01 17:00:00,38416,Vibo Valentia
2022-05-02 17:00:00,38418,Vibo Valentia
2022-05-03 17:00:00,38512,Vibo Valentia
2022-05-04 17:00:00,38593,Vibo Valentia
2022-05-05 17:00:00,38648,Vibo Valentia
2022-05-06 17:00:00,38764,Vibo Valentia
2022-05-07 17:00:00,38833,Vibo Valentia
2022-05-08 17:00:00,38896,Vibo Valentia
2022-05-09 17:00:00,38911,Vibo Valentia
2022-05-10 17:00:00,39011,Vibo Valentia
2022-05-11 17:00:00,39046,Vibo Valentia
2022-05-12 17:00:00,39099,Vibo Valentia
2022-05-13 17:00:00,39142,Vibo Valentia
2022-05-14 17:00:00,39212,Vibo Valentia
2022-05-15 17:00:00,39242,Vibo Valentia
2022-05-16 17:00:00,39252,Vibo Valentia
2022-05-17 17:00:00,39315,Vibo Valentia
2022-05-18 17:00:00,39348,Vibo Valentia
2022-05-19 17:00:00,39394,Vibo Valentia
2022-05-20 17:00:00,39425,Vibo Valentia
2022-05-21 17:00:00,39467,Vibo Valentia
2022-05-22 17:00:00,39487,Vibo Valentia
2022-05-23 17:00:00,39491,Vibo Valentia
2022-05-24 17:00:00,39542,Vibo Valentia
2022-05-25 17:00:00,39571,Vibo Valentia
2022-05-26 17:00:00,39601,Vibo Valentia
2022-05-27 17:00:00,39631,Vibo Valentia
2022-05-28 17:00:00,39646,Vibo Valentia
2022-05-29 17:00:00,39662,Vibo Valentia
2022-05-30 17:00:00,39675,Vibo Valentia
