data,totale_casi,denominazione_provincia
2022-01-01 17:00:00,23742,Viterbo
2022-01-02 17:00:00,24021,Viterbo
2022-01-03 17:00:00,24225,Viterbo
2022-01-04 17:00:00,24859,Viterbo
2022-01-05 17:00:00,25881,Viterbo
2022-01-06 17:00:00,26656,Viterbo
2022-01-07 17:00:00,27040,Viterbo
2022-01-08 17:00:00,27790,Viterbo
2022-01-09 17:00:00,28311,Viterbo
2022-01-10 17:00:00,28622,Viterbo
2022-01-11 17:00:00,29310,Viterbo
2022-01-12 17:00:00,29921,Viterbo
2022-01-13 17:00:00,30550,Viterbo
2022-01-14 17:00:00,30959,Viterbo
2022-01-15 17:00:00,31569,Viterbo
2022-01-16 17:00:00,32125,Viterbo
2022-01-17 17:00:00,32328,Viterbo
2022-01-18 17:00:00,33302,Viterbo
2022-01-19 17:00:00,34104,Viterbo
2022-01-20 17:00:00,34791,Viterbo
2022-01-21 17:00:00,35574,Viterbo
2022-01-22 17:00:00,36139,Viterbo
2022-01-23 17:00:00,36949,Viterbo
2022-01-24 17:00:00,37322,Viterbo
2022-01-25 17:00:00,38191,Viterbo
2022-01-26 17:00:00,38903,Viterbo
2022-01-27 17:00:00,39526,Viterbo
2022-01-28 17:00:00,40195,Viterbo
2022-01-29 17:00:00,40762,Viterbo
2022-01-30 17:00:00,41312,Viterbo
2022-01-31 17:00:00,41588,Viterbo
2022-02-01 17:00:00,42355,Viterbo
2022-02-02 17:00:00,42936,Viterbo
2022-02-03 17:00:00,43600,Viterbo
2022-02-04 17:00:00,44186,Viterbo
2022-02-05 17:00:00,44679,Viterbo
2022-02-06 17:00:00,45151,Viterbo
2022-02-07 17:00:00,45343,Viterbo
2022-02-08 17:00:00,45951,Viterbo
2022-02-09 17:00:00,46400,Viterbo
2022-02-10 17:00:00,46735,Viterbo
2022-02-11 17:00:00,47022,Viterbo
2022-02-12 17:00:00,47339,Viterbo
2022-02-13 17:00:00,47619,Viterbo
2022-02-14 17:00:00,47750,Viterbo
2022-02-15 17:00:00,48173,Viterbo
2022-02-16 17:00:00,48515,Viterbo
2022-02-17 17:00:00,48815,Viterbo
2022-02-18 17:00:00,49082,Viterbo
2022-02-19 17:00:00,49355,Viterbo
2022-02-20 17:00:00,49597,Viterbo
2022-02-21 17:00:00,49726,Viterbo
2022-02-22 17:00:00,50088,Viterbo
2022-02-23 17:00:00,50332,Viterbo
2022-02-24 17:00:00,50609,Viterbo
2022-02-25 17:00:00,50830,Viterbo
2022-02-26 17:00:00,51006,Viterbo
2022-02-27 17:00:00,51177,Viterbo
2022-02-28 17:00:00,51191,Viterbo
2022-03-01 17:00:00,51473,Viterbo
2022-03-02 17:00:00,51563,Viterbo
2022-03-03 17:00:00,51752,Viterbo
2022-03-04 17:00:00,51896,Viterbo
2022-03-05 17:00:00,52062,Viterbo
2022-03-06 17:00:00,52259,Viterbo
2022-03-07 17:00:00,52344,Viterbo
2022-03-08 17:00:00,52673,Viterbo
2022-03-09 17:00:00,52880,Viterbo
2022-03-10 17:00:00,53263,Viterbo
2022-03-11 17:00:00,53553,Viterbo
2022-03-12 17:00:00,53884,Viterbo
2022-03-13 17:00:00,54206,Viterbo
2022-03-14 17:00:00,54368,Viterbo
2022-03-15 17:00:00,55034,Viterbo
2022-03-16 17:00:00,55466,Viterbo
2022-03-17 17:00:00,56062,Viterbo
2022-03-18 17:00:00,56518,Viterbo
2022-03-19 17:00:00,56946,Viterbo
2022-03-20 17:00:00,57321,Viterbo
2022-03-21 17:00:00,57464,Viterbo
2022-03-22 17:00:00,58136,Viterbo
2022-03-23 17:00:00,58527,Viterbo
2022-03-24 17:00:00,59002,Viterbo
2022-03-25 17:00:00,59418,Viterbo
2022-03-26 17:00:00,59831,Viterbo
2022-03-27 17:00:00,60192,Viterbo
2022-03-28 17:00:00,60295,Viterbo
2022-03-29 17:00:00,60872,Viterbo
2022-03-30 17:00:00,61205,Viterbo
2022-03-31 17:00:00,61583,Viterbo
2022-04-01 17:00:00,61880,Viterbo
2022-04-02 17:00:00,62177,Viterbo
2022-04-03 17:00:00,62443,Viterbo
