data,agrigento_infected,alessandria_infected,ancona_infected,aosta_infected,arezzo_infected,ascoli_piceno_infected,asti_infected,avellino_infected,bari_infected,barletta-andria-trani_infected,belluno_infected,benevento_infected,bergamo_infected,biella_infected,bologna_infected,bolzano_infected,brescia_infected,brindisi_infected,cagliari_infected,caltanissetta_infected,campobasso_infected,caserta_infected,catania_infected,catanzaro_infected,chieti_infected,como_infected,cosenza_infected,cremona_infected,crotone_infected,cuneo_infected,enna_infected,fermo_infected,ferrara_infected,firenze_infected,foggia_infected,forlì-cesena_infected,frosinone_infected,genova_infected,gorizia_infected,grosseto_infected,imperia_infected,isernia_infected,l'aquila_infected,la_spezia_infected,latina_infected,lecce_infected,lecco_infected,livorno_infected,lodi_infected,lucca_infected,macerata_infected,mantova_infected,massa_carrara_infected,matera_infected,messina_infected,milano_infected,modena_infected,monza_e_della_brianza_infected,napoli_infected,novara_infected,nuoro_infected,oristano_infected,padova_infected,palermo_infected,parma_infected,pavia_infected,perugia_infected,pesaro_e_urbino_infected,pescara_infected,piacenza_infected,pisa_infected,pistoia_infected,pordenone_infected,potenza_infected,prato_infected,ragusa_infected,ravenna_infected,reggio_di_calabria_infected,reggio_nell'emilia_infected,rieti_infected,rimini_infected,roma_infected,rovigo_infected,salerno_infected,sassari_infected,savona_infected,siena_infected,siracusa_infected,sondrio_infected,sud_sardegna_infected,taranto_infected,teramo_infected,terni_infected,torino_infected,trapani_infected,trento_infected,treviso_infected,trieste_infected,udine_infected,varese_infected,venezia_infected,verbano-cusio-ossola_infected,vercelli_infected,verona_infected,vibo_valentia_infected,vicenza_infected,viterbo_infected
2022-01-01 17:00:00,22148,41768,45997,15287,36261,16932,23945,29130,111042,31581,28001,18280,82293,16710,128423,101608,146484,26568,27388,22576,12314,91011,96751,15107,28441,81750,33966,39385,10465,71121,12477,16469,34337,113519,54840,55610,43300,74362,19128,16183,24477,4715,26252,20941,51088,40032,34832,29266,27637,39670,29366,48680,19971,12295,46779,426661,86686,119405,353890,39212,14225,7642,129134,98493,39317,64367,68958,31591,26768,30657,45688,35794,32819,23799,33900,22862,47257,40878,64384,14851,54981,378572,22707,94840,24709,24431,25786,30645,20671,15147,45758,27409,19688,263272,25637,64329,126835,38237,65953,124007,109848,18287,17421,121458,10890,110961,23742
2022-01-02 17:00:00,22723,42110,46394,15410,36868,16970,24088,29385,112194,31847,28083,18290,83268,16785,129871,101967,147455,26893,27590,22753,12554,91994,97548,15219,28667,82195,34070,39637,10468,71399,12493,16479,34854,115932,55299,56779,43453,74856,19238,16400,24623,4855,26350,21454,51718,40847,35087,29510,27768,40165,29406,48961,20290,12332,47383,430606,87582,120507,357185,39351,14239,7652,129465,99194,40299,64726,69427,31776,26969,30921,46401,36155,33045,24069,34271,23266,48436,41335,65222,15004,56636,385350,22919,95457,25039,24501,26413,30958,20969,15266,46134,27965,19977,264517,26014,64737,127674,38550,66463,125082,110820,18419,17509,122413,11005,111286,24021
2022-01-03 17:00:00,22985,42574,46600,15592,37473,16981,24322,29964,113652,32074,28460,18546,84443,17016,132121,102411,149040,27370,27753,23028,12575,93390,98638,15440,29459,83060,34188,39939,10624,71952,12501,16484,35394,119131,55591,57325,43680,75035,19250,16753,24839,4857,26544,21669,51926,41592,35401,29884,28139,40627,29521,49265,20471,12476,47884,435081,88721,121883,360714,39725,14267,7670,130648,100082,41052,65364,70373,31936,27505,31517,46922,36477,33204,24218,34621,23578,49311,41714,65722,15234,57328,390095,23272,96293,25232,24670,26998,31544,21083,15407,46441,28340,20133,266640,26476,65544,128906,38612,66672,126367,111692,18619,17630,123515,11202,112439,24225
2022-01-04 17:00:00,23731,44459,47261,15844,39018,17332,25287,30560,114709,32434,28759,18901,88891,18010,134605,103721,154541,27890,27926,23443,12694,95089,99725,15740,31318,85844,34338,41556,10828,75035,12982,16733,36298,125317,56015,58232,44807,76172,19439,17357,25205,4966,27270,21936,52953,42476,37186,31120,29436,42409,29702,50919,21247,12625,49106,451870,89420,126773,367967,41383,14804,7747,133485,101182,41831,68497,72976,32020,28741,31972,49218,38017,34407,24901,36059,24220,50126,42550,66340,15653,58225,396265,24132,98280,25492,24864,28463,31771,21804,15483,46784,29341,21168,276037,26971,67834,132102,39402,68220,130314,114089,19387,18303,126970,11615,115406,24859
2022-01-05 17:00:00,24412,45814,47912,16089,40282,17688,26053,31379,116559,32969,29197,19690,93516,18592,137408,105091,160681,28454,28049,24189,12989,97417,100659,16179,32967,88532,34592,43089,10968,77335,13558,17202,37193,130673,56569,60021,45766,77156,19779,18019,25644,5167,28161,22281,53987,43409,38874,32236,30939,44229,29993,52523,22013,12867,50597,468749,90659,132169,377739,42589,15185,7947,136591,102402,43497,71205,75644,32251,30071,32284,51440,39402,35475,25531,37339,24778,51806,43350,67187,16154,60399,409213,24995,101341,25859,25209,29549,32196,22518,15651,47733,30479,22249,283898,27668,70206,135019,40296,69753,134799,116722,20099,18887,130285,12182,118426,25881
2022-01-06 17:00:00,24911,46983,49189,16455,41749,18100,26661,32101,118892,33603,29771,20326,98225,19102,144421,106683,167296,29022,28433,25338,13184,100071,104036,16444,34487,91269,34955,44770,11039,79317,14274,17684,39755,136486,57211,62440,46768,78628,20166,18623,25953,5279,28942,22681,55251,44431,40562,33527,32598,45850,30534,54227,22796,13110,52099,485785,101981,137081,387078,43603,15217,8097,139720,105612,45297,73963,77862,32502,31092,32611,53516,40768,36650,26272,38632,25973,54945,44672,73238,16648,63604,419733,25931,104321,26378,25986,30521,33742,23370,15862,47959,31663,23077,290404,28743,72802,137892,41177,71384,139330,119403,20767,19357,134166,12761,121839,26656
2022-01-07 17:00:00,26490,47648,49744,16762,42214,18172,27040,32252,120573,34129,30013,20679,100062,19389,148161,107510,169457,29536,28802,26187,13345,101397,105777,16509,34903,92347,35312,45217,11173,80358,14727,17713,40624,139681,57949,64379,47023,79353,20212,19051,26115,5325,29238,23089,55974,45696,40902,34106,32888,46394,30613,54572,23028,13359,53674,492169,104311,138713,392926,44230,15606,8368,141264,106841,47079,74613,78526,32753,31571,33102,54236,41261,37179,26962,39106,26378,56835,45334,74952,16909,65585,430015,26399,106319,26731,26557,30958,34434,24079,16042,48720,31914,23484,293959,29468,73774,138908,41684,72265,141495,120528,21159,19667,135590,13005,122679,27040
2022-01-08 17:00:00,27137,48989,50657,17500,43562,18567,27832,32833,123913,34846,30775,21142,104920,20133,152384,109736,175901,30235,29066,26885,13456,103731,108514,16823,36520,95110,35739,46937,11451,82849,15085,17957,40819,144306,59084,66130,48089,80577,20776,19705,26564,5359,30214,23458,57017,47649,42487,35278,33915,48006,30949,56500,23768,13592,55477,507162,106732,143055,400390,45743,15643,8484,144679,109280,48046,77342,81103,33077,32694,33576,56292,42659,38499,27463,40346,27752,58086,46313,75949,17322,67868,441593,27563,108700,27221,26824,32005,35906,24758,16215,49716,33420,24496,302855,30365,76820,143066,42508,74018,145483,123731,21966,20290,139790,13574,126169,27790
2022-01-09 17:00:00,28405,49758,51406,17918,44596,18916,28337,33196,125223,35291,31337,21698,108653,20521,156183,111095,180950,31184,29293,28230,14147,105579,110779,17070,36520,97567,36063,48125,11498,84139,15346,18214,42483,148357,59585,68449,49069,81060,21025,20230,26884,5571,30214,23805,59624,48846,43659,36230,34830,49275,31210,57743,24389,13919,57322,517572,106811,146316,407711,46422,15695,8615,147172,111790,50416,79110,82899,33266,32694,33918,57657,43666,39341,28177,41230,28858,60637,46931,77927,17876,70055,449759,28356,110307,27580,27140,32751,37303,25487,16275,50147,33420,25180,308094,31317,78746,145293,43170,75292,149130,125607,22355,20673,142824,14022,128711,28311
2022-01-10 17:00:00,29224,50461,51932,18312,45102,18969,28785,33311,126794,35388,31627,21526,110490,20978,160244,112230,182675,31240,29430,28583,14380,105643,112262,17221,38739,98080,36517,48449,11682,85314,15564,18273,43760,150273,59898,70468,49395,91403,21094,20412,27872,5731,31583,26291,60459,49466,43954,36825,35168,49840,31308,58092,24665,14070,58760,524927,108172,147813,408578,47054,16610,8787,148527,112886,50679,79845,83660,33373,33920,34139,58254,44106,39815,28324,41603,29470,61830,47651,79823,18131,71687,457472,28701,110697,27868,29895,33091,37970,26022,16555,50270,35309,25445,312140,32434,79910,146475,43391,76094,150689,126856,22759,20957,144483,14126,129917,28622
2022-01-11 17:00:00,30616,51835,52756,18910,46556,19221,29587,34504,129082,36096,32299,22426,114601,21778,163267,115271,189083,32086,29604,29676,14826,109644,114970,17426,40137,101359,36945,50060,11834,87853,15697,18503,44375,155490,60957,71919,50498,95812,21500,21110,29825,5836,32400,27438,62058,50917,45397,38156,36294,51300,31494,59968,25387,14282,60322,537949,113035,151644,427369,48497,17022,8877,152088,116269,52757,82370,85730,33518,35199,38196,60150,45393,40944,28953,42806,30440,63249,48646,80754,18615,73277,466386,29887,115560,28089,31250,34113,39472,26804,16641,51105,36589,26331,321452,32922,82962,150493,44195,77854,154876,130020,23412,21618,149068,14529,133648,29310
2022-01-12 17:00:00,31663,53130,53883,19466,47766,19618,30224,35622,130380,36354,32900,23323,118627,22438,167780,117581,194963,32564,29893,30628,15399,112970,118270,17634,41271,103996,37397,51455,11925,90127,15932,18709,45734,159600,61363,74027,51348,99002,21889,21686,30518,6061,33125,28348,63370,51917,46689,39229,37288,52639,31758,61518,26101,14569,61433,550014,115517,155241,444442,49849,17159,9138,155668,119673,54968,84497,87591,33794,36191,38235,61794,46474,42293,29575,43662,31334,64683,49625,83072,19106,75020,475149,30884,119935,28498,32105,34851,40913,27539,16852,51605,37474,27039,330271,33586,85240,153521,45091,79776,158213,133028,24014,22349,153345,15081,137240,29921
2022-01-13 17:00:00,32400,54322,54680,20018,48876,19877,30854,36579,131604,36642,33656,24159,122389,23031,171361,120231,200326,32876,30195,31425,15955,116121,121341,17854,42425,106257,37968,52633,13026,92151,16096,18992,46938,163858,61849,75956,52118,102066,22346,22289,31255,6232,33781,29004,64054,52531,47891,40424,38312,53844,31936,63012,26629,14865,62431,563206,117758,158483,460156,51106,17359,9338,158814,122600,56886,86517,89012,34134,37046,40852,63394,47508,43380,30234,44510,32174,67287,50600,85046,19433,77049,483011,31953,123526,28862,32914,35621,42139,28235,17082,51831,38287,27584,337989,34180,87597,156013,45824,81447,161185,135696,24520,22932,157255,15417,140715,30550
