data,totale_casi,denominazione_provincia
2023-01-01 17:00:00,213227,Ancona
2023-01-02 17:00:00,213256,Ancona
2023-01-03 17:00:00,213444,Ancona
2023-01-04 17:00:00,213584,Ancona
2023-01-05 17:00:00,213707,Ancona
2023-01-06 17:00:00,213840,Ancona
2023-01-07 17:00:00,213871,Ancona
2023-01-08 17:00:00,213980,Ancona
2023-01-09 17:00:00,214014,Ancona
2023-01-10 17:00:00,214168,Ancona
2023-01-11 17:00:00,214245,Ancona
2023-01-12 17:00:00,214315,Ancona
2023-01-13 17:00:00,214391,Ancona
2023-01-14 17:00:00,214456,Ancona
2023-01-15 17:00:00,214499,Ancona
2023-01-16 17:00:00,214530,Ancona
2023-01-17 17:00:00,214639,Ancona
2023-01-18 17:00:00,214675,Ancona
2023-01-19 17:00:00,214716,Ancona
2023-01-20 17:00:00,214767,Ancona
2023-01-21 17:00:00,214812,Ancona
2023-01-22 17:00:00,214842,Ancona
2023-01-23 17:00:00,214848,Ancona
2023-01-24 17:00:00,214888,Ancona
2023-01-25 17:00:00,214925,Ancona
2023-01-26 17:00:00,214946,Ancona
2023-01-27 17:00:00,214978,Ancona
2023-01-28 17:00:00,215019,Ancona
2023-01-29 17:00:00,215051,Ancona
2023-01-30 17:00:00,215066,Ancona
2023-01-31 17:00:00,215119,Ancona
2023-02-01 17:00:00,215146,Ancona
2023-02-02 17:00:00,215181,Ancona
2023-02-03 17:00:00,215233,Ancona
2023-02-04 17:00:00,215262,Ancona
2023-02-05 17:00:00,215285,Ancona
2023-02-06 17:00:00,215307,Ancona
2023-02-07 17:00:00,215373,Ancona
2023-02-08 17:00:00,215403,Ancona
2023-02-09 17:00:00,215434,Ancona
2023-02-10 17:00:00,215459,Ancona
2023-02-11 17:00:00,215490,Ancona
2023-02-12 17:00:00,215506,Ancona
2023-02-13 17:00:00,215530,Ancona
2023-02-14 17:00:00,215571,Ancona
2023-02-15 17:00:00,215611,Ancona
2023-02-16 17:00:00,215622,Ancona
2023-02-17 17:00:00,215665,Ancona
2023-02-18 17:00:00,215697,Ancona
2023-02-19 17:00:00,215725,Ancona
2023-02-20 17:00:00,215740,Ancona
2023-02-21 17:00:00,215798,Ancona
2023-02-22 17:00:00,215831,Ancona
2023-02-23 17:00:00,215857,Ancona
2023-02-24 17:00:00,215888,Ancona
2023-02-25 17:00:00,215918,Ancona
2023-02-26 17:00:00,215948,Ancona
2023-02-27 17:00:00,215954,Ancona
2023-02-28 17:00:00,216011,Ancona
2023-03-01 17:00:00,216032,Ancona
2023-03-02 17:00:00,216055,Ancona
2023-03-03 17:00:00,216080,Ancona
2023-03-04 17:00:00,216107,Ancona
2023-03-05 17:00:00,216126,Ancona
2023-03-06 17:00:00,216137,Ancona
2023-03-07 17:00:00,216167,Ancona
2023-03-08 17:00:00,216183,Ancona
2023-03-09 17:00:00,216203,Ancona
2023-03-10 17:00:00,216233,Ancona
2023-03-11 17:00:00,216252,Ancona
2023-03-12 17:00:00,216263,Ancona
2023-03-13 17:00:00,216290,Ancona
2023-03-14 17:00:00,216312,Ancona
2023-03-15 17:00:00,216328,Ancona
2023-03-16 17:00:00,216347,Ancona
2023-03-17 17:00:00,216370,Ancona
2023-03-18 17:00:00,216381,Ancona
2023-03-19 17:00:00,216393,Ancona
2023-03-20 17:00:00,216394,Ancona
2023-03-21 17:00:00,216419,Ancona
2023-03-22 17:00:00,216441,Ancona
2023-03-23 17:00:00,216454,Ancona
2023-03-24 17:00:00,216466,Ancona
2023-03-25 17:00:00,216476,Ancona
2023-03-26 17:00:00,216489,Ancona
2023-03-27 17:00:00,216492,Ancona
2023-03-28 17:00:00,216512,Ancona
2023-03-29 17:00:00,216527,Ancona
2023-03-30 17:00:00,216535,Ancona
2023-03-31 17:00:00,216546,Ancona
2023-04-01 17:00:00,216563,Ancona
2023-04-02 17:00:00,216572,Ancona
2023-04-03 17:00:00,216576,Ancona
2023-04-04 17:00:00,216592,Ancona
2023-04-05 17:00:00,216608,Ancona
2023-04-06 17:00:00,216629,Ancona
2023-04-07 17:00:00,216644,Ancona
2023-04-08 17:00:00,216660,Ancona
2023-04-09 17:00:00,216672,Ancona
