data,totale_casi,denominazione_provincia
2023-01-01 17:00:00,161252,Avellino
2023-01-02 17:00:00,161290,Avellino
2023-01-03 17:00:00,161571,Avellino
2023-01-04 17:00:00,161747,Avellino
2023-01-05 17:00:00,161927,Avellino
2023-01-06 17:00:00,162067,Avellino
2023-01-07 17:00:00,162097,Avellino
2023-01-08 17:00:00,162248,Avellino
2023-01-09 17:00:00,162300,Avellino
2023-01-10 17:00:00,162489,Avellino
2023-01-11 17:00:00,162602,Avellino
2023-01-12 17:00:00,162701,Avellino
2023-01-13 17:00:00,162785,Avellino
2023-01-14 17:00:00,162848,Avellino
2023-01-15 17:00:00,162908,Avellino
2023-01-16 17:00:00,162924,Avellino
2023-01-17 17:00:00,163015,Avellino
2023-01-18 17:00:00,163069,Avellino
2023-01-19 17:00:00,163141,Avellino
2023-01-20 17:00:00,163220,Avellino
2023-01-21 17:00:00,163260,Avellino
2023-01-22 17:00:00,163284,Avellino
2023-01-23 17:00:00,163299,Avellino
2023-01-24 17:00:00,163352,Avellino
2023-01-25 17:00:00,163384,Avellino
2023-01-26 17:00:00,163411,Avellino
2023-01-27 17:00:00,163434,Avellino
2023-01-28 17:00:00,163472,Avellino
2023-01-29 17:00:00,163491,Avellino
2023-01-30 17:00:00,163507,Avellino
2023-01-31 17:00:00,163536,Avellino
2023-02-01 17:00:00,163559,Avellino
2023-02-02 17:00:00,163592,Avellino
2023-02-03 17:00:00,163610,Avellino
2023-02-04 17:00:00,163632,Avellino
2023-02-05 17:00:00,163649,Avellino
2023-02-06 17:00:00,163655,Avellino
2023-02-07 17:00:00,163697,Avellino
2023-02-08 17:00:00,163728,Avellino
2023-02-09 17:00:00,163750,Avellino
2023-02-10 17:00:00,163778,Avellino
2023-02-11 17:00:00,163794,Avellino
2023-02-12 17:00:00,163812,Avellino
2023-02-13 17:00:00,163821,Avellino
2023-02-14 17:00:00,163861,Avellino
2023-02-15 17:00:00,163884,Avellino
2023-02-16 17:00:00,163907,Avellino
2023-02-17 17:00:00,163927,Avellino
2023-02-18 17:00:00,163952,Avellino
2023-02-19 17:00:00,163966,Avellino
2023-02-20 17:00:00,163977,Avellino
2023-02-21 17:00:00,164018,Avellino
2023-02-22 17:00:00,164041,Avellino
2023-02-23 17:00:00,164067,Avellino
2023-02-24 17:00:00,164086,Avellino
2023-02-25 17:00:00,164103,Avellino
2023-02-26 17:00:00,164118,Avellino
2023-02-27 17:00:00,164125,Avellino
2023-02-28 17:00:00,164159,Avellino
2023-03-01 17:00:00,164186,Avellino
2023-03-02 17:00:00,164204,Avellino
2023-03-03 17:00:00,164221,Avellino
2023-03-04 17:00:00,164243,Avellino
2023-03-05 17:00:00,164255,Avellino
2023-03-06 17:00:00,164262,Avellino
2023-03-07 17:00:00,164311,Avellino
2023-03-08 17:00:00,164326,Avellino
2023-03-09 17:00:00,164350,Avellino
2023-03-10 17:00:00,164376,Avellino
2023-03-11 17:00:00,164410,Avellino
2023-03-12 17:00:00,164427,Avellino
2023-03-13 17:00:00,164433,Avellino
2023-03-14 17:00:00,164475,Avellino
2023-03-15 17:00:00,164506,Avellino
2023-03-16 17:00:00,164536,Avellino
2023-03-17 17:00:00,164555,Avellino
2023-03-18 17:00:00,164581,Avellino
2023-03-19 17:00:00,164590,Avellino
2023-03-20 17:00:00,164598,Avellino
2023-03-21 17:00:00,164640,Avellino
2023-03-22 17:00:00,164669,Avellino
2023-03-23 17:00:00,164687,Avellino
2023-03-24 17:00:00,164711,Avellino
2023-03-25 17:00:00,164733,Avellino
2023-03-26 17:00:00,164754,Avellino
2023-03-27 17:00:00,164759,Avellino
2023-03-28 17:00:00,164797,Avellino
2023-03-29 17:00:00,164820,Avellino
2023-03-30 17:00:00,164840,Avellino
2023-03-31 17:00:00,164861,Avellino
2023-04-01 17:00:00,164892,Avellino
2023-04-02 17:00:00,164913,Avellino
2023-04-03 17:00:00,164924,Avellino
2023-04-04 17:00:00,164957,Avellino
2023-04-05 17:00:00,164988,Avellino
2023-04-06 17:00:00,165011,Avellino
2023-04-07 17:00:00,165023,Avellino
2023-04-08 17:00:00,165043,Avellino
2023-04-09 17:00:00,165054,Avellino
2023-04-10 17:00:00,165060,Avellino
2023-04-11 17:00:00,165066,Avellino
2023-04-12 17:00:00,165136,Avellino
2023-04-13 17:00:00,165184,Avellino
2023-04-14 17:00:00,165229,Avellino
2023-04-15 17:00:00,165257,Avellino
2023-04-16 17:00:00,165294,Avellino
2023-04-17 17:00:00,165303,Avellino
2023-04-18 17:00:00,165351,Avellino
2023-04-19 17:00:00,165411,Avellino
2023-04-20 17:00:00,165446,Avellino
2023-04-21 17:00:00,165475,Avellino
2023-04-22 17:00:00,165504,Avellino
2023-04-23 17:00:00,165519,Avellino
2023-04-24 17:00:00,165529,Avellino
2023-04-25 17:00:00,165570,Avellino
2023-04-26 17:00:00,165581,Avellino
2023-04-27 17:00:00,165630,Avellino
2023-04-28 17:00:00,165662,Avellino
2023-04-29 17:00:00,165694,Avellino
2023-04-30 17:00:00,165712,Avellino
2023-05-01 17:00:00,165720,Avellino
2023-05-02 17:00:00,165728,Avellino
2023-05-03 17:00:00,165767,Avellino
2023-05-04 17:00:00,165804,Avellino
2023-05-05 17:00:00,165826,Avellino
2023-05-06 17:00:00,165853,Avellino
2023-05-07 17:00:00,165869,Avellino
2023-05-08 17:00:00,165874,Avellino
2023-05-09 17:00:00,165922,Avellino
2023-05-10 17:00:00,165938,Avellino
2023-05-11 17:00:00,165955,Avellino
2023-05-12 17:00:00,165978,Avellino
2023-05-13 17:00:00,165993,Avellino
2023-05-14 17:00:00,166004,Avellino
2023-05-15 17:00:00,166010,Avellino
2023-05-16 17:00:00,166045,Avellino
2023-05-17 17:00:00,166057,Avellino
2023-05-18 17:00:00,166071,Avellino
2023-05-19 17:00:00,166086,Avellino
2023-05-20 17:00:00,166107,Avellino
2023-05-21 17:00:00,166119,Avellino
2023-05-22 17:00:00,166129,Avellino
2023-05-23 17:00:00,166153,Avellino
2023-05-24 17:00:00,166166,Avellino
2023-05-25 17:00:00,166184,Avellino
2023-05-26 17:00:00,166192,Avellino
2023-05-27 17:00:00,166205,Avellino
2023-05-28 17:00:00,166222,Avellino
2023-05-29 17:00:00,166224,Avellino
2023-05-30 17:00:00,166247,Avellino
