data,totale_casi,denominazione_provincia
2023-01-01 17:00:00,323571,Bergamo
2023-01-02 17:00:00,323610,Bergamo
2023-01-03 17:00:00,323883,Bergamo
2023-01-04 17:00:00,324049,Bergamo
2023-01-05 17:00:00,324188,Bergamo
2023-01-06 17:00:00,324323,Bergamo
2023-01-07 17:00:00,324360,Bergamo
2023-01-08 17:00:00,324501,Bergamo
2023-01-09 17:00:00,324543,Bergamo
2023-01-10 17:00:00,324785,Bergamo
2023-01-11 17:00:00,324905,Bergamo
2023-01-12 17:00:00,325006,Bergamo
2023-01-13 17:00:00,325103,Bergamo
2023-01-14 17:00:00,325192,Bergamo
2023-01-15 17:00:00,325240,Bergamo
2023-01-16 17:00:00,325262,Bergamo
2023-01-17 17:00:00,325395,Bergamo
2023-01-18 17:00:00,325494,Bergamo
2023-01-19 17:00:00,325562,Bergamo
2023-01-20 17:00:00,325632,Bergamo
2023-01-21 17:00:00,325690,Bergamo
2023-01-22 17:00:00,325729,Bergamo
2023-01-23 17:00:00,325749,Bergamo
2023-01-24 17:00:00,325855,Bergamo
2023-01-25 17:00:00,325947,Bergamo
2023-01-26 17:00:00,326016,Bergamo
2023-01-27 17:00:00,326072,Bergamo
2023-01-28 17:00:00,326131,Bergamo
2023-01-29 17:00:00,326165,Bergamo
2023-01-30 17:00:00,326183,Bergamo
2023-01-31 17:00:00,326308,Bergamo
2023-02-01 17:00:00,326399,Bergamo
2023-02-02 17:00:00,326467,Bergamo
2023-02-03 17:00:00,326540,Bergamo
2023-02-04 17:00:00,326597,Bergamo
2023-02-05 17:00:00,326629,Bergamo
2023-02-06 17:00:00,326649,Bergamo
2023-02-07 17:00:00,326749,Bergamo
2023-02-08 17:00:00,326819,Bergamo
2023-02-09 17:00:00,326888,Bergamo
2023-02-10 17:00:00,326948,Bergamo
2023-02-11 17:00:00,326997,Bergamo
2023-02-12 17:00:00,327027,Bergamo
2023-02-13 17:00:00,327043,Bergamo
2023-02-14 17:00:00,327167,Bergamo
2023-02-15 17:00:00,327223,Bergamo
2023-02-16 17:00:00,327271,Bergamo
2023-02-17 17:00:00,327321,Bergamo
2023-02-18 17:00:00,327377,Bergamo
2023-02-19 17:00:00,327407,Bergamo
2023-02-20 17:00:00,327425,Bergamo
2023-02-21 17:00:00,327497,Bergamo
2023-02-22 17:00:00,327558,Bergamo
2023-02-23 17:00:00,327612,Bergamo
2023-02-24 17:00:00,327665,Bergamo
2023-02-25 17:00:00,327713,Bergamo
2023-02-26 17:00:00,327753,Bergamo
2023-02-27 17:00:00,327769,Bergamo
2023-02-28 17:00:00,327843,Bergamo
2023-03-01 17:00:00,327899,Bergamo
2023-03-02 17:00:00,327938,Bergamo
2023-03-03 17:00:00,327988,Bergamo
2023-03-04 17:00:00,328040,Bergamo
2023-03-05 17:00:00,328066,Bergamo
2023-03-06 17:00:00,328084,Bergamo
2023-03-07 17:00:00,328204,Bergamo
2023-03-08 17:00:00,328258,Bergamo
2023-03-09 17:00:00,328322,Bergamo
2023-03-10 17:00:00,328381,Bergamo
2023-03-11 17:00:00,328441,Bergamo
2023-03-12 17:00:00,328476,Bergamo
2023-03-13 17:00:00,328489,Bergamo
2023-03-14 17:00:00,328598,Bergamo
2023-03-15 17:00:00,328661,Bergamo
2023-03-16 17:00:00,328722,Bergamo
2023-03-17 17:00:00,328790,Bergamo
2023-03-18 17:00:00,328834,Bergamo
2023-03-19 17:00:00,328868,Bergamo
2023-03-20 17:00:00,328884,Bergamo
2023-03-21 17:00:00,328991,Bergamo
2023-03-22 17:00:00,329044,Bergamo
2023-03-23 17:00:00,329104,Bergamo
2023-03-24 17:00:00,329161,Bergamo
2023-03-25 17:00:00,329212,Bergamo
2023-03-26 17:00:00,329250,Bergamo
2023-03-27 17:00:00,329265,Bergamo
2023-03-28 17:00:00,329365,Bergamo
2023-03-29 17:00:00,329412,Bergamo
2023-03-30 17:00:00,329471,Bergamo
2023-03-31 17:00:00,329519,Bergamo
2023-04-01 17:00:00,329557,Bergamo
2023-04-02 17:00:00,329605,Bergamo
2023-04-03 17:00:00,329615,Bergamo
2023-04-04 17:00:00,329679,Bergamo
2023-04-05 17:00:00,329734,Bergamo
2023-04-06 17:00:00,329779,Bergamo
2023-04-07 17:00:00,329841,Bergamo
2023-04-08 17:00:00,329900,Bergamo
2023-04-09 17:00:00,329939,Bergamo
2023-04-10 17:00:00,329950,Bergamo
2023-04-11 17:00:00,329967,Bergamo
2023-04-12 17:00:00,330078,Bergamo
2023-04-13 17:00:00,330160,Bergamo
2023-04-14 17:00:00,330220,Bergamo
2023-04-15 17:00:00,330274,Bergamo
2023-04-16 17:00:00,330308,Bergamo
2023-04-17 17:00:00,330317,Bergamo
2023-04-18 17:00:00,330409,Bergamo
2023-04-19 17:00:00,330490,Bergamo
2023-04-20 17:00:00,330554,Bergamo
2023-04-21 17:00:00,330598,Bergamo
2023-04-22 17:00:00,330648,Bergamo
2023-04-23 17:00:00,330681,Bergamo
2023-04-24 17:00:00,330699,Bergamo
2023-04-25 17:00:00,330754,Bergamo
2023-04-26 17:00:00,330769,Bergamo
2023-04-27 17:00:00,330837,Bergamo
2023-04-28 17:00:00,330895,Bergamo
2023-04-29 17:00:00,330936,Bergamo
2023-04-30 17:00:00,330964,Bergamo
2023-05-01 17:00:00,330980,Bergamo
2023-05-02 17:00:00,330991,Bergamo
2023-05-03 17:00:00,331054,Bergamo
2023-05-04 17:00:00,331111,Bergamo
2023-05-05 17:00:00,331157,Bergamo
2023-05-06 17:00:00,331192,Bergamo
2023-05-07 17:00:00,331204,Bergamo
2023-05-08 17:00:00,331211,Bergamo
2023-05-09 17:00:00,331253,Bergamo
2023-05-10 17:00:00,331281,Bergamo
2023-05-11 17:00:00,331316,Bergamo
2023-05-12 17:00:00,331343,Bergamo
2023-05-13 17:00:00,331362,Bergamo
2023-05-14 17:00:00,331372,Bergamo
2023-05-15 17:00:00,331375,Bergamo
2023-05-16 17:00:00,331410,Bergamo
2023-05-17 17:00:00,331436,Bergamo
2023-05-18 17:00:00,331461,Bergamo
2023-05-19 17:00:00,331485,Bergamo
2023-05-20 17:00:00,331498,Bergamo
2023-05-21 17:00:00,331506,Bergamo
2023-05-22 17:00:00,331511,Bergamo
2023-05-23 17:00:00,331545,Bergamo
2023-05-24 17:00:00,331597,Bergamo
2023-05-25 17:00:00,331616,Bergamo
2023-05-26 17:00:00,331651,Bergamo
2023-05-27 17:00:00,331679,Bergamo
2023-05-28 17:00:00,331695,Bergamo
2023-05-29 17:00:00,331698,Bergamo
2023-05-30 17:00:00,331725,Bergamo
2023-05-31 17:00:00,331748,Bergamo
2023-06-01 17:00:00,331770,Bergamo
2023-06-02 17:00:00,331784,Bergamo
2023-06-03 17:00:00,331785,Bergamo
2023-06-04 17:00:00,331796,Bergamo
2023-06-05 17:00:00,331799,Bergamo
2023-06-06 17:00:00,331823,Bergamo
2023-06-07 17:00:00,331840,Bergamo
2023-06-08 17:00:00,331850,Bergamo
2023-06-09 17:00:00,331857,Bergamo
2023-06-10 17:00:00,331862,Bergamo
2023-06-11 17:00:00,331870,Bergamo
2023-06-12 17:00:00,331871,Bergamo
2023-06-13 17:00:00,331887,Bergamo
2023-06-14 17:00:00,331894,Bergamo
2023-06-15 17:00:00,331904,Bergamo
2023-06-16 17:00:00,331906,Bergamo
2023-06-17 17:00:00,331918,Bergamo
2023-06-18 17:00:00,331925,Bergamo
2023-06-19 17:00:00,331926,Bergamo
2023-06-20 17:00:00,331932,Bergamo
2023-06-21 17:00:00,331941,Bergamo
2023-06-22 17:00:00,331946,Bergamo
2023-06-23 17:00:00,331949,Bergamo
2023-06-24 17:00:00,331955,Bergamo
2023-06-25 17:00:00,331960,Bergamo
2023-06-26 17:00:00,331962,Bergamo
2023-06-27 17:00:00,331965,Bergamo
2023-06-28 17:00:00,331974,Bergamo
2023-06-29 17:00:00,331979,Bergamo
2023-06-30 17:00:00,331985,Bergamo
2023-07-01 17:00:00,331993,Bergamo
2023-07-02 17:00:00,331995,Bergamo
2023-07-03 17:00:00,332002,Bergamo
2023-07-04 17:00:00,332016,Bergamo
2023-07-05 17:00:00,332024,Bergamo
2023-07-06 17:00:00,332030,Bergamo
2023-07-07 17:00:00,332036,Bergamo
2023-07-08 17:00:00,332044,Bergamo
2023-07-09 17:00:00,332045,Bergamo
2023-07-10 17:00:00,332047,Bergamo
2023-07-11 17:00:00,332054,Bergamo
2023-07-12 17:00:00,332062,Bergamo
2023-07-13 17:00:00,332068,Bergamo
2023-07-14 17:00:00,332072,Bergamo
2023-07-15 17:00:00,332077,Bergamo
2023-07-16 17:00:00,332080,Bergamo
2023-07-17 17:00:00,332086,Bergamo
2023-07-18 17:00:00,332095,Bergamo
2023-07-19 17:00:00,332107,Bergamo
2023-07-20 17:00:00,332114,Bergamo
2023-07-21 17:00:00,332117,Bergamo
2023-07-22 17:00:00,332121,Bergamo
2023-07-23 17:00:00,332126,Bergamo
2023-07-24 17:00:00,332127,Bergamo
2023-07-25 17:00:00,332133,Bergamo
2023-07-26 17:00:00,332140,Bergamo
2023-07-27 17:00:00,332145,Bergamo
2023-07-28 17:00:00,332152,Bergamo
2023-07-29 17:00:00,332156,Bergamo
2023-07-30 17:00:00,332160,Bergamo
2023-07-31 17:00:00,332162,Bergamo
2023-08-01 17:00:00,332174,Bergamo
2023-08-02 17:00:00,332182,Bergamo
2023-08-03 17:00:00,332191,Bergamo
2023-08-04 17:00:00,332197,Bergamo
2023-08-05 17:00:00,332213,Bergamo
2023-08-06 17:00:00,332221,Bergamo
2023-08-07 17:00:00,332223,Bergamo
2023-08-08 17:00:00,332243,Bergamo
2023-08-09 17:00:00,332253,Bergamo
2023-08-10 17:00:00,332268,Bergamo
2023-08-11 17:00:00,332279,Bergamo
2023-08-12 17:00:00,332296,Bergamo
2023-08-13 17:00:00,332303,Bergamo
2023-08-14 17:00:00,332309,Bergamo
2023-08-15 17:00:00,332328,Bergamo
2023-08-16 17:00:00,332333,Bergamo
2023-08-17 17:00:00,332368,Bergamo
2023-08-18 17:00:00,332385,Bergamo
2023-08-19 17:00:00,332408,Bergamo
2023-08-20 17:00:00,332416,Bergamo
2023-08-21 17:00:00,332426,Bergamo
2023-08-22 17:00:00,332471,Bergamo
2023-08-23 17:00:00,332497,Bergamo
2023-08-24 17:00:00,332519,Bergamo
2023-08-25 17:00:00,332537,Bergamo
2023-08-26 17:00:00,332556,Bergamo
2023-08-27 17:00:00,332567,Bergamo
2023-08-28 17:00:00,332577,Bergamo
2023-08-29 17:00:00,332609,Bergamo
2023-08-30 17:00:00,332637,Bergamo
2023-08-31 17:00:00,332670,Bergamo
2023-09-01 17:00:00,332701,Bergamo
2023-09-02 17:00:00,332730,Bergamo
2023-09-03 17:00:00,332756,Bergamo
2023-09-04 17:00:00,332767,Bergamo
2023-09-05 17:00:00,332874,Bergamo
2023-09-06 17:00:00,332947,Bergamo
2023-09-07 17:00:00,333018,Bergamo
2023-09-08 17:00:00,333096,Bergamo
2023-09-09 17:00:00,333143,Bergamo
2023-09-10 17:00:00,333207,Bergamo
2023-09-11 17:00:00,333225,Bergamo
2023-09-12 17:00:00,333399,Bergamo
2023-09-13 17:00:00,333503,Bergamo
2023-09-14 17:00:00,333590,Bergamo
2023-09-15 17:00:00,333700,Bergamo
2023-09-16 17:00:00,333782,Bergamo
2023-09-17 17:00:00,333843,Bergamo
2023-09-18 17:00:00,333862,Bergamo
2023-09-19 17:00:00,334007,Bergamo
2023-09-20 17:00:00,334115,Bergamo
2023-09-21 17:00:00,334199,Bergamo
2023-09-22 17:00:00,334286,Bergamo
2023-09-23 17:00:00,334400,Bergamo
2023-09-24 17:00:00,334449,Bergamo
2023-09-25 17:00:00,334476,Bergamo
2023-09-26 17:00:00,334655,Bergamo
2023-09-27 17:00:00,334773,Bergamo
2023-09-28 17:00:00,334913,Bergamo
2023-09-29 17:00:00,335025,Bergamo
2023-09-30 17:00:00,335070,Bergamo
2023-10-01 17:00:00,335221,Bergamo
2023-10-02 17:00:00,335251,Bergamo
2023-10-03 17:00:00,335513,Bergamo
2023-10-04 17:00:00,335650,Bergamo
2023-10-05 17:00:00,335792,Bergamo
2023-10-06 17:00:00,335913,Bergamo
2023-10-07 17:00:00,336018,Bergamo
2023-10-08 17:00:00,336066,Bergamo
2023-10-09 17:00:00,336083,Bergamo
2023-10-10 17:00:00,336278,Bergamo
2023-10-11 17:00:00,336413,Bergamo
2023-10-12 17:00:00,336536,Bergamo
2023-10-13 17:00:00,336648,Bergamo
2023-10-14 17:00:00,336746,Bergamo
2023-10-15 17:00:00,336806,Bergamo
2023-10-16 17:00:00,336820,Bergamo
2023-10-17 17:00:00,337016,Bergamo
