data,totale_casi,denominazione_provincia
2023-01-01 17:00:00,109461,Catanzaro
2023-01-02 17:00:00,109484,Catanzaro
2023-01-03 17:00:00,109780,Catanzaro
2023-01-04 17:00:00,109926,Catanzaro
2023-01-05 17:00:00,110090,Catanzaro
2023-01-06 17:00:00,110261,Catanzaro
2023-01-07 17:00:00,110291,Catanzaro
2023-01-08 17:00:00,110454,Catanzaro
2023-01-09 17:00:00,110485,Catanzaro
2023-01-10 17:00:00,110827,Catanzaro
2023-01-11 17:00:00,110925,Catanzaro
2023-01-12 17:00:00,111007,Catanzaro
2023-01-13 17:00:00,111100,Catanzaro
2023-01-14 17:00:00,111156,Catanzaro
2023-01-15 17:00:00,111202,Catanzaro
2023-01-16 17:00:00,111219,Catanzaro
2023-01-17 17:00:00,111345,Catanzaro
2023-01-18 17:00:00,111418,Catanzaro
2023-01-19 17:00:00,111489,Catanzaro
2023-01-20 17:00:00,111553,Catanzaro
2023-01-21 17:00:00,111608,Catanzaro
2023-01-22 17:00:00,111659,Catanzaro
2023-01-23 17:00:00,111677,Catanzaro
2023-01-24 17:00:00,111760,Catanzaro
2023-01-25 17:00:00,111793,Catanzaro
2023-01-26 17:00:00,111828,Catanzaro
2023-01-27 17:00:00,111867,Catanzaro
2023-01-28 17:00:00,111894,Catanzaro
2023-01-29 17:00:00,111915,Catanzaro
2023-01-30 17:00:00,111930,Catanzaro
2023-01-31 17:00:00,112006,Catanzaro
2023-02-01 17:00:00,112039,Catanzaro
2023-02-02 17:00:00,112079,Catanzaro
2023-02-03 17:00:00,112097,Catanzaro
2023-02-04 17:00:00,112119,Catanzaro
2023-02-05 17:00:00,112136,Catanzaro
2023-02-06 17:00:00,112139,Catanzaro
2023-02-07 17:00:00,112188,Catanzaro
2023-02-08 17:00:00,112218,Catanzaro
2023-02-09 17:00:00,112244,Catanzaro
2023-02-10 17:00:00,112280,Catanzaro
2023-02-11 17:00:00,112296,Catanzaro
2023-02-12 17:00:00,112313,Catanzaro
2023-02-13 17:00:00,112319,Catanzaro
2023-02-14 17:00:00,112346,Catanzaro
2023-02-15 17:00:00,112376,Catanzaro
2023-02-16 17:00:00,112402,Catanzaro
2023-02-17 17:00:00,112431,Catanzaro
2023-02-18 17:00:00,112462,Catanzaro
2023-02-19 17:00:00,112476,Catanzaro
2023-02-20 17:00:00,112482,Catanzaro
2023-02-21 17:00:00,112523,Catanzaro
2023-02-22 17:00:00,112544,Catanzaro
2023-02-23 17:00:00,112567,Catanzaro
2023-02-24 17:00:00,112593,Catanzaro
2023-02-25 17:00:00,112619,Catanzaro
