data,totale_casi,denominazione_provincia
2023-01-01 17:00:00,138883,Cremona
2023-01-02 17:00:00,138899,Cremona
2023-01-03 17:00:00,139045,Cremona
2023-01-04 17:00:00,139119,Cremona
2023-01-05 17:00:00,139189,Cremona
2023-01-06 17:00:00,139256,Cremona
2023-01-07 17:00:00,139264,Cremona
2023-01-08 17:00:00,139318,Cremona
2023-01-09 17:00:00,139336,Cremona
2023-01-10 17:00:00,139464,Cremona
2023-01-11 17:00:00,139520,Cremona
2023-01-12 17:00:00,139564,Cremona
2023-01-13 17:00:00,139604,Cremona
2023-01-14 17:00:00,139648,Cremona
2023-01-15 17:00:00,139675,Cremona
2023-01-16 17:00:00,139682,Cremona
2023-01-17 17:00:00,139747,Cremona
2023-01-18 17:00:00,139785,Cremona
2023-01-19 17:00:00,139824,Cremona
2023-01-20 17:00:00,139861,Cremona
2023-01-21 17:00:00,139901,Cremona
2023-01-22 17:00:00,139926,Cremona
2023-01-23 17:00:00,139940,Cremona
2023-01-24 17:00:00,139992,Cremona
2023-01-25 17:00:00,140022,Cremona
2023-01-26 17:00:00,140057,Cremona
2023-01-27 17:00:00,140078,Cremona
2023-01-28 17:00:00,140096,Cremona
2023-01-29 17:00:00,140116,Cremona
2023-01-30 17:00:00,140118,Cremona
2023-01-31 17:00:00,140159,Cremona
2023-02-01 17:00:00,140176,Cremona
2023-02-02 17:00:00,140205,Cremona
2023-02-03 17:00:00,140226,Cremona
2023-02-04 17:00:00,140253,Cremona
2023-02-05 17:00:00,140274,Cremona
2023-02-06 17:00:00,140282,Cremona
2023-02-07 17:00:00,140323,Cremona
2023-02-08 17:00:00,140344,Cremona
2023-02-09 17:00:00,140366,Cremona
2023-02-10 17:00:00,140392,Cremona
2023-02-11 17:00:00,140408,Cremona
2023-02-12 17:00:00,140414,Cremona
2023-02-13 17:00:00,140416,Cremona
2023-02-14 17:00:00,140451,Cremona
2023-02-15 17:00:00,140471,Cremona
2023-02-16 17:00:00,140511,Cremona
2023-02-17 17:00:00,140535,Cremona
2023-02-18 17:00:00,140551,Cremona
2023-02-19 17:00:00,140563,Cremona
2023-02-20 17:00:00,140566,Cremona
2023-02-21 17:00:00,140598,Cremona
2023-02-22 17:00:00,140615,Cremona
2023-02-23 17:00:00,140639,Cremona
2023-02-24 17:00:00,140663,Cremona
2023-02-25 17:00:00,140683,Cremona
2023-02-26 17:00:00,140704,Cremona
2023-02-27 17:00:00,140712,Cremona
2023-02-28 17:00:00,140766,Cremona
2023-03-01 17:00:00,140793,Cremona
2023-03-02 17:00:00,140812,Cremona
2023-03-03 17:00:00,140840,Cremona
2023-03-04 17:00:00,140865,Cremona
2023-03-05 17:00:00,140882,Cremona
2023-03-06 17:00:00,140891,Cremona
2023-03-07 17:00:00,140933,Cremona
2023-03-08 17:00:00,140966,Cremona
2023-03-09 17:00:00,141001,Cremona
2023-03-10 17:00:00,141032,Cremona
2023-03-11 17:00:00,141055,Cremona
2023-03-12 17:00:00,141073,Cremona
2023-03-13 17:00:00,141078,Cremona
2023-03-14 17:00:00,141121,Cremona
2023-03-15 17:00:00,141147,Cremona
2023-03-16 17:00:00,141166,Cremona
2023-03-17 17:00:00,141192,Cremona
2023-03-18 17:00:00,141216,Cremona
2023-03-19 17:00:00,141235,Cremona
2023-03-20 17:00:00,141241,Cremona
2023-03-21 17:00:00,141301,Cremona
2023-03-22 17:00:00,141336,Cremona
2023-03-23 17:00:00,141376,Cremona
2023-03-24 17:00:00,141413,Cremona
2023-03-25 17:00:00,141446,Cremona
2023-03-26 17:00:00,141463,Cremona
2023-03-27 17:00:00,141475,Cremona
2023-03-28 17:00:00,141531,Cremona
2023-03-29 17:00:00,141552,Cremona
2023-03-30 17:00:00,141576,Cremona
2023-03-31 17:00:00,141606,Cremona
2023-04-01 17:00:00,141623,Cremona
2023-04-02 17:00:00,141636,Cremona
2023-04-03 17:00:00,141642,Cremona
2023-04-04 17:00:00,141675,Cremona
2023-04-05 17:00:00,141691,Cremona
2023-04-06 17:00:00,141712,Cremona
2023-04-07 17:00:00,141740,Cremona
2023-04-08 17:00:00,141771,Cremona
2023-04-09 17:00:00,141783,Cremona
2023-04-10 17:00:00,141789,Cremona
2023-04-11 17:00:00,141796,Cremona
2023-04-12 17:00:00,141835,Cremona
2023-04-13 17:00:00,141868,Cremona
2023-04-14 17:00:00,141892,Cremona
2023-04-15 17:00:00,141924,Cremona
2023-04-16 17:00:00,141939,Cremona
2023-04-17 17:00:00,141945,Cremona
2023-04-18 17:00:00,141969,Cremona
2023-04-19 17:00:00,141994,Cremona
2023-04-20 17:00:00,142033,Cremona
2023-04-21 17:00:00,142056,Cremona
2023-04-22 17:00:00,142082,Cremona
2023-04-23 17:00:00,142097,Cremona
2023-04-24 17:00:00,142105,Cremona
2023-04-25 17:00:00,142141,Cremona
2023-04-26 17:00:00,142145,Cremona
2023-04-27 17:00:00,142180,Cremona
2023-04-28 17:00:00,142203,Cremona
2023-04-29 17:00:00,142227,Cremona
2023-04-30 17:00:00,142240,Cremona
2023-05-01 17:00:00,142243,Cremona
2023-05-02 17:00:00,142249,Cremona
2023-05-03 17:00:00,142278,Cremona
2023-05-04 17:00:00,142305,Cremona
2023-05-05 17:00:00,142327,Cremona
2023-05-06 17:00:00,142345,Cremona
2023-05-07 17:00:00,142351,Cremona
2023-05-08 17:00:00,142352,Cremona
2023-05-09 17:00:00,142371,Cremona
2023-05-10 17:00:00,142380,Cremona
2023-05-11 17:00:00,142392,Cremona
2023-05-12 17:00:00,142399,Cremona
2023-05-13 17:00:00,142406,Cremona
2023-05-14 17:00:00,142413,Cremona
2023-05-15 17:00:00,142413,Cremona
2023-05-16 17:00:00,142427,Cremona
2023-05-17 17:00:00,142438,Cremona
2023-05-18 17:00:00,142458,Cremona
2023-05-19 17:00:00,142477,Cremona
2023-05-20 17:00:00,142486,Cremona
2023-05-21 17:00:00,142490,Cremona
2023-05-22 17:00:00,142490,Cremona
2023-05-23 17:00:00,142503,Cremona
2023-05-24 17:00:00,142531,Cremona
2023-05-25 17:00:00,142543,Cremona
2023-05-26 17:00:00,142551,Cremona
2023-05-27 17:00:00,142570,Cremona
2023-05-28 17:00:00,142575,Cremona
2023-05-29 17:00:00,142577,Cremona
2023-05-30 17:00:00,142595,Cremona
2023-05-31 17:00:00,142605,Cremona
2023-06-01 17:00:00,142608,Cremona
2023-06-02 17:00:00,142612,Cremona
2023-06-03 17:00:00,142615,Cremona
2023-06-04 17:00:00,142617,Cremona
2023-06-05 17:00:00,142618,Cremona
2023-06-06 17:00:00,142625,Cremona
2023-06-07 17:00:00,142630,Cremona
2023-06-08 17:00:00,142634,Cremona
2023-06-09 17:00:00,142642,Cremona
2023-06-10 17:00:00,142647,Cremona
2023-06-11 17:00:00,142647,Cremona
2023-06-12 17:00:00,142648,Cremona
2023-06-13 17:00:00,142654,Cremona
2023-06-14 17:00:00,142659,Cremona
2023-06-15 17:00:00,142663,Cremona
2023-06-16 17:00:00,142668,Cremona
2023-06-17 17:00:00,142671,Cremona
2023-06-18 17:00:00,142675,Cremona
2023-06-19 17:00:00,142677,Cremona
2023-06-20 17:00:00,142683,Cremona
2023-06-21 17:00:00,142685,Cremona
2023-06-22 17:00:00,142688,Cremona
2023-06-23 17:00:00,142695,Cremona
2023-06-24 17:00:00,142701,Cremona
2023-06-25 17:00:00,142702,Cremona
2023-06-26 17:00:00,142705,Cremona
2023-06-27 17:00:00,142716,Cremona
2023-06-28 17:00:00,142719,Cremona
2023-06-29 17:00:00,142722,Cremona
2023-06-30 17:00:00,142722,Cremona
2023-07-01 17:00:00,142727,Cremona
2023-07-02 17:00:00,142727,Cremona
2023-07-03 17:00:00,142727,Cremona
2023-07-04 17:00:00,142731,Cremona
2023-07-05 17:00:00,142732,Cremona
2023-07-06 17:00:00,142735,Cremona
2023-07-07 17:00:00,142738,Cremona
2023-07-08 17:00:00,142738,Cremona
2023-07-09 17:00:00,142738,Cremona
2023-07-10 17:00:00,142738,Cremona
2023-07-11 17:00:00,142740,Cremona
2023-07-12 17:00:00,142742,Cremona
2023-07-13 17:00:00,142745,Cremona
2023-07-14 17:00:00,142758,Cremona
2023-07-15 17:00:00,142758,Cremona
2023-07-16 17:00:00,142759,Cremona
2023-07-17 17:00:00,142760,Cremona
2023-07-18 17:00:00,142767,Cremona
2023-07-19 17:00:00,142772,Cremona
2023-07-20 17:00:00,142776,Cremona
2023-07-21 17:00:00,142786,Cremona
2023-07-22 17:00:00,142790,Cremona
2023-07-23 17:00:00,142790,Cremona
2023-07-24 17:00:00,142790,Cremona
2023-07-25 17:00:00,142795,Cremona
2023-07-26 17:00:00,142799,Cremona
2023-07-27 17:00:00,142801,Cremona
2023-07-28 17:00:00,142806,Cremona
2023-07-29 17:00:00,142809,Cremona
2023-07-30 17:00:00,142818,Cremona
2023-07-31 17:00:00,142819,Cremona
2023-08-01 17:00:00,142843,Cremona
2023-08-02 17:00:00,142848,Cremona
2023-08-03 17:00:00,142854,Cremona
2023-08-04 17:00:00,142868,Cremona
2023-08-05 17:00:00,142873,Cremona
2023-08-06 17:00:00,142879,Cremona
2023-08-07 17:00:00,142881,Cremona
2023-08-08 17:00:00,142892,Cremona
2023-08-09 17:00:00,142899,Cremona
2023-08-10 17:00:00,142902,Cremona
2023-08-11 17:00:00,142912,Cremona
2023-08-12 17:00:00,142918,Cremona
2023-08-13 17:00:00,142922,Cremona
2023-08-14 17:00:00,142925,Cremona
2023-08-15 17:00:00,142934,Cremona
2023-08-16 17:00:00,142936,Cremona
2023-08-17 17:00:00,142944,Cremona
2023-08-18 17:00:00,142954,Cremona
2023-08-19 17:00:00,142965,Cremona
2023-08-20 17:00:00,142973,Cremona
