data,totale_casi,denominazione_provincia
2023-01-01 17:00:00,50142,Enna
2023-01-02 17:00:00,50146,Enna
2023-01-03 17:00:00,50226,Enna
2023-01-04 17:00:00,50261,Enna
2023-01-05 17:00:00,50290,Enna
2023-01-06 17:00:00,50347,Enna
2023-01-07 17:00:00,50353,Enna
2023-01-08 17:00:00,50406,Enna
2023-01-09 17:00:00,50411,Enna
2023-01-10 17:00:00,50451,Enna
2023-01-11 17:00:00,50511,Enna
2023-01-12 17:00:00,50538,Enna
2023-01-13 17:00:00,50547,Enna
2023-01-14 17:00:00,50566,Enna
2023-01-15 17:00:00,50578,Enna
2023-01-16 17:00:00,50581,Enna
2023-01-17 17:00:00,50599,Enna
2023-01-18 17:00:00,50621,Enna
2023-01-19 17:00:00,50639,Enna
2023-01-20 17:00:00,50648,Enna
2023-01-21 17:00:00,50653,Enna
2023-01-22 17:00:00,50653,Enna
2023-01-23 17:00:00,50657,Enna
2023-01-24 17:00:00,50674,Enna
2023-01-25 17:00:00,50682,Enna
2023-01-26 17:00:00,50691,Enna
2023-01-27 17:00:00,50702,Enna
2023-01-28 17:00:00,50761,Enna
2023-01-29 17:00:00,50764,Enna
2023-01-30 17:00:00,50764,Enna
2023-01-31 17:00:00,50767,Enna
2023-02-01 17:00:00,50776,Enna
2023-02-02 17:00:00,50779,Enna
2023-02-03 17:00:00,50779,Enna
2023-02-04 17:00:00,50791,Enna
2023-02-05 17:00:00,50793,Enna
2023-02-06 17:00:00,50793,Enna
2023-02-07 17:00:00,50798,Enna
2023-02-08 17:00:00,50810,Enna
2023-02-09 17:00:00,50811,Enna
2023-02-10 17:00:00,50818,Enna
2023-02-11 17:00:00,50823,Enna
2023-02-12 17:00:00,50828,Enna
2023-02-13 17:00:00,50829,Enna
2023-02-14 17:00:00,50833,Enna
2023-02-15 17:00:00,50836,Enna
2023-02-16 17:00:00,50843,Enna
2023-02-17 17:00:00,50845,Enna
2023-02-18 17:00:00,50846,Enna
2023-02-19 17:00:00,50854,Enna
2023-02-20 17:00:00,50858,Enna
2023-02-21 17:00:00,50860,Enna
2023-02-22 17:00:00,50863,Enna
2023-02-23 17:00:00,50869,Enna
2023-02-24 17:00:00,50873,Enna
2023-02-25 17:00:00,50875,Enna
2023-02-26 17:00:00,50876,Enna
2023-02-27 17:00:00,50876,Enna
2023-02-28 17:00:00,50880,Enna
2023-03-01 17:00:00,50883,Enna
2023-03-02 17:00:00,50885,Enna
2023-03-03 17:00:00,50887,Enna
2023-03-04 17:00:00,50888,Enna
2023-03-05 17:00:00,50889,Enna
2023-03-06 17:00:00,50889,Enna
2023-03-07 17:00:00,50892,Enna
2023-03-08 17:00:00,50897,Enna
2023-03-09 17:00:00,50898,Enna
2023-03-10 17:00:00,50898,Enna
2023-03-11 17:00:00,50900,Enna
2023-03-12 17:00:00,50900,Enna
2023-03-13 17:00:00,50900,Enna
2023-03-14 17:00:00,50901,Enna
2023-03-15 17:00:00,50906,Enna
2023-03-16 17:00:00,50907,Enna
2023-03-17 17:00:00,50914,Enna
2023-03-18 17:00:00,50919,Enna
2023-03-19 17:00:00,50920,Enna
2023-03-20 17:00:00,50920,Enna
2023-03-21 17:00:00,50921,Enna
2023-03-22 17:00:00,50922,Enna
2023-03-23 17:00:00,50925,Enna
2023-03-24 17:00:00,50927,Enna
2023-03-25 17:00:00,50927,Enna
2023-03-26 17:00:00,50927,Enna
2023-03-27 17:00:00,50927,Enna
2023-03-28 17:00:00,50933,Enna
2023-03-29 17:00:00,50934,Enna
2023-03-30 17:00:00,50937,Enna
2023-03-31 17:00:00,50947,Enna
2023-04-01 17:00:00,50948,Enna
2023-04-02 17:00:00,50950,Enna
2023-04-03 17:00:00,50950,Enna
2023-04-04 17:00:00,50953,Enna
2023-04-05 17:00:00,50957,Enna
2023-04-06 17:00:00,50957,Enna
2023-04-07 17:00:00,50959,Enna
2023-04-08 17:00:00,50961,Enna
2023-04-09 17:00:00,50962,Enna
2023-04-10 17:00:00,50962,Enna
2023-04-11 17:00:00,50962,Enna
2023-04-12 17:00:00,50974,Enna
2023-04-13 17:00:00,50978,Enna
2023-04-14 17:00:00,50981,Enna
2023-04-15 17:00:00,50988,Enna
2023-04-16 17:00:00,50989,Enna
2023-04-17 17:00:00,50989,Enna
2023-04-18 17:00:00,50993,Enna
2023-04-19 17:00:00,50998,Enna
2023-04-20 17:00:00,51000,Enna
2023-04-21 17:00:00,51009,Enna
2023-04-22 17:00:00,51015,Enna
2023-04-23 17:00:00,51016,Enna
2023-04-24 17:00:00,51016,Enna
2023-04-25 17:00:00,51018,Enna
2023-04-26 17:00:00,51018,Enna
2023-04-27 17:00:00,51027,Enna
2023-04-28 17:00:00,51029,Enna
2023-04-29 17:00:00,51031,Enna
2023-04-30 17:00:00,51033,Enna
2023-05-01 17:00:00,51033,Enna
2023-05-02 17:00:00,51033,Enna
2023-05-03 17:00:00,51038,Enna
2023-05-04 17:00:00,51042,Enna
2023-05-05 17:00:00,51053,Enna
2023-05-06 17:00:00,51056,Enna
2023-05-07 17:00:00,51057,Enna
2023-05-08 17:00:00,51060,Enna
