data,totale_casi,denominazione_provincia
2023-01-01 17:00:00,210664,Forlì-Cesena
2023-01-02 17:00:00,210756,Forlì-Cesena
2023-01-03 17:00:00,210872,Forlì-Cesena
2023-01-04 17:00:00,211024,Forlì-Cesena
2023-01-05 17:00:00,211164,Forlì-Cesena
2023-01-06 17:00:00,211298,Forlì-Cesena
2023-01-07 17:00:00,211357,Forlì-Cesena
2023-01-08 17:00:00,211417,Forlì-Cesena
2023-01-09 17:00:00,211469,Forlì-Cesena
2023-01-10 17:00:00,211531,Forlì-Cesena
2023-01-11 17:00:00,211592,Forlì-Cesena
2023-01-12 17:00:00,211684,Forlì-Cesena
2023-01-13 17:00:00,211738,Forlì-Cesena
2023-01-14 17:00:00,211784,Forlì-Cesena
2023-01-15 17:00:00,211820,Forlì-Cesena
2023-01-16 17:00:00,211838,Forlì-Cesena
2023-01-17 17:00:00,211889,Forlì-Cesena
2023-01-18 17:00:00,211948,Forlì-Cesena
2023-01-19 17:00:00,211995,Forlì-Cesena
2023-01-20 17:00:00,212025,Forlì-Cesena
2023-01-21 17:00:00,212052,Forlì-Cesena
2023-01-22 17:00:00,212101,Forlì-Cesena
2023-01-23 17:00:00,212120,Forlì-Cesena
2023-01-24 17:00:00,212141,Forlì-Cesena
2023-01-25 17:00:00,212200,Forlì-Cesena
2023-01-26 17:00:00,212221,Forlì-Cesena
2023-01-27 17:00:00,212238,Forlì-Cesena
2023-01-28 17:00:00,212279,Forlì-Cesena
2023-01-29 17:00:00,212311,Forlì-Cesena
2023-01-30 17:00:00,212328,Forlì-Cesena
2023-01-31 17:00:00,212339,Forlì-Cesena
2023-02-01 17:00:00,212385,Forlì-Cesena
2023-02-02 17:00:00,212419,Forlì-Cesena
2023-02-03 17:00:00,212427,Forlì-Cesena
2023-02-04 17:00:00,212471,Forlì-Cesena
2023-02-05 17:00:00,212501,Forlì-Cesena
2023-02-06 17:00:00,212503,Forlì-Cesena
2023-02-07 17:00:00,212538,Forlì-Cesena
2023-02-08 17:00:00,212563,Forlì-Cesena
2023-02-09 17:00:00,212583,Forlì-Cesena
2023-02-10 17:00:00,212612,Forlì-Cesena
2023-02-11 17:00:00,212634,Forlì-Cesena
2023-02-12 17:00:00,212654,Forlì-Cesena
2023-02-13 17:00:00,212656,Forlì-Cesena
2023-02-14 17:00:00,212683,Forlì-Cesena
2023-02-15 17:00:00,212708,Forlì-Cesena
2023-02-16 17:00:00,212730,Forlì-Cesena
2023-02-17 17:00:00,212764,Forlì-Cesena
2023-02-18 17:00:00,212787,Forlì-Cesena
2023-02-19 17:00:00,212824,Forlì-Cesena
2023-02-20 17:00:00,212814,Forlì-Cesena
2023-02-21 17:00:00,212860,Forlì-Cesena
2023-02-22 17:00:00,212885,Forlì-Cesena
2023-02-23 17:00:00,212908,Forlì-Cesena
2023-02-24 17:00:00,212931,Forlì-Cesena
2023-02-25 17:00:00,212965,Forlì-Cesena
2023-02-26 17:00:00,212973,Forlì-Cesena
2023-02-27 17:00:00,212949,Forlì-Cesena
2023-02-28 17:00:00,212964,Forlì-Cesena
2023-03-01 17:00:00,212978,Forlì-Cesena
2023-03-02 17:00:00,213002,Forlì-Cesena
2023-03-03 17:00:00,213028,Forlì-Cesena
2023-03-04 17:00:00,213032,Forlì-Cesena
2023-03-05 17:00:00,213058,Forlì-Cesena
2023-03-06 17:00:00,213061,Forlì-Cesena
2023-03-07 17:00:00,213109,Forlì-Cesena
2023-03-08 17:00:00,213134,Forlì-Cesena
2023-03-09 17:00:00,213171,Forlì-Cesena
2023-03-10 17:00:00,213186,Forlì-Cesena
2023-03-11 17:00:00,213211,Forlì-Cesena
2023-03-12 17:00:00,213232,Forlì-Cesena
2023-03-13 17:00:00,213248,Forlì-Cesena
2023-03-14 17:00:00,213268,Forlì-Cesena
2023-03-15 17:00:00,213312,Forlì-Cesena
2023-03-16 17:00:00,213341,Forlì-Cesena
2023-03-17 17:00:00,213361,Forlì-Cesena
2023-03-18 17:00:00,213364,Forlì-Cesena
2023-03-19 17:00:00,213389,Forlì-Cesena
2023-03-20 17:00:00,213394,Forlì-Cesena
2023-03-21 17:00:00,213415,Forlì-Cesena
2023-03-22 17:00:00,213440,Forlì-Cesena
2023-03-23 17:00:00,213447,Forlì-Cesena
2023-03-24 17:00:00,213460,Forlì-Cesena
2023-03-25 17:00:00,213469,Forlì-Cesena
2023-03-26 17:00:00,213498,Forlì-Cesena
2023-03-27 17:00:00,213493,Forlì-Cesena
2023-03-28 17:00:00,213512,Forlì-Cesena
2023-03-29 17:00:00,213510,Forlì-Cesena
2023-03-30 17:00:00,213528,Forlì-Cesena
2023-03-31 17:00:00,213552,Forlì-Cesena
2023-04-01 17:00:00,213571,Forlì-Cesena
2023-04-02 17:00:00,213574,Forlì-Cesena
2023-04-03 17:00:00,213573,Forlì-Cesena
2023-04-04 17:00:00,213604,Forlì-Cesena
2023-04-05 17:00:00,213627,Forlì-Cesena
2023-04-06 17:00:00,213632,Forlì-Cesena
2023-04-07 17:00:00,213650,Forlì-Cesena
