data,totale_casi,denominazione_provincia
2023-01-01 17:00:00,191003,Frosinone
2023-01-02 17:00:00,191025,Frosinone
2023-01-03 17:00:00,191258,Frosinone
2023-01-04 17:00:00,191415,Frosinone
2023-01-05 17:00:00,191546,Frosinone
2023-01-06 17:00:00,191681,Frosinone
2023-01-07 17:00:00,191696,Frosinone
2023-01-08 17:00:00,191848,Frosinone
2023-01-09 17:00:00,191870,Frosinone
2023-01-10 17:00:00,192035,Frosinone
2023-01-11 17:00:00,192127,Frosinone
2023-01-12 17:00:00,192229,Frosinone
2023-01-13 17:00:00,192315,Frosinone
2023-01-14 17:00:00,192386,Frosinone
2023-01-15 17:00:00,192440,Frosinone
2023-01-16 17:00:00,192486,Frosinone
2023-01-17 17:00:00,192608,Frosinone
2023-01-18 17:00:00,192678,Frosinone
2023-01-19 17:00:00,192766,Frosinone
2023-01-20 17:00:00,192844,Frosinone
2023-01-21 17:00:00,192897,Frosinone
2023-01-22 17:00:00,192954,Frosinone
2023-01-23 17:00:00,192968,Frosinone
2023-01-24 17:00:00,193052,Frosinone
2023-01-25 17:00:00,193110,Frosinone
2023-01-26 17:00:00,193183,Frosinone
2023-01-27 17:00:00,193218,Frosinone
2023-01-28 17:00:00,193264,Frosinone
2023-01-29 17:00:00,193301,Frosinone
2023-01-30 17:00:00,193311,Frosinone
2023-01-31 17:00:00,193373,Frosinone
2023-02-01 17:00:00,193424,Frosinone
2023-02-02 17:00:00,193467,Frosinone
2023-02-03 17:00:00,193515,Frosinone
2023-02-04 17:00:00,193565,Frosinone
2023-02-05 17:00:00,193599,Frosinone
2023-02-06 17:00:00,193621,Frosinone
2023-02-07 17:00:00,193687,Frosinone
2023-02-08 17:00:00,193728,Frosinone
2023-02-09 17:00:00,193764,Frosinone
2023-02-10 17:00:00,193795,Frosinone
2023-02-11 17:00:00,193839,Frosinone
2023-02-12 17:00:00,193883,Frosinone
2023-02-13 17:00:00,193899,Frosinone
2023-02-14 17:00:00,193961,Frosinone
2023-02-15 17:00:00,194007,Frosinone
2023-02-16 17:00:00,194061,Frosinone
2023-02-17 17:00:00,194142,Frosinone
2023-02-18 17:00:00,194187,Frosinone
2023-02-19 17:00:00,194252,Frosinone
2023-02-20 17:00:00,194289,Frosinone
2023-02-21 17:00:00,194368,Frosinone
2023-02-22 17:00:00,194433,Frosinone
2023-02-23 17:00:00,194480,Frosinone
2023-02-24 17:00:00,194561,Frosinone
2023-02-25 17:00:00,194604,Frosinone
2023-02-26 17:00:00,194669,Frosinone
2023-02-27 17:00:00,194681,Frosinone
2023-02-28 17:00:00,194761,Frosinone
2023-03-01 17:00:00,194831,Frosinone
2023-03-02 17:00:00,194864,Frosinone
2023-03-03 17:00:00,194896,Frosinone
2023-03-04 17:00:00,194927,Frosinone
2023-03-05 17:00:00,194981,Frosinone
2023-03-06 17:00:00,194996,Frosinone
2023-03-07 17:00:00,195043,Frosinone
2023-03-08 17:00:00,195074,Frosinone
2023-03-09 17:00:00,195111,Frosinone
2023-03-10 17:00:00,195156,Frosinone
2023-03-11 17:00:00,195198,Frosinone
2023-03-12 17:00:00,195226,Frosinone
2023-03-13 17:00:00,195234,Frosinone
2023-03-14 17:00:00,195286,Frosinone
2023-03-15 17:00:00,195326,Frosinone
2023-03-16 17:00:00,195365,Frosinone
2023-03-17 17:00:00,195392,Frosinone
2023-03-18 17:00:00,195432,Frosinone
2023-03-19 17:00:00,195468,Frosinone
2023-03-20 17:00:00,195474,Frosinone
2023-03-21 17:00:00,195517,Frosinone
2023-03-22 17:00:00,195549,Frosinone
2023-03-23 17:00:00,195581,Frosinone
2023-03-24 17:00:00,195613,Frosinone
2023-03-25 17:00:00,195631,Frosinone
2023-03-26 17:00:00,195656,Frosinone
2023-03-27 17:00:00,195663,Frosinone
2023-03-28 17:00:00,195713,Frosinone
2023-03-29 17:00:00,195746,Frosinone
2023-03-30 17:00:00,195766,Frosinone
2023-03-31 17:00:00,195795,Frosinone
2023-04-01 17:00:00,195815,Frosinone
2023-04-02 17:00:00,195841,Frosinone
2023-04-03 17:00:00,195849,Frosinone
2023-04-04 17:00:00,195898,Frosinone
2023-04-05 17:00:00,195928,Frosinone
2023-04-06 17:00:00,195951,Frosinone
2023-04-07 17:00:00,195985,Frosinone
2023-04-08 17:00:00,196007,Frosinone
2023-04-09 17:00:00,196035,Frosinone
2023-04-10 17:00:00,196036,Frosinone
2023-04-11 17:00:00,196045,Frosinone
2023-04-12 17:00:00,196089,Frosinone
2023-04-13 17:00:00,196128,Frosinone
2023-04-14 17:00:00,196173,Frosinone
2023-04-15 17:00:00,196211,Frosinone
2023-04-16 17:00:00,196252,Frosinone
2023-04-17 17:00:00,196263,Frosinone
2023-04-18 17:00:00,196309,Frosinone
2023-04-19 17:00:00,196337,Frosinone
2023-04-20 17:00:00,196372,Frosinone
2023-04-21 17:00:00,196404,Frosinone
2023-04-22 17:00:00,196437,Frosinone
2023-04-23 17:00:00,196468,Frosinone
2023-04-24 17:00:00,196470,Frosinone
2023-04-25 17:00:00,196505,Frosinone
2023-04-26 17:00:00,196515,Frosinone
2023-04-27 17:00:00,196566,Frosinone
2023-04-28 17:00:00,196603,Frosinone
2023-04-29 17:00:00,196630,Frosinone
2023-04-30 17:00:00,196660,Frosinone
2023-05-01 17:00:00,196670,Frosinone
2023-05-02 17:00:00,196678,Frosinone
2023-05-03 17:00:00,196728,Frosinone
2023-05-04 17:00:00,196759,Frosinone
2023-05-05 17:00:00,196799,Frosinone
2023-05-06 17:00:00,196821,Frosinone
2023-05-07 17:00:00,196849,Frosinone
2023-05-08 17:00:00,196856,Frosinone
2023-05-09 17:00:00,196918,Frosinone
2023-05-10 17:00:00,196952,Frosinone
2023-05-11 17:00:00,196981,Frosinone
2023-05-12 17:00:00,196997,Frosinone
2023-05-13 17:00:00,197016,Frosinone
2023-05-14 17:00:00,197042,Frosinone
2023-05-15 17:00:00,197047,Frosinone
2023-05-16 17:00:00,197064,Frosinone
2023-05-17 17:00:00,197079,Frosinone
2023-05-18 17:00:00,197103,Frosinone
2023-05-19 17:00:00,197127,Frosinone
2023-05-20 17:00:00,197166,Frosinone
2023-05-21 17:00:00,197187,Frosinone
2023-05-22 17:00:00,197187,Frosinone
2023-05-23 17:00:00,197216,Frosinone
2023-05-24 17:00:00,197231,Frosinone
2023-05-25 17:00:00,197267,Frosinone
2023-05-26 17:00:00,197289,Frosinone
2023-05-27 17:00:00,197299,Frosinone
2023-05-28 17:00:00,197313,Frosinone
2023-05-29 17:00:00,197322,Frosinone
2023-05-30 17:00:00,197346,Frosinone
2023-05-31 17:00:00,197358,Frosinone
2023-06-01 17:00:00,197370,Frosinone
2023-06-02 17:00:00,197377,Frosinone
2023-06-03 17:00:00,197379,Frosinone
2023-06-04 17:00:00,197388,Frosinone
2023-06-05 17:00:00,197393,Frosinone
2023-06-06 17:00:00,197420,Frosinone
2023-06-07 17:00:00,197429,Frosinone
2023-06-08 17:00:00,197440,Frosinone
2023-06-09 17:00:00,197450,Frosinone
2023-06-10 17:00:00,197454,Frosinone
2023-06-11 17:00:00,197466,Frosinone
2023-06-12 17:00:00,197466,Frosinone
2023-06-13 17:00:00,197480,Frosinone
2023-06-14 17:00:00,197487,Frosinone
2023-06-15 17:00:00,197492,Frosinone
2023-06-16 17:00:00,197499,Frosinone
2023-06-17 17:00:00,197503,Frosinone
2023-06-18 17:00:00,197505,Frosinone
2023-06-19 17:00:00,197507,Frosinone
2023-06-20 17:00:00,197517,Frosinone
2023-06-21 17:00:00,197517,Frosinone
2023-06-22 17:00:00,197529,Frosinone
2023-06-23 17:00:00,197530,Frosinone
2023-06-24 17:00:00,197537,Frosinone
2023-06-25 17:00:00,197539,Frosinone
2023-06-26 17:00:00,197541,Frosinone
2023-06-27 17:00:00,197551,Frosinone
2023-06-28 17:00:00,197555,Frosinone
2023-06-29 17:00:00,197559,Frosinone
2023-06-30 17:00:00,197568,Frosinone
2023-07-01 17:00:00,197571,Frosinone
2023-07-02 17:00:00,197573,Frosinone
2023-07-03 17:00:00,197573,Frosinone
2023-07-04 17:00:00,197579,Frosinone
2023-07-05 17:00:00,197583,Frosinone
2023-07-06 17:00:00,197588,Frosinone
2023-07-07 17:00:00,197591,Frosinone
2023-07-08 17:00:00,197592,Frosinone
2023-07-09 17:00:00,197596,Frosinone
2023-07-10 17:00:00,197597,Frosinone
2023-07-11 17:00:00,197607,Frosinone
2023-07-12 17:00:00,197611,Frosinone
2023-07-13 17:00:00,197611,Frosinone
2023-07-14 17:00:00,197615,Frosinone
2023-07-15 17:00:00,197616,Frosinone
2023-07-16 17:00:00,197618,Frosinone
2023-07-17 17:00:00,197618,Frosinone
2023-07-18 17:00:00,197622,Frosinone
2023-07-19 17:00:00,197624,Frosinone
2023-07-20 17:00:00,197625,Frosinone
2023-07-21 17:00:00,197629,Frosinone
2023-07-22 17:00:00,197634,Frosinone
2023-07-23 17:00:00,197640,Frosinone
2023-07-24 17:00:00,197640,Frosinone
2023-07-25 17:00:00,197648,Frosinone
2023-07-26 17:00:00,197650,Frosinone
2023-07-27 17:00:00,197660,Frosinone
2023-07-28 17:00:00,197663,Frosinone
2023-07-29 17:00:00,197667,Frosinone
2023-07-30 17:00:00,197676,Frosinone
2023-07-31 17:00:00,197680,Frosinone
2023-08-01 17:00:00,197684,Frosinone
2023-08-02 17:00:00,197691,Frosinone
2023-08-03 17:00:00,197701,Frosinone
2023-08-04 17:00:00,197712,Frosinone
2023-08-05 17:00:00,197716,Frosinone
2023-08-06 17:00:00,197722,Frosinone
