data,totale_casi,denominazione_provincia
2023-01-01 17:00:00,129256,L'Aquila
2023-01-02 17:00:00,129256,L'Aquila
2023-01-03 17:00:00,129412,L'Aquila
2023-01-04 17:00:00,129556,L'Aquila
2023-01-05 17:00:00,129696,L'Aquila
2023-01-06 17:00:00,129780,L'Aquila
2023-01-07 17:00:00,129801,L'Aquila
2023-01-08 17:00:00,129874,L'Aquila
2023-01-09 17:00:00,129891,L'Aquila
2023-01-10 17:00:00,130079,L'Aquila
2023-01-11 17:00:00,130186,L'Aquila
2023-01-12 17:00:00,130260,L'Aquila
2023-01-13 17:00:00,130327,L'Aquila
2023-01-14 17:00:00,130379,L'Aquila
2023-01-15 17:00:00,130410,L'Aquila
2023-01-16 17:00:00,130454,L'Aquila
2023-01-17 17:00:00,130545,L'Aquila
2023-01-18 17:00:00,130594,L'Aquila
2023-01-19 17:00:00,130634,L'Aquila
2023-01-20 17:00:00,130662,L'Aquila
2023-01-21 17:00:00,130695,L'Aquila
2023-01-22 17:00:00,130706,L'Aquila
2023-01-23 17:00:00,130725,L'Aquila
2023-01-24 17:00:00,130759,L'Aquila
2023-01-25 17:00:00,130817,L'Aquila
2023-01-26 17:00:00,130850,L'Aquila
2023-01-27 17:00:00,130877,L'Aquila
2023-01-28 17:00:00,130895,L'Aquila
2023-01-29 17:00:00,130910,L'Aquila
2023-01-30 17:00:00,130915,L'Aquila
2023-01-31 17:00:00,130947,L'Aquila
2023-02-01 17:00:00,130979,L'Aquila
2023-02-02 17:00:00,131040,L'Aquila
2023-02-03 17:00:00,131056,L'Aquila
2023-02-04 17:00:00,131067,L'Aquila
2023-02-05 17:00:00,131078,L'Aquila
2023-02-06 17:00:00,131093,L'Aquila
2023-02-07 17:00:00,131125,L'Aquila
2023-02-08 17:00:00,131147,L'Aquila
2023-02-09 17:00:00,131170,L'Aquila
2023-02-10 17:00:00,131185,L'Aquila
2023-02-11 17:00:00,131196,L'Aquila
2023-02-12 17:00:00,131204,L'Aquila
2023-02-13 17:00:00,131211,L'Aquila
2023-02-14 17:00:00,131247,L'Aquila
2023-02-15 17:00:00,131263,L'Aquila
2023-02-16 17:00:00,131273,L'Aquila
2023-02-17 17:00:00,131282,L'Aquila
2023-02-18 17:00:00,131296,L'Aquila
2023-02-19 17:00:00,131309,L'Aquila
2023-02-20 17:00:00,131321,L'Aquila
2023-02-21 17:00:00,131341,L'Aquila
2023-02-22 17:00:00,131367,L'Aquila
2023-02-23 17:00:00,131393,L'Aquila
2023-02-24 17:00:00,131426,L'Aquila
2023-02-25 17:00:00,131437,L'Aquila
2023-02-26 17:00:00,131453,L'Aquila
2023-02-27 17:00:00,131457,L'Aquila
2023-02-28 17:00:00,131486,L'Aquila
2023-03-01 17:00:00,131541,L'Aquila
2023-03-02 17:00:00,131566,L'Aquila
2023-03-03 17:00:00,131609,L'Aquila
2023-03-04 17:00:00,131620,L'Aquila
2023-03-05 17:00:00,131626,L'Aquila
2023-03-06 17:00:00,131655,L'Aquila
2023-03-07 17:00:00,131695,L'Aquila
2023-03-08 17:00:00,131709,L'Aquila
2023-03-09 17:00:00,131720,L'Aquila
2023-03-10 17:00:00,131741,L'Aquila
2023-03-11 17:00:00,131750,L'Aquila
2023-03-12 17:00:00,131763,L'Aquila
2023-03-13 17:00:00,131775,L'Aquila
2023-03-14 17:00:00,131810,L'Aquila
2023-03-15 17:00:00,131845,L'Aquila
2023-03-16 17:00:00,131875,L'Aquila
2023-03-17 17:00:00,131900,L'Aquila
2023-03-18 17:00:00,131920,L'Aquila
2023-03-19 17:00:00,131939,L'Aquila
2023-03-20 17:00:00,131953,L'Aquila
2023-03-21 17:00:00,131989,L'Aquila
2023-03-22 17:00:00,132018,L'Aquila
2023-03-23 17:00:00,132039,L'Aquila
2023-03-24 17:00:00,132056,L'Aquila
2023-03-25 17:00:00,132073,L'Aquila
2023-03-26 17:00:00,132083,L'Aquila
2023-03-27 17:00:00,132105,L'Aquila
2023-03-28 17:00:00,132145,L'Aquila
2023-03-29 17:00:00,132161,L'Aquila
2023-03-30 17:00:00,132193,L'Aquila
2023-03-31 17:00:00,132212,L'Aquila
2023-04-01 17:00:00,132229,L'Aquila
2023-04-02 17:00:00,132240,L'Aquila
2023-04-03 17:00:00,132264,L'Aquila
2023-04-04 17:00:00,132303,L'Aquila
2023-04-05 17:00:00,132324,L'Aquila
2023-04-06 17:00:00,132349,L'Aquila
2023-04-07 17:00:00,132374,L'Aquila
2023-04-08 17:00:00,132391,L'Aquila
2023-04-09 17:00:00,132399,L'Aquila
2023-04-10 17:00:00,132402,L'Aquila
2023-04-11 17:00:00,132426,L'Aquila
2023-04-12 17:00:00,132484,L'Aquila
2023-04-13 17:00:00,132599,L'Aquila
2023-04-14 17:00:00,132747,L'Aquila
2023-04-15 17:00:00,132837,L'Aquila
2023-04-16 17:00:00,132851,L'Aquila
2023-04-17 17:00:00,132934,L'Aquila
2023-04-18 17:00:00,133193,L'Aquila
2023-04-19 17:00:00,133324,L'Aquila
2023-04-20 17:00:00,133372,L'Aquila
2023-04-21 17:00:00,133399,L'Aquila
2023-04-22 17:00:00,133429,L'Aquila
2023-04-23 17:00:00,133450,L'Aquila
2023-04-24 17:00:00,133465,L'Aquila
2023-04-25 17:00:00,133516,L'Aquila
2023-04-26 17:00:00,133546,L'Aquila
2023-04-27 17:00:00,133583,L'Aquila
2023-04-28 17:00:00,133625,L'Aquila
2023-04-29 17:00:00,133649,L'Aquila
2023-04-30 17:00:00,133660,L'Aquila
2023-05-01 17:00:00,133662,L'Aquila
2023-05-02 17:00:00,133675,L'Aquila
2023-05-03 17:00:00,133727,L'Aquila
2023-05-04 17:00:00,133740,L'Aquila
2023-05-05 17:00:00,133761,L'Aquila
2023-05-06 17:00:00,133808,L'Aquila
2023-05-07 17:00:00,133818,L'Aquila
2023-05-08 17:00:00,133818,L'Aquila
2023-05-09 17:00:00,133838,L'Aquila
2023-05-10 17:00:00,133887,L'Aquila
2023-05-11 17:00:00,133912,L'Aquila
2023-05-12 17:00:00,133921,L'Aquila
2023-05-13 17:00:00,133942,L'Aquila
2023-05-14 17:00:00,133949,L'Aquila
2023-05-15 17:00:00,133961,L'Aquila
2023-05-16 17:00:00,133961,L'Aquila
2023-05-17 17:00:00,134013,L'Aquila
2023-05-18 17:00:00,134033,L'Aquila
2023-05-19 17:00:00,134041,L'Aquila
2023-05-20 17:00:00,134052,L'Aquila
2023-05-21 17:00:00,134064,L'Aquila
2023-05-22 17:00:00,134078,L'Aquila
2023-05-23 17:00:00,134122,L'Aquila
2023-05-24 17:00:00,134151,L'Aquila
2023-05-25 17:00:00,134180,L'Aquila
2023-05-26 17:00:00,134210,L'Aquila
2023-05-27 17:00:00,134220,L'Aquila
2023-05-28 17:00:00,134232,L'Aquila
2023-05-29 17:00:00,134243,L'Aquila
2023-05-30 17:00:00,134243,L'Aquila
2023-05-31 17:00:00,134282,L'Aquila
2023-06-01 17:00:00,134304,L'Aquila
2023-06-02 17:00:00,134309,L'Aquila
2023-06-03 17:00:00,134310,L'Aquila
2023-06-04 17:00:00,134315,L'Aquila
2023-06-05 17:00:00,134324,L'Aquila
2023-06-06 17:00:00,134339,L'Aquila
2023-06-07 17:00:00,134347,L'Aquila
2023-06-08 17:00:00,134358,L'Aquila
2023-06-09 17:00:00,134368,L'Aquila
2023-06-10 17:00:00,134384,L'Aquila
2023-06-11 17:00:00,134387,L'Aquila
2023-06-12 17:00:00,134392,L'Aquila
2023-06-13 17:00:00,134396,L'Aquila
2023-06-14 17:00:00,134406,L'Aquila
2023-06-15 17:00:00,134411,L'Aquila
2023-06-16 17:00:00,134423,L'Aquila
2023-06-17 17:00:00,134429,L'Aquila
2023-06-18 17:00:00,134430,L'Aquila
2023-06-19 17:00:00,134440,L'Aquila
2023-06-20 17:00:00,134448,L'Aquila
2023-06-21 17:00:00,134459,L'Aquila
2023-06-22 17:00:00,134463,L'Aquila
2023-06-23 17:00:00,134474,L'Aquila
2023-06-24 17:00:00,134476,L'Aquila
2023-06-25 17:00:00,134478,L'Aquila
2023-06-26 17:00:00,134484,L'Aquila
2023-06-27 17:00:00,134489,L'Aquila
2023-06-28 17:00:00,134497,L'Aquila
2023-06-29 17:00:00,134502,L'Aquila
2023-06-30 17:00:00,134508,L'Aquila
2023-07-01 17:00:00,134513,L'Aquila
2023-07-02 17:00:00,134514,L'Aquila
2023-07-03 17:00:00,134514,L'Aquila
2023-07-04 17:00:00,134514,L'Aquila
2023-07-05 17:00:00,134523,L'Aquila
2023-07-06 17:00:00,134528,L'Aquila
2023-07-07 17:00:00,134530,L'Aquila
2023-07-08 17:00:00,134531,L'Aquila
2023-07-09 17:00:00,134534,L'Aquila
2023-07-10 17:00:00,134535,L'Aquila
2023-07-11 17:00:00,134538,L'Aquila
2023-07-12 17:00:00,134541,L'Aquila
2023-07-13 17:00:00,134550,L'Aquila
2023-07-14 17:00:00,134551,L'Aquila
2023-07-15 17:00:00,134553,L'Aquila
2023-07-16 17:00:00,134553,L'Aquila
2023-07-17 17:00:00,134555,L'Aquila
2023-07-18 17:00:00,134557,L'Aquila
2023-07-19 17:00:00,134559,L'Aquila
2023-07-20 17:00:00,134571,L'Aquila
2023-07-21 17:00:00,134573,L'Aquila
2023-07-22 17:00:00,134574,L'Aquila
2023-07-23 17:00:00,134576,L'Aquila
2023-07-24 17:00:00,134579,L'Aquila
2023-07-25 17:00:00,134584,L'Aquila
2023-07-26 17:00:00,134586,L'Aquila
2023-07-27 17:00:00,134588,L'Aquila
2023-07-28 17:00:00,134591,L'Aquila
2023-07-29 17:00:00,134594,L'Aquila
2023-07-30 17:00:00,134595,L'Aquila
2023-07-31 17:00:00,134595,L'Aquila
2023-08-01 17:00:00,134598,L'Aquila
2023-08-02 17:00:00,134601,L'Aquila
2023-08-03 17:00:00,134605,L'Aquila
2023-08-04 17:00:00,134604,L'Aquila
2023-08-05 17:00:00,134604,L'Aquila
2023-08-06 17:00:00,134606,L'Aquila
2023-08-07 17:00:00,134607,L'Aquila
2023-08-08 17:00:00,134611,L'Aquila
2023-08-09 17:00:00,134614,L'Aquila
2023-08-10 17:00:00,134616,L'Aquila
2023-08-11 17:00:00,134622,L'Aquila
2023-08-12 17:00:00,134623,L'Aquila
2023-08-13 17:00:00,134625,L'Aquila
2023-08-14 17:00:00,134625,L'Aquila
2023-08-15 17:00:00,134630,L'Aquila
2023-08-16 17:00:00,134634,L'Aquila
2023-08-17 17:00:00,134643,L'Aquila
2023-08-18 17:00:00,134654,L'Aquila
2023-08-19 17:00:00,134659,L'Aquila
2023-08-20 17:00:00,134663,L'Aquila
2023-08-21 17:00:00,134666,L'Aquila
2023-08-22 17:00:00,134684,L'Aquila
2023-08-23 17:00:00,134697,L'Aquila
2023-08-24 17:00:00,134714,L'Aquila
2023-08-25 17:00:00,134729,L'Aquila
2023-08-26 17:00:00,134742,L'Aquila
2023-08-27 17:00:00,134746,L'Aquila
2023-08-28 17:00:00,134748,L'Aquila
2023-08-29 17:00:00,134772,L'Aquila
2023-08-30 17:00:00,134775,L'Aquila
2023-08-31 17:00:00,134812,L'Aquila
2023-09-01 17:00:00,134827,L'Aquila
2023-09-02 17:00:00,134834,L'Aquila
2023-09-03 17:00:00,134838,L'Aquila
2023-09-04 17:00:00,134844,L'Aquila
2023-09-05 17:00:00,134868,L'Aquila
2023-09-06 17:00:00,134897,L'Aquila
2023-09-07 17:00:00,134924,L'Aquila
2023-09-08 17:00:00,134950,L'Aquila
2023-09-09 17:00:00,134970,L'Aquila
2023-09-10 17:00:00,134986,L'Aquila
2023-09-11 17:00:00,134986,L'Aquila
2023-09-12 17:00:00,135026,L'Aquila
2023-09-13 17:00:00,135056,L'Aquila
2023-09-14 17:00:00,135073,L'Aquila
2023-09-15 17:00:00,135113,L'Aquila
2023-09-16 17:00:00,135125,L'Aquila
2023-09-17 17:00:00,135134,L'Aquila
2023-09-18 17:00:00,135162,L'Aquila
2023-09-19 17:00:00,135196,L'Aquila
2023-09-20 17:00:00,135231,L'Aquila
2023-09-21 17:00:00,135258,L'Aquila
2023-09-22 17:00:00,135285,L'Aquila
2023-09-23 17:00:00,135300,L'Aquila
2023-09-24 17:00:00,135313,L'Aquila
2023-09-25 17:00:00,135316,L'Aquila
2023-09-26 17:00:00,135356,L'Aquila
2023-09-27 17:00:00,135387,L'Aquila
2023-09-28 17:00:00,135406,L'Aquila
2023-09-29 17:00:00,135436,L'Aquila
2023-09-30 17:00:00,135446,L'Aquila
2023-10-01 17:00:00,135452,L'Aquila
2023-10-02 17:00:00,135454,L'Aquila
2023-10-03 17:00:00,135500,L'Aquila
2023-10-04 17:00:00,135525,L'Aquila
2023-10-05 17:00:00,135580,L'Aquila
2023-10-06 17:00:00,135608,L'Aquila
2023-10-07 17:00:00,135632,L'Aquila
2023-10-08 17:00:00,135640,L'Aquila
2023-10-09 17:00:00,135642,L'Aquila
2023-10-10 17:00:00,135662,L'Aquila
2023-10-11 17:00:00,135706,L'Aquila
2023-10-12 17:00:00,135734,L'Aquila
2023-10-13 17:00:00,135751,L'Aquila
2023-10-14 17:00:00,135764,L'Aquila
2023-10-15 17:00:00,135775,L'Aquila
2023-10-16 17:00:00,135792,L'Aquila
2023-10-17 17:00:00,135814,L'Aquila
2023-10-18 17:00:00,135875,L'Aquila
2023-10-19 17:00:00,135895,L'Aquila
2023-10-20 17:00:00,135928,L'Aquila
2023-10-21 17:00:00,135937,L'Aquila
2023-10-22 17:00:00,135945,L'Aquila
2023-10-23 17:00:00,135947,L'Aquila
2023-10-24 17:00:00,135964,L'Aquila
2023-10-25 17:00:00,135983,L'Aquila
2023-10-26 17:00:00,135992,L'Aquila
2023-10-27 17:00:00,136024,L'Aquila
2023-10-28 17:00:00,136038,L'Aquila
2023-10-29 17:00:00,136040,L'Aquila
2023-10-30 17:00:00,136052,L'Aquila
2023-10-31 17:00:00,136071,L'Aquila
2023-11-01 17:00:00,136093,L'Aquila
2023-11-02 17:00:00,136097,L'Aquila
2023-11-03 17:00:00,136118,L'Aquila
2023-11-04 17:00:00,136129,L'Aquila
2023-11-05 17:00:00,136139,L'Aquila
2023-11-06 17:00:00,136149,L'Aquila
2023-11-07 17:00:00,136183,L'Aquila
2023-11-08 17:00:00,136206,L'Aquila
2023-11-09 17:00:00,136239,L'Aquila
2023-11-10 17:00:00,136255,L'Aquila
2023-11-11 17:00:00,136281,L'Aquila
2023-11-12 17:00:00,136287,L'Aquila
2023-11-13 17:00:00,136289,L'Aquila
2023-11-14 17:00:00,136330,L'Aquila
2023-11-15 17:00:00,136359,L'Aquila
2023-11-16 17:00:00,136384,L'Aquila
2023-11-17 17:00:00,136432,L'Aquila
2023-11-18 17:00:00,136465,L'Aquila
2023-11-19 17:00:00,136479,L'Aquila
2023-11-20 17:00:00,136482,L'Aquila
2023-11-21 17:00:00,136515,L'Aquila
2023-11-22 17:00:00,136541,L'Aquila
2023-11-23 17:00:00,136579,L'Aquila
2023-11-24 17:00:00,136666,L'Aquila
2023-11-25 17:00:00,136692,L'Aquila
2023-11-26 17:00:00,136701,L'Aquila
2023-11-27 17:00:00,136740,L'Aquila
2023-11-28 17:00:00,136778,L'Aquila
2023-11-29 17:00:00,136850,L'Aquila
2023-11-30 17:00:00,136890,L'Aquila
2023-12-01 17:00:00,136959,L'Aquila
2023-12-02 17:00:00,137008,L'Aquila
2023-12-03 17:00:00,137029,L'Aquila
2023-12-04 17:00:00,137056,L'Aquila
2023-12-05 17:00:00,137114,L'Aquila
2023-12-06 17:00:00,137190,L'Aquila
2023-12-07 17:00:00,137269,L'Aquila
2023-12-08 17:00:00,137296,L'Aquila
2023-12-09 17:00:00,137309,L'Aquila
2023-12-10 17:00:00,137341,L'Aquila
2023-12-11 17:00:00,137349,L'Aquila
2023-12-12 17:00:00,137447,L'Aquila
2023-12-13 17:00:00,137563,L'Aquila
2023-12-14 17:00:00,137646,L'Aquila
2023-12-15 17:00:00,137718,L'Aquila
2023-12-16 17:00:00,137762,L'Aquila
2023-12-17 17:00:00,137783,L'Aquila
2023-12-18 17:00:00,137897,L'Aquila
2023-12-19 17:00:00,138079,L'Aquila
2023-12-20 17:00:00,138178,L'Aquila
2023-12-21 17:00:00,138305,L'Aquila
2023-12-22 17:00:00,138412,L'Aquila
2023-12-23 17:00:00,138452,L'Aquila
2023-12-24 17:00:00,138492,L'Aquila
2023-12-25 17:00:00,138512,L'Aquila
2023-12-26 17:00:00,138519,L'Aquila
2023-12-27 17:00:00,138586,L'Aquila
2023-12-28 17:00:00,138698,L'Aquila
2023-12-29 17:00:00,138771,L'Aquila
2023-12-30 17:00:00,138832,L'Aquila
2023-12-31 17:00:00,138856,L'Aquila
