data,totale_casi,denominazione_provincia
2023-01-01 17:00:00,247179,Latina
2023-01-02 17:00:00,247222,Latina
2023-01-03 17:00:00,247611,Latina
2023-01-04 17:00:00,247834,Latina
2023-01-05 17:00:00,248070,Latina
2023-01-06 17:00:00,248269,Latina
2023-01-07 17:00:00,248326,Latina
2023-01-08 17:00:00,248477,Latina
2023-01-09 17:00:00,248591,Latina
2023-01-10 17:00:00,248835,Latina
2023-01-11 17:00:00,249048,Latina
2023-01-12 17:00:00,249216,Latina
2023-01-13 17:00:00,249362,Latina
2023-01-14 17:00:00,249482,Latina
2023-01-15 17:00:00,249531,Latina
2023-01-16 17:00:00,249602,Latina
2023-01-17 17:00:00,249759,Latina
2023-01-18 17:00:00,249834,Latina
2023-01-19 17:00:00,249970,Latina
2023-01-20 17:00:00,250045,Latina
2023-01-21 17:00:00,250115,Latina
2023-01-22 17:00:00,250194,Latina
2023-01-23 17:00:00,250231,Latina
2023-01-24 17:00:00,250341,Latina
2023-01-25 17:00:00,250418,Latina
2023-01-26 17:00:00,250472,Latina
2023-01-27 17:00:00,250536,Latina
2023-01-28 17:00:00,250621,Latina
2023-01-29 17:00:00,250693,Latina
2023-01-30 17:00:00,250709,Latina
2023-01-31 17:00:00,250824,Latina
2023-02-01 17:00:00,250894,Latina
2023-02-02 17:00:00,250986,Latina
2023-02-03 17:00:00,251052,Latina
2023-02-04 17:00:00,251112,Latina
2023-02-05 17:00:00,251166,Latina
2023-02-06 17:00:00,251190,Latina
2023-02-07 17:00:00,251328,Latina
2023-02-08 17:00:00,251387,Latina
2023-02-09 17:00:00,251451,Latina
2023-02-10 17:00:00,251508,Latina
2023-02-11 17:00:00,251561,Latina
2023-02-12 17:00:00,251618,Latina
2023-02-13 17:00:00,251634,Latina
2023-02-14 17:00:00,251727,Latina
2023-02-15 17:00:00,251801,Latina
2023-02-16 17:00:00,251852,Latina
2023-02-17 17:00:00,251930,Latina
2023-02-18 17:00:00,251996,Latina
2023-02-19 17:00:00,252049,Latina
2023-02-20 17:00:00,252069,Latina
2023-02-21 17:00:00,252182,Latina
2023-02-22 17:00:00,252264,Latina
2023-02-23 17:00:00,252348,Latina
2023-02-24 17:00:00,252419,Latina
2023-02-25 17:00:00,252468,Latina
2023-02-26 17:00:00,252523,Latina
2023-02-27 17:00:00,252536,Latina
2023-02-28 17:00:00,252630,Latina
2023-03-01 17:00:00,252714,Latina
2023-03-02 17:00:00,252758,Latina
2023-03-03 17:00:00,252790,Latina
2023-03-04 17:00:00,252830,Latina
2023-03-05 17:00:00,252862,Latina
2023-03-06 17:00:00,252868,Latina
2023-03-07 17:00:00,252933,Latina
2023-03-08 17:00:00,252976,Latina
2023-03-09 17:00:00,253008,Latina
2023-03-10 17:00:00,253043,Latina
2023-03-11 17:00:00,253077,Latina
2023-03-12 17:00:00,253104,Latina
2023-03-13 17:00:00,253117,Latina
