data,totale_casi,denominazione_provincia
2023-01-01 17:00:00,90143,Lodi
2023-01-02 17:00:00,90153,Lodi
2023-01-03 17:00:00,90239,Lodi
2023-01-04 17:00:00,90293,Lodi
2023-01-05 17:00:00,90355,Lodi
2023-01-06 17:00:00,90402,Lodi
2023-01-07 17:00:00,90410,Lodi
2023-01-08 17:00:00,90452,Lodi
2023-01-09 17:00:00,90463,Lodi
2023-01-10 17:00:00,90549,Lodi
2023-01-11 17:00:00,90586,Lodi
2023-01-12 17:00:00,90611,Lodi
2023-01-13 17:00:00,90637,Lodi
2023-01-14 17:00:00,90655,Lodi
2023-01-15 17:00:00,90677,Lodi
2023-01-16 17:00:00,90689,Lodi
2023-01-17 17:00:00,90715,Lodi
2023-01-18 17:00:00,90733,Lodi
2023-01-19 17:00:00,90753,Lodi
2023-01-20 17:00:00,90767,Lodi
2023-01-21 17:00:00,90787,Lodi
2023-01-22 17:00:00,90804,Lodi
2023-01-23 17:00:00,90805,Lodi
2023-01-24 17:00:00,90841,Lodi
2023-01-25 17:00:00,90865,Lodi
2023-01-26 17:00:00,90891,Lodi
2023-01-27 17:00:00,90909,Lodi
2023-01-28 17:00:00,90918,Lodi
2023-01-29 17:00:00,90926,Lodi
2023-01-30 17:00:00,90933,Lodi
2023-01-31 17:00:00,90982,Lodi
2023-02-01 17:00:00,90992,Lodi
2023-02-02 17:00:00,91012,Lodi
2023-02-03 17:00:00,91040,Lodi
2023-02-04 17:00:00,91058,Lodi
2023-02-05 17:00:00,91075,Lodi
2023-02-06 17:00:00,91075,Lodi
2023-02-07 17:00:00,91106,Lodi
2023-02-08 17:00:00,91130,Lodi
2023-02-09 17:00:00,91142,Lodi
2023-02-10 17:00:00,91155,Lodi
2023-02-11 17:00:00,91170,Lodi
2023-02-12 17:00:00,91178,Lodi
2023-02-13 17:00:00,91182,Lodi
2023-02-14 17:00:00,91215,Lodi
2023-02-15 17:00:00,91237,Lodi
2023-02-16 17:00:00,91253,Lodi
2023-02-17 17:00:00,91266,Lodi
2023-02-18 17:00:00,91284,Lodi
2023-02-19 17:00:00,91291,Lodi
2023-02-20 17:00:00,91298,Lodi
2023-02-21 17:00:00,91319,Lodi
2023-02-22 17:00:00,91347,Lodi
2023-02-23 17:00:00,91362,Lodi
2023-02-24 17:00:00,91384,Lodi
2023-02-25 17:00:00,91404,Lodi
2023-02-26 17:00:00,91416,Lodi
2023-02-27 17:00:00,91420,Lodi
2023-02-28 17:00:00,91443,Lodi
2023-03-01 17:00:00,91468,Lodi
2023-03-02 17:00:00,91485,Lodi
2023-03-03 17:00:00,91500,Lodi
2023-03-04 17:00:00,91513,Lodi
2023-03-05 17:00:00,91517,Lodi
2023-03-06 17:00:00,91520,Lodi
2023-03-07 17:00:00,91544,Lodi
2023-03-08 17:00:00,91573,Lodi
2023-03-09 17:00:00,91593,Lodi
2023-03-10 17:00:00,91615,Lodi
2023-03-11 17:00:00,91636,Lodi
2023-03-12 17:00:00,91657,Lodi
2023-03-13 17:00:00,91669,Lodi
