data,totale_casi,denominazione_provincia
2023-01-01 17:00:00,140383,Macerata
2023-01-02 17:00:00,140421,Macerata
2023-01-03 17:00:00,140561,Macerata
2023-01-04 17:00:00,140688,Macerata
2023-01-05 17:00:00,140810,Macerata
2023-01-06 17:00:00,140927,Macerata
2023-01-07 17:00:00,140949,Macerata
2023-01-08 17:00:00,141045,Macerata
2023-01-09 17:00:00,141070,Macerata
2023-01-10 17:00:00,141191,Macerata
2023-01-11 17:00:00,141254,Macerata
2023-01-12 17:00:00,141322,Macerata
2023-01-13 17:00:00,141381,Macerata
2023-01-14 17:00:00,141415,Macerata
2023-01-15 17:00:00,141465,Macerata
2023-01-16 17:00:00,141481,Macerata
2023-01-17 17:00:00,141528,Macerata
2023-01-18 17:00:00,141566,Macerata
2023-01-19 17:00:00,141590,Macerata
2023-01-20 17:00:00,141612,Macerata
2023-01-21 17:00:00,141639,Macerata
2023-01-22 17:00:00,141650,Macerata
2023-01-23 17:00:00,141661,Macerata
2023-01-24 17:00:00,141705,Macerata
2023-01-25 17:00:00,141736,Macerata
2023-01-26 17:00:00,141755,Macerata
2023-01-27 17:00:00,141769,Macerata
2023-01-28 17:00:00,141796,Macerata
2023-01-29 17:00:00,141816,Macerata
2023-01-30 17:00:00,141824,Macerata
2023-01-31 17:00:00,141855,Macerata
2023-02-01 17:00:00,141869,Macerata
2023-02-02 17:00:00,141889,Macerata
2023-02-03 17:00:00,141977,Macerata
2023-02-04 17:00:00,142000,Macerata
2023-02-05 17:00:00,142010,Macerata
2023-02-06 17:00:00,142015,Macerata
2023-02-07 17:00:00,142045,Macerata
2023-02-08 17:00:00,142060,Macerata
2023-02-09 17:00:00,142080,Macerata
2023-02-10 17:00:00,142090,Macerata
2023-02-11 17:00:00,142098,Macerata
2023-02-12 17:00:00,142111,Macerata
2023-02-13 17:00:00,142117,Macerata
2023-02-14 17:00:00,142149,Macerata
2023-02-15 17:00:00,142165,Macerata
2023-02-16 17:00:00,142169,Macerata
2023-02-17 17:00:00,142185,Macerata
2023-02-18 17:00:00,142195,Macerata
2023-02-19 17:00:00,142209,Macerata
2023-02-20 17:00:00,142212,Macerata
2023-02-21 17:00:00,142238,Macerata
2023-02-22 17:00:00,142248,Macerata
2023-02-23 17:00:00,142267,Macerata
2023-02-24 17:00:00,142281,Macerata
2023-02-25 17:00:00,142303,Macerata
2023-02-26 17:00:00,142316,Macerata
2023-02-27 17:00:00,142319,Macerata
2023-02-28 17:00:00,142344,Macerata
2023-03-01 17:00:00,142357,Macerata
2023-03-02 17:00:00,142372,Macerata
2023-03-03 17:00:00,142378,Macerata
2023-03-04 17:00:00,142386,Macerata
2023-03-05 17:00:00,142394,Macerata
2023-03-06 17:00:00,142396,Macerata
2023-03-07 17:00:00,142417,Macerata
2023-03-08 17:00:00,142428,Macerata
2023-03-09 17:00:00,142437,Macerata
2023-03-10 17:00:00,142448,Macerata
2023-03-11 17:00:00,142452,Macerata
2023-03-12 17:00:00,142460,Macerata
2023-03-13 17:00:00,142470,Macerata
2023-03-14 17:00:00,142480,Macerata
2023-03-15 17:00:00,142490,Macerata
2023-03-16 17:00:00,142497,Macerata
2023-03-17 17:00:00,142511,Macerata
2023-03-18 17:00:00,142520,Macerata
2023-03-19 17:00:00,142528,Macerata
2023-03-20 17:00:00,142531,Macerata
2023-03-21 17:00:00,142539,Macerata
2023-03-22 17:00:00,142553,Macerata
2023-03-23 17:00:00,142564,Macerata
2023-03-24 17:00:00,142574,Macerata
2023-03-25 17:00:00,142578,Macerata
2023-03-26 17:00:00,142583,Macerata
2023-03-27 17:00:00,142587,Macerata
2023-03-28 17:00:00,142599,Macerata
2023-03-29 17:00:00,142605,Macerata
2023-03-30 17:00:00,142613,Macerata
2023-03-31 17:00:00,142618,Macerata
2023-04-01 17:00:00,142629,Macerata
2023-04-02 17:00:00,142639,Macerata
2023-04-03 17:00:00,142642,Macerata
2023-04-04 17:00:00,142664,Macerata
2023-04-05 17:00:00,142686,Macerata
2023-04-06 17:00:00,142685,Macerata
2023-04-07 17:00:00,142694,Macerata
2023-04-08 17:00:00,142696,Macerata
2023-04-09 17:00:00,142707,Macerata
2023-04-10 17:00:00,142708,Macerata
2023-04-11 17:00:00,142712,Macerata
2023-04-12 17:00:00,142739,Macerata
2023-04-13 17:00:00,142754,Macerata
2023-04-14 17:00:00,142765,Macerata
2023-04-15 17:00:00,142779,Macerata
2023-04-16 17:00:00,142786,Macerata
2023-04-17 17:00:00,142790,Macerata
2023-04-18 17:00:00,142808,Macerata
2023-04-19 17:00:00,142822,Macerata
2023-04-20 17:00:00,142835,Macerata
2023-04-21 17:00:00,142847,Macerata
2023-04-22 17:00:00,142864,Macerata
2023-04-23 17:00:00,142869,Macerata
2023-04-24 17:00:00,142869,Macerata
2023-04-25 17:00:00,142883,Macerata
2023-04-26 17:00:00,142886,Macerata
2023-04-27 17:00:00,142911,Macerata
2023-04-28 17:00:00,142903,Macerata
2023-04-29 17:00:00,142914,Macerata
2023-04-30 17:00:00,142923,Macerata
2023-05-01 17:00:00,142928,Macerata
2023-05-02 17:00:00,142932,Macerata
2023-05-03 17:00:00,142947,Macerata
2023-05-04 17:00:00,142968,Macerata
2023-05-05 17:00:00,142982,Macerata
2023-05-06 17:00:00,142987,Macerata
2023-05-07 17:00:00,142995,Macerata
2023-05-08 17:00:00,142998,Macerata
2023-05-09 17:00:00,143019,Macerata
