data,totale_casi,denominazione_provincia
2023-01-01 17:00:00,82212,Massa Carrara
2023-01-02 17:00:00,82220,Massa Carrara
2023-01-03 17:00:00,82335,Massa Carrara
2023-01-04 17:00:00,82416,Massa Carrara
2023-01-05 17:00:00,82481,Massa Carrara
2023-01-06 17:00:00,82527,Massa Carrara
2023-01-07 17:00:00,82543,Massa Carrara
2023-01-08 17:00:00,82602,Massa Carrara
2023-01-09 17:00:00,82607,Massa Carrara
2023-01-10 17:00:00,82667,Massa Carrara
2023-01-11 17:00:00,82695,Massa Carrara
2023-01-12 17:00:00,82718,Massa Carrara
2023-01-13 17:00:00,82738,Massa Carrara
2023-01-14 17:00:00,82751,Massa Carrara
2023-01-15 17:00:00,82767,Massa Carrara
2023-01-16 17:00:00,82776,Massa Carrara
2023-01-17 17:00:00,82806,Massa Carrara
2023-01-18 17:00:00,82826,Massa Carrara
2023-01-19 17:00:00,82850,Massa Carrara
2023-01-20 17:00:00,82862,Massa Carrara
2023-01-21 17:00:00,82876,Massa Carrara
2023-01-22 17:00:00,82884,Massa Carrara
2023-01-23 17:00:00,82890,Massa Carrara
2023-01-24 17:00:00,82910,Massa Carrara
2023-01-25 17:00:00,82937,Massa Carrara
2023-01-26 17:00:00,82950,Massa Carrara
2023-01-27 17:00:00,82966,Massa Carrara
2023-01-28 17:00:00,82978,Massa Carrara
2023-01-29 17:00:00,82984,Massa Carrara
2023-01-30 17:00:00,82990,Massa Carrara
2023-01-31 17:00:00,83010,Massa Carrara
2023-02-01 17:00:00,83027,Massa Carrara
2023-02-02 17:00:00,83035,Massa Carrara
2023-02-03 17:00:00,83048,Massa Carrara
2023-02-04 17:00:00,83063,Massa Carrara
2023-02-05 17:00:00,83075,Massa Carrara
2023-02-06 17:00:00,83080,Massa Carrara
2023-02-07 17:00:00,83102,Massa Carrara
2023-02-08 17:00:00,83115,Massa Carrara
2023-02-09 17:00:00,83131,Massa Carrara
2023-02-10 17:00:00,83143,Massa Carrara
2023-02-11 17:00:00,83166,Massa Carrara
2023-02-12 17:00:00,83179,Massa Carrara
2023-02-13 17:00:00,83183,Massa Carrara
2023-02-14 17:00:00,83206,Massa Carrara
2023-02-15 17:00:00,83224,Massa Carrara
2023-02-16 17:00:00,83233,Massa Carrara
2023-02-17 17:00:00,83264,Massa Carrara
2023-02-18 17:00:00,83280,Massa Carrara
2023-02-19 17:00:00,83292,Massa Carrara
2023-02-20 17:00:00,83295,Massa Carrara
2023-02-21 17:00:00,83327,Massa Carrara
2023-02-22 17:00:00,83342,Massa Carrara
2023-02-23 17:00:00,83348,Massa Carrara
2023-02-24 17:00:00,83352,Massa Carrara
2023-02-25 17:00:00,83365,Massa Carrara
2023-02-26 17:00:00,83375,Massa Carrara
2023-02-27 17:00:00,83375,Massa Carrara
2023-02-28 17:00:00,83393,Massa Carrara
2023-03-01 17:00:00,83398,Massa Carrara
2023-03-02 17:00:00,83404,Massa Carrara
2023-03-03 17:00:00,83406,Massa Carrara
2023-03-04 17:00:00,83419,Massa Carrara
2023-03-05 17:00:00,83425,Massa Carrara
2023-03-06 17:00:00,83425,Massa Carrara
2023-03-07 17:00:00,83437,Massa Carrara
2023-03-08 17:00:00,83443,Massa Carrara
2023-03-09 17:00:00,83451,Massa Carrara
2023-03-10 17:00:00,83460,Massa Carrara
2023-03-11 17:00:00,83461,Massa Carrara
2023-03-12 17:00:00,83463,Massa Carrara
2023-03-13 17:00:00,83465,Massa Carrara
2023-03-14 17:00:00,83472,Massa Carrara
2023-03-15 17:00:00,83478,Massa Carrara
2023-03-16 17:00:00,83484,Massa Carrara
2023-03-17 17:00:00,83489,Massa Carrara
2023-03-18 17:00:00,83495,Massa Carrara
2023-03-19 17:00:00,83498,Massa Carrara
2023-03-20 17:00:00,83498,Massa Carrara
2023-03-21 17:00:00,83505,Massa Carrara
2023-03-22 17:00:00,83512,Massa Carrara
2023-03-23 17:00:00,83516,Massa Carrara
2023-03-24 17:00:00,83522,Massa Carrara
2023-03-25 17:00:00,83528,Massa Carrara
2023-03-26 17:00:00,83528,Massa Carrara
2023-03-27 17:00:00,83529,Massa Carrara
2023-03-28 17:00:00,83534,Massa Carrara
2023-03-29 17:00:00,83540,Massa Carrara
2023-03-30 17:00:00,83547,Massa Carrara
2023-03-31 17:00:00,83553,Massa Carrara
2023-04-01 17:00:00,83561,Massa Carrara
