data,totale_casi,denominazione_provincia
2023-01-01 17:00:00,309139,Modena
2023-01-02 17:00:00,309236,Modena
2023-01-03 17:00:00,309356,Modena
2023-01-04 17:00:00,309562,Modena
2023-01-05 17:00:00,309711,Modena
2023-01-06 17:00:00,309875,Modena
2023-01-07 17:00:00,309931,Modena
2023-01-08 17:00:00,310016,Modena
2023-01-09 17:00:00,310080,Modena
2023-01-10 17:00:00,310207,Modena
2023-01-11 17:00:00,310338,Modena
2023-01-12 17:00:00,310429,Modena
2023-01-13 17:00:00,310518,Modena
2023-01-14 17:00:00,310577,Modena
2023-01-15 17:00:00,310627,Modena
2023-01-16 17:00:00,310664,Modena
2023-01-17 17:00:00,310727,Modena
2023-01-18 17:00:00,310804,Modena
2023-01-19 17:00:00,310867,Modena
2023-01-20 17:00:00,310933,Modena
2023-01-21 17:00:00,310970,Modena
2023-01-22 17:00:00,311000,Modena
2023-01-23 17:00:00,311048,Modena
2023-01-24 17:00:00,311091,Modena
2023-01-25 17:00:00,311142,Modena
2023-01-26 17:00:00,311169,Modena
2023-01-27 17:00:00,311232,Modena
2023-01-28 17:00:00,311271,Modena
2023-01-29 17:00:00,311311,Modena
2023-01-30 17:00:00,311319,Modena
2023-01-31 17:00:00,311387,Modena
2023-02-01 17:00:00,311425,Modena
2023-02-02 17:00:00,311473,Modena
2023-02-03 17:00:00,311511,Modena
2023-02-04 17:00:00,311546,Modena
2023-02-05 17:00:00,311563,Modena
2023-02-06 17:00:00,311605,Modena
2023-02-07 17:00:00,311659,Modena
2023-02-08 17:00:00,311696,Modena
2023-02-09 17:00:00,311733,Modena
2023-02-10 17:00:00,311784,Modena
2023-02-11 17:00:00,311795,Modena
2023-02-12 17:00:00,311843,Modena
2023-02-13 17:00:00,311852,Modena
2023-02-14 17:00:00,311890,Modena
2023-02-15 17:00:00,311935,Modena
2023-02-16 17:00:00,311972,Modena
2023-02-17 17:00:00,312021,Modena
2023-02-18 17:00:00,312061,Modena
2023-02-19 17:00:00,312087,Modena
2023-02-20 17:00:00,312100,Modena
2023-02-21 17:00:00,312154,Modena
2023-02-22 17:00:00,312184,Modena
2023-02-23 17:00:00,312223,Modena
2023-02-24 17:00:00,312287,Modena
2023-02-25 17:00:00,312324,Modena
2023-02-26 17:00:00,312349,Modena
2023-02-27 17:00:00,312237,Modena
2023-02-28 17:00:00,312296,Modena
2023-03-01 17:00:00,312317,Modena
2023-03-02 17:00:00,312365,Modena
2023-03-03 17:00:00,312373,Modena
2023-03-04 17:00:00,312404,Modena
2023-03-05 17:00:00,312451,Modena
2023-03-06 17:00:00,312451,Modena
2023-03-07 17:00:00,312494,Modena
2023-03-08 17:00:00,312519,Modena
2023-03-09 17:00:00,312560,Modena
2023-03-10 17:00:00,312590,Modena
2023-03-11 17:00:00,312636,Modena
2023-03-12 17:00:00,312650,Modena
2023-03-13 17:00:00,312675,Modena
2023-03-14 17:00:00,312706,Modena
2023-03-15 17:00:00,312713,Modena
2023-03-16 17:00:00,312767,Modena
2023-03-17 17:00:00,312785,Modena
2023-03-18 17:00:00,312803,Modena
2023-03-19 17:00:00,312833,Modena
2023-03-20 17:00:00,312847,Modena
2023-03-21 17:00:00,312873,Modena
2023-03-22 17:00:00,312905,Modena
2023-03-23 17:00:00,312944,Modena
2023-03-24 17:00:00,312997,Modena
2023-03-25 17:00:00,313010,Modena
2023-03-26 17:00:00,313017,Modena
2023-03-27 17:00:00,313042,Modena
2023-03-28 17:00:00,313068,Modena
2023-03-29 17:00:00,313097,Modena
2023-03-30 17:00:00,313120,Modena
2023-03-31 17:00:00,313131,Modena
2023-04-01 17:00:00,313181,Modena
2023-04-02 17:00:00,313229,Modena
2023-04-03 17:00:00,313238,Modena
2023-04-04 17:00:00,313244,Modena
2023-04-05 17:00:00,313248,Modena
2023-04-06 17:00:00,313290,Modena
2023-04-07 17:00:00,313311,Modena
2023-04-08 17:00:00,313348,Modena
2023-04-09 17:00:00,313375,Modena
2023-04-10 17:00:00,313392,Modena
2023-04-11 17:00:00,313408,Modena
2023-04-12 17:00:00,313469,Modena
2023-04-13 17:00:00,313497,Modena
2023-04-14 17:00:00,313561,Modena
2023-04-15 17:00:00,313611,Modena
2023-04-16 17:00:00,313640,Modena
2023-04-17 17:00:00,313665,Modena
2023-04-18 17:00:00,313696,Modena
2023-04-19 17:00:00,313760,Modena
2023-04-20 17:00:00,313807,Modena
2023-04-21 17:00:00,313853,Modena
2023-04-22 17:00:00,313876,Modena
2023-04-23 17:00:00,313896,Modena
2023-04-24 17:00:00,313910,Modena
2023-04-25 17:00:00,313956,Modena
2023-04-26 17:00:00,313988,Modena
2023-04-27 17:00:00,314029,Modena
2023-04-28 17:00:00,314063,Modena
2023-04-29 17:00:00,314103,Modena
2023-04-30 17:00:00,314120,Modena
2023-05-01 17:00:00,314146,Modena
2023-05-02 17:00:00,314152,Modena
