data,totale_casi,denominazione_provincia
2023-01-01 17:00:00,129506,Novara
2023-01-02 17:00:00,129533,Novara
2023-01-03 17:00:00,129647,Novara
2023-01-04 17:00:00,129719,Novara
2023-01-05 17:00:00,129784,Novara
2023-01-06 17:00:00,129836,Novara
2023-01-07 17:00:00,129854,Novara
2023-01-08 17:00:00,129884,Novara
2023-01-09 17:00:00,129901,Novara
2023-01-10 17:00:00,129990,Novara
2023-01-11 17:00:00,130030,Novara
2023-01-12 17:00:00,130081,Novara
2023-01-13 17:00:00,130107,Novara
2023-01-14 17:00:00,130132,Novara
2023-01-15 17:00:00,130147,Novara
2023-01-16 17:00:00,130149,Novara
2023-01-17 17:00:00,130205,Novara
2023-01-18 17:00:00,130238,Novara
2023-01-19 17:00:00,130268,Novara
2023-01-20 17:00:00,130287,Novara
2023-01-21 17:00:00,130313,Novara
2023-01-22 17:00:00,130326,Novara
2023-01-23 17:00:00,130330,Novara
2023-01-24 17:00:00,130387,Novara
2023-01-25 17:00:00,130412,Novara
2023-01-26 17:00:00,130432,Novara
2023-01-27 17:00:00,130466,Novara
2023-01-28 17:00:00,130483,Novara
2023-01-29 17:00:00,130491,Novara
2023-01-30 17:00:00,130507,Novara
2023-01-31 17:00:00,130536,Novara
2023-02-01 17:00:00,130569,Novara
2023-02-02 17:00:00,130582,Novara
2023-02-03 17:00:00,130610,Novara
2023-02-04 17:00:00,130635,Novara
2023-02-05 17:00:00,130654,Novara
2023-02-06 17:00:00,130666,Novara
2023-02-07 17:00:00,130704,Novara
2023-02-08 17:00:00,130734,Novara
2023-02-09 17:00:00,130759,Novara
2023-02-10 17:00:00,130777,Novara
2023-02-11 17:00:00,130795,Novara
2023-02-12 17:00:00,130813,Novara
2023-02-13 17:00:00,130816,Novara
2023-02-14 17:00:00,130868,Novara
2023-02-15 17:00:00,130891,Novara
2023-02-16 17:00:00,130925,Novara
2023-02-17 17:00:00,130940,Novara
2023-02-18 17:00:00,130965,Novara
2023-02-19 17:00:00,130974,Novara
2023-02-20 17:00:00,130991,Novara
2023-02-21 17:00:00,131026,Novara
2023-02-22 17:00:00,131053,Novara
2023-02-23 17:00:00,131076,Novara
2023-02-24 17:00:00,131113,Novara
2023-02-25 17:00:00,131134,Novara
2023-02-26 17:00:00,131152,Novara
2023-02-27 17:00:00,131164,Novara
2023-02-28 17:00:00,131195,Novara
2023-03-01 17:00:00,131222,Novara
2023-03-02 17:00:00,131241,Novara
2023-03-03 17:00:00,131256,Novara
2023-03-04 17:00:00,131273,Novara
2023-03-05 17:00:00,131283,Novara
2023-03-06 17:00:00,131292,Novara
2023-03-07 17:00:00,131328,Novara
2023-03-08 17:00:00,131346,Novara
2023-03-09 17:00:00,131365,Novara
2023-03-10 17:00:00,131377,Novara
2023-03-11 17:00:00,131393,Novara
2023-03-12 17:00:00,131396,Novara
2023-03-13 17:00:00,131400,Novara
2023-03-14 17:00:00,131434,Novara
2023-03-15 17:00:00,131466,Novara
2023-03-16 17:00:00,131474,Novara
2023-03-17 17:00:00,131488,Novara
2023-03-18 17:00:00,131500,Novara
2023-03-19 17:00:00,131507,Novara
2023-03-20 17:00:00,131507,Novara
2023-03-21 17:00:00,131538,Novara
2023-03-22 17:00:00,131562,Novara
2023-03-23 17:00:00,131579,Novara
2023-03-24 17:00:00,131590,Novara
2023-03-25 17:00:00,131609,Novara
2023-03-26 17:00:00,131618,Novara
2023-03-27 17:00:00,131627,Novara
2023-03-28 17:00:00,131667,Novara
2023-03-29 17:00:00,131677,Novara
2023-03-30 17:00:00,131697,Novara
2023-03-31 17:00:00,131719,Novara
2023-04-01 17:00:00,131726,Novara
2023-04-02 17:00:00,131731,Novara
2023-04-03 17:00:00,131734,Novara
2023-04-04 17:00:00,131760,Novara
2023-04-05 17:00:00,131779,Novara
2023-04-06 17:00:00,131789,Novara
2023-04-07 17:00:00,131828,Novara
2023-04-08 17:00:00,131839,Novara
2023-04-09 17:00:00,131848,Novara
2023-04-10 17:00:00,131858,Novara
2023-04-11 17:00:00,131869,Novara
2023-04-12 17:00:00,131917,Novara
2023-04-13 17:00:00,131952,Novara
2023-04-14 17:00:00,131965,Novara
2023-04-15 17:00:00,131989,Novara
2023-04-16 17:00:00,132007,Novara
2023-04-17 17:00:00,132011,Novara
2023-04-18 17:00:00,132030,Novara
2023-04-19 17:00:00,132057,Novara
2023-04-20 17:00:00,132071,Novara
2023-04-21 17:00:00,132085,Novara
2023-04-22 17:00:00,132101,Novara
2023-04-23 17:00:00,132108,Novara
2023-04-24 17:00:00,132110,Novara
2023-04-25 17:00:00,132127,Novara
2023-04-26 17:00:00,132131,Novara
2023-04-27 17:00:00,132164,Novara
2023-04-28 17:00:00,132171,Novara
2023-04-29 17:00:00,132184,Novara
2023-04-30 17:00:00,132193,Novara
2023-05-01 17:00:00,132197,Novara
2023-05-02 17:00:00,132208,Novara
2023-05-03 17:00:00,132225,Novara
2023-05-04 17:00:00,132231,Novara
2023-05-05 17:00:00,132260,Novara
2023-05-06 17:00:00,132273,Novara
2023-05-07 17:00:00,132282,Novara
2023-05-08 17:00:00,132283,Novara
