data,totale_casi,denominazione_provincia
2023-01-01 17:00:00,65877,Nuoro
2023-01-02 17:00:00,65877,Nuoro
2023-01-03 17:00:00,66123,Nuoro
2023-01-04 17:00:00,66202,Nuoro
2023-01-05 17:00:00,66218,Nuoro
2023-01-06 17:00:00,66259,Nuoro
2023-01-07 17:00:00,66299,Nuoro
2023-01-08 17:00:00,66299,Nuoro
2023-01-09 17:00:00,66348,Nuoro
2023-01-10 17:00:00,66426,Nuoro
2023-01-11 17:00:00,66476,Nuoro
2023-01-12 17:00:00,66487,Nuoro
2023-01-13 17:00:00,66533,Nuoro
2023-01-14 17:00:00,66554,Nuoro
2023-01-15 17:00:00,66554,Nuoro
2023-01-16 17:00:00,66586,Nuoro
2023-01-17 17:00:00,66629,Nuoro
2023-01-18 17:00:00,66649,Nuoro
2023-01-19 17:00:00,66653,Nuoro
2023-01-20 17:00:00,66687,Nuoro
2023-01-21 17:00:00,66693,Nuoro
2023-01-22 17:00:00,66693,Nuoro
2023-01-23 17:00:00,66693,Nuoro
2023-01-24 17:00:00,66731,Nuoro
2023-01-25 17:00:00,66750,Nuoro
2023-01-26 17:00:00,66762,Nuoro
2023-01-27 17:00:00,66780,Nuoro
2023-01-28 17:00:00,66780,Nuoro
2023-01-29 17:00:00,66780,Nuoro
2023-01-30 17:00:00,66780,Nuoro
2023-01-31 17:00:00,66839,Nuoro
2023-02-01 17:00:00,66855,Nuoro
2023-02-02 17:00:00,66868,Nuoro
2023-02-03 17:00:00,66894,Nuoro
2023-02-04 17:00:00,66903,Nuoro
2023-02-05 17:00:00,66908,Nuoro
2023-02-06 17:00:00,66916,Nuoro
2023-02-07 17:00:00,66929,Nuoro
2023-02-08 17:00:00,66964,Nuoro
2023-02-09 17:00:00,66976,Nuoro
2023-02-10 17:00:00,66988,Nuoro
2023-02-11 17:00:00,66994,Nuoro
2023-02-12 17:00:00,66996,Nuoro
2023-02-13 17:00:00,67001,Nuoro
2023-02-14 17:00:00,67011,Nuoro
2023-02-15 17:00:00,67017,Nuoro
2023-02-16 17:00:00,67032,Nuoro
2023-02-17 17:00:00,67040,Nuoro
2023-02-18 17:00:00,67047,Nuoro
2023-02-19 17:00:00,67050,Nuoro
2023-02-20 17:00:00,67051,Nuoro
2023-02-21 17:00:00,67061,Nuoro
2023-02-22 17:00:00,67072,Nuoro
2023-02-23 17:00:00,67087,Nuoro
2023-02-24 17:00:00,67096,Nuoro
2023-02-25 17:00:00,67096,Nuoro
2023-02-26 17:00:00,67096,Nuoro
2023-02-27 17:00:00,67096,Nuoro
2023-02-28 17:00:00,67123,Nuoro
2023-03-01 17:00:00,67131,Nuoro
2023-03-02 17:00:00,67137,Nuoro
2023-03-03 17:00:00,67141,Nuoro
2023-03-04 17:00:00,67148,Nuoro
2023-03-05 17:00:00,67151,Nuoro
2023-03-06 17:00:00,67152,Nuoro
2023-03-07 17:00:00,67165,Nuoro
2023-03-08 17:00:00,67169,Nuoro
2023-03-09 17:00:00,67174,Nuoro
2023-03-10 17:00:00,67178,Nuoro
2023-03-11 17:00:00,67185,Nuoro
2023-03-12 17:00:00,67186,Nuoro
2023-03-13 17:00:00,67188,Nuoro
2023-03-14 17:00:00,67204,Nuoro
2023-03-15 17:00:00,67214,Nuoro
2023-03-16 17:00:00,67222,Nuoro
2023-03-17 17:00:00,67229,Nuoro
2023-03-18 17:00:00,67232,Nuoro
2023-03-19 17:00:00,67235,Nuoro
2023-03-20 17:00:00,67237,Nuoro
2023-03-21 17:00:00,67243,Nuoro
2023-03-22 17:00:00,67256,Nuoro
2023-03-23 17:00:00,67261,Nuoro
2023-03-24 17:00:00,67267,Nuoro
2023-03-25 17:00:00,67270,Nuoro
2023-03-26 17:00:00,67271,Nuoro
2023-03-27 17:00:00,67275,Nuoro
2023-03-28 17:00:00,67286,Nuoro
2023-03-29 17:00:00,67298,Nuoro
2023-03-30 17:00:00,67306,Nuoro
2023-03-31 17:00:00,67308,Nuoro
2023-04-01 17:00:00,67315,Nuoro
2023-04-02 17:00:00,67316,Nuoro
2023-04-03 17:00:00,67317,Nuoro
2023-04-04 17:00:00,67329,Nuoro
2023-04-05 17:00:00,67335,Nuoro
