data,totale_casi,denominazione_provincia
2023-01-01 17:00:00,520167,Padova
2023-01-02 17:00:00,520266,Padova
2023-01-03 17:00:00,520949,Padova
2023-01-04 17:00:00,521465,Padova
2023-01-05 17:00:00,521945,Padova
2023-01-06 17:00:00,522327,Padova
2023-01-07 17:00:00,522387,Padova
2023-01-08 17:00:00,522698,Padova
2023-01-09 17:00:00,522760,Padova
2023-01-10 17:00:00,523271,Padova
2023-01-11 17:00:00,523575,Padova
2023-01-12 17:00:00,523873,Padova
2023-01-13 17:00:00,524097,Padova
2023-01-14 17:00:00,524293,Padova
2023-01-15 17:00:00,524408,Padova
2023-01-16 17:00:00,524446,Padova
2023-01-17 17:00:00,524764,Padova
2023-01-18 17:00:00,524969,Padova
2023-01-19 17:00:00,525146,Padova
2023-01-20 17:00:00,525347,Padova
2023-01-21 17:00:00,525515,Padova
2023-01-22 17:00:00,525582,Padova
2023-01-23 17:00:00,525605,Padova
2023-01-24 17:00:00,525823,Padova
2023-01-25 17:00:00,525973,Padova
2023-01-26 17:00:00,526128,Padova
2023-01-27 17:00:00,526277,Padova
2023-01-28 17:00:00,526397,Padova
2023-01-29 17:00:00,526484,Padova
2023-01-30 17:00:00,526501,Padova
2023-01-31 17:00:00,526702,Padova
2023-02-01 17:00:00,526867,Padova
2023-02-02 17:00:00,527036,Padova
2023-02-03 17:00:00,527155,Padova
2023-02-04 17:00:00,527294,Padova
2023-02-05 17:00:00,527367,Padova
2023-02-06 17:00:00,527398,Padova
2023-02-07 17:00:00,527648,Padova
2023-02-08 17:00:00,527807,Padova
2023-02-09 17:00:00,527928,Padova
2023-02-10 17:00:00,528031,Padova
2023-02-11 17:00:00,528144,Padova
2023-02-12 17:00:00,528219,Padova
2023-02-13 17:00:00,528230,Padova
2023-02-14 17:00:00,528444,Padova
2023-02-15 17:00:00,528626,Padova
2023-02-16 17:00:00,528792,Padova
2023-02-17 17:00:00,528951,Padova
2023-02-18 17:00:00,529095,Padova
2023-02-19 17:00:00,529182,Padova
2023-02-20 17:00:00,529208,Padova
2023-02-21 17:00:00,529420,Padova
2023-02-22 17:00:00,529570,Padova
2023-02-23 17:00:00,529693,Padova
2023-02-24 17:00:00,529813,Padova
2023-02-25 17:00:00,529950,Padova
2023-02-26 17:00:00,530024,Padova
2023-02-27 17:00:00,530058,Padova
2023-02-28 17:00:00,530264,Padova
2023-03-01 17:00:00,530381,Padova
2023-03-02 17:00:00,530459,Padova
2023-03-03 17:00:00,530640,Padova
2023-03-04 17:00:00,530738,Padova
2023-03-05 17:00:00,530811,Padova
2023-03-06 17:00:00,530836,Padova
2023-03-07 17:00:00,531030,Padova
2023-03-08 17:00:00,531162,Padova
2023-03-09 17:00:00,531311,Padova
2023-03-10 17:00:00,531439,Padova
2023-03-11 17:00:00,531540,Padova
2023-03-12 17:00:00,531618,Padova
2023-03-13 17:00:00,531637,Padova
2023-03-14 17:00:00,531830,Padova
2023-03-15 17:00:00,531939,Padova
2023-03-16 17:00:00,532041,Padova
2023-03-17 17:00:00,532167,Padova
2023-03-18 17:00:00,532285,Padova
2023-03-19 17:00:00,532346,Padova
2023-03-20 17:00:00,532371,Padova
2023-03-21 17:00:00,532557,Padova
2023-03-22 17:00:00,532697,Padova
2023-03-23 17:00:00,532827,Padova
2023-03-24 17:00:00,532948,Padova
2023-03-25 17:00:00,533055,Padova
2023-03-26 17:00:00,533119,Padova
2023-03-27 17:00:00,533138,Padova
2023-03-28 17:00:00,533314,Padova
2023-03-29 17:00:00,533413,Padova
2023-03-30 17:00:00,533517,Padova
2023-03-31 17:00:00,533606,Padova
2023-04-01 17:00:00,533699,Padova
2023-04-02 17:00:00,533745,Padova
2023-04-03 17:00:00,533763,Padova
2023-04-04 17:00:00,533960,Padova
2023-04-05 17:00:00,534050,Padova
2023-04-06 17:00:00,534149,Padova
2023-04-07 17:00:00,534233,Padova
2023-04-08 17:00:00,534306,Padova
2023-04-09 17:00:00,534360,Padova
2023-04-10 17:00:00,534380,Padova
2023-04-11 17:00:00,534418,Padova
2023-04-12 17:00:00,534640,Padova
2023-04-13 17:00:00,534790,Padova
2023-04-14 17:00:00,534923,Padova
2023-04-15 17:00:00,535040,Padova
2023-04-16 17:00:00,535114,Padova
2023-04-17 17:00:00,535141,Padova
2023-04-18 17:00:00,535345,Padova
2023-04-19 17:00:00,535466,Padova
2023-04-20 17:00:00,535575,Padova
2023-04-21 17:00:00,535715,Padova
2023-04-22 17:00:00,535808,Padova
2023-04-23 17:00:00,535875,Padova
2023-04-24 17:00:00,535895,Padova
2023-04-25 17:00:00,536100,Padova
2023-04-26 17:00:00,536140,Padova
2023-04-27 17:00:00,536324,Padova
2023-04-28 17:00:00,536404,Padova
2023-04-29 17:00:00,536492,Padova
2023-04-30 17:00:00,536542,Padova
2023-05-01 17:00:00,536561,Padova
2023-05-02 17:00:00,536586,Padova
2023-05-03 17:00:00,536726,Padova
2023-05-04 17:00:00,536808,Padova
2023-05-05 17:00:00,536907,Padova
2023-05-06 17:00:00,536986,Padova
2023-05-07 17:00:00,537031,Padova
2023-05-08 17:00:00,537046,Padova
2023-05-09 17:00:00,537139,Padova
