data,totale_casi,denominazione_provincia
2023-01-01 17:00:00,108671,Piacenza
2023-01-02 17:00:00,108711,Piacenza
2023-01-03 17:00:00,108749,Piacenza
2023-01-04 17:00:00,108808,Piacenza
2023-01-05 17:00:00,108863,Piacenza
2023-01-06 17:00:00,108907,Piacenza
2023-01-07 17:00:00,108946,Piacenza
2023-01-08 17:00:00,108978,Piacenza
2023-01-09 17:00:00,108989,Piacenza
2023-01-10 17:00:00,109035,Piacenza
2023-01-11 17:00:00,109087,Piacenza
2023-01-12 17:00:00,109116,Piacenza
2023-01-13 17:00:00,109119,Piacenza
2023-01-14 17:00:00,109129,Piacenza
2023-01-15 17:00:00,109141,Piacenza
2023-01-16 17:00:00,109166,Piacenza
2023-01-17 17:00:00,109202,Piacenza
2023-01-18 17:00:00,109228,Piacenza
2023-01-19 17:00:00,109256,Piacenza
2023-01-20 17:00:00,109278,Piacenza
2023-01-21 17:00:00,109294,Piacenza
2023-01-22 17:00:00,109311,Piacenza
2023-01-23 17:00:00,109328,Piacenza
2023-01-24 17:00:00,109355,Piacenza
2023-01-25 17:00:00,109377,Piacenza
2023-01-26 17:00:00,109398,Piacenza
2023-01-27 17:00:00,109399,Piacenza
2023-01-28 17:00:00,109425,Piacenza
2023-01-29 17:00:00,109444,Piacenza
2023-01-30 17:00:00,109453,Piacenza
2023-01-31 17:00:00,109467,Piacenza
2023-02-01 17:00:00,109504,Piacenza
2023-02-02 17:00:00,109528,Piacenza
2023-02-03 17:00:00,109531,Piacenza
2023-02-04 17:00:00,109536,Piacenza
2023-02-05 17:00:00,109551,Piacenza
2023-02-06 17:00:00,109558,Piacenza
2023-02-07 17:00:00,109587,Piacenza
2023-02-08 17:00:00,109615,Piacenza
2023-02-09 17:00:00,109632,Piacenza
2023-02-10 17:00:00,109637,Piacenza
2023-02-11 17:00:00,109646,Piacenza
2023-02-12 17:00:00,109675,Piacenza
2023-02-13 17:00:00,109677,Piacenza
2023-02-14 17:00:00,109693,Piacenza
2023-02-15 17:00:00,109731,Piacenza
2023-02-16 17:00:00,109743,Piacenza
2023-02-17 17:00:00,109762,Piacenza
2023-02-18 17:00:00,109788,Piacenza
2023-02-19 17:00:00,109801,Piacenza
2023-02-20 17:00:00,109814,Piacenza
2023-02-21 17:00:00,109842,Piacenza
2023-02-22 17:00:00,109862,Piacenza
2023-02-23 17:00:00,109879,Piacenza
2023-02-24 17:00:00,109899,Piacenza
2023-02-25 17:00:00,109908,Piacenza
2023-02-26 17:00:00,109929,Piacenza
2023-02-27 17:00:00,109850,Piacenza
2023-02-28 17:00:00,109879,Piacenza
2023-03-01 17:00:00,109902,Piacenza
2023-03-02 17:00:00,109917,Piacenza
2023-03-03 17:00:00,109938,Piacenza
2023-03-04 17:00:00,109952,Piacenza
2023-03-05 17:00:00,109972,Piacenza
2023-03-06 17:00:00,109981,Piacenza
2023-03-07 17:00:00,109986,Piacenza
2023-03-08 17:00:00,110010,Piacenza
2023-03-09 17:00:00,110023,Piacenza
2023-03-10 17:00:00,110049,Piacenza
2023-03-11 17:00:00,110062,Piacenza
2023-03-12 17:00:00,110071,Piacenza
2023-03-13 17:00:00,110089,Piacenza
2023-03-14 17:00:00,110093,Piacenza
2023-03-15 17:00:00,110117,Piacenza
2023-03-16 17:00:00,110131,Piacenza
2023-03-17 17:00:00,110159,Piacenza
2023-03-18 17:00:00,110173,Piacenza
2023-03-19 17:00:00,110187,Piacenza
2023-03-20 17:00:00,110188,Piacenza
2023-03-21 17:00:00,110202,Piacenza
2023-03-22 17:00:00,110233,Piacenza
2023-03-23 17:00:00,110240,Piacenza
2023-03-24 17:00:00,110266,Piacenza
2023-03-25 17:00:00,110274,Piacenza
2023-03-26 17:00:00,110288,Piacenza
2023-03-27 17:00:00,110300,Piacenza
2023-03-28 17:00:00,110313,Piacenza
2023-03-29 17:00:00,110324,Piacenza
2023-03-30 17:00:00,110343,Piacenza
2023-03-31 17:00:00,110355,Piacenza
2023-04-01 17:00:00,110376,Piacenza
2023-04-02 17:00:00,110388,Piacenza
2023-04-03 17:00:00,110394,Piacenza
2023-04-04 17:00:00,110411,Piacenza
2023-04-05 17:00:00,110381,Piacenza
2023-04-06 17:00:00,110398,Piacenza
2023-04-07 17:00:00,110413,Piacenza
2023-04-08 17:00:00,110416,Piacenza
2023-04-09 17:00:00,110429,Piacenza
2023-04-10 17:00:00,110444,Piacenza
2023-04-11 17:00:00,110437,Piacenza
2023-04-12 17:00:00,110459,Piacenza
2023-04-13 17:00:00,110483,Piacenza
2023-04-14 17:00:00,110499,Piacenza
2023-04-15 17:00:00,110518,Piacenza
2023-04-16 17:00:00,110532,Piacenza
2023-04-17 17:00:00,110541,Piacenza
2023-04-18 17:00:00,110554,Piacenza
2023-04-19 17:00:00,110584,Piacenza
2023-04-20 17:00:00,110600,Piacenza
2023-04-21 17:00:00,110605,Piacenza
2023-04-22 17:00:00,110615,Piacenza
2023-04-23 17:00:00,110620,Piacenza
2023-04-24 17:00:00,110621,Piacenza
2023-04-25 17:00:00,110630,Piacenza
2023-04-26 17:00:00,110645,Piacenza
2023-04-27 17:00:00,110661,Piacenza
2023-04-28 17:00:00,110672,Piacenza
2023-04-29 17:00:00,110681,Piacenza
2023-04-30 17:00:00,110690,Piacenza
2023-05-01 17:00:00,110693,Piacenza
2023-05-02 17:00:00,110694,Piacenza
2023-05-03 17:00:00,110713,Piacenza
2023-05-04 17:00:00,110725,Piacenza
2023-05-05 17:00:00,110712,Piacenza
2023-05-06 17:00:00,110708,Piacenza
2023-05-07 17:00:00,110714,Piacenza
2023-05-08 17:00:00,110716,Piacenza
2023-05-09 17:00:00,110731,Piacenza
2023-05-10 17:00:00,110741,Piacenza
2023-05-11 17:00:00,110749,Piacenza
2023-05-12 17:00:00,110750,Piacenza
2023-05-13 17:00:00,110754,Piacenza
2023-05-14 17:00:00,110753,Piacenza
2023-05-15 17:00:00,110762,Piacenza
2023-05-16 17:00:00,110769,Piacenza
2023-05-17 17:00:00,110775,Piacenza
2023-05-18 17:00:00,110775,Piacenza
2023-05-19 17:00:00,110789,Piacenza
2023-05-20 17:00:00,110789,Piacenza
2023-05-21 17:00:00,110806,Piacenza
2023-05-22 17:00:00,110805,Piacenza
2023-05-23 17:00:00,110806,Piacenza
2023-05-24 17:00:00,110817,Piacenza
2023-05-25 17:00:00,110832,Piacenza
2023-05-26 17:00:00,110841,Piacenza
2023-05-27 17:00:00,110852,Piacenza
2023-05-28 17:00:00,110850,Piacenza
2023-05-29 17:00:00,110858,Piacenza
2023-05-30 17:00:00,110857,Piacenza
2023-05-31 17:00:00,110858,Piacenza
2023-06-01 17:00:00,110857,Piacenza
2023-06-02 17:00:00,110858,Piacenza
2023-06-03 17:00:00,110861,Piacenza
2023-06-04 17:00:00,110872,Piacenza
2023-06-05 17:00:00,110854,Piacenza
2023-06-06 17:00:00,110847,Piacenza
2023-06-07 17:00:00,110858,Piacenza
2023-06-08 17:00:00,110856,Piacenza
2023-06-09 17:00:00,110865,Piacenza
2023-06-10 17:00:00,110864,Piacenza
2023-06-11 17:00:00,110868,Piacenza
2023-06-12 17:00:00,110871,Piacenza
2023-06-13 17:00:00,110867,Piacenza
2023-06-14 17:00:00,110878,Piacenza
2023-06-15 17:00:00,110870,Piacenza
2023-06-16 17:00:00,110883,Piacenza
2023-06-17 17:00:00,110872,Piacenza
2023-06-18 17:00:00,110884,Piacenza
2023-06-19 17:00:00,110885,Piacenza
2023-06-20 17:00:00,110882,Piacenza
2023-06-21 17:00:00,110877,Piacenza
2023-06-22 17:00:00,110887,Piacenza
2023-06-23 17:00:00,110879,Piacenza
2023-06-24 17:00:00,110879,Piacenza
2023-06-25 17:00:00,110880,Piacenza
2023-06-26 17:00:00,110887,Piacenza
2023-06-27 17:00:00,110878,Piacenza
2023-06-28 17:00:00,110886,Piacenza
2023-06-29 17:00:00,110881,Piacenza
2023-06-30 17:00:00,110888,Piacenza
2023-07-01 17:00:00,110890,Piacenza
2023-07-02 17:00:00,110889,Piacenza
2023-07-03 17:00:00,110888,Piacenza
2023-07-04 17:00:00,110895,Piacenza
2023-07-05 17:00:00,110861,Piacenza
2023-07-06 17:00:00,110864,Piacenza
2023-07-07 17:00:00,110871,Piacenza
2023-07-08 17:00:00,110868,Piacenza
2023-07-09 17:00:00,110860,Piacenza
2023-07-10 17:00:00,110873,Piacenza
2023-07-11 17:00:00,110873,Piacenza
2023-07-12 17:00:00,110872,Piacenza
2023-07-13 17:00:00,110874,Piacenza
2023-07-14 17:00:00,110866,Piacenza
2023-07-15 17:00:00,110879,Piacenza
2023-07-16 17:00:00,110874,Piacenza
2023-07-17 17:00:00,110877,Piacenza
2023-07-18 17:00:00,110879,Piacenza
2023-07-19 17:00:00,110878,Piacenza
2023-07-20 17:00:00,110878,Piacenza
2023-07-21 17:00:00,110883,Piacenza
2023-07-22 17:00:00,111011,Piacenza
2023-07-23 17:00:00,110882,Piacenza
2023-07-24 17:00:00,110892,Piacenza
2023-07-25 17:00:00,110896,Piacenza
2023-07-26 17:00:00,110897,Piacenza
2023-07-27 17:00:00,110895,Piacenza
2023-07-28 17:00:00,110900,Piacenza
2023-07-29 17:00:00,110912,Piacenza
2023-07-30 17:00:00,110914,Piacenza
2023-07-31 17:00:00,110915,Piacenza
2023-08-01 17:00:00,110917,Piacenza
2023-08-02 17:00:00,110917,Piacenza
2023-08-03 17:00:00,110923,Piacenza
2023-08-04 17:00:00,110926,Piacenza
2023-08-05 17:00:00,110926,Piacenza
2023-08-06 17:00:00,110933,Piacenza
2023-08-07 17:00:00,110932,Piacenza
2023-08-08 17:00:00,110935,Piacenza
2023-08-09 17:00:00,110937,Piacenza
2023-08-10 17:00:00,110942,Piacenza
2023-08-11 17:00:00,110947,Piacenza
2023-08-12 17:00:00,110945,Piacenza
2023-08-13 17:00:00,110955,Piacenza
2023-08-14 17:00:00,110948,Piacenza
2023-08-15 17:00:00,110909,Piacenza
2023-08-16 17:00:00,110916,Piacenza
2023-08-17 17:00:00,110916,Piacenza
2023-08-18 17:00:00,110912,Piacenza
2023-08-19 17:00:00,110924,Piacenza
2023-08-20 17:00:00,110933,Piacenza
2023-08-21 17:00:00,110934,Piacenza
2023-08-22 17:00:00,110966,Piacenza
2023-08-23 17:00:00,110985,Piacenza
2023-08-24 17:00:00,110989,Piacenza
2023-08-25 17:00:00,110983,Piacenza
2023-08-26 17:00:00,110997,Piacenza
2023-08-27 17:00:00,110999,Piacenza
2023-08-28 17:00:00,111005,Piacenza
2023-08-29 17:00:00,111022,Piacenza
2023-08-30 17:00:00,111032,Piacenza
2023-08-31 17:00:00,111040,Piacenza
2023-09-01 17:00:00,111055,Piacenza
2023-09-02 17:00:00,111065,Piacenza
2023-09-03 17:00:00,111068,Piacenza
2023-09-04 17:00:00,111083,Piacenza
2023-09-05 17:00:00,111104,Piacenza
2023-09-06 17:00:00,111114,Piacenza
2023-09-07 17:00:00,111129,Piacenza
2023-09-08 17:00:00,111151,Piacenza
2023-09-09 17:00:00,111150,Piacenza
2023-09-10 17:00:00,111164,Piacenza
2023-09-11 17:00:00,111170,Piacenza
2023-09-12 17:00:00,111209,Piacenza
2023-09-13 17:00:00,111244,Piacenza
2023-09-14 17:00:00,111271,Piacenza
2023-09-15 17:00:00,111297,Piacenza
2023-09-16 17:00:00,111323,Piacenza
2023-09-17 17:00:00,111329,Piacenza
2023-09-18 17:00:00,111338,Piacenza
2023-09-19 17:00:00,111370,Piacenza
