data,totale_casi,denominazione_provincia
2023-01-01 17:00:00,183436,Pisa
2023-01-02 17:00:00,183459,Pisa
2023-01-03 17:00:00,183648,Pisa
2023-01-04 17:00:00,183756,Pisa
2023-01-05 17:00:00,183866,Pisa
2023-01-06 17:00:00,183957,Pisa
2023-01-07 17:00:00,183965,Pisa
2023-01-08 17:00:00,184052,Pisa
2023-01-09 17:00:00,184066,Pisa
2023-01-10 17:00:00,184205,Pisa
2023-01-11 17:00:00,184277,Pisa
2023-01-12 17:00:00,184343,Pisa
2023-01-13 17:00:00,184402,Pisa
2023-01-14 17:00:00,184440,Pisa
2023-01-15 17:00:00,184479,Pisa
2023-01-16 17:00:00,184493,Pisa
2023-01-17 17:00:00,184581,Pisa
2023-01-18 17:00:00,184646,Pisa
2023-01-19 17:00:00,184708,Pisa
2023-01-20 17:00:00,184772,Pisa
2023-01-21 17:00:00,184817,Pisa
2023-01-22 17:00:00,184848,Pisa
2023-01-23 17:00:00,184854,Pisa
2023-01-24 17:00:00,184933,Pisa
2023-01-25 17:00:00,184968,Pisa
2023-01-26 17:00:00,184999,Pisa
2023-01-27 17:00:00,185031,Pisa
2023-01-28 17:00:00,185074,Pisa
2023-01-29 17:00:00,185094,Pisa
2023-01-30 17:00:00,185105,Pisa
2023-01-31 17:00:00,185165,Pisa
2023-02-01 17:00:00,185207,Pisa
2023-02-02 17:00:00,185250,Pisa
2023-02-03 17:00:00,185284,Pisa
2023-02-04 17:00:00,185324,Pisa
2023-02-05 17:00:00,185368,Pisa
2023-02-06 17:00:00,185379,Pisa
2023-02-07 17:00:00,185454,Pisa
2023-02-08 17:00:00,185491,Pisa
2023-02-09 17:00:00,185539,Pisa
2023-02-10 17:00:00,185591,Pisa
2023-02-11 17:00:00,185615,Pisa
2023-02-12 17:00:00,185638,Pisa
2023-02-13 17:00:00,185641,Pisa
2023-02-14 17:00:00,185690,Pisa
2023-02-15 17:00:00,185730,Pisa
2023-02-16 17:00:00,185766,Pisa
2023-02-17 17:00:00,185790,Pisa
2023-02-18 17:00:00,185841,Pisa
2023-02-19 17:00:00,185867,Pisa
2023-02-20 17:00:00,185885,Pisa
2023-02-21 17:00:00,185944,Pisa
2023-02-22 17:00:00,185981,Pisa
2023-02-23 17:00:00,186026,Pisa
2023-02-24 17:00:00,186066,Pisa
2023-02-25 17:00:00,186098,Pisa
2023-02-26 17:00:00,186135,Pisa
2023-02-27 17:00:00,186139,Pisa
2023-02-28 17:00:00,186191,Pisa
2023-03-01 17:00:00,186214,Pisa
2023-03-02 17:00:00,186241,Pisa
2023-03-03 17:00:00,186259,Pisa
2023-03-04 17:00:00,186285,Pisa
2023-03-05 17:00:00,186302,Pisa
2023-03-06 17:00:00,186309,Pisa
2023-03-07 17:00:00,186342,Pisa
2023-03-08 17:00:00,186362,Pisa
2023-03-09 17:00:00,186387,Pisa
2023-03-10 17:00:00,186416,Pisa
2023-03-11 17:00:00,186440,Pisa
2023-03-12 17:00:00,186462,Pisa
2023-03-13 17:00:00,186465,Pisa
2023-03-14 17:00:00,186510,Pisa
2023-03-15 17:00:00,186529,Pisa
2023-03-16 17:00:00,186543,Pisa
2023-03-17 17:00:00,186558,Pisa
2023-03-18 17:00:00,186570,Pisa
2023-03-19 17:00:00,186588,Pisa
2023-03-20 17:00:00,186595,Pisa
2023-03-21 17:00:00,186620,Pisa
2023-03-22 17:00:00,186634,Pisa
2023-03-23 17:00:00,186657,Pisa
2023-03-24 17:00:00,186678,Pisa
2023-03-25 17:00:00,186699,Pisa
2023-03-26 17:00:00,186708,Pisa
2023-03-27 17:00:00,186712,Pisa
2023-03-28 17:00:00,186745,Pisa
2023-03-29 17:00:00,186756,Pisa
2023-03-30 17:00:00,186768,Pisa
2023-03-31 17:00:00,186784,Pisa
2023-04-01 17:00:00,186793,Pisa
2023-04-02 17:00:00,186809,Pisa
2023-04-03 17:00:00,186815,Pisa
2023-04-04 17:00:00,186846,Pisa
2023-04-05 17:00:00,186855,Pisa
2023-04-06 17:00:00,186868,Pisa
2023-04-07 17:00:00,186875,Pisa
2023-04-08 17:00:00,186889,Pisa
2023-04-09 17:00:00,186902,Pisa
2023-04-10 17:00:00,186906,Pisa
2023-04-11 17:00:00,186913,Pisa
2023-04-12 17:00:00,186952,Pisa
2023-04-13 17:00:00,186974,Pisa
2023-04-14 17:00:00,186991,Pisa
2023-04-15 17:00:00,187014,Pisa
2023-04-16 17:00:00,187027,Pisa
2023-04-17 17:00:00,187034,Pisa
2023-04-18 17:00:00,187067,Pisa
2023-04-19 17:00:00,187105,Pisa
2023-04-20 17:00:00,187129,Pisa
2023-04-21 17:00:00,187157,Pisa
2023-04-22 17:00:00,187190,Pisa
2023-04-23 17:00:00,187208,Pisa
2023-04-24 17:00:00,187210,Pisa
2023-04-25 17:00:00,187252,Pisa
2023-04-26 17:00:00,187256,Pisa
2023-04-27 17:00:00,187298,Pisa
2023-04-28 17:00:00,187318,Pisa
2023-04-29 17:00:00,187344,Pisa
2023-04-30 17:00:00,187364,Pisa
2023-05-01 17:00:00,187369,Pisa
2023-05-02 17:00:00,187379,Pisa
2023-05-03 17:00:00,187415,Pisa
2023-05-04 17:00:00,187438,Pisa
2023-05-05 17:00:00,187451,Pisa
2023-05-06 17:00:00,187473,Pisa
2023-05-07 17:00:00,187489,Pisa
2023-05-08 17:00:00,187491,Pisa
2023-05-09 17:00:00,187518,Pisa
2023-05-10 17:00:00,187536,Pisa
2023-05-11 17:00:00,187559,Pisa
2023-05-12 17:00:00,187572,Pisa
