data,totale_casi,denominazione_provincia
2023-01-01 17:00:00,138017,Pordenone
2023-01-02 17:00:00,138049,Pordenone
2023-01-03 17:00:00,138213,Pordenone
2023-01-04 17:00:00,138329,Pordenone
2023-01-05 17:00:00,138419,Pordenone
2023-01-06 17:00:00,138516,Pordenone
2023-01-07 17:00:00,138527,Pordenone
2023-01-08 17:00:00,138601,Pordenone
2023-01-09 17:00:00,138614,Pordenone
2023-01-10 17:00:00,138756,Pordenone
2023-01-11 17:00:00,138831,Pordenone
2023-01-12 17:00:00,138891,Pordenone
2023-01-13 17:00:00,138953,Pordenone
2023-01-14 17:00:00,139017,Pordenone
2023-01-15 17:00:00,139043,Pordenone
2023-01-16 17:00:00,139058,Pordenone
2023-01-17 17:00:00,139126,Pordenone
2023-01-18 17:00:00,139173,Pordenone
2023-01-19 17:00:00,139206,Pordenone
2023-01-20 17:00:00,139236,Pordenone
2023-01-21 17:00:00,139261,Pordenone
2023-01-22 17:00:00,139261,Pordenone
2023-01-23 17:00:00,139276,Pordenone
2023-01-24 17:00:00,139309,Pordenone
2023-01-25 17:00:00,139348,Pordenone
2023-01-26 17:00:00,139384,Pordenone
2023-01-27 17:00:00,139414,Pordenone
2023-01-28 17:00:00,139446,Pordenone
2023-01-29 17:00:00,139460,Pordenone
2023-01-30 17:00:00,139469,Pordenone
2023-01-31 17:00:00,139498,Pordenone
2023-02-01 17:00:00,139532,Pordenone
2023-02-02 17:00:00,139549,Pordenone
2023-02-03 17:00:00,139578,Pordenone
2023-02-04 17:00:00,139596,Pordenone
2023-02-05 17:00:00,139613,Pordenone
2023-02-06 17:00:00,139614,Pordenone
2023-02-07 17:00:00,139645,Pordenone
2023-02-08 17:00:00,139674,Pordenone
2023-02-09 17:00:00,139697,Pordenone
2023-02-10 17:00:00,139716,Pordenone
2023-02-11 17:00:00,139739,Pordenone
2023-02-12 17:00:00,139746,Pordenone
2023-02-13 17:00:00,139748,Pordenone
2023-02-14 17:00:00,139767,Pordenone
2023-02-15 17:00:00,139795,Pordenone
2023-02-16 17:00:00,139813,Pordenone
2023-02-17 17:00:00,139826,Pordenone
2023-02-18 17:00:00,139841,Pordenone
2023-02-19 17:00:00,139848,Pordenone
2023-02-20 17:00:00,139849,Pordenone
2023-02-21 17:00:00,139873,Pordenone
2023-02-22 17:00:00,139889,Pordenone
2023-02-23 17:00:00,139904,Pordenone
2023-02-24 17:00:00,139912,Pordenone
2023-02-25 17:00:00,139928,Pordenone
2023-02-26 17:00:00,139937,Pordenone
2023-02-27 17:00:00,139940,Pordenone
2023-02-28 17:00:00,139970,Pordenone
2023-03-01 17:00:00,139986,Pordenone
2023-03-02 17:00:00,140004,Pordenone
2023-03-03 17:00:00,140018,Pordenone
2023-03-04 17:00:00,140032,Pordenone
2023-03-05 17:00:00,140032,Pordenone
2023-03-06 17:00:00,140046,Pordenone
2023-03-07 17:00:00,140070,Pordenone
2023-03-08 17:00:00,140101,Pordenone
2023-03-09 17:00:00,140118,Pordenone
2023-03-10 17:00:00,140136,Pordenone
2023-03-11 17:00:00,140155,Pordenone
2023-03-12 17:00:00,140169,Pordenone
2023-03-13 17:00:00,140170,Pordenone
2023-03-14 17:00:00,140200,Pordenone
2023-03-15 17:00:00,140232,Pordenone
2023-03-16 17:00:00,140249,Pordenone
2023-03-17 17:00:00,140263,Pordenone
2023-03-18 17:00:00,140284,Pordenone
2023-03-19 17:00:00,140301,Pordenone
