data,totale_casi,denominazione_provincia
2023-01-01 17:00:00,127098,Potenza
2023-01-02 17:00:00,127139,Potenza
2023-01-03 17:00:00,127301,Potenza
2023-01-04 17:00:00,127407,Potenza
2023-01-05 17:00:00,127500,Potenza
2023-01-06 17:00:00,127612,Potenza
2023-01-07 17:00:00,127646,Potenza
2023-01-08 17:00:00,127775,Potenza
2023-01-09 17:00:00,127791,Potenza
2023-01-10 17:00:00,127977,Potenza
2023-01-11 17:00:00,127995,Potenza
2023-01-12 17:00:00,128069,Potenza
2023-01-13 17:00:00,128122,Potenza
2023-01-14 17:00:00,128185,Potenza
2023-01-15 17:00:00,128208,Potenza
2023-01-16 17:00:00,128238,Potenza
2023-01-17 17:00:00,128299,Potenza
2023-01-18 17:00:00,128343,Potenza
2023-01-19 17:00:00,128356,Potenza
2023-01-20 17:00:00,128375,Potenza
2023-01-21 17:00:00,128405,Potenza
2023-01-22 17:00:00,128412,Potenza
2023-01-23 17:00:00,128423,Potenza
2023-01-24 17:00:00,128453,Potenza
2023-01-25 17:00:00,128475,Potenza
2023-01-26 17:00:00,128511,Potenza
2023-01-27 17:00:00,128533,Potenza
2023-01-28 17:00:00,128549,Potenza
2023-01-29 17:00:00,128556,Potenza
2023-01-30 17:00:00,128567,Potenza
2023-01-31 17:00:00,128592,Potenza
2023-02-01 17:00:00,128616,Potenza
2023-02-02 17:00:00,128639,Potenza
2023-02-03 17:00:00,128653,Potenza
2023-02-04 17:00:00,128668,Potenza
2023-02-05 17:00:00,128676,Potenza
2023-02-06 17:00:00,128687,Potenza
2023-02-07 17:00:00,128694,Potenza
2023-02-08 17:00:00,128702,Potenza
2023-02-09 17:00:00,128717,Potenza
2023-02-10 17:00:00,128726,Potenza
2023-02-11 17:00:00,128737,Potenza
2023-02-12 17:00:00,128743,Potenza
2023-02-13 17:00:00,128755,Potenza
2023-02-14 17:00:00,128779,Potenza
2023-02-15 17:00:00,128790,Potenza
2023-02-16 17:00:00,128801,Potenza
2023-02-17 17:00:00,128813,Potenza
2023-02-18 17:00:00,128826,Potenza
2023-02-19 17:00:00,128830,Potenza
2023-02-20 17:00:00,128838,Potenza
2023-02-21 17:00:00,128844,Potenza
2023-02-22 17:00:00,128863,Potenza
2023-02-23 17:00:00,128877,Potenza
2023-02-24 17:00:00,128889,Potenza
2023-02-25 17:00:00,128899,Potenza
2023-02-26 17:00:00,128905,Potenza
2023-02-27 17:00:00,128911,Potenza
2023-02-28 17:00:00,128922,Potenza
2023-03-01 17:00:00,128937,Potenza
2023-03-02 17:00:00,128942,Potenza
2023-03-03 17:00:00,128952,Potenza
2023-03-04 17:00:00,128958,Potenza
2023-03-05 17:00:00,128962,Potenza
2023-03-06 17:00:00,128967,Potenza
2023-03-07 17:00:00,128980,Potenza
2023-03-08 17:00:00,128986,Potenza
2023-03-09 17:00:00,128996,Potenza
2023-03-10 17:00:00,129006,Potenza
2023-03-11 17:00:00,129016,Potenza
2023-03-12 17:00:00,129022,Potenza
2023-03-13 17:00:00,129023,Potenza
2023-03-14 17:00:00,129043,Potenza
2023-03-15 17:00:00,129062,Potenza
2023-03-16 17:00:00,129070,Potenza
2023-03-17 17:00:00,129082,Potenza
2023-03-18 17:00:00,129092,Potenza
2023-03-19 17:00:00,129098,Potenza
2023-03-20 17:00:00,129103,Potenza
2023-03-21 17:00:00,129117,Potenza
2023-03-22 17:00:00,129127,Potenza
2023-03-23 17:00:00,129139,Potenza
2023-03-24 17:00:00,129149,Potenza
2023-03-25 17:00:00,129157,Potenza
2023-03-26 17:00:00,129166,Potenza
2023-03-27 17:00:00,129167,Potenza
2023-03-28 17:00:00,129180,Potenza
