data,totale_casi,denominazione_provincia
2023-01-01 17:00:00,67426,Rieti
2023-01-02 17:00:00,67449,Rieti
2023-01-03 17:00:00,67524,Rieti
2023-01-04 17:00:00,67575,Rieti
2023-01-05 17:00:00,67623,Rieti
2023-01-06 17:00:00,67664,Rieti
2023-01-07 17:00:00,67676,Rieti
2023-01-08 17:00:00,67709,Rieti
2023-01-09 17:00:00,67741,Rieti
2023-01-10 17:00:00,67786,Rieti
2023-01-11 17:00:00,67830,Rieti
2023-01-12 17:00:00,67853,Rieti
2023-01-13 17:00:00,67873,Rieti
2023-01-14 17:00:00,67889,Rieti
2023-01-15 17:00:00,67911,Rieti
2023-01-16 17:00:00,67923,Rieti
2023-01-17 17:00:00,67948,Rieti
2023-01-18 17:00:00,67970,Rieti
2023-01-19 17:00:00,68004,Rieti
2023-01-20 17:00:00,68035,Rieti
2023-01-21 17:00:00,68057,Rieti
2023-01-22 17:00:00,68066,Rieti
2023-01-23 17:00:00,68070,Rieti
2023-01-24 17:00:00,68076,Rieti
2023-01-25 17:00:00,68094,Rieti
2023-01-26 17:00:00,68112,Rieti
2023-01-27 17:00:00,68118,Rieti
2023-01-28 17:00:00,68123,Rieti
2023-01-29 17:00:00,68134,Rieti
2023-01-30 17:00:00,68138,Rieti
2023-01-31 17:00:00,68156,Rieti
2023-02-01 17:00:00,68174,Rieti
2023-02-02 17:00:00,68189,Rieti
2023-02-03 17:00:00,68200,Rieti
2023-02-04 17:00:00,68207,Rieti
2023-02-05 17:00:00,68213,Rieti
2023-02-06 17:00:00,68215,Rieti
2023-02-07 17:00:00,68237,Rieti
2023-02-08 17:00:00,68253,Rieti
2023-02-09 17:00:00,68262,Rieti
2023-02-10 17:00:00,68298,Rieti
2023-02-11 17:00:00,68313,Rieti
2023-02-12 17:00:00,68314,Rieti
2023-02-13 17:00:00,68322,Rieti
2023-02-14 17:00:00,68333,Rieti
2023-02-15 17:00:00,68351,Rieti
2023-02-16 17:00:00,68363,Rieti
2023-02-17 17:00:00,68370,Rieti
2023-02-18 17:00:00,68378,Rieti
2023-02-19 17:00:00,68389,Rieti
2023-02-20 17:00:00,68397,Rieti
2023-02-21 17:00:00,68424,Rieti
2023-02-22 17:00:00,68438,Rieti
2023-02-23 17:00:00,68452,Rieti
2023-02-24 17:00:00,68457,Rieti
2023-02-25 17:00:00,68466,Rieti
2023-02-26 17:00:00,68473,Rieti
2023-02-27 17:00:00,68475,Rieti
2023-02-28 17:00:00,68486,Rieti
2023-03-01 17:00:00,68516,Rieti
2023-03-02 17:00:00,68530,Rieti
2023-03-03 17:00:00,68536,Rieti
2023-03-04 17:00:00,68542,Rieti
2023-03-05 17:00:00,68552,Rieti
2023-03-06 17:00:00,68555,Rieti
2023-03-07 17:00:00,68584,Rieti
2023-03-08 17:00:00,68596,Rieti
2023-03-09 17:00:00,68614,Rieti
2023-03-10 17:00:00,68623,Rieti
2023-03-11 17:00:00,68644,Rieti
2023-03-12 17:00:00,68660,Rieti
2023-03-13 17:00:00,68663,Rieti
2023-03-14 17:00:00,68681,Rieti
2023-03-15 17:00:00,68700,Rieti
2023-03-16 17:00:00,68709,Rieti
2023-03-17 17:00:00,68723,Rieti
2023-03-18 17:00:00,68733,Rieti
2023-03-19 17:00:00,68740,Rieti
2023-03-20 17:00:00,68746,Rieti
2023-03-21 17:00:00,68774,Rieti
2023-03-22 17:00:00,68789,Rieti
2023-03-23 17:00:00,68798,Rieti
2023-03-24 17:00:00,68807,Rieti
2023-03-25 17:00:00,68831,Rieti
2023-03-26 17:00:00,68841,Rieti
2023-03-27 17:00:00,68842,Rieti
2023-03-28 17:00:00,68852,Rieti
2023-03-29 17:00:00,68866,Rieti
2023-03-30 17:00:00,68870,Rieti
2023-03-31 17:00:00,68880,Rieti
2023-04-01 17:00:00,68898,Rieti
2023-04-02 17:00:00,68903,Rieti
2023-04-03 17:00:00,68904,Rieti
2023-04-04 17:00:00,68918,Rieti
2023-04-05 17:00:00,68927,Rieti
2023-04-06 17:00:00,68933,Rieti
2023-04-07 17:00:00,68940,Rieti
2023-04-08 17:00:00,68949,Rieti
2023-04-09 17:00:00,68957,Rieti
2023-04-10 17:00:00,68957,Rieti
2023-04-11 17:00:00,68961,Rieti
2023-04-12 17:00:00,68987,Rieti
2023-04-13 17:00:00,68998,Rieti
2023-04-14 17:00:00,69020,Rieti
2023-04-15 17:00:00,69025,Rieti
2023-04-16 17:00:00,69033,Rieti
2023-04-17 17:00:00,69036,Rieti
2023-04-18 17:00:00,69048,Rieti
2023-04-19 17:00:00,69056,Rieti
2023-04-20 17:00:00,69062,Rieti
2023-04-21 17:00:00,69067,Rieti
2023-04-22 17:00:00,69072,Rieti
2023-04-23 17:00:00,69078,Rieti
2023-04-24 17:00:00,69082,Rieti
2023-04-25 17:00:00,69092,Rieti
2023-04-26 17:00:00,69094,Rieti
2023-04-27 17:00:00,69112,Rieti
2023-04-28 17:00:00,69119,Rieti
2023-04-29 17:00:00,69124,Rieti
2023-04-30 17:00:00,69127,Rieti
2023-05-01 17:00:00,69129,Rieti
2023-05-02 17:00:00,69129,Rieti
2023-05-03 17:00:00,69136,Rieti
2023-05-04 17:00:00,69143,Rieti
2023-05-05 17:00:00,69149,Rieti
2023-05-06 17:00:00,69154,Rieti
2023-05-07 17:00:00,69155,Rieti
2023-05-08 17:00:00,69155,Rieti
2023-05-09 17:00:00,69168,Rieti
2023-05-10 17:00:00,69174,Rieti
2023-05-11 17:00:00,69179,Rieti
2023-05-12 17:00:00,69183,Rieti
2023-05-13 17:00:00,69185,Rieti
2023-05-14 17:00:00,69189,Rieti
2023-05-15 17:00:00,69190,Rieti
2023-05-16 17:00:00,69198,Rieti
2023-05-17 17:00:00,69201,Rieti
2023-05-18 17:00:00,69204,Rieti
2023-05-19 17:00:00,69207,Rieti
2023-05-20 17:00:00,69213,Rieti
