data,totale_casi,denominazione_provincia
2023-01-01 17:00:00,1714586,Roma
2023-01-02 17:00:00,1715062,Roma
2023-01-03 17:00:00,1717344,Roma
2023-01-04 17:00:00,1718748,Roma
2023-01-05 17:00:00,1720128,Roma
2023-01-06 17:00:00,1721489,Roma
2023-01-07 17:00:00,1721980,Roma
2023-01-08 17:00:00,1723236,Roma
2023-01-09 17:00:00,1723890,Roma
2023-01-10 17:00:00,1725589,Roma
2023-01-11 17:00:00,1726520,Roma
2023-01-12 17:00:00,1727364,Roma
2023-01-13 17:00:00,1728061,Roma
2023-01-14 17:00:00,1728789,Roma
2023-01-15 17:00:00,1729286,Roma
2023-01-16 17:00:00,1729767,Roma
2023-01-17 17:00:00,1730650,Roma
2023-01-18 17:00:00,1731359,Roma
2023-01-19 17:00:00,1731983,Roma
2023-01-20 17:00:00,1732564,Roma
2023-01-21 17:00:00,1733025,Roma
2023-01-22 17:00:00,1733436,Roma
2023-01-23 17:00:00,1733780,Roma
2023-01-24 17:00:00,1734624,Roma
2023-01-25 17:00:00,1735220,Roma
2023-01-26 17:00:00,1735814,Roma
2023-01-27 17:00:00,1736403,Roma
2023-01-28 17:00:00,1736971,Roma
2023-01-29 17:00:00,1737364,Roma
2023-01-30 17:00:00,1737736,Roma
2023-01-31 17:00:00,1738619,Roma
2023-02-01 17:00:00,1739164,Roma
2023-02-02 17:00:00,1739839,Roma
2023-02-03 17:00:00,1740327,Roma
2023-02-04 17:00:00,1741101,Roma
2023-02-05 17:00:00,1741583,Roma
2023-02-06 17:00:00,1741900,Roma
2023-02-07 17:00:00,1742684,Roma
2023-02-08 17:00:00,1743196,Roma
2023-02-09 17:00:00,1743807,Roma
2023-02-10 17:00:00,1744295,Roma
2023-02-11 17:00:00,1744899,Roma
2023-02-12 17:00:00,1745311,Roma
2023-02-13 17:00:00,1745585,Roma
2023-02-14 17:00:00,1746516,Roma
2023-02-15 17:00:00,1747186,Roma
2023-02-16 17:00:00,1747895,Roma
2023-02-17 17:00:00,1748558,Roma
2023-02-18 17:00:00,1749194,Roma
2023-02-19 17:00:00,1749702,Roma
2023-02-20 17:00:00,1750060,Roma
2023-02-21 17:00:00,1751111,Roma
2023-02-22 17:00:00,1751739,Roma
2023-02-23 17:00:00,1752501,Roma
2023-02-24 17:00:00,1753140,Roma
2023-02-25 17:00:00,1753677,Roma
2023-02-26 17:00:00,1754095,Roma
2023-02-27 17:00:00,1754412,Roma
2023-02-28 17:00:00,1755232,Roma
2023-03-01 17:00:00,1756236,Roma
2023-03-02 17:00:00,1756702,Roma
2023-03-03 17:00:00,1757141,Roma
2023-03-04 17:00:00,1757548,Roma
2023-03-05 17:00:00,1757947,Roma
2023-03-06 17:00:00,1758155,Roma
2023-03-07 17:00:00,1758865,Roma
2023-03-08 17:00:00,1759287,Roma
2023-03-09 17:00:00,1759783,Roma
2023-03-10 17:00:00,1760248,Roma
2023-03-11 17:00:00,1760617,Roma
2023-03-12 17:00:00,1760946,Roma
2023-03-13 17:00:00,1761200,Roma
2023-03-14 17:00:00,1761795,Roma
2023-03-15 17:00:00,1762157,Roma
2023-03-16 17:00:00,1762523,Roma
2023-03-17 17:00:00,1762851,Roma
2023-03-18 17:00:00,1763159,Roma
2023-03-19 17:00:00,1763396,Roma
2023-03-20 17:00:00,1763587,Roma
2023-03-21 17:00:00,1764097,Roma
2023-03-22 17:00:00,1764529,Roma
2023-03-23 17:00:00,1764880,Roma
2023-03-24 17:00:00,1765233,Roma
2023-03-25 17:00:00,1765573,Roma
2023-03-26 17:00:00,1765785,Roma
2023-03-27 17:00:00,1765955,Roma
2023-03-28 17:00:00,1766373,Roma
2023-03-29 17:00:00,1766792,Roma
2023-03-30 17:00:00,1767041,Roma
2023-03-31 17:00:00,1767345,Roma
2023-04-01 17:00:00,1767601,Roma
2023-04-02 17:00:00,1767814,Roma
2023-04-03 17:00:00,1767985,Roma
2023-04-04 17:00:00,1768449,Roma
2023-04-05 17:00:00,1768709,Roma
2023-04-06 17:00:00,1768983,Roma
2023-04-07 17:00:00,1769297,Roma
2023-04-08 17:00:00,1769565,Roma
2023-04-09 17:00:00,1769801,Roma
2023-04-10 17:00:00,1769885,Roma
2023-04-11 17:00:00,1770059,Roma
2023-04-12 17:00:00,1770605,Roma
2023-04-13 17:00:00,1770981,Roma
2023-04-14 17:00:00,1771366,Roma
2023-04-15 17:00:00,1771737,Roma
2023-04-16 17:00:00,1771985,Roma
2023-04-17 17:00:00,1772179,Roma
2023-04-18 17:00:00,1772682,Roma
2023-04-19 17:00:00,1773014,Roma
2023-04-20 17:00:00,1773310,Roma
2023-04-21 17:00:00,1773586,Roma
2023-04-22 17:00:00,1773857,Roma
2023-04-23 17:00:00,1774107,Roma
2023-04-24 17:00:00,1774238,Roma
2023-04-25 17:00:00,1774602,Roma
2023-04-26 17:00:00,1774737,Roma
2023-04-27 17:00:00,1775197,Roma
2023-04-28 17:00:00,1775534,Roma
2023-04-29 17:00:00,1775815,Roma
2023-04-30 17:00:00,1776071,Roma
2023-05-01 17:00:00,1776225,Roma
2023-05-02 17:00:00,1776396,Roma
2023-05-03 17:00:00,1776868,Roma
2023-05-04 17:00:00,1777218,Roma
2023-05-05 17:00:00,1777571,Roma
2023-05-06 17:00:00,1777831,Roma
2023-05-07 17:00:00,1778047,Roma
2023-05-08 17:00:00,1778219,Roma
2023-05-09 17:00:00,1778641,Roma
2023-05-10 17:00:00,1778946,Roma
2023-05-11 17:00:00,1779196,Roma
2023-05-12 17:00:00,1779425,Roma
2023-05-13 17:00:00,1779645,Roma
2023-05-14 17:00:00,1779837,Roma
2023-05-15 17:00:00,1779943,Roma
2023-05-16 17:00:00,1780324,Roma
2023-05-17 17:00:00,1780581,Roma
2023-05-18 17:00:00,1780806,Roma
2023-05-19 17:00:00,1781030,Roma
2023-05-20 17:00:00,1781280,Roma
2023-05-21 17:00:00,1781483,Roma
2023-05-22 17:00:00,1781600,Roma
2023-05-23 17:00:00,1781951,Roma
2023-05-24 17:00:00,1782256,Roma
2023-05-25 17:00:00,1782492,Roma
2023-05-26 17:00:00,1782746,Roma
2023-05-27 17:00:00,1782957,Roma
2023-05-28 17:00:00,1783246,Roma
2023-05-29 17:00:00,1783375,Roma
2023-05-30 17:00:00,1783727,Roma
2023-05-31 17:00:00,1783989,Roma
2023-06-01 17:00:00,1784194,Roma
2023-06-02 17:00:00,1784388,Roma
2023-06-03 17:00:00,1784496,Roma
2023-06-04 17:00:00,1784695,Roma
2023-06-05 17:00:00,1784808,Roma
2023-06-06 17:00:00,1785058,Roma
2023-06-07 17:00:00,1785274,Roma
2023-06-08 17:00:00,1785466,Roma
