data,totale_casi,denominazione_provincia
2023-01-01 17:00:00,118113,Rovigo
2023-01-02 17:00:00,118135,Rovigo
2023-01-03 17:00:00,118266,Rovigo
2023-01-04 17:00:00,118358,Rovigo
2023-01-05 17:00:00,118461,Rovigo
2023-01-06 17:00:00,118513,Rovigo
2023-01-07 17:00:00,118535,Rovigo
2023-01-08 17:00:00,118588,Rovigo
2023-01-09 17:00:00,118596,Rovigo
2023-01-10 17:00:00,118728,Rovigo
2023-01-11 17:00:00,118800,Rovigo
2023-01-12 17:00:00,118842,Rovigo
2023-01-13 17:00:00,118871,Rovigo
2023-01-14 17:00:00,118909,Rovigo
2023-01-15 17:00:00,118935,Rovigo
2023-01-16 17:00:00,118940,Rovigo
2023-01-17 17:00:00,119017,Rovigo
2023-01-18 17:00:00,119053,Rovigo
2023-01-19 17:00:00,119090,Rovigo
2023-01-20 17:00:00,119109,Rovigo
2023-01-21 17:00:00,119125,Rovigo
2023-01-22 17:00:00,119154,Rovigo
2023-01-23 17:00:00,119161,Rovigo
2023-01-24 17:00:00,119208,Rovigo
2023-01-25 17:00:00,119244,Rovigo
2023-01-26 17:00:00,119273,Rovigo
2023-01-27 17:00:00,119303,Rovigo
2023-01-28 17:00:00,119339,Rovigo
2023-01-29 17:00:00,119387,Rovigo
2023-01-30 17:00:00,119400,Rovigo
2023-01-31 17:00:00,119431,Rovigo
2023-02-01 17:00:00,119454,Rovigo
2023-02-02 17:00:00,119478,Rovigo
2023-02-03 17:00:00,119513,Rovigo
2023-02-04 17:00:00,119563,Rovigo
2023-02-05 17:00:00,119598,Rovigo
2023-02-06 17:00:00,119607,Rovigo
2023-02-07 17:00:00,119666,Rovigo
2023-02-08 17:00:00,119702,Rovigo
2023-02-09 17:00:00,119733,Rovigo
2023-02-10 17:00:00,119756,Rovigo
2023-02-11 17:00:00,119781,Rovigo
2023-02-12 17:00:00,119802,Rovigo
2023-02-13 17:00:00,119812,Rovigo
2023-02-14 17:00:00,119870,Rovigo
2023-02-15 17:00:00,119906,Rovigo
2023-02-16 17:00:00,119945,Rovigo
2023-02-17 17:00:00,119972,Rovigo
2023-02-18 17:00:00,120001,Rovigo
2023-02-19 17:00:00,120025,Rovigo
2023-02-20 17:00:00,120033,Rovigo
2023-02-21 17:00:00,120090,Rovigo
2023-02-22 17:00:00,120121,Rovigo
2023-02-23 17:00:00,120151,Rovigo
2023-02-24 17:00:00,120193,Rovigo
2023-02-25 17:00:00,120215,Rovigo
2023-02-26 17:00:00,120233,Rovigo
2023-02-27 17:00:00,120238,Rovigo
2023-02-28 17:00:00,120273,Rovigo
2023-03-01 17:00:00,120288,Rovigo
2023-03-02 17:00:00,120304,Rovigo
2023-03-03 17:00:00,120333,Rovigo
2023-03-04 17:00:00,120340,Rovigo
2023-03-05 17:00:00,120356,Rovigo
2023-03-06 17:00:00,120358,Rovigo
2023-03-07 17:00:00,120388,Rovigo
2023-03-08 17:00:00,120411,Rovigo
2023-03-09 17:00:00,120422,Rovigo
2023-03-10 17:00:00,120438,Rovigo
2023-03-11 17:00:00,120452,Rovigo
2023-03-12 17:00:00,120464,Rovigo
2023-03-13 17:00:00,120469,Rovigo
2023-03-14 17:00:00,120496,Rovigo
2023-03-15 17:00:00,120520,Rovigo
2023-03-16 17:00:00,120539,Rovigo
2023-03-17 17:00:00,120554,Rovigo
2023-03-18 17:00:00,120575,Rovigo
