data,totale_casi,denominazione_provincia
2023-01-01 17:00:00,215427,Taranto
2023-01-02 17:00:00,215482,Taranto
2023-01-03 17:00:00,215772,Taranto
2023-01-04 17:00:00,215989,Taranto
2023-01-05 17:00:00,216206,Taranto
2023-01-06 17:00:00,216431,Taranto
2023-01-07 17:00:00,216476,Taranto
2023-01-08 17:00:00,216622,Taranto
2023-01-09 17:00:00,216674,Taranto
2023-01-10 17:00:00,216910,Taranto
2023-01-11 17:00:00,217051,Taranto
2023-01-12 17:00:00,217177,Taranto
2023-01-13 17:00:00,217289,Taranto
2023-01-14 17:00:00,217379,Taranto
2023-01-15 17:00:00,217449,Taranto
2023-01-16 17:00:00,217465,Taranto
2023-01-17 17:00:00,217602,Taranto
2023-01-18 17:00:00,217685,Taranto
2023-01-19 17:00:00,217769,Taranto
2023-01-20 17:00:00,217837,Taranto
2023-01-21 17:00:00,217878,Taranto
2023-01-22 17:00:00,217907,Taranto
2023-01-23 17:00:00,217925,Taranto
2023-01-24 17:00:00,217992,Taranto
2023-01-25 17:00:00,218037,Taranto
2023-01-26 17:00:00,218076,Taranto
2023-01-27 17:00:00,218112,Taranto
2023-01-28 17:00:00,218138,Taranto
2023-01-29 17:00:00,218169,Taranto
2023-01-30 17:00:00,218175,Taranto
2023-01-31 17:00:00,218214,Taranto
2023-02-01 17:00:00,218240,Taranto
2023-02-02 17:00:00,218257,Taranto
2023-02-03 17:00:00,218283,Taranto
2023-02-04 17:00:00,218300,Taranto
2023-02-05 17:00:00,218309,Taranto
2023-02-06 17:00:00,218315,Taranto
2023-02-07 17:00:00,218368,Taranto
2023-02-08 17:00:00,218386,Taranto
2023-02-09 17:00:00,218408,Taranto
2023-02-10 17:00:00,218427,Taranto
2023-02-11 17:00:00,218450,Taranto
2023-02-12 17:00:00,218475,Taranto
2023-02-13 17:00:00,218482,Taranto
2023-02-14 17:00:00,218516,Taranto
2023-02-15 17:00:00,218534,Taranto
2023-02-16 17:00:00,218564,Taranto
2023-02-17 17:00:00,218583,Taranto
2023-02-18 17:00:00,218602,Taranto
2023-02-19 17:00:00,218619,Taranto
2023-02-20 17:00:00,218623,Taranto
2023-02-21 17:00:00,218656,Taranto
2023-02-22 17:00:00,218672,Taranto
2023-02-23 17:00:00,218698,Taranto
2023-02-24 17:00:00,218717,Taranto
2023-02-25 17:00:00,218736,Taranto
2023-02-26 17:00:00,218753,Taranto
