data,totale_casi,denominazione_provincia
2023-01-01 17:00:00,151730,Teramo
2023-01-02 17:00:00,151730,Teramo
2023-01-03 17:00:00,152051,Teramo
2023-01-04 17:00:00,152214,Teramo
2023-01-05 17:00:00,152347,Teramo
2023-01-06 17:00:00,152440,Teramo
2023-01-07 17:00:00,152501,Teramo
2023-01-08 17:00:00,152606,Teramo
2023-01-09 17:00:00,152651,Teramo
2023-01-10 17:00:00,152832,Teramo
2023-01-11 17:00:00,152903,Teramo
2023-01-12 17:00:00,152987,Teramo
2023-01-13 17:00:00,153050,Teramo
2023-01-14 17:00:00,153113,Teramo
2023-01-15 17:00:00,153152,Teramo
2023-01-16 17:00:00,153182,Teramo
2023-01-17 17:00:00,153262,Teramo
2023-01-18 17:00:00,153312,Teramo
2023-01-19 17:00:00,153367,Teramo
2023-01-20 17:00:00,153411,Teramo
2023-01-21 17:00:00,153431,Teramo
2023-01-22 17:00:00,153453,Teramo
2023-01-23 17:00:00,153474,Teramo
2023-01-24 17:00:00,153522,Teramo
2023-01-25 17:00:00,153562,Teramo
2023-01-26 17:00:00,153594,Teramo
2023-01-27 17:00:00,153637,Teramo
2023-01-28 17:00:00,153658,Teramo
2023-01-29 17:00:00,153673,Teramo
2023-01-30 17:00:00,153683,Teramo
2023-01-31 17:00:00,153725,Teramo
2023-02-01 17:00:00,153753,Teramo
2023-02-02 17:00:00,153994,Teramo
2023-02-03 17:00:00,154017,Teramo
2023-02-04 17:00:00,154041,Teramo
2023-02-05 17:00:00,154052,Teramo
2023-02-06 17:00:00,154072,Teramo
2023-02-07 17:00:00,154117,Teramo
2023-02-08 17:00:00,154142,Teramo
2023-02-09 17:00:00,154172,Teramo
2023-02-10 17:00:00,154194,Teramo
2023-02-11 17:00:00,154210,Teramo
2023-02-12 17:00:00,154234,Teramo
2023-02-13 17:00:00,154249,Teramo
2023-02-14 17:00:00,154292,Teramo
2023-02-15 17:00:00,154319,Teramo
2023-02-16 17:00:00,154339,Teramo
2023-02-17 17:00:00,154371,Teramo
2023-02-18 17:00:00,154391,Teramo
2023-02-19 17:00:00,154406,Teramo
2023-02-20 17:00:00,154419,Teramo
2023-02-21 17:00:00,154453,Teramo
2023-02-22 17:00:00,154467,Teramo
2023-02-23 17:00:00,154484,Teramo
2023-02-24 17:00:00,154509,Teramo
2023-02-25 17:00:00,154534,Teramo
2023-02-26 17:00:00,154558,Teramo
2023-02-27 17:00:00,154573,Teramo
2023-02-28 17:00:00,154599,Teramo
2023-03-01 17:00:00,154613,Teramo
2023-03-02 17:00:00,154630,Teramo
2023-03-03 17:00:00,154646,Teramo
2023-03-04 17:00:00,154673,Teramo
2023-03-05 17:00:00,154674,Teramo
2023-03-06 17:00:00,154682,Teramo
2023-03-07 17:00:00,154713,Teramo
2023-03-08 17:00:00,154729,Teramo
2023-03-09 17:00:00,154735,Teramo
2023-03-10 17:00:00,154756,Teramo
2023-03-11 17:00:00,154789,Teramo
2023-03-12 17:00:00,154802,Teramo
2023-03-13 17:00:00,154816,Teramo
2023-03-14 17:00:00,154861,Teramo
2023-03-15 17:00:00,154884,Teramo
2023-03-16 17:00:00,154902,Teramo
2023-03-17 17:00:00,154918,Teramo
2023-03-18 17:00:00,154934,Teramo
2023-03-19 17:00:00,154949,Teramo
2023-03-20 17:00:00,154957,Teramo
2023-03-21 17:00:00,154988,Teramo
2023-03-22 17:00:00,155011,Teramo
2023-03-23 17:00:00,155024,Teramo
2023-03-24 17:00:00,155054,Teramo
2023-03-25 17:00:00,155082,Teramo
2023-03-26 17:00:00,155094,Teramo
2023-03-27 17:00:00,155110,Teramo
2023-03-28 17:00:00,155138,Teramo
2023-03-29 17:00:00,155151,Teramo
2023-03-30 17:00:00,155170,Teramo
2023-03-31 17:00:00,155198,Teramo
2023-04-01 17:00:00,155218,Teramo
2023-04-02 17:00:00,155232,Teramo
2023-04-03 17:00:00,155243,Teramo
2023-04-04 17:00:00,155275,Teramo
2023-04-05 17:00:00,155296,Teramo
2023-04-06 17:00:00,155319,Teramo
2023-04-07 17:00:00,155337,Teramo
2023-04-08 17:00:00,155358,Teramo
2023-04-09 17:00:00,155367,Teramo
2023-04-10 17:00:00,155373,Teramo
2023-04-11 17:00:00,155403,Teramo
2023-04-12 17:00:00,155453,Teramo
2023-04-13 17:00:00,155482,Teramo
2023-04-14 17:00:00,155521,Teramo
2023-04-15 17:00:00,155544,Teramo
2023-04-16 17:00:00,155558,Teramo
