data,totale_casi,denominazione_provincia
2023-01-01 17:00:00,98305,Terni
2023-01-02 17:00:00,98322,Terni
2023-01-03 17:00:00,98467,Terni
2023-01-04 17:00:00,98596,Terni
2023-01-05 17:00:00,98703,Terni
2023-01-06 17:00:00,98799,Terni
2023-01-07 17:00:00,98818,Terni
2023-01-08 17:00:00,98912,Terni
2023-01-09 17:00:00,98929,Terni
2023-01-10 17:00:00,99028,Terni
2023-01-11 17:00:00,99105,Terni
2023-01-12 17:00:00,99156,Terni
2023-01-13 17:00:00,99204,Terni
2023-01-14 17:00:00,99243,Terni
2023-01-15 17:00:00,99276,Terni
2023-01-16 17:00:00,99290,Terni
2023-01-17 17:00:00,99370,Terni
2023-01-18 17:00:00,99413,Terni
2023-01-19 17:00:00,99454,Terni
2023-01-20 17:00:00,99493,Terni
2023-01-21 17:00:00,99526,Terni
2023-01-22 17:00:00,99548,Terni
2023-01-23 17:00:00,99550,Terni
2023-01-24 17:00:00,99571,Terni
2023-01-25 17:00:00,99601,Terni
2023-01-26 17:00:00,99628,Terni
2023-01-27 17:00:00,99662,Terni
2023-01-28 17:00:00,99691,Terni
2023-01-29 17:00:00,99714,Terni
2023-01-30 17:00:00,99722,Terni
2023-01-31 17:00:00,99770,Terni
2023-02-01 17:00:00,99801,Terni
2023-02-02 17:00:00,99828,Terni
2023-02-03 17:00:00,99854,Terni
2023-02-04 17:00:00,99872,Terni
2023-02-05 17:00:00,99901,Terni
2023-02-06 17:00:00,99910,Terni
2023-02-07 17:00:00,99943,Terni
2023-02-08 17:00:00,99963,Terni
2023-02-09 17:00:00,99984,Terni
2023-02-10 17:00:00,100003,Terni
2023-02-11 17:00:00,100022,Terni
2023-02-12 17:00:00,100034,Terni
2023-02-13 17:00:00,100038,Terni
2023-02-14 17:00:00,100056,Terni
2023-02-15 17:00:00,100074,Terni
2023-02-16 17:00:00,100097,Terni
2023-02-17 17:00:00,100119,Terni
2023-02-18 17:00:00,100137,Terni
2023-02-19 17:00:00,100158,Terni
2023-02-20 17:00:00,100165,Terni
2023-02-21 17:00:00,100225,Terni
2023-02-22 17:00:00,100246,Terni
2023-02-23 17:00:00,100267,Terni
2023-02-24 17:00:00,100294,Terni
2023-02-25 17:00:00,100311,Terni
2023-02-26 17:00:00,100332,Terni
2023-02-27 17:00:00,100337,Terni
2023-02-28 17:00:00,100364,Terni
2023-03-01 17:00:00,100390,Terni
2023-03-02 17:00:00,100421,Terni
2023-03-03 17:00:00,100438,Terni
2023-03-04 17:00:00,100453,Terni
2023-03-05 17:00:00,100465,Terni
2023-03-06 17:00:00,100466,Terni
2023-03-07 17:00:00,100502,Terni
2023-03-08 17:00:00,100523,Terni
2023-03-09 17:00:00,100548,Terni
2023-03-10 17:00:00,100564,Terni
2023-03-11 17:00:00,100586,Terni
2023-03-12 17:00:00,100604,Terni
2023-03-13 17:00:00,100609,Terni
2023-03-14 17:00:00,100632,Terni
2023-03-15 17:00:00,100646,Terni
2023-03-16 17:00:00,100666,Terni
2023-03-17 17:00:00,100680,Terni
2023-03-18 17:00:00,100697,Terni
2023-03-19 17:00:00,100710,Terni
2023-03-20 17:00:00,100714,Terni
2023-03-21 17:00:00,100736,Terni
2023-03-22 17:00:00,100758,Terni
2023-03-23 17:00:00,100772,Terni
2023-03-24 17:00:00,100792,Terni
2023-03-25 17:00:00,100815,Terni
2023-03-26 17:00:00,100830,Terni
2023-03-27 17:00:00,100835,Terni
2023-03-28 17:00:00,100853,Terni
2023-03-29 17:00:00,100881,Terni
2023-03-30 17:00:00,100892,Terni
2023-03-31 17:00:00,100912,Terni
2023-04-01 17:00:00,100925,Terni
2023-04-02 17:00:00,100936,Terni
2023-04-03 17:00:00,100939,Terni
2023-04-04 17:00:00,100959,Terni
2023-04-05 17:00:00,100973,Terni
2023-04-06 17:00:00,100992,Terni
2023-04-07 17:00:00,101004,Terni
2023-04-08 17:00:00,101022,Terni
2023-04-09 17:00:00,101037,Terni
2023-04-10 17:00:00,101043,Terni
2023-04-11 17:00:00,101047,Terni
2023-04-12 17:00:00,101081,Terni
2023-04-13 17:00:00,101111,Terni
2023-04-14 17:00:00,101135,Terni
2023-04-15 17:00:00,101167,Terni
2023-04-16 17:00:00,101182,Terni
2023-04-17 17:00:00,101187,Terni
2023-04-18 17:00:00,101226,Terni
2023-04-19 17:00:00,101245,Terni
2023-04-20 17:00:00,101262,Terni
2023-04-21 17:00:00,101283,Terni
2023-04-22 17:00:00,101303,Terni
2023-04-23 17:00:00,101323,Terni
2023-04-24 17:00:00,101328,Terni
2023-04-25 17:00:00,101352,Terni
2023-04-26 17:00:00,101359,Terni
2023-04-27 17:00:00,101391,Terni
2023-04-28 17:00:00,101411,Terni
2023-04-29 17:00:00,101418,Terni
2023-04-30 17:00:00,101437,Terni
2023-05-01 17:00:00,101439,Terni
2023-05-02 17:00:00,101448,Terni
2023-05-03 17:00:00,101479,Terni
2023-05-04 17:00:00,101503,Terni
2023-05-05 17:00:00,101519,Terni
2023-05-06 17:00:00,101536,Terni
2023-05-07 17:00:00,101549,Terni
2023-05-08 17:00:00,101552,Terni
2023-05-09 17:00:00,101581,Terni
2023-05-10 17:00:00,101596,Terni
2023-05-11 17:00:00,101616,Terni
2023-05-12 17:00:00,101627,Terni
2023-05-13 17:00:00,101637,Terni
2023-05-14 17:00:00,101648,Terni
2023-05-15 17:00:00,101648,Terni
2023-05-16 17:00:00,101651,Terni
2023-05-17 17:00:00,101684,Terni
2023-05-18 17:00:00,101703,Terni
2023-05-19 17:00:00,101718,Terni
2023-05-20 17:00:00,101730,Terni
2023-05-21 17:00:00,101742,Terni
2023-05-22 17:00:00,101745,Terni
2023-05-23 17:00:00,101766,Terni
2023-05-24 17:00:00,101778,Terni
2023-05-25 17:00:00,101789,Terni
2023-05-26 17:00:00,101800,Terni
2023-05-27 17:00:00,101812,Terni
2023-05-28 17:00:00,101818,Terni
2023-05-29 17:00:00,101819,Terni
