data,totale_casi,denominazione_provincia
2023-01-01 17:00:00,135944,Trapani
2023-01-02 17:00:00,135965,Trapani
2023-01-03 17:00:00,136143,Trapani
2023-01-04 17:00:00,136264,Trapani
2023-01-05 17:00:00,136427,Trapani
2023-01-06 17:00:00,136541,Trapani
2023-01-07 17:00:00,136611,Trapani
2023-01-08 17:00:00,136727,Trapani
2023-01-09 17:00:00,136797,Trapani
2023-01-10 17:00:00,136981,Trapani
2023-01-11 17:00:00,137134,Trapani
2023-01-12 17:00:00,137209,Trapani
2023-01-13 17:00:00,137271,Trapani
2023-01-14 17:00:00,137380,Trapani
2023-01-15 17:00:00,137447,Trapani
2023-01-16 17:00:00,137463,Trapani
2023-01-17 17:00:00,137530,Trapani
2023-01-18 17:00:00,137583,Trapani
2023-01-19 17:00:00,137615,Trapani
2023-01-20 17:00:00,137652,Trapani
2023-01-21 17:00:00,137679,Trapani
2023-01-22 17:00:00,137703,Trapani
2023-01-23 17:00:00,137714,Trapani
2023-01-24 17:00:00,137752,Trapani
2023-01-25 17:00:00,137782,Trapani
2023-01-26 17:00:00,137805,Trapani
2023-01-27 17:00:00,137820,Trapani
2023-01-28 17:00:00,138074,Trapani
2023-01-29 17:00:00,138090,Trapani
2023-01-30 17:00:00,138099,Trapani
2023-01-31 17:00:00,138131,Trapani
2023-02-01 17:00:00,138160,Trapani
2023-02-02 17:00:00,138187,Trapani
2023-02-03 17:00:00,138206,Trapani
2023-02-04 17:00:00,138236,Trapani
2023-02-05 17:00:00,138256,Trapani
2023-02-06 17:00:00,138269,Trapani
2023-02-07 17:00:00,138300,Trapani
2023-02-08 17:00:00,138327,Trapani
2023-02-09 17:00:00,138342,Trapani
2023-02-10 17:00:00,138369,Trapani
2023-02-11 17:00:00,138421,Trapani
2023-02-12 17:00:00,138447,Trapani
2023-02-13 17:00:00,138460,Trapani
2023-02-14 17:00:00,138501,Trapani
2023-02-15 17:00:00,138523,Trapani
2023-02-16 17:00:00,138555,Trapani
2023-02-17 17:00:00,138570,Trapani
2023-02-18 17:00:00,138582,Trapani
2023-02-19 17:00:00,138595,Trapani
2023-02-20 17:00:00,138602,Trapani
2023-02-21 17:00:00,138630,Trapani
2023-02-22 17:00:00,138651,Trapani
2023-02-23 17:00:00,138676,Trapani
2023-02-24 17:00:00,138698,Trapani
2023-02-25 17:00:00,138726,Trapani
2023-02-26 17:00:00,138742,Trapani
2023-02-27 17:00:00,138757,Trapani
2023-02-28 17:00:00,138798,Trapani
2023-03-01 17:00:00,138826,Trapani
2023-03-02 17:00:00,138841,Trapani
2023-03-03 17:00:00,138860,Trapani
2023-03-04 17:00:00,138886,Trapani
2023-03-05 17:00:00,138898,Trapani
2023-03-06 17:00:00,138905,Trapani
2023-03-07 17:00:00,138930,Trapani
2023-03-08 17:00:00,138962,Trapani
2023-03-09 17:00:00,138986,Trapani
2023-03-10 17:00:00,138996,Trapani
2023-03-11 17:00:00,139007,Trapani
2023-03-12 17:00:00,139041,Trapani
2023-03-13 17:00:00,139048,Trapani
2023-03-14 17:00:00,139061,Trapani
2023-03-15 17:00:00,139075,Trapani
2023-03-16 17:00:00,139096,Trapani
2023-03-17 17:00:00,139107,Trapani
2023-03-18 17:00:00,139119,Trapani
2023-03-19 17:00:00,139149,Trapani
2023-03-20 17:00:00,139155,Trapani
2023-03-21 17:00:00,139171,Trapani
2023-03-22 17:00:00,139183,Trapani
2023-03-23 17:00:00,139191,Trapani
2023-03-24 17:00:00,139207,Trapani
