data,totale_casi,denominazione_provincia
2023-01-01 17:00:00,363327,Varese
2023-01-02 17:00:00,363349,Varese
2023-01-03 17:00:00,363689,Varese
2023-01-04 17:00:00,363888,Varese
2023-01-05 17:00:00,364063,Varese
2023-01-06 17:00:00,364220,Varese
2023-01-07 17:00:00,364238,Varese
2023-01-08 17:00:00,364327,Varese
2023-01-09 17:00:00,364361,Varese
2023-01-10 17:00:00,364553,Varese
2023-01-11 17:00:00,364683,Varese
2023-01-12 17:00:00,364784,Varese
2023-01-13 17:00:00,364856,Varese
2023-01-14 17:00:00,364927,Varese
2023-01-15 17:00:00,364975,Varese
2023-01-16 17:00:00,364986,Varese
2023-01-17 17:00:00,365118,Varese
2023-01-18 17:00:00,365199,Varese
2023-01-19 17:00:00,365282,Varese
2023-01-20 17:00:00,365343,Varese
2023-01-21 17:00:00,365405,Varese
2023-01-22 17:00:00,365450,Varese
2023-01-23 17:00:00,365471,Varese
2023-01-24 17:00:00,365589,Varese
2023-01-25 17:00:00,365656,Varese
2023-01-26 17:00:00,365713,Varese
2023-01-27 17:00:00,365781,Varese
2023-01-28 17:00:00,365840,Varese
2023-01-29 17:00:00,365876,Varese
2023-01-30 17:00:00,365887,Varese
2023-01-31 17:00:00,365995,Varese
2023-02-01 17:00:00,366059,Varese
2023-02-02 17:00:00,366139,Varese
2023-02-03 17:00:00,366202,Varese
2023-02-04 17:00:00,366254,Varese
2023-02-05 17:00:00,366305,Varese
2023-02-06 17:00:00,366316,Varese
2023-02-07 17:00:00,366448,Varese
2023-02-08 17:00:00,366496,Varese
2023-02-09 17:00:00,366553,Varese
2023-02-10 17:00:00,366598,Varese
2023-02-11 17:00:00,366632,Varese
2023-02-12 17:00:00,366654,Varese
2023-02-13 17:00:00,366663,Varese
2023-02-14 17:00:00,366747,Varese
2023-02-15 17:00:00,366797,Varese
2023-02-16 17:00:00,366846,Varese
2023-02-17 17:00:00,366903,Varese
2023-02-18 17:00:00,366940,Varese
2023-02-19 17:00:00,366965,Varese
2023-02-20 17:00:00,366976,Varese
2023-02-21 17:00:00,367051,Varese
2023-02-22 17:00:00,367096,Varese
2023-02-23 17:00:00,367153,Varese
2023-02-24 17:00:00,367187,Varese
2023-02-25 17:00:00,367251,Varese
2023-02-26 17:00:00,367279,Varese
2023-02-27 17:00:00,367286,Varese
2023-02-28 17:00:00,367345,Varese
2023-03-01 17:00:00,367384,Varese
2023-03-02 17:00:00,367422,Varese
2023-03-03 17:00:00,367460,Varese
2023-03-04 17:00:00,367491,Varese
2023-03-05 17:00:00,367522,Varese
2023-03-06 17:00:00,367529,Varese
2023-03-07 17:00:00,367589,Varese
2023-03-08 17:00:00,367635,Varese
2023-03-09 17:00:00,367677,Varese
2023-03-10 17:00:00,367738,Varese
2023-03-11 17:00:00,367775,Varese
2023-03-12 17:00:00,367799,Varese
2023-03-13 17:00:00,367809,Varese
2023-03-14 17:00:00,367912,Varese
2023-03-15 17:00:00,367967,Varese
2023-03-16 17:00:00,368025,Varese
2023-03-17 17:00:00,368065,Varese
2023-03-18 17:00:00,368118,Varese
2023-03-19 17:00:00,368150,Varese
2023-03-20 17:00:00,368155,Varese
2023-03-21 17:00:00,368241,Varese
2023-03-22 17:00:00,368279,Varese
2023-03-23 17:00:00,368327,Varese
2023-03-24 17:00:00,368366,Varese
2023-03-25 17:00:00,368406,Varese
2023-03-26 17:00:00,368432,Varese
2023-03-27 17:00:00,368437,Varese
2023-03-28 17:00:00,368518,Varese
2023-03-29 17:00:00,368559,Varese
2023-03-30 17:00:00,368593,Varese
2023-03-31 17:00:00,368618,Varese
2023-04-01 17:00:00,368652,Varese
2023-04-02 17:00:00,368673,Varese
2023-04-03 17:00:00,368678,Varese
2023-04-04 17:00:00,368739,Varese
2023-04-05 17:00:00,368772,Varese
2023-04-06 17:00:00,368802,Varese
2023-04-07 17:00:00,368845,Varese
2023-04-08 17:00:00,368874,Varese
2023-04-09 17:00:00,368895,Varese
2023-04-10 17:00:00,368901,Varese
2023-04-11 17:00:00,368908,Varese
2023-04-12 17:00:00,369030,Varese
2023-04-13 17:00:00,369096,Varese
2023-04-14 17:00:00,369144,Varese
2023-04-15 17:00:00,369190,Varese
