data,totale_casi,denominazione_provincia
2023-01-01 17:00:00,446405,Venezia
2023-01-02 17:00:00,446474,Venezia
2023-01-03 17:00:00,446976,Venezia
2023-01-04 17:00:00,447404,Venezia
2023-01-05 17:00:00,447858,Venezia
2023-01-06 17:00:00,448172,Venezia
2023-01-07 17:00:00,448240,Venezia
2023-01-08 17:00:00,448449,Venezia
2023-01-09 17:00:00,448519,Venezia
2023-01-10 17:00:00,448872,Venezia
2023-01-11 17:00:00,449129,Venezia
2023-01-12 17:00:00,449324,Venezia
2023-01-13 17:00:00,449478,Venezia
2023-01-14 17:00:00,449619,Venezia
2023-01-15 17:00:00,449718,Venezia
2023-01-16 17:00:00,449758,Venezia
2023-01-17 17:00:00,449979,Venezia
2023-01-18 17:00:00,450157,Venezia
2023-01-19 17:00:00,450289,Venezia
2023-01-20 17:00:00,450410,Venezia
2023-01-21 17:00:00,450538,Venezia
2023-01-22 17:00:00,450596,Venezia
2023-01-23 17:00:00,450633,Venezia
2023-01-24 17:00:00,450764,Venezia
2023-01-25 17:00:00,450947,Venezia
2023-01-26 17:00:00,451085,Venezia
2023-01-27 17:00:00,451187,Venezia
2023-01-28 17:00:00,451292,Venezia
2023-01-29 17:00:00,451359,Venezia
2023-01-30 17:00:00,451390,Venezia
2023-01-31 17:00:00,451572,Venezia
2023-02-01 17:00:00,451691,Venezia
2023-02-02 17:00:00,451816,Venezia
2023-02-03 17:00:00,451953,Venezia
2023-02-04 17:00:00,452044,Venezia
2023-02-05 17:00:00,452118,Venezia
2023-02-06 17:00:00,452153,Venezia
2023-02-07 17:00:00,452350,Venezia
2023-02-08 17:00:00,452486,Venezia
2023-02-09 17:00:00,452613,Venezia
2023-02-10 17:00:00,452744,Venezia
2023-02-11 17:00:00,452848,Venezia
2023-02-12 17:00:00,452899,Venezia
2023-02-13 17:00:00,452917,Venezia
2023-02-14 17:00:00,453064,Venezia
2023-02-15 17:00:00,453195,Venezia
2023-02-16 17:00:00,453318,Venezia
2023-02-17 17:00:00,453413,Venezia
2023-02-18 17:00:00,453527,Venezia
2023-02-19 17:00:00,453587,Venezia
2023-02-20 17:00:00,453610,Venezia
2023-02-21 17:00:00,453808,Venezia
2023-02-22 17:00:00,453940,Venezia
2023-02-23 17:00:00,454061,Venezia
2023-02-24 17:00:00,454144,Venezia
2023-02-25 17:00:00,454261,Venezia
2023-02-26 17:00:00,454327,Venezia
2023-02-27 17:00:00,454335,Venezia
2023-02-28 17:00:00,454521,Venezia
2023-03-01 17:00:00,454684,Venezia
2023-03-02 17:00:00,454750,Venezia
2023-03-03 17:00:00,454906,Venezia
2023-03-04 17:00:00,455021,Venezia
2023-03-05 17:00:00,455055,Venezia
2023-03-06 17:00:00,455071,Venezia
2023-03-07 17:00:00,455248,Venezia
2023-03-08 17:00:00,455374,Venezia
2023-03-09 17:00:00,455473,Venezia
2023-03-10 17:00:00,455590,Venezia
2023-03-11 17:00:00,455697,Venezia
2023-03-12 17:00:00,455757,Venezia
2023-03-13 17:00:00,455778,Venezia
2023-03-14 17:00:00,455928,Venezia
2023-03-15 17:00:00,456048,Venezia
2023-03-16 17:00:00,456154,Venezia
2023-03-17 17:00:00,456266,Venezia
2023-03-18 17:00:00,456352,Venezia
2023-03-19 17:00:00,456409,Venezia
2023-03-20 17:00:00,456424,Venezia
2023-03-21 17:00:00,456573,Venezia
2023-03-22 17:00:00,456719,Venezia
2023-03-23 17:00:00,456830,Venezia
2023-03-24 17:00:00,456935,Venezia
2023-03-25 17:00:00,457033,Venezia
2023-03-26 17:00:00,457100,Venezia
2023-03-27 17:00:00,457126,Venezia
2023-03-28 17:00:00,457297,Venezia
2023-03-29 17:00:00,457434,Venezia
2023-03-30 17:00:00,457531,Venezia
2023-03-31 17:00:00,457618,Venezia
2023-04-01 17:00:00,457716,Venezia
2023-04-02 17:00:00,457753,Venezia
2023-04-03 17:00:00,457761,Venezia
2023-04-04 17:00:00,457891,Venezia
2023-04-05 17:00:00,457961,Venezia
2023-04-06 17:00:00,458025,Venezia
2023-04-07 17:00:00,458098,Venezia
2023-04-08 17:00:00,458175,Venezia
2023-04-09 17:00:00,458208,Venezia
2023-04-10 17:00:00,458217,Venezia
2023-04-11 17:00:00,458236,Venezia
2023-04-12 17:00:00,458440,Venezia
2023-04-13 17:00:00,458548,Venezia
2023-04-14 17:00:00,458647,Venezia
2023-04-15 17:00:00,458759,Venezia
2023-04-16 17:00:00,458814,Venezia
2023-04-17 17:00:00,458827,Venezia
2023-04-18 17:00:00,458996,Venezia
2023-04-19 17:00:00,459124,Venezia
2023-04-20 17:00:00,459216,Venezia
2023-04-21 17:00:00,459309,Venezia
2023-04-22 17:00:00,459389,Venezia
2023-04-23 17:00:00,459428,Venezia
2023-04-24 17:00:00,459434,Venezia
2023-04-25 17:00:00,459590,Venezia
2023-04-26 17:00:00,459602,Venezia
2023-04-27 17:00:00,459735,Venezia
2023-04-28 17:00:00,459814,Venezia
2023-04-29 17:00:00,459913,Venezia
2023-04-30 17:00:00,459944,Venezia
2023-05-01 17:00:00,459958,Venezia
2023-05-02 17:00:00,459979,Venezia
2023-05-03 17:00:00,460076,Venezia
2023-05-04 17:00:00,460143,Venezia
2023-05-05 17:00:00,460220,Venezia
2023-05-06 17:00:00,460278,Venezia
2023-05-07 17:00:00,460298,Venezia
2023-05-08 17:00:00,460312,Venezia
2023-05-09 17:00:00,460403,Venezia
2023-05-10 17:00:00,460455,Venezia
2023-05-11 17:00:00,460504,Venezia
2023-05-12 17:00:00,460547,Venezia
2023-05-13 17:00:00,460595,Venezia
2023-05-14 17:00:00,460617,Venezia
2023-05-15 17:00:00,460626,Venezia
2023-05-16 17:00:00,460710,Venezia
2023-05-17 17:00:00,460758,Venezia
2023-05-18 17:00:00,460816,Venezia
2023-05-19 17:00:00,460846,Venezia
2023-05-20 17:00:00,460896,Venezia
2023-05-21 17:00:00,460914,Venezia
2023-05-22 17:00:00,460933,Venezia
2023-05-23 17:00:00,460997,Venezia
2023-05-24 17:00:00,461043,Venezia
2023-05-25 17:00:00,461110,Venezia
2023-05-26 17:00:00,461154,Venezia
2023-05-27 17:00:00,461189,Venezia
2023-05-28 17:00:00,461205,Venezia
2023-05-29 17:00:00,461211,Venezia
2023-05-30 17:00:00,461250,Venezia
2023-05-31 17:00:00,461279,Venezia
2023-06-01 17:00:00,461320,Venezia
2023-06-02 17:00:00,461342,Venezia
2023-06-03 17:00:00,461347,Venezia
2023-06-04 17:00:00,461357,Venezia
2023-06-05 17:00:00,461363,Venezia
2023-06-06 17:00:00,461406,Venezia
2023-06-07 17:00:00,461445,Venezia
2023-06-08 17:00:00,461468,Venezia
2023-06-09 17:00:00,461484,Venezia
2023-06-10 17:00:00,461505,Venezia
2023-06-11 17:00:00,461514,Venezia
2023-06-12 17:00:00,461519,Venezia
2023-06-13 17:00:00,461547,Venezia
2023-06-14 17:00:00,461585,Venezia
2023-06-15 17:00:00,461601,Venezia
2023-06-16 17:00:00,461611,Venezia
2023-06-17 17:00:00,461623,Venezia
2023-06-18 17:00:00,461628,Venezia
2023-06-19 17:00:00,461631,Venezia
2023-06-20 17:00:00,461672,Venezia
2023-06-21 17:00:00,461699,Venezia
2023-06-22 17:00:00,461708,Venezia
2023-06-23 17:00:00,461736,Venezia
2023-06-24 17:00:00,461743,Venezia
2023-06-25 17:00:00,461747,Venezia
2023-06-26 17:00:00,461745,Venezia
2023-06-27 17:00:00,461755,Venezia
2023-06-28 17:00:00,461769,Venezia
2023-06-29 17:00:00,461776,Venezia
2023-06-30 17:00:00,461801,Venezia
2023-07-01 17:00:00,461808,Venezia
2023-07-02 17:00:00,461813,Venezia
2023-07-03 17:00:00,461823,Venezia
2023-07-04 17:00:00,461835,Venezia
2023-07-05 17:00:00,461834,Venezia
2023-07-06 17:00:00,461844,Venezia
2023-07-07 17:00:00,461867,Venezia
2023-07-08 17:00:00,461875,Venezia
2023-07-09 17:00:00,461875,Venezia
2023-07-10 17:00:00,461873,Venezia
2023-07-11 17:00:00,461893,Venezia
2023-07-12 17:00:00,461899,Venezia
2023-07-13 17:00:00,461898,Venezia
2023-07-14 17:00:00,461906,Venezia
2023-07-15 17:00:00,461919,Venezia
2023-07-16 17:00:00,461923,Venezia
2023-07-17 17:00:00,461927,Venezia
2023-07-18 17:00:00,461934,Venezia
2023-07-19 17:00:00,461957,Venezia
2023-07-20 17:00:00,461960,Venezia
2023-07-21 17:00:00,461957,Venezia
2023-07-22 17:00:00,461975,Venezia
2023-07-23 17:00:00,462001,Venezia
2023-07-24 17:00:00,462005,Venezia
2023-07-25 17:00:00,462030,Venezia
2023-07-26 17:00:00,462047,Venezia
2023-07-27 17:00:00,462067,Venezia
2023-07-28 17:00:00,462078,Venezia
2023-07-29 17:00:00,462088,Venezia
2023-07-30 17:00:00,462102,Venezia
2023-07-31 17:00:00,462107,Venezia
2023-08-01 17:00:00,462126,Venezia
2023-08-02 17:00:00,462128,Venezia
2023-08-03 17:00:00,462152,Venezia
2023-08-04 17:00:00,462164,Venezia
2023-08-05 17:00:00,462203,Venezia
2023-08-06 17:00:00,462215,Venezia
2023-08-07 17:00:00,462217,Venezia
2023-08-08 17:00:00,462239,Venezia
2023-08-09 17:00:00,462269,Venezia
2023-08-10 17:00:00,462295,Venezia
2023-08-11 17:00:00,462311,Venezia
2023-08-12 17:00:00,462335,Venezia
2023-08-13 17:00:00,462348,Venezia
2023-08-14 17:00:00,462351,Venezia
2023-08-15 17:00:00,462381,Venezia
2023-08-16 17:00:00,462386,Venezia
2023-08-17 17:00:00,462430,Venezia
2023-08-18 17:00:00,462460,Venezia
2023-08-19 17:00:00,462503,Venezia
2023-08-20 17:00:00,462511,Venezia
2023-08-21 17:00:00,462524,Venezia
2023-08-22 17:00:00,462606,Venezia
2023-08-23 17:00:00,462645,Venezia
2023-08-24 17:00:00,462651,Venezia
2023-08-25 17:00:00,462732,Venezia
2023-08-26 17:00:00,462780,Venezia
2023-08-27 17:00:00,462822,Venezia
2023-08-28 17:00:00,462831,Venezia
2023-08-29 17:00:00,462921,Venezia
2023-08-30 17:00:00,462982,Venezia
2023-08-31 17:00:00,463041,Venezia
2023-09-01 17:00:00,463108,Venezia
2023-09-02 17:00:00,463177,Venezia
2023-09-03 17:00:00,463197,Venezia
2023-09-04 17:00:00,463207,Venezia
2023-09-05 17:00:00,463360,Venezia
2023-09-06 17:00:00,463471,Venezia
2023-09-07 17:00:00,463582,Venezia
2023-09-08 17:00:00,463667,Venezia
2023-09-09 17:00:00,463761,Venezia
2023-09-10 17:00:00,463807,Venezia
2023-09-11 17:00:00,463815,Venezia
2023-09-12 17:00:00,463998,Venezia
2023-09-13 17:00:00,464170,Venezia
2023-09-14 17:00:00,464279,Venezia
2023-09-15 17:00:00,464377,Venezia
2023-09-16 17:00:00,464481,Venezia
2023-09-17 17:00:00,464540,Venezia
2023-09-18 17:00:00,464557,Venezia
2023-09-19 17:00:00,464747,Venezia
2023-09-20 17:00:00,464902,Venezia
2023-09-21 17:00:00,465060,Venezia
2023-09-22 17:00:00,465181,Venezia
2023-09-23 17:00:00,465279,Venezia
2023-09-24 17:00:00,465333,Venezia
2023-09-25 17:00:00,465364,Venezia
2023-09-26 17:00:00,465560,Venezia
2023-09-27 17:00:00,465709,Venezia
2023-09-28 17:00:00,465862,Venezia
2023-09-29 17:00:00,466006,Venezia
2023-09-30 17:00:00,466111,Venezia
2023-10-01 17:00:00,466181,Venezia
2023-10-02 17:00:00,466197,Venezia
2023-10-03 17:00:00,466436,Venezia
2023-10-04 17:00:00,466631,Venezia
2023-10-05 17:00:00,466768,Venezia
2023-10-06 17:00:00,466928,Venezia
2023-10-07 17:00:00,467042,Venezia
2023-10-08 17:00:00,467112,Venezia
2023-10-09 17:00:00,467131,Venezia
2023-10-10 17:00:00,467366,Venezia
2023-10-11 17:00:00,467553,Venezia
2023-10-12 17:00:00,467699,Venezia
2023-10-13 17:00:00,467759,Venezia
2023-10-14 17:00:00,467822,Venezia
2023-10-15 17:00:00,467851,Venezia
2023-10-16 17:00:00,467988,Venezia
2023-10-17 17:00:00,468150,Venezia
2023-10-18 17:00:00,468272,Venezia
2023-10-19 17:00:00,468331,Venezia
2023-10-20 17:00:00,468417,Venezia
2023-10-21 17:00:00,468504,Venezia
2023-10-22 17:00:00,468543,Venezia
2023-10-23 17:00:00,468556,Venezia
2023-10-24 17:00:00,468748,Venezia
2023-10-25 17:00:00,468858,Venezia
2023-10-26 17:00:00,468955,Venezia
2023-10-27 17:00:00,469047,Venezia
2023-10-28 17:00:00,469157,Venezia
2023-10-29 17:00:00,469200,Venezia
2023-10-30 17:00:00,469220,Venezia
2023-10-31 17:00:00,469393,Venezia
2023-11-01 17:00:00,469503,Venezia
