data,totale_casi,denominazione_provincia
2023-01-01 17:00:00,61110,Vercelli
2023-01-02 17:00:00,61114,Vercelli
2023-01-03 17:00:00,61164,Vercelli
2023-01-04 17:00:00,61191,Vercelli
2023-01-05 17:00:00,61204,Vercelli
2023-01-06 17:00:00,61221,Vercelli
2023-01-07 17:00:00,61227,Vercelli
2023-01-08 17:00:00,61247,Vercelli
2023-01-09 17:00:00,61248,Vercelli
2023-01-10 17:00:00,61277,Vercelli
2023-01-11 17:00:00,61284,Vercelli
2023-01-12 17:00:00,61301,Vercelli
2023-01-13 17:00:00,61313,Vercelli
2023-01-14 17:00:00,61323,Vercelli
2023-01-15 17:00:00,61325,Vercelli
2023-01-16 17:00:00,61326,Vercelli
2023-01-17 17:00:00,61352,Vercelli
2023-01-18 17:00:00,61362,Vercelli
2023-01-19 17:00:00,61369,Vercelli
2023-01-20 17:00:00,61378,Vercelli
2023-01-21 17:00:00,61382,Vercelli
2023-01-22 17:00:00,61386,Vercelli
2023-01-23 17:00:00,61388,Vercelli
2023-01-24 17:00:00,61398,Vercelli
2023-01-25 17:00:00,61404,Vercelli
2023-01-26 17:00:00,61422,Vercelli
2023-01-27 17:00:00,61429,Vercelli
2023-01-28 17:00:00,61433,Vercelli
2023-01-29 17:00:00,61440,Vercelli
2023-01-30 17:00:00,61440,Vercelli
2023-01-31 17:00:00,61457,Vercelli
2023-02-01 17:00:00,61474,Vercelli
2023-02-02 17:00:00,61481,Vercelli
2023-02-03 17:00:00,61506,Vercelli
2023-02-04 17:00:00,61520,Vercelli
2023-02-05 17:00:00,61525,Vercelli
2023-02-06 17:00:00,61527,Vercelli
2023-02-07 17:00:00,61541,Vercelli
2023-02-08 17:00:00,61552,Vercelli
2023-02-09 17:00:00,61561,Vercelli
2023-02-10 17:00:00,61571,Vercelli
2023-02-11 17:00:00,61581,Vercelli
2023-02-12 17:00:00,61585,Vercelli
2023-02-13 17:00:00,61586,Vercelli
2023-02-14 17:00:00,61595,Vercelli
2023-02-15 17:00:00,61607,Vercelli
2023-02-16 17:00:00,61612,Vercelli
