data,totale_casi,denominazione_provincia
2023-01-01 17:00:00,104629,Viterbo
2023-01-02 17:00:00,104648,Viterbo
2023-01-03 17:00:00,104755,Viterbo
2023-01-04 17:00:00,104871,Viterbo
2023-01-05 17:00:00,104950,Viterbo
2023-01-06 17:00:00,105004,Viterbo
2023-01-07 17:00:00,105009,Viterbo
2023-01-08 17:00:00,105065,Viterbo
2023-01-09 17:00:00,105079,Viterbo
2023-01-10 17:00:00,105171,Viterbo
2023-01-11 17:00:00,105214,Viterbo
2023-01-12 17:00:00,105241,Viterbo
2023-01-13 17:00:00,105278,Viterbo
2023-01-14 17:00:00,105299,Viterbo
2023-01-15 17:00:00,105313,Viterbo
2023-01-16 17:00:00,105324,Viterbo
2023-01-17 17:00:00,105372,Viterbo
2023-01-18 17:00:00,105384,Viterbo
2023-01-19 17:00:00,105411,Viterbo
2023-01-20 17:00:00,105440,Viterbo
2023-01-21 17:00:00,105452,Viterbo
2023-01-22 17:00:00,105463,Viterbo
2023-01-23 17:00:00,105467,Viterbo
2023-01-24 17:00:00,105495,Viterbo
2023-01-25 17:00:00,105525,Viterbo
2023-01-26 17:00:00,105547,Viterbo
2023-01-27 17:00:00,105561,Viterbo
2023-01-28 17:00:00,105579,Viterbo
2023-01-29 17:00:00,105585,Viterbo
2023-01-30 17:00:00,105588,Viterbo
2023-01-31 17:00:00,105624,Viterbo
2023-02-01 17:00:00,105654,Viterbo
2023-02-02 17:00:00,105667,Viterbo
2023-02-03 17:00:00,105684,Viterbo
2023-02-04 17:00:00,105701,Viterbo
2023-02-05 17:00:00,105710,Viterbo
2023-02-06 17:00:00,105714,Viterbo
2023-02-07 17:00:00,105756,Viterbo
2023-02-08 17:00:00,105776,Viterbo
2023-02-09 17:00:00,105791,Viterbo
2023-02-10 17:00:00,105804,Viterbo
2023-02-11 17:00:00,105812,Viterbo
2023-02-12 17:00:00,105823,Viterbo
2023-02-13 17:00:00,105835,Viterbo
2023-02-14 17:00:00,105856,Viterbo
2023-02-15 17:00:00,105869,Viterbo
2023-02-16 17:00:00,105888,Viterbo
2023-02-17 17:00:00,105898,Viterbo
2023-02-18 17:00:00,105916,Viterbo
2023-02-19 17:00:00,105937,Viterbo
2023-02-20 17:00:00,105941,Viterbo
2023-02-21 17:00:00,105971,Viterbo
2023-02-22 17:00:00,105994,Viterbo
2023-02-23 17:00:00,106010,Viterbo
2023-02-24 17:00:00,106042,Viterbo
2023-02-25 17:00:00,106064,Viterbo
2023-02-26 17:00:00,106080,Viterbo
2023-02-27 17:00:00,106081,Viterbo
2023-02-28 17:00:00,106108,Viterbo
2023-03-01 17:00:00,106137,Viterbo
2023-03-02 17:00:00,106149,Viterbo
2023-03-03 17:00:00,106165,Viterbo
2023-03-04 17:00:00,106178,Viterbo
2023-03-05 17:00:00,106190,Viterbo
2023-03-06 17:00:00,106192,Viterbo
2023-03-07 17:00:00,106213,Viterbo
2023-03-08 17:00:00,106224,Viterbo
2023-03-09 17:00:00,106234,Viterbo
2023-03-10 17:00:00,106244,Viterbo
2023-03-11 17:00:00,106254,Viterbo
2023-03-12 17:00:00,106271,Viterbo
2023-03-13 17:00:00,106273,Viterbo
2023-03-14 17:00:00,106300,Viterbo
2023-03-15 17:00:00,106317,Viterbo
2023-03-16 17:00:00,106324,Viterbo
2023-03-17 17:00:00,106330,Viterbo
2023-03-18 17:00:00,106335,Viterbo
2023-03-19 17:00:00,106343,Viterbo
2023-03-20 17:00:00,106343,Viterbo
2023-03-21 17:00:00,106354,Viterbo
2023-03-22 17:00:00,106362,Viterbo
2023-03-23 17:00:00,106370,Viterbo
2023-03-24 17:00:00,106381,Viterbo
2023-03-25 17:00:00,106399,Viterbo
2023-03-26 17:00:00,106408,Viterbo
2023-03-27 17:00:00,106412,Viterbo
2023-03-28 17:00:00,106427,Viterbo
2023-03-29 17:00:00,106436,Viterbo
2023-03-30 17:00:00,106448,Viterbo
2023-03-31 17:00:00,106452,Viterbo
2023-04-01 17:00:00,106459,Viterbo
2023-04-02 17:00:00,106464,Viterbo
2023-04-03 17:00:00,106466,Viterbo
2023-04-04 17:00:00,106471,Viterbo
2023-04-05 17:00:00,106483,Viterbo
2023-04-06 17:00:00,106488,Viterbo
2023-04-07 17:00:00,106493,Viterbo
2023-04-08 17:00:00,106494,Viterbo
2023-04-09 17:00:00,106501,Viterbo
2023-04-10 17:00:00,106502,Viterbo
2023-04-11 17:00:00,106503,Viterbo
2023-04-12 17:00:00,106515,Viterbo
2023-04-13 17:00:00,106521,Viterbo
2023-04-14 17:00:00,106528,Viterbo
2023-04-15 17:00:00,106543,Viterbo
2023-04-16 17:00:00,106550,Viterbo
2023-04-17 17:00:00,106552,Viterbo
2023-04-18 17:00:00,106560,Viterbo
2023-04-19 17:00:00,106610,Viterbo
2023-04-20 17:00:00,106617,Viterbo
2023-04-21 17:00:00,106663,Viterbo
2023-04-22 17:00:00,106671,Viterbo
2023-04-23 17:00:00,106677,Viterbo
2023-04-24 17:00:00,106678,Viterbo
2023-04-25 17:00:00,106684,Viterbo
2023-04-26 17:00:00,106684,Viterbo
2023-04-27 17:00:00,106700,Viterbo
2023-04-28 17:00:00,106703,Viterbo
2023-04-29 17:00:00,106711,Viterbo
2023-04-30 17:00:00,106726,Viterbo
2023-05-01 17:00:00,106726,Viterbo
2023-05-02 17:00:00,106728,Viterbo
2023-05-03 17:00:00,106742,Viterbo
2023-05-04 17:00:00,106748,Viterbo
2023-05-05 17:00:00,106756,Viterbo
2023-05-06 17:00:00,106765,Viterbo
2023-05-07 17:00:00,106771,Viterbo
2023-05-08 17:00:00,106772,Viterbo
2023-05-09 17:00:00,106811,Viterbo
2023-05-10 17:00:00,106825,Viterbo
2023-05-11 17:00:00,106829,Viterbo
2023-05-12 17:00:00,106830,Viterbo
2023-05-13 17:00:00,106834,Viterbo
2023-05-14 17:00:00,106838,Viterbo
2023-05-15 17:00:00,106838,Viterbo
