data,totale_casi,denominazione_provincia
2024-01-01 17:00:00,164825,Alessandria
2024-01-02 17:00:00,164829,Alessandria
2024-01-03 17:00:00,164863,Alessandria
2024-01-04 17:00:00,164888,Alessandria
2024-01-05 17:00:00,164900,Alessandria
2024-01-06 17:00:00,164913,Alessandria
2024-01-07 17:00:00,164919,Alessandria
2024-01-08 17:00:00,164929,Alessandria
2024-01-09 17:00:00,164944,Alessandria
2024-01-10 17:00:00,164954,Alessandria
2024-01-11 17:00:00,164972,Alessandria
2024-01-12 17:00:00,164984,Alessandria
2024-01-13 17:00:00,164992,Alessandria
2024-01-14 17:00:00,164995,Alessandria
2024-01-15 17:00:00,164997,Alessandria
2024-01-16 17:00:00,165005,Alessandria
2024-01-17 17:00:00,165012,Alessandria
2024-01-18 17:00:00,165014,Alessandria
2024-01-19 17:00:00,165023,Alessandria
2024-01-20 17:00:00,165031,Alessandria
2024-01-21 17:00:00,165037,Alessandria
2024-01-22 17:00:00,165037,Alessandria
2024-01-23 17:00:00,165044,Alessandria
2024-01-24 17:00:00,165052,Alessandria
2024-01-25 17:00:00,165056,Alessandria
2024-01-26 17:00:00,165060,Alessandria
2024-01-27 17:00:00,165071,Alessandria
2024-01-28 17:00:00,165074,Alessandria
2024-01-29 17:00:00,165074,Alessandria
2024-01-30 17:00:00,165077,Alessandria
2024-01-31 17:00:00,165082,Alessandria
2024-02-01 17:00:00,165082,Alessandria
2024-02-02 17:00:00,165085,Alessandria
2024-02-03 17:00:00,165088,Alessandria
2024-02-04 17:00:00,165088,Alessandria
2024-02-05 17:00:00,165088,Alessandria
2024-02-06 17:00:00,165092,Alessandria
2024-02-07 17:00:00,165093,Alessandria
2024-02-08 17:00:00,165096,Alessandria
2024-02-09 17:00:00,165096,Alessandria
2024-02-10 17:00:00,165099,Alessandria
2024-02-11 17:00:00,165099,Alessandria
2024-02-12 17:00:00,165099,Alessandria
2024-02-13 17:00:00,165103,Alessandria
2024-02-14 17:00:00,165105,Alessandria
2024-02-15 17:00:00,165105,Alessandria
2024-02-16 17:00:00,165105,Alessandria
2024-02-17 17:00:00,165107,Alessandria
2024-02-18 17:00:00,165108,Alessandria
2024-02-19 17:00:00,165108,Alessandria
2024-02-20 17:00:00,165111,Alessandria
2024-02-21 17:00:00,165113,Alessandria
2024-02-22 17:00:00,165114,Alessandria
2024-02-23 17:00:00,165115,Alessandria
2024-02-24 17:00:00,165116,Alessandria
2024-02-25 17:00:00,165117,Alessandria
2024-02-26 17:00:00,165117,Alessandria
2024-02-27 17:00:00,165119,Alessandria
2024-02-28 17:00:00,165119,Alessandria
2024-02-29 17:00:00,165120,Alessandria
2024-03-01 17:00:00,165123,Alessandria
2024-03-02 17:00:00,165123,Alessandria
2024-03-03 17:00:00,165123,Alessandria
2024-03-04 17:00:00,165123,Alessandria
2024-03-05 17:00:00,165125,Alessandria
2024-03-06 17:00:00,165125,Alessandria
2024-03-07 17:00:00,165126,Alessandria
2024-03-08 17:00:00,165127,Alessandria
2024-03-09 17:00:00,165127,Alessandria
2024-03-10 17:00:00,165127,Alessandria
2024-03-11 17:00:00,165128,Alessandria
2024-03-12 17:00:00,165130,Alessandria
2024-03-13 17:00:00,165130,Alessandria
2024-03-14 17:00:00,165131,Alessandria
2024-03-15 17:00:00,165133,Alessandria
2024-03-16 17:00:00,165133,Alessandria
2024-03-17 17:00:00,165134,Alessandria
2024-03-18 17:00:00,165136,Alessandria
2024-03-19 17:00:00,165138,Alessandria
2024-03-20 17:00:00,165139,Alessandria
2024-03-21 17:00:00,165140,Alessandria
2024-03-22 17:00:00,165140,Alessandria
2024-03-23 17:00:00,165142,Alessandria
2024-03-24 17:00:00,165143,Alessandria
2024-03-25 17:00:00,165144,Alessandria
2024-03-26 17:00:00,165145,Alessandria
2024-03-27 17:00:00,165148,Alessandria
2024-03-28 17:00:00,165150,Alessandria
