data,totale_casi,denominazione_provincia
2024-01-01 17:00:00,72366,Biella
2024-01-02 17:00:00,72369,Biella
2024-01-03 17:00:00,72388,Biella
2024-01-04 17:00:00,72402,Biella
2024-01-05 17:00:00,72406,Biella
2024-01-06 17:00:00,72413,Biella
2024-01-07 17:00:00,72413,Biella
2024-01-08 17:00:00,72416,Biella
2024-01-09 17:00:00,72424,Biella
2024-01-10 17:00:00,72430,Biella
2024-01-11 17:00:00,72432,Biella
2024-01-12 17:00:00,72436,Biella
2024-01-13 17:00:00,72443,Biella
2024-01-14 17:00:00,72445,Biella
2024-01-15 17:00:00,72446,Biella
2024-01-16 17:00:00,72460,Biella
2024-01-17 17:00:00,72461,Biella
2024-01-18 17:00:00,72467,Biella
2024-01-19 17:00:00,72470,Biella
2024-01-20 17:00:00,72476,Biella
2024-01-21 17:00:00,72477,Biella
2024-01-22 17:00:00,72477,Biella
2024-01-23 17:00:00,72478,Biella
2024-01-24 17:00:00,72480,Biella
2024-01-25 17:00:00,72481,Biella
2024-01-26 17:00:00,72482,Biella
2024-01-27 17:00:00,72486,Biella
2024-01-28 17:00:00,72491,Biella
2024-01-29 17:00:00,72493,Biella
2024-01-30 17:00:00,72496,Biella
2024-01-31 17:00:00,72496,Biella
2024-02-01 17:00:00,72497,Biella
2024-02-02 17:00:00,72498,Biella
2024-02-03 17:00:00,72499,Biella
2024-02-04 17:00:00,72499,Biella
2024-02-05 17:00:00,72499,Biella
2024-02-06 17:00:00,72499,Biella
2024-02-07 17:00:00,72501,Biella
2024-02-08 17:00:00,72502,Biella
2024-02-09 17:00:00,72502,Biella
2024-02-10 17:00:00,72503,Biella
2024-02-11 17:00:00,72503,Biella
2024-02-12 17:00:00,72504,Biella
2024-02-13 17:00:00,72504,Biella
2024-02-14 17:00:00,72506,Biella
2024-02-15 17:00:00,72508,Biella
2024-02-16 17:00:00,72508,Biella
2024-02-17 17:00:00,72509,Biella
2024-02-18 17:00:00,72510,Biella
2024-02-19 17:00:00,72510,Biella
2024-02-20 17:00:00,72511,Biella
2024-02-21 17:00:00,72511,Biella
2024-02-22 17:00:00,72511,Biella
2024-02-23 17:00:00,72511,Biella
2024-02-24 17:00:00,72511,Biella
2024-02-25 17:00:00,72511,Biella
2024-02-26 17:00:00,72511,Biella
2024-02-27 17:00:00,72511,Biella
2024-02-28 17:00:00,72512,Biella
2024-02-29 17:00:00,72512,Biella
2024-03-01 17:00:00,72513,Biella
2024-03-02 17:00:00,72513,Biella
2024-03-03 17:00:00,72513,Biella
2024-03-04 17:00:00,72513,Biella
2024-03-05 17:00:00,72515,Biella
2024-03-06 17:00:00,72516,Biella
2024-03-07 17:00:00,72517,Biella
2024-03-08 17:00:00,72518,Biella
2024-03-09 17:00:00,72519,Biella
2024-03-10 17:00:00,72519,Biella
2024-03-11 17:00:00,72520,Biella
2024-03-12 17:00:00,72520,Biella
2024-03-13 17:00:00,72520,Biella
2024-03-14 17:00:00,72520,Biella
2024-03-15 17:00:00,72520,Biella
2024-03-16 17:00:00,72520,Biella
2024-03-17 17:00:00,72520,Biella
2024-03-18 17:00:00,72520,Biella
2024-03-19 17:00:00,72521,Biella
2024-03-20 17:00:00,72521,Biella
2024-03-21 17:00:00,72521,Biella
2024-03-22 17:00:00,72521,Biella
2024-03-23 17:00:00,72521,Biella
2024-03-24 17:00:00,72521,Biella
2024-03-25 17:00:00,72521,Biella
2024-03-26 17:00:00,72521,Biella
2024-03-27 17:00:00,72522,Biella
2024-03-28 17:00:00,72522,Biella
2024-03-29 17:00:00,72522,Biella
2024-03-30 17:00:00,72522,Biella
2024-03-31 17:00:00,72522,Biella
2024-04-01 17:00:00,72522,Biella
2024-04-02 17:00:00,72522,Biella
2024-04-03 17:00:00,72522,Biella
2024-04-04 17:00:00,72522,Biella
2024-04-05 17:00:00,72522,Biella
2024-04-06 17:00:00,72523,Biella
2024-04-07 17:00:00,72523,Biella
2024-04-08 17:00:00,72523,Biella
2024-04-09 17:00:00,72524,Biella
2024-04-10 17:00:00,72525,Biella
2024-04-11 17:00:00,72525,Biella
2024-04-12 17:00:00,72525,Biella
2024-04-13 17:00:00,72525,Biella
2024-04-14 17:00:00,72525,Biella
2024-04-15 17:00:00,72525,Biella
2024-04-16 17:00:00,72526,Biella
2024-04-17 17:00:00,72527,Biella
2024-04-18 17:00:00,72529,Biella
2024-04-19 17:00:00,72529,Biella
2024-04-20 17:00:00,72529,Biella
2024-04-21 17:00:00,72529,Biella
