data,totale_casi,denominazione_provincia
2024-01-01 17:00:00,282488,Bolzano
2024-01-02 17:00:00,282496,Bolzano
2024-01-03 17:00:00,282519,Bolzano
2024-01-04 17:00:00,282533,Bolzano
2024-01-05 17:00:00,282545,Bolzano
2024-01-06 17:00:00,282561,Bolzano
2024-01-07 17:00:00,282565,Bolzano
2024-01-08 17:00:00,282567,Bolzano
2024-01-09 17:00:00,282581,Bolzano
2024-01-10 17:00:00,282593,Bolzano
2024-01-11 17:00:00,282609,Bolzano
2024-01-12 17:00:00,282618,Bolzano
2024-01-13 17:00:00,282627,Bolzano
2024-01-14 17:00:00,0,Bolzano
2024-01-15 17:00:00,282637,Bolzano
2024-01-16 17:00:00,282643,Bolzano
2024-01-17 17:00:00,282646,Bolzano
2024-01-18 17:00:00,282650,Bolzano
2024-01-19 17:00:00,282655,Bolzano
2024-01-20 17:00:00,282659,Bolzano
2024-01-21 17:00:00,282662,Bolzano
2024-01-22 17:00:00,282665,Bolzano
2024-01-23 17:00:00,282673,Bolzano
2024-01-24 17:00:00,282674,Bolzano
2024-01-25 17:00:00,282678,Bolzano
2024-01-26 17:00:00,282681,Bolzano
2024-01-27 17:00:00,282690,Bolzano
2024-01-28 17:00:00,282693,Bolzano
2024-01-29 17:00:00,282701,Bolzano
2024-01-30 17:00:00,282710,Bolzano
2024-01-31 17:00:00,282717,Bolzano
2024-02-01 17:00:00,282719,Bolzano
2024-02-02 17:00:00,282721,Bolzano
2024-02-03 17:00:00,282722,Bolzano
2024-02-04 17:00:00,282723,Bolzano
2024-02-05 17:00:00,282725,Bolzano
2024-02-06 17:00:00,282728,Bolzano
2024-02-07 17:00:00,282731,Bolzano
2024-02-08 17:00:00,282732,Bolzano
2024-02-09 17:00:00,282733,Bolzano
2024-02-10 17:00:00,282737,Bolzano
2024-02-11 17:00:00,282737,Bolzano
2024-02-12 17:00:00,282737,Bolzano
2024-02-13 17:00:00,282741,Bolzano
2024-02-14 17:00:00,282743,Bolzano
2024-02-15 17:00:00,282744,Bolzano
2024-02-16 17:00:00,282745,Bolzano
2024-02-17 17:00:00,282746,Bolzano
2024-02-18 17:00:00,282749,Bolzano
2024-02-19 17:00:00,282752,Bolzano
2024-02-20 17:00:00,282753,Bolzano
2024-02-21 17:00:00,282755,Bolzano
2024-02-22 17:00:00,282757,Bolzano
2024-02-23 17:00:00,282760,Bolzano
2024-02-24 17:00:00,282762,Bolzano
2024-02-25 17:00:00,282764,Bolzano
2024-02-26 17:00:00,282764,Bolzano
2024-02-27 17:00:00,282765,Bolzano
2024-02-28 17:00:00,282765,Bolzano
2024-02-29 17:00:00,282766,Bolzano
2024-03-01 17:00:00,282767,Bolzano
2024-03-02 17:00:00,282767,Bolzano
2024-03-03 17:00:00,282767,Bolzano
2024-03-04 17:00:00,282767,Bolzano
2024-03-05 17:00:00,282767,Bolzano
2024-03-06 17:00:00,282769,Bolzano
2024-03-07 17:00:00,282770,Bolzano
2024-03-08 17:00:00,282771,Bolzano
2024-03-09 17:00:00,282772,Bolzano
2024-03-10 17:00:00,282772,Bolzano
2024-03-11 17:00:00,282773,Bolzano
2024-03-12 17:00:00,282774,Bolzano
2024-03-13 17:00:00,282774,Bolzano
2024-03-14 17:00:00,282774,Bolzano
2024-03-15 17:00:00,282774,Bolzano
2024-03-16 17:00:00,282774,Bolzano
2024-03-17 17:00:00,282774,Bolzano
2024-03-18 17:00:00,282775,Bolzano
2024-03-19 17:00:00,282775,Bolzano
2024-03-20 17:00:00,282776,Bolzano
2024-03-21 17:00:00,282776,Bolzano
2024-03-22 17:00:00,282777,Bolzano
2024-03-23 17:00:00,282777,Bolzano
2024-03-24 17:00:00,282777,Bolzano
2024-03-25 17:00:00,282777,Bolzano
