data,totale_casi,denominazione_provincia
2024-01-01 17:00:00,156079,Cagliari
2024-01-02 17:00:00,156079,Cagliari
2024-01-03 17:00:00,156079,Cagliari
2024-01-04 17:00:00,156079,Cagliari
2024-01-05 17:00:00,156079,Cagliari
2024-01-06 17:00:00,156079,Cagliari
2024-01-07 17:00:00,156079,Cagliari
2024-01-08 17:00:00,156079,Cagliari
2024-01-09 17:00:00,156079,Cagliari
2024-01-10 17:00:00,156079,Cagliari
2024-01-11 17:00:00,156079,Cagliari
2024-01-12 17:00:00,156079,Cagliari
2024-01-13 17:00:00,156079,Cagliari
2024-01-14 17:00:00,156079,Cagliari
2024-01-15 17:00:00,156079,Cagliari
2024-01-16 17:00:00,156079,Cagliari
2024-01-17 17:00:00,156079,Cagliari
2024-01-18 17:00:00,156079,Cagliari
2024-01-19 17:00:00,156079,Cagliari
2024-01-20 17:00:00,156079,Cagliari
2024-01-21 17:00:00,156079,Cagliari
2024-01-22 17:00:00,156079,Cagliari
2024-01-23 17:00:00,156079,Cagliari
2024-01-24 17:00:00,156079,Cagliari
2024-01-25 17:00:00,156079,Cagliari
2024-01-26 17:00:00,156079,Cagliari
2024-01-27 17:00:00,156079,Cagliari
2024-01-28 17:00:00,156079,Cagliari
2024-01-29 17:00:00,156079,Cagliari
2024-01-30 17:00:00,156079,Cagliari
2024-01-31 17:00:00,156079,Cagliari
2024-02-01 17:00:00,156079,Cagliari
2024-02-02 17:00:00,156079,Cagliari
2024-02-03 17:00:00,156079,Cagliari
2024-02-04 17:00:00,156079,Cagliari
2024-02-05 17:00:00,156079,Cagliari
2024-02-06 17:00:00,156079,Cagliari
2024-02-07 17:00:00,156079,Cagliari
2024-02-08 17:00:00,156082,Cagliari
2024-02-09 17:00:00,156082,Cagliari
2024-02-10 17:00:00,156083,Cagliari
2024-02-11 17:00:00,156083,Cagliari
2024-02-12 17:00:00,156083,Cagliari
2024-02-13 17:00:00,156087,Cagliari
