data,totale_casi,denominazione_provincia
2024-01-01 17:00:00,397122,Caserta
2024-01-02 17:00:00,397153,Caserta
2024-01-03 17:00:00,397289,Caserta
2024-01-04 17:00:00,397387,Caserta
2024-01-05 17:00:00,397481,Caserta
2024-01-06 17:00:00,397563,Caserta
2024-01-07 17:00:00,397581,Caserta
2024-01-08 17:00:00,397612,Caserta
2024-01-09 17:00:00,397712,Caserta
2024-01-10 17:00:00,397774,Caserta
2024-01-11 17:00:00,397827,Caserta
2024-01-12 17:00:00,397867,Caserta
2024-01-13 17:00:00,397897,Caserta
2024-01-14 17:00:00,397921,Caserta
2024-01-15 17:00:00,397932,Caserta
2024-01-16 17:00:00,397972,Caserta
2024-01-17 17:00:00,397997,Caserta
2024-01-18 17:00:00,398015,Caserta
2024-01-19 17:00:00,398031,Caserta
2024-01-20 17:00:00,398041,Caserta
2024-01-21 17:00:00,398053,Caserta
2024-01-22 17:00:00,398060,Caserta
2024-01-23 17:00:00,398077,Caserta
2024-01-24 17:00:00,398087,Caserta
2024-01-25 17:00:00,398095,Caserta
2024-01-26 17:00:00,398104,Caserta
2024-01-27 17:00:00,398111,Caserta
2024-01-28 17:00:00,398117,Caserta
2024-01-29 17:00:00,398119,Caserta
2024-01-30 17:00:00,398137,Caserta
2024-01-31 17:00:00,398145,Caserta
2024-02-01 17:00:00,398151,Caserta
2024-02-02 17:00:00,398158,Caserta
2024-02-03 17:00:00,398166,Caserta
2024-02-04 17:00:00,398171,Caserta
2024-02-05 17:00:00,398171,Caserta
2024-02-06 17:00:00,398180,Caserta
2024-02-07 17:00:00,398182,Caserta
2024-02-08 17:00:00,398184,Caserta
2024-02-09 17:00:00,398191,Caserta
2024-02-10 17:00:00,398197,Caserta
2024-02-11 17:00:00,398197,Caserta
2024-02-12 17:00:00,398199,Caserta
2024-02-13 17:00:00,398203,Caserta
2024-02-14 17:00:00,398205,Caserta
2024-02-15 17:00:00,398206,Caserta
2024-02-16 17:00:00,398212,Caserta
2024-02-17 17:00:00,398213,Caserta
2024-02-18 17:00:00,398215,Caserta
2024-02-19 17:00:00,398216,Caserta
2024-02-20 17:00:00,398221,Caserta
2024-02-21 17:00:00,398223,Caserta
2024-02-22 17:00:00,398224,Caserta
2024-02-23 17:00:00,398226,Caserta
2024-02-24 17:00:00,398227,Caserta
2024-02-25 17:00:00,398227,Caserta
2024-02-26 17:00:00,398229,Caserta
2024-02-27 17:00:00,398232,Caserta
